"繁"	"简"	"国际音标"	"吴语拼音"	"备注"	"调类"	"调值"								
"疲"	"疲"	"bi22"	"bi2"		2	22		"b"	"i"	"b"	"i"			
"脾"	"脾"	"bi22"	"bi2"		2	22		"b"	"i"	"b"	"i"			
"被"	"被"	"bi213"	"bi4"	"~头；~单。"	4	213		"b"	"i"	"b"	"i"			
"被"	"被"	"be13"	"be6"	"~动；~告。"	6	13		"b"	"e"	"b"	"e"			
"避"	"避"	"bi13"	"bi6"		6	13		"b"	"i"	"b"	"i"			
"離"	"离"	"li22"	"li2"		2	22		"l"	"i"	"l"	"i"			
"籬"	"篱"	"li22"	"li2"		2	22		"l"	"i"	"l"	"i"			
"璃"	"璃"	"li22"	"li2"		2	22		"l"	"i"	"l"	"i"			
"離"	"离"	"li22"	"li2"		2	22		"l"	"i"	"l"	"i"			
"紫"	"紫"	"tsɿ44"	"tsy3"		3	44		"ts"	"y"	"ts"	"ɿ"			
"雌"	"雌"	"tsʰɿ53"	"tshy1"		1	53		"tsh"	"y"	"tsʰ"	"ɿ"			
"此"	"此"	"tsʰɿ53"	"tshy1"		1	53		"tsh"	"y"	"tsʰ"	"ɿ"			
"刺"	"刺"	"tsʰɿ35"	"tshy5"		5	35		"tsh"	"y"	"tsʰ"	"ɿ"			
"斯"	"斯"	"sɿ53"	"sy1"		1	53		"s"	"y"	"s"	"ɿ"			
"撕"	"撕"	"sɿ53"	"sy1"		1	53		"s"	"y"	"s"	"ɿ"			
"撕"	"撕"	"si53"	"si1"		1	53		"s"	"i"	"s"	"i"			
"廝"	"廝"	"sɿ53"	"sy1"		1	53		"s"	"y"	"s"	"ɿ"			
"知"	"知"	"tsɿ53"	"tsy1"		1	53		"ts"	"y"	"ts"	"ɿ"			
"蜘"	"蜘"	"tsɿ53"	"tsy1"		1	53		"ts"	"y"	"ts"	"ɿ"			
"智"	"智"	"tsɿ35"	"tsy5"		5	35		"ts"	"y"	"ts"	"ɿ"			
"池"	"池"	"zɿ22"	"zy2"		2	22		"z"	"y"	"z"	"ɿ"			
"馳"	"驰"	"zɿ22"	"zy2"		2	22		"z"	"y"	"z"	"ɿ"			
"支"	"支"	"tsɿ53"	"tsy1"		1	53		"ts"	"y"	"ts"	"ɿ"			
"枝"	"枝"	"tsɿ53"	"tsy1"		1	53		"ts"	"y"	"ts"	"ɿ"			
"肢"	"肢"	"tsɿ53"	"tsy1"		1	53		"ts"	"y"	"ts"	"ɿ"			
"梔"	"栀"	"tsɿ53"	"tsy1"		1	53		"ts"	"y"	"ts"	"ɿ"			
"只"	"只"	"tsɿ44"	"tsy3"		3	44		"ts"	"y"	"ts"	"ɿ"			
"只"	"只"	"tsəʔ5"	"tseq7"	"~是；~有；~不过。"	7	5		"ts"	"eq"	"ts"	"əʔ"			
"隻"	"只"	"tsɑk5"	"tsaq7"	"量词。"	7	5		"ts"	"aq"	"ts"	"ɑk"			
"紙"	"纸"	"tsɿ44"	"tsy3"		3	44		"ts"	"y"	"ts"	"ɿ"			
"施"	"施"	"sɿ53"	"sy1"		1	53		"s"	"y"	"s"	"ɿ"			
"翅"	"翅"	"tsʰɿ35"	"tshy5"		5	35		"tsh"	"y"	"tsʰ"	"ɿ"			
"是"	"是"	"zɿ213"	"zy4"		4	213		"z"	"y"	"z"	"ɿ"			
"氏"	"氏"	"zɿ213"	"zy4"		4	213		"z"	"y"	"z"	"ɿ"			
"兒"	"儿"	"ȵi22"	"gni2"	"【白读】"	2	22		"gn"	"i"	"ȵ"	"i"			
"兒"	"儿"	"əl22"	"er2"	"【文读】~童。"	2	22			"er"		"əl"			
"兒"	"儿"	"ŋ̍22"	"ng2"	"词后作儿尾：女~。"	2	22			"ng"		"ŋ̍"			
"寄"	"寄"	"tɕi35"	"ci5"	"【文读】"	5	35		"c"	"i"	"tɕ"	"i"			
"寄"	"寄"	"ke35"	"ke5"	"【白读】"	5	35		"k"	"e"	"k"	"e"			
"企"	"企"	"tɕʰi44"	"chi3"		3	44		"ch"	"i"	"tɕʰ"	"i"			
"奇"	"奇"	"dʑi22"	"ji2"		2	22		"j"	"i"	"dʑ"	"i"			
"騎"	"骑"	"dʑi22"	"ji2"	"~马。"	2	22		"j"	"i"	"dʑ"	"i"			
"騎"	"骑"	"dʑi13"	"ji6"	"坐~。"	6	13		"j"	"i"	"dʑ"	"i"			
"岐"	"岐"	"dʑi22"	"ji2"		2	22		"j"	"i"	"dʑ"	"i"			
"歧"	"歧"	"dʑi22"	"ji2"		2	22		"j"	"i"	"dʑ"	"i"			
"技"	"技"	"dʑi213"	"ji4"		4	213		"j"	"i"	"dʑ"	"i"			
"妓"	"妓"	"dʑi213"	"ji4"		4	213		"j"	"i"	"dʑ"	"i"			
"宜"	"宜"	"ȵi22"	"gni2"		2	22		"gn"	"i"	"ȵ"	"i"			
"儀"	"仪"	"ȵi22"	"gni2"		2	22		"gn"	"i"	"ȵ"	"i"			
"儀"	"仪"	"ɦi22"	"yi2"	"~门；正~（江苏昆山地名）。"	2	22		"y"	"i"	"ɦ"	"i"			
"蟻"	"蚁"	"ȵi213"	"gni4"		4	213		"gn"	"i"	"ȵ"	"i"			
"義"	"义"	"ȵi13"	"gni6"		6	13		"gn"	"i"	"ȵ"	"i"			
"議"	"议"	"ȵi13"	"gni6"		6	13		"gn"	"i"	"ȵ"	"i"			
"誼"	"谊"	"ȵi13"	"gni6"		6	13		"gn"	"i"	"ȵ"	"i"			
"犧"	"牺"	"ɕi53"	"shi1"		1	53		"sh"	"i"	"ɕ"	"i"			
"漪"	"漪"	"i53"	"i1"		1	53			"i"		"i"			
"猗"	"猗"	"i53"	"i1"		1	53			"i"		"i"			
"猗"	"猗"	"dʑi22"	"ji2"	"古~园（嘉定南翔的一座园林）。"	2	22		"j"	"i"	"dʑ"	"i"			
"倚"	"倚"	"i44"	"i3"		3	44			"i"		"i"			
"椅"	"椅"	"y44"	"iu3"		3	44			"iu"		"y"			
"移"	"移"	"ɦi22"	"yi2"		2	22		"y"	"i"	"ɦ"	"i"			
"易"	"易"	"ɦi13"	"yi6"		6	13		"y"	"i"	"ɦ"	"i"			
"悲"	"悲"	"ɓe53"	"pe1"		1	53		"p"	"e"	"ɓ"	"e"			
"屄"	"屄"	"ɓi53"	"pi1"		1	53		"p"	"i"	"ɓ"	"i"			
"比"	"比"	"ɓi44"	"pi3"		3	44		"p"	"i"	"ɓ"	"i"			
"泌"	"泌"	"ɓi35"	"pi5"		5	35		"p"	"i"	"ɓ"	"i"			
"秘"	"秘"	"ɓi35"	"pi5"		5	35		"p"	"i"	"ɓ"	"i"			
"庇"	"庇"	"ɓi35"	"pi5"		5	35		"p"	"i"	"ɓ"	"i"			
"痺"	"痺"	"bi13"	"bi6"	"同“痹”。"	6	13		"b"	"i"	"b"	"i"			
"痹"	"痹"	"bi13"	"bi6"		6	13		"b"	"i"	"b"	"i"			
"屁"	"屁"	"pʰi35"	"phi5"		5	35		"ph"	"i"	"pʰ"	"i"			
"備"	"备"	"be13"	"be6"		6	13		"b"	"e"	"b"	"e"			
"鼻"	"鼻"	"bəʔ23"	"beq8"		8	23		"b"	"eq"	"b"	"əʔ"			
"眉"	"眉"	"mi22"	"mi2"		2	22		"m"	"i"	"m"	"i"			
"湄"	"湄"	"ȵi22"	"gni2"	"~浦桥（上海宝山地名）；~浦（上海宝山境内的一条河流）。"	2	22		"gn"	"i"	"ȵ"	"i"			
"湄"	"湄"	"me22"	"me2"		2	22		"m"	"e"	"m"	"e"			
"楣"	"楣"	"me22"	"me2"		2	22		"m"	"e"	"m"	"e"			
"美"	"美"	"me44"	"me3"		3	44		"m"	"e"	"m"	"e"			
"地"	"地"	"di13"	"di6"		6	13		"d"	"i"	"d"	"i"			
"尼"	"尼"	"ȵi22"	"gni2"		2	22		"gn"	"i"	"ȵ"	"i"			
"膩"	"腻"	"ȵi13"	"gni6"		6	13		"gn"	"i"	"ȵ"	"i"			
"梨"	"梨"	"li22"	"li2"		2	22		"l"	"i"	"l"	"i"			
"履"	"履"	"li213"	"li4"		4	213		"l"	"i"	"l"	"i"			
"利"	"利"	"li13"	"li6"		6	13		"l"	"i"	"l"	"i"			
"痢"	"痢"	"li13"	"li6"		6	13		"l"	"i"	"l"	"i"			
"資"	"资"	"tsɿ53"	"tsy1"		1	53		"ts"	"y"	"ts"	"ɿ"			
"姿"	"姿"	"tsɿ53"	"tsy1"		1	53		"ts"	"y"	"ts"	"ɿ"			
"諮"	"咨"	"tsɿ53"	"tsy1"		1	53		"ts"	"y"	"ts"	"ɿ"			
"姊"	"姊"	"tsɿ44"	"tsy3"	"【文读】"	3	44		"ts"	"y"	"ts"	"ɿ"			
"次"	"次"	"tsʰɿ35"	"tshy5"		5	35		"tsh"	"y"	"tsʰ"	"ɿ"			
"瓷"	"瓷"	"zɿ22"	"zy2"		2	22		"z"	"y"	"z"	"ɿ"			
"自"	"自"	"zɿ13"	"zy6"		6	13		"z"	"y"	"z"	"ɿ"			
"私"	"私"	"sɿ53"	"sy1"		1	53		"s"	"y"	"s"	"ɿ"			
"死"	"死"	"sɿ44"	"sy3"	"【文读】~亡。"	3	44		"s"	"y"	"s"	"ɿ"			
"死"	"死"	"si44"	"si3"	"【白读】~人；~活；~尸。"	3	44		"s"	"i"	"s"	"i"			
"四"	"四"	"sɿ35"	"sy5"		5	35		"s"	"y"	"s"	"ɿ"			
"致"	"致"	"tsɿ35"	"tsy5"	"导~。"	5	35		"ts"	"y"	"ts"	"ɿ"			
"緻"	"致"	"tsɿ35"	"tsy5"	"标~。"	5	35		"ts"	"y"	"ts"	"ɿ"			
"遲"	"迟"	"zɿ22"	"zy2"		2	22		"z"	"y"	"z"	"ɿ"			
"稚"	"稚"	"zɿ13"	"zy6"		6	13		"z"	"y"	"z"	"ɿ"			
"師"	"师"	"sɿ53"	"sy1"		1	53		"s"	"y"	"s"	"ɿ"			
"獅"	"狮"	"sɿ53"	"sy1"		1	53		"s"	"y"	"s"	"ɿ"			
"脂"	"脂"	"tsɿ53"	"tsy1"		1	53		"ts"	"y"	"ts"	"ɿ"			
"旨"	"旨"	"tsɿ44"	"tsy3"		3	44		"ts"	"y"	"ts"	"ɿ"			
"指"	"指"	"tsɿ44"	"tsy3"		3	44		"ts"	"y"	"ts"	"ɿ"			
"至"	"至"	"tsɿ35"	"tsy5"		5	35		"ts"	"y"	"ts"	"ɿ"			
"示"	"示"	"zɿ13"	"zy6"		6	13		"z"	"y"	"z"	"ɿ"			
"屍"	"尸"	"sɿ53"	"sy1"		1	53		"s"	"y"	"s"	"ɿ"			
"視"	"视"	"zɿ13"	"zy6"		6	13		"z"	"y"	"z"	"ɿ"			
"二"	"二"	"ȵi13"	"gni6"	"【白读】"	6	13		"gn"	"i"	"ȵ"	"i"			
"二"	"二"	"əl13"	"er6"	"【文读】"	6	13			"er"		"əl"			
"飢"	"饥"	"tɕi53"	"ci1"		1	53		"c"	"i"	"tɕ"	"i"			
"器"	"器"	"tɕʰi35"	"chi5"		5	35		"ch"	"i"	"tɕʰ"	"i"			
"棄"	"弃"	"tɕʰi35"	"chi5"		5	35		"ch"	"i"	"tɕʰ"	"i"			
"夷"	"夷"	"ɦi22"	"yi2"		2	22		"y"	"i"	"ɦ"	"i"			
"姨"	"姨"	"ɦi22"	"yi2"		2	22		"y"	"i"	"ɦ"	"i"			
"你"	"你"	"ni53"	"ni1"		1	53		"n"	"i"	"n"	"i"			
"狸"	"狸"	"li22"	"li2"		2	22		"l"	"i"	"l"	"i"			
"李"	"李"	"li213"	"li4"		4	213		"l"	"i"	"l"	"i"			
"裡"	"里"	"li213"	"li4"		4	213		"l"	"i"	"l"	"i"			
"理"	"理"	"li213"	"li4"		4	213		"l"	"i"	"l"	"i"			
"鯉"	"鲤"	"li213"	"li4"		4	213		"l"	"i"	"l"	"i"			
"吏"	"吏"	"li13"	"li6"		6	13		"l"	"i"	"l"	"i"			
"滋"	"滋"	"tsɿ53"	"tsy1"		1	53		"ts"	"y"	"ts"	"ɿ"			
"子"	"子"	"tsɿ44"	"tsy3"		3	44		"ts"	"y"	"ts"	"ɿ"			
"慈"	"慈"	"zɿ22"	"zy2"		2	22		"z"	"y"	"z"	"ɿ"			
"磁"	"磁"	"zɿ22"	"zy2"		2	22		"z"	"y"	"z"	"ɿ"			
"字"	"字"	"zɿ13"	"zy6"		6	13		"z"	"y"	"z"	"ɿ"			
"司"	"司"	"sɿ53"	"sy1"		1	53		"s"	"y"	"s"	"ɿ"			
"絲"	"丝"	"sɿ53"	"sy1"		1	53		"s"	"y"	"s"	"ɿ"			
"思"	"思"	"sɿ53"	"sy1"	"~考；~念。"	1	53		"s"	"y"	"s"	"ɿ"			
"思"	"思"	"sɿ35"	"sy5"	"意~；~绪；心~。"	5	35		"s"	"y"	"s"	"ɿ"			
"辭"	"辞"	"zɿ22"	"zy2"		2	22		"z"	"y"	"z"	"ɿ"			
"詞"	"词"	"zɿ22"	"zy2"		2	22		"z"	"y"	"z"	"ɿ"			
"祠"	"祠"	"zɿ22"	"zy2"		2	22		"z"	"y"	"z"	"ɿ"			
"似"	"似"	"zɿ213"	"zy4"		4	213		"z"	"y"	"z"	"ɿ"			
"寺"	"寺"	"zɿ13"	"zy6"		6	13		"z"	"y"	"z"	"ɿ"			
"飼"	"饲"	"zɿ13"	"zy6"		6	13		"z"	"y"	"z"	"ɿ"			
"嗣"	"嗣"	"zɿ13"	"zy6"		6	13		"z"	"y"	"z"	"ɿ"			
"置"	"置"	"tsɿ35"	"tsy5"		5	35		"ts"	"y"	"ts"	"ɿ"			
"恥"	"耻"	"tsʰɿ44"	"tshy3"		3	44		"tsh"	"y"	"tsʰ"	"ɿ"			
"持"	"持"	"zɿ22"	"zy2"		2	22		"z"	"y"	"z"	"ɿ"			
"治"	"治"	"zɿ13"	"zy6"		6	13		"z"	"y"	"z"	"ɿ"			
"廁"	"厕"	"tsʰɿ35"	"tshy5"		5	35		"tsh"	"y"	"tsʰ"	"ɿ"			
"士"	"士"	"zɿ213"	"zy4"		4	213		"z"	"y"	"z"	"ɿ"			
"柿"	"柿"	"zɿ213"	"zy4"		4	213		"z"	"y"	"z"	"ɿ"			
"事"	"事"	"zɿ13"	"zy6"		6	13		"z"	"y"	"z"	"ɿ"			
"史"	"史"	"sɿ44"	"sy3"		3	44		"s"	"y"	"s"	"ɿ"			
"使"	"使"	"sɿ44"	"sy3"		3	44		"s"	"y"	"s"	"ɿ"			
"使"	"使"	"sɿ35"	"sy5"	"出~；~者。"	5	35		"s"	"y"	"s"	"ɿ"			
"駛"	"驶"	"sɿ44"	"sy3"		3	44		"s"	"y"	"s"	"ɿ"			
"之"	"之"	"tsɿ53"	"tsy1"		1	53		"ts"	"y"	"ts"	"ɿ"			
"芝"	"芝"	"tsɿ53"	"tsy1"		1	53		"ts"	"y"	"ts"	"ɿ"			
"止"	"止"	"tsɿ44"	"tsy3"		3	44		"ts"	"y"	"ts"	"ɿ"			
"址"	"址"	"tsɿ44"	"tsy3"		3	44		"ts"	"y"	"ts"	"ɿ"			
"志"	"志"	"tsɿ35"	"tsy5"		5	35		"ts"	"y"	"ts"	"ɿ"			
"痣"	"痣"	"tsɿ35"	"tsy5"		5	35		"ts"	"y"	"ts"	"ɿ"			
"齒"	"齿"	"tsʰɿ44"	"tshy3"		3	44		"tsh"	"y"	"tsʰ"	"ɿ"			
"詩"	"诗"	"sɿ53"	"sy1"		1	53		"s"	"y"	"s"	"ɿ"			
"始"	"始"	"sɿ44"	"sy3"		3	44		"s"	"y"	"s"	"ɿ"			
"試"	"试"	"sɿ35"	"sy5"		5	35		"s"	"y"	"s"	"ɿ"			
"時"	"时"	"zɿ22"	"zy2"		2	22		"z"	"y"	"z"	"ɿ"			
"蒔"	"莳"	"zɿ22"	"zy2"	"~秧（插秧）。"	2	22		"z"	"y"	"z"	"ɿ"			
"市"	"市"	"zɿ213"	"zy4"		4	213		"z"	"y"	"z"	"ɿ"			
"恃"	"恃"	"zɿ213"	"zy4"		4	213		"z"	"y"	"z"	"ɿ"			
"而"	"而"	"əl22"	"er2"	"【文读】"	2	22			"er"		"əl"			
"耳"	"耳"	"ȵi213"	"gni4"	"【白读】~朵；木~。"	4	213		"gn"	"i"	"ȵ"	"i"			
"耳"	"耳"	"əl213"	"er4"	"【文读】洗~恭听。"	4	213			"er"		"əl"			
"基"	"基"	"tɕi53"	"ci1"		1	53		"c"	"i"	"tɕ"	"i"			
"己"	"己"	"tɕi44"	"ci3"		3	44		"c"	"i"	"tɕ"	"i"			
"紀"	"纪"	"tɕi35"	"ci5"		5	35		"c"	"i"	"tɕ"	"i"			
"紀"	"纪"	"tɕi44"	"ci3"		3	44		"c"	"i"	"tɕ"	"i"			
"記"	"记"	"tɕi35"	"ci5"		5	35		"c"	"i"	"tɕ"	"i"			
"欺"	"欺"	"tɕʰi53"	"chi1"		1	53		"ch"	"i"	"tɕʰ"	"i"			
"起"	"起"	"tɕʰi44"	"chi3"		3	44		"ch"	"i"	"tɕʰ"	"i"			
"期"	"期"	"dʑi22"	"ji2"		2	22		"j"	"i"	"dʑ"	"i"			
"其"	"其"	"dʑi22"	"ji2"		2	22		"j"	"i"	"dʑ"	"i"			
"旗"	"旗"	"dʑi22"	"ji2"		2	22		"j"	"i"	"dʑ"	"i"			
"棋"	"棋"	"dʑi22"	"ji2"		2	22		"j"	"i"	"dʑ"	"i"			
"忌"	"忌"	"dʑi13"	"ji6"		6	13		"j"	"i"	"dʑ"	"i"			
"跽"	"跽"	"dʑi213"	"ji4"		4	213		"j"	"i"	"dʑ"	"i"			
"疑"	"疑"	"ȵi22"	"gni2"		2	22		"gn"	"i"	"ȵ"	"i"			
"喜"	"喜"	"ɕi44"	"shi3"		3	44		"sh"	"i"	"ɕ"	"i"			
"醫"	"医"	"i53"	"i1"		1	53			"i"		"i"			
"意"	"意"	"i35"	"i5"		5	35			"i"		"i"			
"已"	"已"	"i44"	"i3"		3	44			"i"		"i"			
"以"	"以"	"i44"	"i3"		3	44			"i"		"i"			
"異"	"异"	"ɦi13"	"yi6"		6	13		"y"	"i"	"ɦ"	"i"			
"幾"	"几"	"tɕi53"	"ci1"	"~乎。"	1	53		"c"	"i"	"tɕ"	"i"			
"幾"	"几"	"tɕi44"	"ci3"	"~个。"	3	44		"c"	"i"	"tɕ"	"i"			
"機"	"机"	"tɕi53"	"ci1"		1	53		"c"	"i"	"tɕ"	"i"			
"譏"	"讥"	"tɕi53"	"ci1"		1	53		"c"	"i"	"tɕ"	"i"			
"飢"	"饥"	"tɕi53"	"ci1"		1	53		"c"	"i"	"tɕ"	"i"			
"豈"	"岂"	"tɕʰi44"	"chi3"		3	44		"ch"	"i"	"tɕʰ"	"i"			
"氣"	"气"	"tɕʰi35"	"chi5"		5	35		"ch"	"i"	"tɕʰ"	"i"			
"汽"	"汽"	"tɕʰi35"	"chi5"		5	35		"ch"	"i"	"tɕʰ"	"i"			
"希"	"希"	"ɕi53"	"shi1"		1	53		"sh"	"i"	"ɕ"	"i"			
"稀"	"稀"	"ɕi53"	"shi1"		1	53		"sh"	"i"	"ɕ"	"i"			
"衣"	"衣"	"i53"	"i1"		1	53			"i"		"i"			
"依"	"依"	"i53"	"i1"		1	53			"i"		"i"			
"嘴"	"嘴"	"tsɿ44"	"tsy3"	"【白读】"	3	44		"ts"	"y"	"ts"	"ɿ"			
"隨"	"随"	"zø22"	"zoe2"		2	22		"z"	"oe"	"z"	"ø"			
"吹"	"吹"	"tsʰɿ53"	"tshy1"	"【白读】"	1	53		"tsh"	"y"	"tsʰ"	"ɿ"			
"吹"	"吹"	"tsʰø53"	"tshoe1"	"【文读】"	1	53		"tsh"	"oe"	"tsʰ"	"ø"			
"炊"	"炊"	"tsʰɿ53"	"tshy1"	"【白读】"	1	53		"tsh"	"y"	"tsʰ"	"ɿ"			
"炊"	"炊"	"tsʰø53"	"tshoe1"	"【文读】"	1	53		"tsh"	"oe"	"tsʰ"	"ø"			
"垂"	"垂"	"zø22"	"zoe2"		2	22		"z"	"oe"	"z"	"ø"			
"睡"	"睡"	"zø13"	"zoe6"		6	13		"z"	"oe"	"z"	"ø"			
"瑞"	"瑞"	"zø13"	"zoe6"		6	13		"z"	"oe"	"z"	"ø"			
"規"	"规"	"kue53"	"kue1"		1	53		"k"	"ue"	"k"	"ue"			
"詭"	"诡"	"kue44"	"kue3"		3	44		"k"	"ue"	"k"	"ue"			
"虧"	"亏"	"tɕʰy53"	"chiu1"	"【白读】幸~；吃~。"	1	53		"ch"	"iu"	"tɕʰ"	"y"			
"虧"	"亏"	"kʰue53"	"khue1"	"【文读】~本；~损。"	1	53		"kh"	"ue"	"kʰ"	"ue"			
"跪"	"跪"	"dʑy213"	"jiu4"	"【白读】"	4	213		"j"	"iu"	"dʑ"	"y"			
"跪"	"跪"	"gue213"	"gue4"	"【文读】"	4	213		"g"	"ue"	"g"	"ue"			
"危"	"危"	"ŋue22"	"ngue2"		2	22		"ng"	"ue"	"ŋ"	"ue"			
"偽"	"伪"	"βe13"	"ve6"		6	13		"v"	"e"	"β"	"e"			
"毀"	"毁"	"ɸe44"	"fe3"		3	44		"f"	"e"	"ɸ"	"e"			
"委"	"委"	"βe44"	"ve3"		3	44		"v"	"e"	"β"	"e"			
"餵"	"喂"	"y35"	"iu5"	"【白读】~饭。"	5	35			"iu"		"y"			
"餵"	"喂"	"βe35"	"ve5"	"【文读】~养；叹词。"	5	35		"v"	"e"	"β"	"e"			
"為"	"为"	"βe22"	"ve2"	"作~。"	2	22		"v"	"e"	"β"	"e"			
"為"	"为"	"βe13"	"ve6"	"因~。"	6	13		"v"	"e"	"β"	"e"			
"壘"	"垒"	"le213"	"le4"		4	213		"l"	"e"	"l"	"e"			
"類"	"类"	"le13"	"le6"		6	13		"l"	"e"	"l"	"e"			
"淚"	"泪"	"li13"	"li6"		6	13		"l"	"i"	"l"	"i"			
"醉"	"醉"	"tsø35"	"tsoe5"		5	35		"ts"	"oe"	"ts"	"ø"			
"翠"	"翠"	"tsʰø35"	"tshoe5"		5	35		"tsh"	"oe"	"tsʰ"	"ø"			
"雖"	"虽"	"sø53"	"soe1"		1	53		"s"	"oe"	"s"	"ø"			
"隧"	"隧"	"zø13"	"zoe6"		6	13		"z"	"oe"	"z"	"ø"			
"追"	"追"	"tsø53"	"tsoe1"		1	53		"ts"	"oe"	"ts"	"ø"			
"槌"	"槌"	"zɿ22"	"zy2"	"【白读】棒~。"	2	22		"z"	"y"	"z"	"ɿ"			
"鎚"	"鎚"	"zɿ22"	"zy2"	"【白读】棒~。"	2	22		"z"	"y"	"z"	"ɿ"			
"衰"	"衰"	"se53"	"se1"		1	53		"s"	"e"	"s"	"e"			
"衰"	"衰"	"tsʰe53"	"tshe1"	"乡音无改鬓毛~。"	1	53		"tsh"	"e"	"tsʰ"	"e"			
"揣"	"揣"	"tsʰe53"	"tshe1"		1	53		"tsh"	"e"	"tsʰ"	"e"			
"摔"	"摔"	"se53"	"se1"		1	53		"s"	"e"	"s"	"e"			
"帥"	"帅"	"se35"	"se5"		5	35		"s"	"e"	"s"	"e"			
"錐"	"锥"	"tsɿ53"	"tsy1"	"【白读】尖头工具：~钻。"	1	53		"ts"	"y"	"ts"	"ɿ"			
"錐"	"锥"	"tsø53"	"tsoe1"	"【文读】~体。"	1	53		"ts"	"oe"	"ts"	"ø"			
"水"	"水"	"sɿ44"	"sy3"	"【白读】"	3	44		"s"	"y"	"s"	"ɿ"			
"水"	"水"	"sø44"	"soe3"	"【文读】"	3	44		"s"	"oe"	"s"	"ø"			
"誰"	"谁"	"zø22"	"zoe2"		2	22		"z"	"oe"	"z"	"ø"			
"龜"	"龟"	"tɕy53"	"ciu1"	"【白读】乌~。"	1	53		"c"	"iu"	"tɕ"	"y"			
"龜"	"龟"	"kue53"	"kue1"	"【文读】李~年。"	1	53		"k"	"ue"	"k"	"ue"			
"龜"	"龟"	"tɕioŋ53"	"cion1"		1	53		"c"	"ion"	"tɕ"	"ioŋ"			
"軌"	"轨"	"kue44"	"kue3"		3	44		"k"	"ue"	"k"	"ue"			
"氿"	"氿"	"tɕiɤ44"	"cieu3"	"宜兴湖泊名：西~，团~，东~。"	3	44		"c"	"ieu"	"tɕ"	"iɤ"			
"癸"	"癸"	"kue44"	"kue3"		3	44		"k"	"ue"	"k"	"ue"			
"季"	"季"	"tɕi35"	"ci5"		5	35		"c"	"i"	"tɕ"	"i"			
"葵"	"葵"	"gue22"	"gue2"		2	22		"g"	"ue"	"g"	"ue"			
"櫃"	"柜"	"dʑy213"	"jiu4"	"【白读】~台。"	4	213		"j"	"iu"	"dʑ"	"y"			
"櫃"	"柜"	"gue213"	"gue4"	"【文读】"	4	213		"g"	"ue"	"g"	"ue"			
"位"	"位"	"βe13"	"ve6"		6	13		"v"	"e"	"β"	"e"			
"維"	"维"	"βi22"	"vi2"		2	22		"v"	"i"	"β"	"i"			
"唯"	"唯"	"ɦi22"	"yi2"	"【白读】~亭（江苏苏州地名）。"	2	22		"y"	"i"	"ɦ"	"i"			
"唯"	"唯"	"βi22"	"vi2"	"【文读】"	2	22		"v"	"i"	"β"	"i"			
"惟"	"惟"	"βi22"	"vi2"		2	22		"v"	"i"	"β"	"i"			
"遺"	"遗"	"ɦi22"	"yi2"		2	22		"y"	"i"	"ɦ"	"i"			
"飛"	"飞"	"ɸi53"	"fi1"		1	53		"f"	"i"	"ɸ"	"i"			
"非"	"非"	"ɸi53"	"fi1"		1	53		"f"	"i"	"ɸ"	"i"			
"匪"	"匪"	"ɸi44"	"fi3"		3	44		"f"	"i"	"ɸ"	"i"			
"妃"	"妃"	"ɸi53"	"fi1"		1	53		"f"	"i"	"ɸ"	"i"			
"費"	"费"	"ɸi35"	"fi5"	"~用。"	5	35		"f"	"i"	"ɸ"	"i"			
"費"	"费"	"ɓi35"	"pi5"	"~县（山东地名）。"	5	35		"p"	"i"	"ɓ"	"i"			
"費"	"费"	"βi13"	"vi6"	"姓。"	6	13		"v"	"i"	"β"	"i"			
"肥"	"肥"	"βi22"	"vi2"		2	22		"v"	"i"	"β"	"i"			
"肥"	"肥"	"bi22"	"bi2"	"~皂。"	2	22		"b"	"i"	"b"	"i"			
"微"	"微"	"mi22"	"mi2"	"【白读】一~~。"	2	22		"m"	"i"	"m"	"i"			
"微"	"微"	"βi22"	"vi2"	"【文读】~小；~波；~信。（注意：“微信”不可以读成“威信”。）"	2	22		"v"	"i"	"β"	"i"			
"尾"	"尾"	"mi213"	"mi4"	"【白读】"	4	213		"m"	"i"	"m"	"i"			
"尾"	"尾"	"βi213"	"vi4"	"【文读】结~。"	4	213		"v"	"i"	"β"	"i"			
"尾"	"尾"	"ȵi213"	"gni4"	"~巴。"	4	213		"gn"	"i"	"ȵ"	"i"			
"未"	"未"	"βi13"	"vi6"		6	13		"v"	"i"	"β"	"i"			
"味"	"味"	"mi13"	"mi6"	"【白读】~道。"	6	13		"m"	"i"	"m"	"i"			
"味"	"味"	"βi13"	"vi6"	"【文读】~精。"	6	13		"v"	"i"	"β"	"i"			
"歸"	"归"	"tɕy53"	"ciu1"	"【白读】姓。"	1	53		"c"	"iu"	"tɕ"	"y"			
"歸"	"归"	"kue53"	"kue1"	"【文读】~去；~纳；回~。"	1	53		"k"	"ue"	"k"	"ue"			
"鬼"	"鬼"	"tɕy44"	"ciu3"	"【白读】"	3	44		"c"	"iu"	"tɕ"	"y"			
"鬼"	"鬼"	"kue44"	"kue3"	"【文读】装神弄~；~迷心窍。"	3	44		"k"	"ue"	"k"	"ue"			
"魏"	"魏"	"ŋue13"	"ngue6"		6	13		"ng"	"ue"	"ŋ"	"ue"			
"巍"	"巍"	"ŋue22"	"ngue2"		2	22		"ng"	"ue"	"ŋ"	"ue"			
