"請同時收錄甲乙兩列字，因爲部分不是繁簡關係，只是釋義相同，謝謝！"	""	""	""	""	""
"kuei"	"kʰwɘj"	"1"	"岿"	""	""
"kuei"	"kʰwɘj"	"1"	"刲"	""	""
"kuei"	"kʰwɘj"	"1"	"悝"	""	""
"kuei"	"kʰwɘj"	"1"	"盔"	""	""
"kuei"	"kʰwɘj"	"1"	"魁"	""	""
"kuei"	"kʰwɘj"	"1"	"奎"	""	""
"kuei"	"kʰwɘj"	"3"	"跬"	""	""
"kuei"	"kʰwɘj"	"3"	"頍"	""	""
"kuei"	"kʰwɘj"	"3"	"蹞"	""	""
"kuei"	"kʰwɘj"	"3"	"𩓚"	""	""
"kuei"	"kʰwɘj"	"3"	"頯"	""	""
"kuei"	"kʰwɘj"	"3"	"傀"	""	""
"kuei"	"kʰwɘj"	"3"	"跪"	""	""
"kuei"	"kʰwɘj"	"5"	"愧"	""	""
"kuei"	"kʰwɘj"	"5"	"媿"	""	""
"kuei"	"kʰwɘj"	"5"	"騤"	""	""
"kuei"	"kʰwɘj"	"5"	"骙"	""	""
"kuei"	"kʰwɘj"	"5"	"餽"	""	""
"kuei"	"kʰwɘj"	"5"	"饋"	""	""
"kuei"	"kʰwɘj"	"5"	"馈"	""	""
"kuei"	"kʰwɘj"	"5"	"潰"	""	""
"kuei"	"kʰwɘj"	"5"	"溃"	""	""
"kuei"	"kʰwɘj"	"5"	"憒"	""	""
"kuei"	"kʰwɘj"	"5"	"愦"	""	""
"kuei"	"kʰwɘj"	"5"	"聵"	""	""
"kuei"	"kʰwɘj"	"5"	"聩"	""	""
"kuei"	"kʰwɘj"	"5"	"蕢"	""	""
"kuei"	"kʰwɘj"	"5"	"蒉"	""	""
"kuei"	"kʰwɘj"	"5"	"簣"	""	""
"kuei"	"kʰwɘj"	"5"	"篑"	""	""
"kuei"	"kʰwɘj"	"5"	"匮"	""	""
"kuei"	"kʰwɘj"	"5"	"瞶"	""	""
"kuei"	"kʰwɘj"	"5"	"瞆"	""	""
"kuei"	"kʰwɘj"	"5"	"闠"	""	""
"kuei"	"kʰwɘj"	"5"	"鞼"	""	""
"kuei"	"kʰwɘj"	"5"	"歸"	""	""
"kuei"	"kʰwɘj"	"5"	"巋"	""	""
"kuei"	"kʰwɘj"	"5"	"喟"	""	""
"uei"	"wɘj"	"1"	"威"	""	""
"uei"	"wɘj"	"1"	"葳"	""	""
"uei"	"wɘj"	"1"	"崴"	""	""
"uei"	"wɘj"	"1"	"喴"	""	""
"uei"	"wɘj"	"1"	"蝛"	""	""
"uei"	"wɘj"	"1"	"楲"	""	""
"uei"	"wɘj"	"1"	"委"	""	""
"uei"	"wɘj"	"1"	"倭"	""	""
"uei"	"wɘj"	"1"	"逶"	""	""
"uei"	"wɘj"	"1"	"萎"	""	""
"uei"	"wɘj"	"1"	"緌"	""	""
"uei"	"wɘj"	"1"	"痿"	""	""
"uei"	"wɘj"	"1"	"偎"	""	""
"uei"	"wɘj"	"1"	"煨"	""	""
"uei"	"wɘj"	"1"	"隈"	""	""
"uei"	"wɘj"	"1"	"渨"	""	""
"uei"	"wɘj"	"1"	"喂"	""	""
"uei"	"wɘj"	"1"	"揋"	""	""
"uei"	"wɘj"	"1"	"癐"	""	""
"uei"	"wɘj"	"1"	"蕤"	""	""
"uei"	"wɘj"	"1"	"甤"	""	""
"uei"	"wɘj"	"2"	"韋"	""	""
"uei"	"wɘj"	"2"	"韦"	""	""
"uei"	"wɘj"	"2"	"違"	""	""
"uei"	"wɘj"	"2"	"违"	""	""
"uei"	"wɘj"	"2"	"湋"	""	""
"uei"	"wɘj"	"2"	"褘"	""	""
"uei"	"wɘj"	"2"	"袆"	""	""
"uei"	"wɘj"	"2"	"幃"	""	""
"uei"	"wɘj"	"2"	"帏"	""	""
"uei"	"wɘj"	"2"	"闈"	""	""
"uei"	"wɘj"	"2"	"圍"	""	""
"uei"	"wɘj"	"2"	"围"	""	""
"uei"	"wɘj"	"2"	"葦"	""	""
"uei"	"wɘj"	"2"	"苇"	""	""
"uei"	"wɘj"	"2"	"帷"	""	""
"uei"	"wɘj"	"2"	"惟"	""	""
"uei"	"wɘj"	"2"	"唯"	""	""
"uei"	"wɘj"	"2"	"維"	""	""
"uei"	"wɘj"	"2"	"维"	""	""
"uei"	"wɘj"	"2"	"濰"	""	""
"uei"	"wɘj"	"2"	"潍"	""	""
"uei"	"wɘj"	"2"	"爲"	""	""
"uei"	"wɘj"	"2"	"為"	""	""
"uei"	"wɘj"	"2"	"为"	""	""
"uei"	"wɘj"	"2"	"潙"	""	""
"uei"	"wɘj"	"2"	"溈"	""	""
"uei"	"wɘj"	"2"	"沩"	""	""
"uei"	"wɘj"	"2"	"鄬"	""	""
"uei"	"wɘj"	"2"	"嵬"	""	""
"uei"	"wɘj"	"2"	"隗"	""	""
"uei"	"wɘj"	"2"	"巍"	""	""
"uei"	"wɘj"	"2"	"圩"	""	"～子"
"uei"	"wɘj"	"2"	"微"	""	""
"uei"	"wɘj"	"2"	"薇"	""	""
"uei"	"wɘj"	"2"	"危"	""	""
"uei"	"wɘj"	"2"	"鮠"	""	""
"uei"	"wɘj"	"2"	"鮰"	""	""
"uei"	"wɘj"	"2"	"桅"	""	""
"uei"	"wɘj"	"2"	"壝"	""	""
"uei"	"wɘj"	"3"	"偉"	""	""
"uei"	"wɘj"	"3"	"伟"	""	""
"uei"	"wɘj"	"3"	"葦"	""	""
"uei"	"wɘj"	"3"	"苇"	""	""
"uei"	"wɘj"	"3"	"瑋"	""	""
"uei"	"wɘj"	"3"	"玮"	""	""
"uei"	"wɘj"	"3"	"煒"	""	""
"uei"	"wɘj"	"3"	"炜"	""	""
"uei"	"wɘj"	"3"	"緯"	""	""
"uei"	"wɘj"	"3"	"纬"	""	""
"uei"	"wɘj"	"3"	"暐"	""	""
"uei"	"wɘj"	"3"	"韪"	""	""
"uei"	"wɘj"	"3"	"韡"	""	""
"uei"	"wɘj"	"3"	"委"	""	""
"uei"	"wɘj"	"3"	"諉"	""	""
"uei"	"wɘj"	"3"	"诿"	""	""
"uei"	"wɘj"	"3"	"痿"	""	""
"uei"	"wɘj"	"3"	"尾"	""	""
"uei"	"wɘj"	"3"	"娓"	""	""
"uei"	"wɘj"	"3"	"隗"	""	""
"uei"	"wɘj"	"3"	"嵬"	""	""
"uei"	"wɘj"	"3"	"寪"	""	""
"uei"	"wɘj"	"3"	"蔿"	""	""
"uei"	"wɘj"	"3"	"蒍"	""	""
"uei"	"wɘj"	"3"	"䦱"	""	""
"uei"	"wɘj"	"3"	"蘤"	""	""
"uei"	"wɘj"	"3"	"喂"	""	""
"uei"	"wɘj"	"3"	"猥"	""	""
"uei"	"wɘj"	"3"	"唯"	""	""
"uei"	"wɘj"	"3"	"趡"	""	""
"uei"	"wɘj"	"3"	"洧"	""	""
"uei"	"wɘj"	"3"	"鮪"	""	""
"uei"	"wɘj"	"3"	"鲔"	""	""
"uei"	"wɘj"	"3"	"痏"	""	""
"uei"	"wɘj"	"3"	"骫"	""	""
"uei"	"wɘj"	"3"	"薳"	""	""
"uei"	"wɘj"	"3"	"頠"	""	""
"uei"	"wɘj"	"3"	"烜"	""	""
"uei"	"wɘj"	"3"	"亹"	""	""
"uei"	"wɘj"	"3"	"沇"	""	""
"uei"	"wɘj"	"3"	"壝"	""	""
"uei"	"wɘj"	"3"	"蕊"	""	""
"uei"	"wɘj"	"3"	"蘂"	""	""
"uei"	"wɘj"	"3"	"蕋"	""	""
"uei"	"wɘj"	"3"	"繠"	""	""
"uei"	"wɘj"	"3"	"餧"	""	""
"uei"	"wɘj"	"5"	"未"	""	""
"uei"	"wɘj"	"5"	"味"	""	""
"uei"	"wɘj"	"5"	"菋"	""	""
"uei"	"wɘj"	"5"	"鮇"	""	""
"uei"	"wɘj"	"5"	"爲"	""	""
"uei"	"wɘj"	"5"	"為"	""	""
"uei"	"wɘj"	"5"	"为"	""	""
"uei"	"wɘj"	"5"	"僞"	""	""
"uei"	"wɘj"	"5"	"偽"	""	""
"uei"	"wɘj"	"5"	"伪"	""	""
"uei"	"wɘj"	"5"	"位"	""	""
"uei"	"wɘj"	"5"	"遺"	""	""
"uei"	"wɘj"	"5"	"遗"	""	""
"uei"	"wɘj"	"5"	"壝"	""	""
"uei"	"wɘj"	"5"	"畏"	""	""
"uei"	"wɘj"	"5"	"餵"	""	""
"uei"	"wɘj"	"5"	"餧"	""	""
"uei"	"wɘj"	"5"	"喂"	""	""
"uei"	"wɘj"	"5"	"胃"	""	""
"uei"	"wɘj"	"5"	"謂"	""	""
"uei"	"wɘj"	"5"	"谓"	""	""
"uei"	"wɘj"	"5"	"蝟"	""	""
"uei"	"wɘj"	"5"	"猬"	""	""
"uei"	"wɘj"	"5"	"媦"	""	""
"uei"	"wɘj"	"5"	"渭"	""	""
"uei"	"wɘj"	"5"	"尉"	""	""
"uei"	"wɘj"	"5"	"蔚"	""	""
"uei"	"wɘj"	"5"	"慰"	""	""
"uei"	"wɘj"	"5"	"霨"	""	""
"uei"	"wɘj"	"5"	"熨"	""	""
"uei"	"wɘj"	"5"	"褽"	""	""
"uei"	"wɘj"	"5"	"罻"	""	""
"uei"	"wɘj"	"5"	"魏"	""	""
"uei"	"wɘj"	"5"	"衞"	""	""
"uei"	"wɘj"	"5"	"衛"	""	""
"uei"	"wɘj"	"5"	"卫"	""	""
"uei"	"wɘj"	"5"	"躛"	""	""
"uei"	"wɘj"	"5"	"躗"	""	""
"uei"	"wɘj"	"5"	"讏"	""	""
"uei"	"wɘj"	"5"	"讆"	""	""
"uei"	"wɘj"	"5"	"𧍫"	""	""
"uei"	"wɘj"	"5"	"䗽"	""	""
"uei"	"wɘj"	"5"	"蜼"	""	""
"uei"	"wɘj"	"5"	"穢"	""	""
"uei"	"wɘj"	"5"	"秽"	""	""
"uei"	"wɘj"	"6"	"未"	""	""
"uei"	"wɘj"	"6"	"味"	""	""
"uei"	"wɘj"	"6"	"位"	""	""
"uei"	"wɘj"	"6"	"衞"	""	""
"uei"	"wɘj"	"6"	"衛"	""	""
"uei"	"wɘj"	"6"	"卫"	""	""
"zhyei"	"tɕɥɘj"	"1"	"追"	""	""
"zhyei"	"tɕɥɘj"	"1"	"鎚"	""	""
"zhyei"	"tɕɥɘj"	"1"	"隹"	""	""
"zhyei"	"tɕɥɘj"	"1"	"椎"	""	""
"zhyei"	"tɕɥɘj"	"1"	"錐"	""	""
"zhyei"	"tɕɥɘj"	"1"	"锥"	""	""
"zhyei"	"tɕɥɘj"	"1"	"鵻"	""	""
"zhyei"	"tɕɥɘj"	"1"	"騅"	""	""
"zhyei"	"tɕɥɘj"	"1"	"骓"	""	""
"zhyei"	"tɕɥɘj"	"2"	"垂"	""	""
"zhyei"	"tɕɥɘj"	"2"	"陲"	""	""
"zhyei"	"tɕɥɘj"	"2"	"箠"	""	""
"zhyei"	"tɕɥɘj"	"2"	"倕"	""	""
"zhyei"	"tɕɥɘj"	"2"	"錘"	""	""
"zhyei"	"tɕɥɘj"	"2"	"锤"	""	""
"zhyei"	"tɕɥɘj"	"2"	"捶"	""	""
"zhyei"	"tɕɥɘj"	"2"	"棰"	""	""
"zhyei"	"tɕɥɘj"	"2"	"鎚"	""	""
"zhyei"	"tɕɥɘj"	"2"	"槌"	""	""
"zhyei"	"tɕɥɘj"	"2"	"搥"	""	""
"zhyei"	"tɕɥɘj"	"2"	"椎"	""	""
"zhyei"	"tɕɥɘj"	"2"	"圌"	""	""
"zhyei"	"tɕɥɘj"	"5"	"綴"	""	""
"zhyei"	"tɕɥɘj"	"5"	"缀"	""	""
"zhyei"	"tɕɥɘj"	"5"	"餟"	""	""
"zhyei"	"tɕɥɘj"	"5"	"醊"	""	""
"zhyei"	"tɕɥɘj"	"5"	"畷"	""	""
"zhyei"	"tɕɥɘj"	"5"	"縋"	""	""
"zhyei"	"tɕɥɘj"	"5"	"缒"	""	""
"zhyei"	"tɕɥɘj"	"5"	"膇"	""	""
"zhyei"	"tɕɥɘj"	"5"	"墜"	""	""
"zhyei"	"tɕɥɘj"	"5"	"坠"	""	""
"zhyei"	"tɕɥɘj"	"5"	"隊"	""	""
"zhyei"	"tɕɥɘj"	"5"	"贅"	""	""
"zhyei"	"tɕɥɘj"	"5"	"赘"	""	""
"zhyei"	"tɕɥɘj"	"5"	"惴"	""	""
"zhyei"	"tɕɥɘj"	"5"	"硾"	""	""
"zhyei"	"tɕɥɘj"	"5"	"箠"	""	""
"zhyei"	"tɕɥɘj"	"5"	"錘"	""	""
"zhyei"	"tɕɥɘj"	"5"	"锤"	""	""
"zhyei"	"tɕɥɘj"	"5"	"菙"	""	""
"zhyei"	"tɕɥɘj"	"5"	"甀"	""	""
"zhyei"	"tɕɥɘj"	"5"	"諈"	""	""
"chyei"	"tɕʰɥɘj"	"1"	"吹"	""	""
"chyei"	"tɕʰɥɘj"	"1"	"龡"	""	""
"chyei"	"tɕʰɥɘj"	"1"	"炊"	""	""
"chyei"	"tɕʰɥɘj"	"5"	"吹"	""	""
"chyei"	"tɕʰɥɘj"	"5"	"出"	""	""
"shyei"	"ɕɥɘj"	"2"	"誰"	""	""
"shyei"	"ɕɥɘj"	"2"	"谁"	""	""
"shyei"	"ɕɥɘj"	"3"	"水"	""	""
"shyei"	"ɕɥɘj"	"3"	"𥫸"	""	""
"shyei"	"ɕɥɘj"	"5"	"稅"	""	""
"shyei"	"ɕɥɘj"	"5"	"税"	""	""
"shyei"	"ɕɥɘj"	"5"	"說"	""	""
"shyei"	"ɕɥɘj"	"5"	"説"	""	""
"shyei"	"ɕɥɘj"	"5"	"说"	""	""
"shyei"	"ɕɥɘj"	"5"	"帨"	""	""
"shyei"	"ɕɥɘj"	"5"	"蛻"	""	""
"shyei"	"ɕɥɘj"	"5"	"蜕"	""	""
"shyei"	"ɕɥɘj"	"5"	"挩"	""	""
"shyei"	"ɕɥɘj"	"5"	"捝"	""	""
"shyei"	"ɕɥɘj"	"5"	"涗"	""	""
"shyei"	"ɕɥɘj"	"5"	"涚"	""	""
"shyei"	"ɕɥɘj"	"5"	"裞"	""	""
"shyei"	"ɕɥɘj"	"5"	"睡"	""	""
"shyei"	"ɕɥɘj"	"5"	"瑞"	""	""
"shyei"	"ɕɥɘj"	"5"	"睿"	""	""
"shyei"	"ɕɥɘj"	"5"	"叡"	""	""
"yei"	"ɥɘj"	"5"	"銳"	""	""
"yei"	"ɥɘj"	"5"	"鋭"	""	""
"yei"	"ɥɘj"	"5"	"锐"	""	""
"yei"	"ɥɘj"	"5"	"睿"	""	""
"yei"	"ɥɘj"	"5"	"叡"	""	""
"bau"	"paw"	"1"	"包"	""	""
"bau"	"paw"	"1"	"胞"	""	""
"bau"	"paw"	"1"	"苞"	""	""
"bau"	"paw"	"1"	"疱"	""	""
"bau"	"paw"	"1"	"枹"	""	""
"bau"	"paw"	"1"	"鞄"	""	""
"bau"	"paw"	"1"	"襃"	""	""
"bau"	"paw"	"1"	"褒"	""	""
"bau"	"paw"	"2"	"袍"	""	""
"bau"	"paw"	"2"	"咆"	""	""
"bau"	"paw"	"2"	"庖"	""	""
"bau"	"paw"	"2"	"刨"	""	""
"bau"	"paw"	"2"	"炰"	""	""
"bau"	"paw"	"2"	"炮"	""	""
"bau"	"paw"	"2"	"跑"	""	""
"bau"	"paw"	"2"	"鞄"	""	""
"bau"	"paw"	"2"	"颮"	""	""
"bau"	"paw"	"2"	"飑"	""	""
"bau"	"paw"	"2"	"瓟"	""	""
"bau"	"paw"	"2"	"麅"	""	""
"bau"	"paw"	"2"	"麃"	""	""
"bau"	"paw"	"2"	"瓠"	""	""
"bau"	"paw"	"2"	"謈"	""	""
"bau"	"paw"	"2"	"浮"	""	""
"bau"	"paw"	"3"	"保"	""	""
"bau"	"paw"	"3"	"呆"	""	""
"bau"	"paw"	"3"	"堡"	""	""
"bau"	"paw"	"3"	"葆"	""	""
"bau"	"paw"	"3"	"緥"	""	""
"bau"	"paw"	"3"	"褓"	""	""
"bau"	"paw"	"3"	"飽"	""	""
"bau"	"paw"	"3"	"饱"	""	""
"bau"	"paw"	"3"	"寶"	""	""
"bau"	"paw"	"3"	"寳"	""	""
"bau"	"paw"	"3"	"宝"	""	""
"bau"	"paw"	"3"	"鴇"	""	""
"bau"	"paw"	"3"	"鸨"	""	""
"bau"	"paw"	"5"	"刨"	""	""
"bau"	"paw"	"5"	"鉋"	""	""
"bau"	"paw"	"5"	"铇"	""	""
"bau"	"paw"	"5"	"鑤"	""	""
"bau"	"paw"	"5"	"鮑"	""	""
"bau"	"paw"	"5"	"鲍"	""	""
"bau"	"paw"	"5"	"抱"	""	""
"bau"	"paw"	"5"	"虣"	""	""
"bau"	"paw"	"5"	"雹"	""	""
"bau"	"paw"	"5"	"菢"	""	""
"bau"	"paw"	"5"	"𣭀"	""	""
"bau"	"paw"	"5"	"𣭚"	""	""
"bau"	"paw"	"5"	"袌"	""	""
"bau"	"paw"	"5"	"齙"	""	""
"bau"	"paw"	"5"	"龅"	""	""
"bau"	"paw"	"5"	"報"	""	""
"bau"	"paw"	"5"	"报"	""	""
"bau"	"paw"	"5"	"豹"	""	""
"bau"	"paw"	"5"	"趵"	""	""
"bau"	"paw"	"5"	"暴"	""	""
"bau"	"paw"	"5"	"爆"	""	""
"bau"	"paw"	"5"	"煲"	""	""
"bau"	"paw"	"5"	"儤"	""	""
"bau"	"paw"	"5"	"瀑"	""	""
"bau"	"paw"	"6"	"抱"	""	""
"bau"	"paw"	"6"	"刨"	""	""
"bau"	"paw"	"6"	"菢"	""	""
"pau"	"pʰaw"	"1"	"抛"	""	""
"pau"	"pʰaw"	"1"	"泡"	""	"鬆軟：包子蒸得蠻～"
"pau"	"pʰaw"	"1"	"脬"	""	""
"pau"	"pʰaw"	"3"	"跑"	""	""
"pau"	"pʰaw"	"5"	"砲"	""	""
"pau"	"pʰaw"	"5"	"礮"	""	""
"pau"	"pʰaw"	"5"	"炮"	""	""
"pau"	"pʰaw"	"5"	"泡"	""	""
"pau"	"pʰaw"	"5"	"靤"	""	""
"pau"	"pʰaw"	"5"	"皰"	""	""
"pau"	"pʰaw"	"5"	"䶌"	""	""
"pau"	"pʰaw"	"5"	"疱"	""	""
"pau"	"pʰaw"	"5"	"雹"	""	""
"pau"	"pʰaw"	"5"	"𣕅"	""	""
"pau"	"pʰaw"	"5"	"𣖏"	""	""
"pau"	"pʰaw"	"5"	"奅"	""	""
"mau"	"maw"	"1"	"貓"	""	""
"mau"	"maw"	"1"	"猫"	""	""
"mau"	"maw"	"2"	"毛"	""	""
"mau"	"maw"	"2"	"牦"	""	""
"mau"	"maw"	"2"	"芼"	""	""
"mau"	"maw"	"2"	"髦"	""	""
"mau"	"maw"	"2"	"旄"	""	""
"mau"	"maw"	"2"	"矛"	""	""
"mau"	"maw"	"2"	"茅"	""	""
"mau"	"maw"	"2"	"蟊"	""	""
"mau"	"maw"	"2"	"蝥"	""	""
"mau"	"maw"	"2"	"媌"	""	""
"mau"	"maw"	"2"	"錨"	""	""
"mau"	"maw"	"2"	"锚"	""	""
"mau"	"maw"	"2"	"犛"	""	""
"mau"	"maw"	"3"	"卯"	""	""
"mau"	"maw"	"3"	"昴"	""	""
"mau"	"maw"	"3"	"泖"	""	""
"mau"	"maw"	"3"	"茆"	""	""
"mau"	"maw"	"5"	"冒"	""	""
"mau"	"maw"	"5"	"冐"	""	""
"mau"	"maw"	"5"	"帽"	""	""
"mau"	"maw"	"5"	"瑁"	""	""
"mau"	"maw"	"5"	"媢"	""	""
"mau"	"maw"	"5"	"艒"	""	""
"mau"	"maw"	"5"	"毷"	""	""
"mau"	"maw"	"5"	"眊"	""	""
"mau"	"maw"	"5"	"芼"	""	""
"mau"	"maw"	"5"	"耄"	""	""
"mau"	"maw"	"5"	"旄"	""	""
"mau"	"maw"	"5"	"貌"	""	""
"mau"	"maw"	"5"	"䫉"	""	""
"mau"	"maw"	"5"	"皃"	""	""
"mau"	"maw"	"6"	"冇"	""	"副詞，沒有"
"mau"	"maw"	"6"	"帽"	""	""
"dau"	"taw"	"1"	"刀"	""	""
"dau"	"taw"	"1"	"忉"	""	""
"dau"	"taw"	"1"	"叨"	""	""
"dau"	"taw"	"1"	"舠"	""	""
"dau"	"taw"	"2"	"桃"	""	""
"dau"	"taw"	"2"	"逃"	""	""
"dau"	"taw"	"2"	"咷"	""	""
"dau"	"taw"	"2"	"洮"	""	""
"dau"	"taw"	"2"	"駣"	""	""
"dau"	"taw"	"2"	"鼗"	""	""
"dau"	"taw"	"2"	"鞉"	""	""
"dau"	"taw"	"2"	"鞀"	""	""
"dau"	"taw"	"2"	"𤵟"	""	""
"dau"	"taw"	"2"	"匋"	""	""
"dau"	"taw"	"2"	"萄"	""	""
"dau"	"taw"	"2"	"淘"	""	""
"dau"	"taw"	"2"	"陶"	""	""
"dau"	"taw"	"2"	"啕"	""	""
"dau"	"taw"	"2"	"綯"	""	""
"dau"	"taw"	"2"	"绹"	""	""
"dau"	"taw"	"2"	"騊"	""	""
"dau"	"taw"	"2"	"掏"	""	""
"dau"	"taw"	"2"	"鋾"	""	""
"dau"	"taw"	"2"	"濤"	""	""
"dau"	"taw"	"2"	"涛"	""	""
"dau"	"taw"	"2"	"檮"	""	""
"dau"	"taw"	"2"	"梼"	""	""
"dau"	"taw"	"2"	"翿"	""	""
"dau"	"taw"	"2"	"幬"	""	""
"dau"	"taw"	"2"	"帱"	""	""
"dau"	"taw"	"2"	"燾"	""	""
"dau"	"taw"	"2"	"焘"	""	""
"dau"	"taw"	"3"	"倒"	""	""
"dau"	"taw"	"3"	"㠀"	""	""
"dau"	"taw"	"3"	"島"	""	""
"dau"	"taw"	"3"	"岛"	""	""
"dau"	"taw"	"3"	"擣"	""	""
"dau"	"taw"	"3"	"搗"	""	""
"dau"	"taw"	"3"	"捣"	""	""
"dau"	"taw"	"3"	"禱"	""	""
"dau"	"taw"	"3"	"祷"	""	""
"dau"	"taw"	"3"	"壔"	""	""
"dau"	"taw"	"3"	"裯"	""	""
"dau"	"taw"	"5"	"到"	""	""
"dau"	"taw"	"5"	"倒"	""	""
"dau"	"taw"	"5"	"道"	""	""
"dau"	"taw"	"5"	"衟"	""	""
"dau"	"taw"	"5"	"導"	""	""
"dau"	"taw"	"5"	"稻"	""	""
"dau"	"taw"	"5"	"蹈"	""	""
"dau"	"taw"	"5"	"盜"	""	""
"dau"	"taw"	"5"	"盗"	""	""
"dau"	"taw"	"5"	"幬"	""	""
"dau"	"taw"	"5"	"帱"	""	""
"dau"	"taw"	"5"	"燾"	""	""
"dau"	"taw"	"5"	"焘"	""	""
"dau"	"taw"	"5"	"翿"	""	""
"dau"	"taw"	"5"	"纛"	""	""
"dau"	"taw"	"5"	"悼"	""	""
"dau"	"taw"	"6"	"道"	""	""
"tau"	"tʰaw"	"1"	"滔"	""	""
"tau"	"tʰaw"	"1"	"韜"	""	""
"tau"	"tʰaw"	"1"	"韬"	""	""
"tau"	"tʰaw"	"1"	"縚"	""	""
"tau"	"tʰaw"	"1"	"慆"	""	""
"tau"	"tʰaw"	"1"	"幍"	""	""
"tau"	"tʰaw"	"1"	"謟"	""	""
"tau"	"tʰaw"	"1"	"叨"	""	""
"tau"	"tʰaw"	"1"	"洮"	""	""
"tau"	"tʰaw"	"1"	"挑"	""	""
"tau"	"tʰaw"	"1"	"弢"	""	""
"tau"	"tʰaw"	"1"	"絛"	""	""
"tau"	"tʰaw"	"1"	"縧"	""	""
"tau"	"tʰaw"	"1"	"绦"	""	""
"tau"	"tʰaw"	"1"	"饕"	""	""
"tau"	"tʰaw"	"1"	"䬢"	""	""
"tau"	"tʰaw"	"3"	"討"	""	""
"tau"	"tʰaw"	"3"	"讨"	""	""
"tau"	"tʰaw"	"5"	"套"	""	""
"lau"	"l̃aw"	"2"	"勞"	""	""
"lau"	"l̃aw"	"2"	"劳"	""	""
"lau"	"l̃aw"	"2"	"嘮"	""	""
"lau"	"l̃aw"	"2"	"唠"	""	""
"lau"	"l̃aw"	"2"	"癆"	""	""
"lau"	"l̃aw"	"2"	"痨"	""	""
"lau"	"l̃aw"	"2"	"撈"	""	""
"lau"	"l̃aw"	"2"	"捞"	""	""
"lau"	"l̃aw"	"2"	"𤎤"	""	""
"lau"	"l̃aw"	"2"	"澇"	""	""
"lau"	"l̃aw"	"2"	"涝"	""	""
"lau"	"l̃aw"	"2"	"牢"	""	""
"lau"	"l̃aw"	"2"	"醪"	""	""
"lau"	"l̃aw"	"2"	"潦"	""	""
"lau"	"l̃aw"	"2"	"㖿"	""	""
"lau"	"l̃aw"	"2"	"撓"	""	""
"lau"	"l̃aw"	"2"	"挠"	""	""
"lau"	"l̃aw"	"2"	"猱"	""	""
"lau"	"l̃aw"	"2"	"怓"	""	""
"lau"	"l̃aw"	"2"	"呶"	""	""
"lau"	"l̃aw"	"2"	"峱"	""	""
"lau"	"l̃aw"	"2"	"硇"	""	""
"lau"	"l̃aw"	"2"	"㺜"	""	""
"lau"	"l̃aw"	"2"	"獿"	""	""
"lau"	"l̃aw"	"2"	"臑"	""	""
"lau"	"l̃aw"	"2"	"橈"	""	""
"lau"	"l̃aw"	"3"	"老"	""	""
"lau"	"l̃aw"	"3"	"姥"	""	""
"lau"	"l̃aw"	"3"	"栳"	""	""
"lau"	"l̃aw"	"3"	"狫"	""	""
"lau"	"l̃aw"	"3"	"銠"	""	""
"lau"	"l̃aw"	"3"	"铑"	""	""
"lau"	"l̃aw"	"3"	"佬"	""	""
"lau"	"l̃aw"	"3"	"恅"	""	""
"lau"	"l̃aw"	"3"	"荖"	""	""
"lau"	"l̃aw"	"3"	"潦"	""	""
"lau"	"l̃aw"	"3"	"橑"	""	""
"lau"	"l̃aw"	"3"	"獠"	""	""
"lau"	"l̃aw"	"3"	"䝤"	""	""
"lau"	"l̃aw"	"3"	"轑"	""	""
"lau"	"l̃aw"	"3"	"䕩"	""	""
"lau"	"l̃aw"	"3"	"惱"	""	""
"lau"	"l̃aw"	"3"	"恼"	""	""
"lau"	"l̃aw"	"3"	"腦"	""	""
"lau"	"l̃aw"	"3"	"脑"	""	""
"lau"	"l̃aw"	"3"	"瑙"	""	""
"lau"	"l̃aw"	"3"	"碯"	""	""
"lau"	"l̃aw"	"5"	"勞"	""	""
"lau"	"l̃aw"	"5"	"劳"	""	""
"lau"	"l̃aw"	"5"	"澇"	""	""
"lau"	"l̃aw"	"5"	"涝"	""	""
"lau"	"l̃aw"	"5"	"憦"	""	""
"lau"	"l̃aw"	"5"	"嫪"	""	""
"lau"	"l̃aw"	"5"	"鬧"	""	""
"lau"	"l̃aw"	"5"	"閙"	""	""
"lau"	"l̃aw"	"5"	"闹"	""	""
"lau"	"l̃aw"	"5"	"淖"	""	""
"lau"	"l̃aw"	"5"	"臑"	""	""
"lau"	"l̃aw"	"5"	"橈"	""	""
"lau"	"l̃aw"	"5"	"桡"	""	""
"lau"	"l̃aw"	"5"	"撓"	""	""
"lau"	"l̃aw"	"5"	"挠"	""	""
"lau"	"l̃aw"	"5"	"獶"	""	""
"lau"	"l̃aw"	"6"	"鬧"	""	""
"lau"	"l̃aw"	"6"	"閙"	""	""
"lau"	"l̃aw"	"6"	"闹"	""	""
"lau"	"l̃aw"	"6"	"癆"	"痨"	"毒也：～藥"
"zau"	"tsaw"	"1"	"糟"	""	""
"zau"	"tsaw"	"1"	"遭"	""	""
"zau"	"tsaw"	"1"	"㯥"	""	""
"zau"	"tsaw"	"1"	"灱"	""	""
"zau"	"tsaw"	"1"	"㷮"	""	"花生、瓜子等炒得很脆"
"zau"	"tsaw"	"2"	"曹"	""	""
"zau"	"tsaw"	"2"	"漕"	""	""
"zau"	"tsaw"	"2"	"槽"	""	""
"zau"	"tsaw"	"2"	"螬"	""	""
