			中山石岐話			南蓢白話			珠海唐家話												
	禮		l	ɐi	213	l	ɐi	21	l	ɐi	21										
	濟		ts	ɐi	213	ts	ɐi	21	ts	ɐi	21	人才濟濟									
	濟		ts	ɐi	33	ts	ɐi	33	ts	ɐi	22	救濟									
	洗		s	ɐi	213	s	ɐi	21	s	ɐi	21										
	陛		p	ɐi	33	p	ɐi	33	p	ɐi	22										
	米		m	ɐi	213	m	ɐi	21	m	ɐi	21										
	米		m	ɐi	55							一米									
	帝		t	ɐi	33	t	ɐi	33	t	ɐi	22										
	嚏		tʰ	ɐi	33	tʰ	ɐi	33	tʰ	ɐi	22										
	諦		t	ɐi	33	t	ɐi	33	t	ɐi	22										
	剃		tʰ	ɐi	33	tʰ	ɐi	33	tʰ	ɐi	22										
	替		tʰ	ɐi	33	tʰ	ɐi	33	tʰ	ɐi	22										
	逮		t	ɐi	33	t	ɐi	33	t	ɐi	22										
	第		t	ɐi	33	t	ɐi	33	t	ɐi	22										
	捩		l	ɐi	33	l	ɐi	33	l	ɐi	22	琵琶撥法									
	捩		l	it	3	l	it	2	l	it	2	捩手									
	隸		t	ɐi	33	t	ɐi	33	t	ɐi	22										
	戾		l	ɵy	33	l	ɐi	33	l	ui	22										
	砌		tsʰ	ɐi	33	tsʰ	ɐi	33	tsʰ	ɐi	22										
	切		tsʰ	ɐi	33	tsʰ	ɐi	33	tsʰ	ɐi	22	一切									
	切		tsʰ	it	3	tsʰ	it	2	tsʰ	it	5	急切									
	細		s	ɐi	33	s	ɐi	33	s	ɐi	22										
	髻		k	ɐi	33	k	ɐi	33	k	ɐi	22										
	桂		kʷ	ɐi	33	kʷ	ɐi	33	k	ɐi	22										
	計		k	ɐi	33	k	ɐi	33	k	ɐi	22										
	繫		h	ɐi	33	h	ɐi	33	h	ɐi	22	聯繫									
	繫		k	ɐi	33	k	ɐi	33	k	ɐi	22	繫鞋帶									
	繼		k	ɐi	33	k	ɐi	33	k	ɐi	22										
	係		h	ɐi	33	h	ɐi	33	h	ɐi	22										
	契		kʰ	ɐi	33	kʰ	ɐi	33	kʰ	ɐi	22										
	契		s	it	3							契丹									
	絜		kʰ	it	3																
	羿		ŋ	ɐi	33	ŋ	ɐi	33	ŋ	ɐi	22										
	蕙		w	ɐi	33	w	ɐi	33	w	ɐi	22										
	系		h	ɐi	33	h	ɐi	33	h	ɐi	22										
	惠		w	ɐi	33	w	ɐi	33	w	ɐi	22										
	慧		w	ɐi	33	w	ɐi	33	w	ɐi	22										
	閉		p	ɐi	33	p	ɐi	33	p	ɐi	22										
	謎		m	ɐi	51	m	ɐi	51	m	ɐi	51										
	媲		pʰ	i	33	pʰ	i	33	pʰ	i	22										
	胎		tʰ	ɔi	55	tʰ	ɔi	45	tʰ	ui	55										
	臺		tʰ	ɔi	51	tʰ	ɔi	51	tʰ	ui	51										
	檯		tʰ	ɔi	51	tʰ	ɔi	51	tʰ	ui	51										
	苔		tʰ	ɔi	51	tʰ	ɔi	51	tʰ	ui	51	青苔									
	苔		tʰ	ɔi	55	tʰ	ɔi	45	tʰ	ui	55	舌苔									
	能		n	ɐŋ	51	n	ɐŋ	51	n	ɐŋ	51										
	來		l	ɔi	51	l	ɔi	51	l	ui	51										
	萊		l	ɔi	51	l	ɔi	51	l	ui	51										
	災		ts	ɔi	55	ts	ɔi	45	ts	ui	55										
	哉		ts	ɔi	55	ts	ɔi	45	ts	ui	55										
	栽		ts	ɔi	55	ts	ɔi	45	ts	ui	55										
	猜		tsʰ	ai	55	tsʰ	ai	45	tsʰ	ai	55										
	材		tsʰ	ɔi	51	tsʰ	ɔi	51	tsʰ	ui	51										
	財		tsʰ	ɔi	51	tsʰ	ɔi	51	tsʰ	ui	51										
	裁		tsʰ	ɔi	51	tsʰ	ɔi	51	tsʰ	ui	51										
	才		tsʰ	ɔi	51	tsʰ	ɔi	51	tsʰ	ui	51										
	鰓		s	ɔi	55	s	ɔi	45	s	ui	55										
	該		k	ɔi	55	k	ɔi	45	k	ui	55										
	賅		k	ɔi	55																
	陔		k	ɔi	55																
	開		h	ɔi	55	h	ɔi	45	h	ui	55										
	皚			ɔi	213		ɔi	21		ui	21										
	孩		h	ai	51	h	ai	51	h	ai	51										
	咳		kʰ	ɐt	5	kʰ	ɐt	5	kʰ	ɐt	5										
	咳																				
	唉			ai	55		ai	45		ai	55										
	哀			ɔi	55		ɔi	45		ui	55										
	埃			ai	55		ai	45		ai	55										
	欸																				
	等		t	ɐŋ	213	t	ɐŋ	21	t	ɐŋ	21										
	怠		tʰ	ɔi	213	tʰ	ɔi	21	tʰ	ui	21										
	待		t	ɔi	33	t	ɔi	33	t	ui	22										
	殆		tʰ	ɔi	213	tʰ	ɔi	21	tʰ	ui	21										
	迺		n	ai	213	n	ai	21													
	乃		n	ai	213	n	ai	21	n	ai	21										
	載		ts	ɔi	213	ts	ɔi	21	ts	ui	21	一年半載									
	載		ts	ɔi	33	ts	ɔi	33	ts	ui	22	記載									
	宰		ts	ɔi	213	ts	ɔi	21	ts	ui	21										
	採		tsʰ	ɔi	213	tsʰ	ɔi	21	tsʰ	ui	21										
	采		tsʰ	ɔi	213	tsʰ	ɔi	21	tsʰ	ui	21										
	彩		tsʰ	ɔi	213	tsʰ	ɔi	21	tsʰ	ui	21										
	綵		tsʰ	ɔi	213	tsʰ	ɔi	21	tsʰ	ui	21										
	在		tsʰ	ɔi	213	tsʰ	ɔi	21				白讀									
	在		ts	ɔi	33	ts	ɔi	33	ts	ui	22	文讀									
	改		k	ɔi	213	k	ɔi	21	k	ui	21										
	凱			ɔi	213		ɔi	21		ui	21										
	海		h	ɔi	213	h	ɔi	21	h	ui	21										
	亥		h	ɔi	33	h	ɔi	33	h	ui	22										
	戴		t	ai	33	t	ai	33	t	ai	22										
	態		tʰ	ai	33	tʰ	ai	33	tʰ	ai	22										
	貸		tʰ	ai	33	tʰ	ai	33	tʰ	ai	22										
	岱		t	ɔi	33	t	ɔi	33	t	ui	22										
	代		t	ɔi	33	t	ɔi	33	t	ui	22										
	袋		t	ɔi	33	t	ɔi	33	t	ui	22										
	黛		t	ɔi	33	t	ɔi	33	t	ui	22										
	耐		n	ɔi	33	n	ɔi	33	n	ui	22										
	睞		l	ɔi	33	l	ɔi	33	l	ui	22										
	再		ts	ɔi	33	ts	ɔi	33	ts	ui	22										
	菜		tsʰ	ɔi	33	tsʰ	ɔi	33	tsʰ	ui	22										
	塞		s	ɐk	5	s	ɐk	5	s	ɐk	5	塞車									
	塞		s	ɔi	33	s	ɔi	33	s	ui	22	塞外									
	賽		s	ɔi	33	s	ɔi	33	s	ui	22										
	概		kʰ	ɔi	33	kʰ	ɔi	33	kʰ	ui	22										
	慨		kʰ	ɔi	33	kʰ	ɔi	33	kʰ	ui	22										
	礙		ŋ	ɔi	33	ŋ	ɔi	33	ŋ	ui	22										
	愛			ɔi	33		ɔi	33		ui	22										
	堆		t	ui	55	t	ui	45	t	ui	55										
	敦		t	ɵn	55	t	ɐn	45	t	ɐn	55										
	敦		t	ɐn	55																
	頹		tʰ	ui	51	tʰ	ui	51	tʰ	ui	51										
	雷		l	ui	51	l	ui	51	l	ui	51										
	儡		l	ui	213	l	ui	21	l	ui	21										
	鐳		l	ui	51	l	ui	51	l	ui	51										
	崔		tsʰ	ui	55	tsʰ	ui	45	tsʰ	ui	55										
	催		tsʰ	ui	55	tsʰ	ui	45	tsʰ	ui	55										
	摧		tsʰ	ui	55	tsʰ	ui	45	tsʰ	ui	55										
	蓑		s	ɔ	55	s	ɔ	45	s	ɔ	55										
	傀		f	ai	33	f	ai	33	f	ai	22										
	恢		h	ui	55	h	ui	45	h	ui	55										
	魁		h	ui	55	h	ui	45	h	ui	55										
	盔		kʷʰ	ɐi	55	kʷʰ	ɐi	45	kʰ	ɐi	55										
	桅		w	ɐi	51	w	ɐi	51	w	ɐi	51										
	嵬		ŋ	ɐi	51	ŋ	ɐi	51	ŋ	ɐi	51										
	灰		h	ui	55	h	ui	45	h	ui	55										
	回		h	ui	51	h	ui	51	h	ui	51										
	瑰		kʷ	ɐi	33	kʷ	ɐi	33	k	ɐi	22	玫瑰									
	瑰		kʷ	ɐi	55	kʷ	ɐi	45	k	ɐi	55	瑰麗									
	洄		h	ui	51	h	ui	51	h	ui	51										
	迴		h	ui	51	h	ui	51	h	ui	51										
	徊		h	ui	51	h	ui	51	h	ui	51										
	偎			ui	55		ui	45		ui	55										
	杯		p	ui	55	p	ui	45	p	ui	55										
	盃		p	ui	55	p	ui	45	p	ui	55										
	陪		pʰ	ui	51	pʰ	ui	51	pʰ	ui	51										
	徘		pʰ	ui	51	pʰ	ui	51	pʰ	ui	51										
	培		pʰ	ui	51	pʰ	ui	51	pʰ	ui	51										
	媒		m	ui	51	m	ui	51	m	ui	51										
	莓		m	ui	51	m	ui	51	m	ui	51										
	梅		m	ui	51	m	ui	51	m	ui	51										
	枚		m	ui	51	m	ui	51	m	ui	51										
	煤		m	ui	51	m	ui	51	m	ui	51										
	腿		tʰ	ui	213	tʰ	ui	21	tʰ	ui	21										
	餒		n	ui	213	n	ui	21	n	ui	21										
	蕾		l	ui	213	l	ui	21	l	ui	21										
	璀		tsʰ	ui	55	tsʰ	ui	45	tsʰ	ui	55										
	罪		ts	ui	33	ts	ui	33	ts	ui	22										
	悔		h	ui	33	h	ui	33	h	ui	22										
	賄		h	ui	213	h	ui	21	h	ui	21										
	蓓		pʰ	ui	213	pʰ	ui	21	pʰ	ui	21										
	蓓		pʰ	ui	51																
	倍		pʰ	ui	213	pʰ	ui	21	pʰ	ui	21										
	每		m	ui	213	m	ui	21	m	ui	21										
	啡		f	ɛ	55	f	ia	45	f	ɛ	55										
	對		t	ui	33	t	ui	33	t	ui	22										
	退		tʰ	ui	33	tʰ	ui	33	tʰ	ui	22										
	隊		t	ui	33	t	ui	33	t	ui	22										
	內		n	ɔi	33	n	ɔi	33	n	ui	22										
	淬		s	ui	33	s	ui	33	s	ui	22										
	碎		s	ui	33	s	ui	33	s	ui	22										
	塊		f	ai	33	f	ai	33	f	ai	22										
	誨		h	ui	33	h	ui	33	h	ui	22										
	晦		h	ui	33	h	ui	33	h	ui	22										
	潰		kʰ	ui	213	kʰ	ui	21	kʰ	ui	21										
	潰		kʰ	ui	33	kʰ	ui	33	kʰ	ui	22										
	輩		p	ui	33	p	ui	33	p	ui	22										
	背		p	ui	33	p	ui	33	p	ui	22										
	悖		p	ui	33	p	ui	33	p	ui	22										
	珮		pʰ	ui	33	pʰ	ui	33	pʰ	ui	22										
	佩		pʰ	ui	33	pʰ	ui	33	pʰ	ui	22										
	妹		m	ui	33	m	ui	33	m	ui	22										
	妹		m	ui	55	m	ui	45	m	ui	55	妹仔									
	昧		m	ui	33	m	ui	33	m	ui	22										
	配		pʰ	ui	33	pʰ	ui	33	pʰ	ui	22										
	麟		l	ɵn	51	l	ɐn	51	l	ɐn	51										
	掄		l	ɵn	51	l	ɐn	51	l	ɐn	51										
	磷		l	ɵn	51	l	ɐn	51	l	ɐn	51										
	鄰		l	ɵn	51	l	ɐn	51	l	ɐn	51										
	輪		l	ɵn	51	l	ɐn	51	l	ɐn	51										
	論		l	ɵn	33	l	ɐn	33	l	ɐn	22										
	倫		l	ɵn	51	l	ɐn	51	l	ɐn	51										
	綸		kʷ	an	55	kʷ	an	45	k	an	55	綸巾									
	綸		l	ɵn	51	l	ɐn	51	l	ɐn	51	垂綸									
	鱗		l	ɵn	51	l	ɐn	51	l	ɐn	51										
	淪		l	ɵn	51	l	ɐn	51	l	ɐn	51										
	遵		ts	ɵn	55	ts	ɐn	45	ts	ɐn	55										
	津		ts	ɵn	55	ts	ɐn	45	ts	ɐn	55										
	竣		ts	ɵn	33	ts	ɐn	33	ts	ɐn	22										
	親		tsʰ	ɐn	55	tsʰ	ɐn	45	tsʰ	ɐn	55	親人									
	親		tsʰ	ɐn	33	tsʰ	ɐn	33	tsʰ	ɐn	22	親家									
	秦		tsʰ	ɵn	51	tsʰ	ɐn	51	tsʰ	ɐn	51										
	薪		s	ɐn	55	s	ɐn	45	s	ɐn	55										
	詢		s	ɵn	55	s	ɐn	45	s	ɐn	55										
	新		s	ɐn	55	s	ɐn	45	s	ɐn	55										
	辛		s	ɐn	55	s	ɐn	45	s	ɐn	55										
	巡		tsʰ	ɵn	51	tsʰ	ɐn	51	tsʰ	ɐn	51										
	馴		tsʰ	ɵn	51	tsʰ	ɐn	51	tsʰ	ɐn	51										
	旬		tsʰ	ɵn	51	tsʰ	ɐn	51	tsʰ	ɐn	51										
	循		tsʰ	ɵn	51	tsʰ	ɐn	51	tsʰ	ɐn	51										
	肫																				
	振		ts	ɐn	33	ts	ɐn	33	ts	ɐn	22										
	諄		ts	ɵn	55	ts	ɐn	45	ts	ɐn	55										
	真		ts	ɐn	55	ts	ɐn	45	ts	ɐn	55										
	甄		j	ɐn	55	j	ɐn	45	j	ɐn	55										
	瞋																				
	春		tsʰ	ɵn	55	tsʰ	ɐn	45	tsʰ	ɐn	55										
	淳		s	ɵn	51	s	ɐn	51	s	ɐn	51										
	醇		s	ɵn	51	s	ɐn	51	s	ɐn	51										
	辰		s	ɐn	51	s	ɐn	51	s	ɐn	51										
	臣		s	ɐn	51	s	ɐn	51	s	ɐn	51										
	宸		s	ɐn	51	s	ɐn	51	s	ɐn	51										
	純		s	ɵn	51	s	ɐn	51	s	ɐn	51										
	鶉		tsʰ	ɵn	55	tsʰ	ɐn	45	tsʰ	ɐn	55										
	晨		s	ɐn	51	s	ɐn	51	s	ɐn	51										
	身		s	ɐn	55	s	ɐn	45	s	ɐn	55										
	申		s	ɐn	55	s	ɐn	45	s	ɐn	55										
	伸		s	ɐn	55	s	ɐn	45	s	ɐn	55										
	紳		s	ɐn	55	s	ɐn	45	s	ɐn	55										
	呻		s	ɐn	55	s	ɐn	45	s	ɐn	55										
	脣		s	ɵn	51	s	ɐn	51	s	ɐn	51										
	神		s	ɐn	51	s	ɐn	51	s	ɐn	51										
	人		j	ɐn	51	j	ɐn	51	j	ɐn	51										
	仁		j	ɐn	51	j	ɐn	51	j	ɐn	51										
	鈞		kʷ	ɐn	55	kʷ	ɐn	45	k	ɐn	55										
	均		kʷ	ɐn	55	kʷ	ɐn	45	k	ɐn	55										
	因		j	ɐn	55	j	ɐn	45	j	ɐn	55										
	茵		j	ɐn	55	j	ɐn	45	j	ɐn	55										
	姻		j	ɐn	55	j	ɐn	45	j	ɐn	55										
	勻		w	ɐn	51	w	ɐn	51	w	ɐn	51										
	濱		p	ɐn	55	p	ɐn	45	p	ɐn	55										
	檳		p	ɐn	55	p	ɐn	45	p	ɐn	55										
	賓		p	ɐn	55	p	ɐn	45	p	ɐn	55										
	蘋		pʰ	ɐn	51	pʰ	ɐn	51	pʰ	ɐn	51	蘋婆									
	頻		pʰ	ɪŋ	51	pʰ	ɐŋ	51	pʰ	ɐŋ	51	蘋果									
	民		m	ɐn	51	m	ɐn	51	m	ɐn	51										
	繽		p	ɐn	55	p	ɐn	45	p	ɐn	55										
	盡		ts	ɐn	33	ts	ɐn	33	ts	ɐn	22										
	筍		s	ɐn	213	s	ɐn	21	s	ɐn	51										
	疹		tsʰ	ɐn	213	tsʰ	ɐn	21	tsʰ	ɐn	21										
	診		tsʰ	ɐn	213	tsʰ	ɐn	21	tsʰ	ɐn	21										
	准		ts	ɵn	213	ts	ɐn	21	ts	ɐn	21										
	準		ts	ɵn	213	ts	ɐn	21	ts	ɐn	21										
	賑		ts	ɐn	33	ts	ɐn	33	ts	ɐn	22										
	蠢		tsʰ	ɵn	213	tsʰ	ɐn	21	tsʰ	ɐn	21										
	腎		s	ɐn	33	s	ɐn	33	s	ɐn	22										
	腎		s	ɐn	213	s	ɐn	21	s	ɐn	21										
	盾		tʰ	ɵn	213	tʰ	ɐn	21	tʰ	ɐn	21										
	忍		j	ɐn	213	j	ɐn	21	j	ɐn	21										
	緊		k	ɐn	213	k	ɐn	21	k	ɐn	21										
	蚓		j	ɐn	213	j	ɐn	21	j	ɐn	21										
	允		w	ɐn	213	w	ɐn	21	w	ɐn	21										
	尹		w	ɐn	213	w	ɐn	21	w	ɐn	21										
	引		j	ɐn	213	j	ɐn	21	j	ɐn	21										
	臏		p	ɐn	55	p	ɐn	45	p	ɐn	55										
	藺		l	ɵn	33	l	ɐn	33	l	ɐn	22										
	遴		l	ɵn	51	l	ɐn	51	l	ɐn	51										
	吝		l	ɵn	33	l	ɐn	33	l	ɐn	22										
	進		ts	ɐn	33	ts	ɐn	33	ts	ɐn	22										
	俊		ts	ɐn	33	ts	ɐn	33	ts	ɐn	22										
	晉		ts	ɐn	33	ts	ɐn	33	ts	ɐn	22										
	駿		ts	ɐn	33	ts	ɐn	33	ts	ɐn	22										
	訊		s	ɵn	3	s	ɐn	2	s	ɐn	2										
	峻		ts	ɵn	33	ts	ɐn	33	ts	ɐn	22										
	迅		s	ɵn	3	s	ɐn	2	s	ɐn	2										
	信		s	ɵn	33	s	ɐn	33	s	ɐn	22										
	殉		s	ɵn	55	s	ɐn	45	s	ɐn	55										
	震		ts	ɐn	33	ts	ɐn	33	ts	ɐn	22										
	盹		t	ɵn	33	t	ɐn	33	t	ɐn	22										
	慎		s	ɐn	33	s	ɐn	33	s	ɐn	22										
	舜		s	ɵn	33	s	ɐn	33	s	ɐn	22										
	瞬		s	ɵn	33	s	ɐn	33	s	ɐn	22										
	順		s	ɵn	33	s	ɐn	33	s	ɐn	22										
	順																				
	仞		j	ɐn	33	j	ɐn	33	j	ɐn	22										
	閏		j	ɐn	33	j	ɐn	33	j	ɐn	22										
	刃		j	ɐn	33	j	ɐn	33	j	ɐn	22										
	認		ŋ	ɪŋ	33	ŋ	ɐŋ	33	ŋ	ɐŋ	22										
	認		j	ɐn	33	j	ɐn	33	j	ɐn	22										
	潤		j	ɐn	33	j	ɐn	33	j	ɐn	22										
	膶		j	ɐn	213																
	韌		j	ɐn	33	j	ɐn	33	j	ɐn	22	文讀									
	韌		ŋ	ɐn	33	ŋ	ɐn	33	ŋ	ɐn	22	白讀									
	印		j	ɐn	33	j	ɐn	33	j	ɐn	22										
	鬢		p	ɐn	33	p	ɐn	33	p	ɐn	22										
	栗		l	ɵt	3	l	ɐt	2	l	ɐt	2										
	律		l	ɵt	3	l	ɐt	2	l	ɐt	2										
	慄		l	ɵt	3	l	ɐt	2	l	ɐt	2										
	卒		ts	ɵt	5	ts	ɐt	5	ts	ɐt	5	士卒									
	卒		tsʰ	yt	3	tsʰ	it	2	tsʰ	yt	5	倉卒									
	唧		ts	ɪk	5	ts	ɐk	5	ts	ɐk	5										
	柒		tsʰ	ɐt	5	tsʰ	ɐt	5	tsʰ	ɐt	5										
	七		tsʰ	ɐt	5	tsʰ	ɐt	5	tsʰ	ɐt	5										
	漆		tsʰ	ɐt	5	tsʰ	ɐt	5	tsʰ	ɐt	5										
	疾		ts	ɐt	3	ts	ɐt	2	ts	ɐt	2										
	窸		s	ɪk	5	s	ɐk	5	s	ɐk	5										
	悉		s	ɪk	5	s	ɐk	5	s	ɐk	5										
	膝		s	ɐt	5	s	ɐt	5	s	ɐt	5										
	恤		s	ɵt	5	s	ɐt	5	s	ɐt	5										
	蟋		s	ɪk	5	s	ɐk	5	s	ɐk	5										
	戌		s	ɵt	5	s	ɐt	5	s	ɐt	5										
	失		s	ɐt	5	s	ɐt	5	s	ɐt	5										
	室		s	ɐt	5	s	ɐt	5	s	ɐt	5										
	朮		s	ɵt	3	s	ɐt	2	s	ɐt	2										
	實		s	ɐt	3	s	ɐt	2	s	ɐt	2										
	述		s	ɵt	3	s	ɐt	2	s	ɐt	2										
	術		s	ɵt	3	s	ɐt	2	s	ɐt	2										
	日		j	ɐt	3	j	ɐt	2	j	ɐt	2										
	橘		kʷ	ɐt	5	kʷ	ɐt	5	k	ɐt	5										
	吉		k	ɐt	5	k	ɐt	5	k	ɐt	5										
	拮		k	ɐt	5	k	ɐt	5	k	ɐt	5										
	壹		j	ɐt	5	j	ɐt	5	j	ɐt	5										
	一		j	ɐt	5	j	ɐt	5	j	ɐt	5										
	逸		j	ɐt	3	j	ɐt	2	j	ɐt	2										
	溢		j	ɐt	3	j	ɐt	2	j	ɐt	2										
	佚		j	ɐt	3	j	ɐt	2	j	ɐt	2										
	鷸		w	ɐt	3	w	ɐt	2	w	ɐt	2										
	必		p	it	5	p	it	5	p	it	5										
	畢		p	ɐt	5	p	ɐt	5	p	ɐt	5										
	謐		m	ɐt	3	m	ɐt	2	m	ɐt	2										
	蜜		m	ɐt	3	m	ɐt	2	m	ɐt	2										
	匹		pʰ	ɐt	5	pʰ	ɐt	5	pʰ	ɐt	5										
	紉		j	ɐn	33	j	ɐn	33	j	ɐn	22										
	填		tʰ	in	51	tʰ	in	51	tʰ	in	51										
	屯		tʰ	yn	51	tʰ	in	51	tʰ	yn	51										
	珍		ts	ɐn	55	ts	ɐn	45	ts	ɐn	55										
	鎮		ts	ɐn	33	ts	ɐn	33	ts	ɐn	22										
	塵		tsʰ	ɐn	51	tsʰ	ɐn	51	tsʰ	ɐn	51										
	陳		tsʰ	ɐn	51	tsʰ	ɐn	51	tsʰ	ɐn	51										
	趁		tsʰ	ɐn	33	tsʰ	ɐn	33	tsʰ	ɐn	22										
	巾		k	ɐn	55	k	ɐn	45	k	ɐn	55										
	銀		ŋ	ɐn	51	ŋ	ɐn	51	ŋ	ɐn	51										
	垠		ŋ	ɐn	51	ŋ	ɐn	51	ŋ	ɐn	51										
	份		f	ɐn	33	f	ɐn	33	f	ɐn	22										
	彬		p	ɐn	55	p	ɐn	45	p	ɐn	55										
	貧		pʰ	ɐn	51	pʰ	ɐn	51	pʰ	ɐn	51										
	岷		m	ɐn	51	m	ɐn	51	m	ɐn	51										
	閩		m	ɐn	213	m	ɐn	21	m	ɐn	21										
	隕		w	ɐn	213	w	ɐn	21	w	ɐn	21										
	憫		m	ɐn	213	m	ɐn	21	m	ɐn	21										
	敏		m	ɐn	213	m	ɐn	21	m	ɐn	21										
	窘		kʷʰ	ɐn	33	kʷʰ	ɐn	33	kʰ	ɐn	22										
	菌		kʷʰ	ɐn	213	kʷʰ	ɐn	21	kʰ	ɐn	21										
	陣		ts	ɐn	33	ts	ɐn	33	ts	ɐn	22										
	襯		tsʰ	ɐn	33	tsʰ	ɐn	33	tsʰ	ɐn	22										
	瑾		k	ɐn	213	k	ɐn	21	k	ɐn	21										
	僅		k	ɐn	213	k	ɐn	21	k	ɐn	21										
	暱		n	ɪk	5	n	ɐk	5	n	ɐk	5										
	茁		ts	yt	3	ts	it	2	ts	yt	5										
	窒		ts	ɐt	3	ts	ɐt	2	ts	ɐt	2										
	怵		ts	ɵt	5	ts	ɐt	5	ts	ɐt	5										
	秩		t	it	3	t	it	2	t	it	2										
	姪		ts	ɐt	3	ts	ɐt	2	ts	ɐt	2										
	蟀		s	ɵt	5	s	ɐt	5	s	ɐt	5										
	乙			yt	3		it	2		yt	5										
	筆		p	ɐt	5	p	ɐt	5	p	ɐt	5										
	密		m	ɐt	3	m	ɐt	2	m	ɐt	2										
	瑟		s	ɐt	5	s	ɐt	5	s	ɐt	5										
	蝨		s	ɐt	5	s	ɐt	5	s	ɐt	5										
	吞		tʰ	ɐn	55	tʰ	ɐn	45	tʰ	ɐn	55										
	跟		k	ɐn	55	k	ɐn	45	k	ɐn	55										
	根		k	ɐn	55	k	ɐn	45	k	ɐn	55										
	痕		h	ɐn	51	h	ɐn	51	h	ɐn	51										
	恩		j	ɐn	55	j	ɐn	45	j	ɐn	55										
	墾		h	ɐn	213	h	ɐn	21	h	ɐn	21										
	懇		h	ɐn	213	h	ɐn	21	h	ɐn	21										
	很		h	ɐn	213	h	ɐn	21	h	ɐn	21										
	恨		h	ɐn	33	h	ɐn	33	h	ɐn	22										
	墩		t	ɵn	55	t	ɐn	45	t	ɐn	55										
	墩		t	ɐn	55																
	燉		t	ɐn	33	t	ɐn	33	t	ɐn	22										
	臀		tʰ	yn	51	tʰ	in	51	tʰ	yn	51										
	豚		tʰ	yn	51	tʰ	in	51	tʰ	yn	51										
	沌		t	ɐn	33	t	ɐn	33	t	ɐn	22										
	尊		ts	yn	55	ts	in	45	ts	yn	55										
	村		tsʰ	yn	55	tsʰ	in	45	tsʰ	yn	55										
	蹲		ts	ɵn	55	ts	ɐn	45	ts	ɐn	55										
	蹲		t	ɵn	55	t	ɐn	45	t	ɐn	55										
	存		tsʰ	yn	51	tsʰ	in	51	tsʰ	yn	51										
	孫		s	yn	55	s	in	45	s	yn	55										
	飧																				
	昆		kʷʰ	ɐn	55	kʷʰ	ɐn	45	kʰ	ɐn	55										
	坤		kʷʰ	ɐn	55	kʷʰ	ɐn	45	kʰ	ɐn	55										
	昏		f	ɐn	55	f	ɐn	45	f	ɐn	55										
	婚		f	ɐn	55	f	ɐn	45	f	ɐn	55										
	渾		w	ɐn	51	w	ɐn	51	w	ɐn	51	渾人，雄渾									
	渾		w	ɐn	33	w	ɐn	33	w	ɐn	22	同“混”									
	溫		w	ɐn	55	w	ɐn	45	w	ɐn	55										
	奔		p	ɐn	55	p	ɐn	45	p	ɐn	55										
	盆		pʰ	un	51	pʰ	un	51	pʰ	un	51										
	門		m	un	51	m	un	51	m	un	51										
	噴		pʰ	ɐn	33	pʰ	ɐn	33	pʰ	ɐn	22										
	遁		t	ɵn	33	t	ɐn	33	t	ɐn	22										
	忖																				
	鱒		ts	yn	55	ts	in	45	ts	yn	55										
	損		s	yn	213	s	in	21	s	yn	21										
	棍		kʷ	ɐn	33	kʷ	ɐn	33	k	ɐn	22										
	混		kʷ	ɐn	213	kʷ	ɐn	21	k	ɐn	21										
	混		w	ɐn	33	w	ɐn	33	w	ɐn	22										
	穩		w	ɐn	213	w	ɐn	21	w	ɐn	21										
	本		p	un	213	p	un	21	p	un	21										
	笨		p	ɐn	33	p	ɐn	33	p	ɐn	22										
	笨		pʰ	ɐn	213	pʰ	ɐn	21	pʰ	ɐn	21	口語，厚									
	畚		f	ɐn	33	f	ɐn	33	f	ɐn	22	畚箕篸									
	畚		p	un	213	p	un	21	p	un	21										
	頓		t	ɵn	33	t	ɐn	33	t	ɐn	22										
	鈍		t	ɵn	33	t	ɐn	33	t	ɐn	22										
	嫩		n	yn	33	n	in	33	n	yn	22										
	寸		tsʰ	yn	33	tsʰ	in	33	tsʰ	yn	22										
	遜		s	ɵn	33	s	ɐn	33	s	ɐn	22										
	困		kʷʰ	ɐn	33	kʷʰ	ɐn	33	kʰ	ɐn	22										
	困		w	ɐn	33	w	ɐn	33	w	ɐn	22	白，囚禁									
	悶		m	un	33	m	un	33	m	un	22										
	咄		ts	yt	3	ts	it	2	ts	yt	2										
	突		t	ɐt	3	t	ɐt	2	t	ɐt	2										
	凸		t	ɐt	3	t	ɐt	2	t	ɐt	2										
	屑		s	it	3	s	it	2	s	it	5										
	窣		s	ɵt	5	s	ɐt	5	s	ɐt	5										
	骨		kʷ	ɐt	5	kʷ	ɐt	5	k	ɐt	5										
	滑		w	at	3	w	at	2	w	at	2										
	窟		kʷʰ	ɐt	5	kʷʰ	ɐt	5	kʰ	ɐt	5										
	窟		f	ɐt	5	f	ɐt	5	f	ɐt	5	屎窟									
	兀		ŋ	ɐt	5	ŋ	ɐt	5	ŋ	ɐt	5										
	惚		f	ɐt	5	f	ɐt	5	f	ɐt	5										
	忽		f	ɐt	5	f	ɐt	5	f	ɐt	5										
	脖		p	ut	3	p	ut	2	p	ut	2										
	渤		p	ut	3	p	ut	2	p	ut	2										
	勃		p	ut	3	p	ut	2	p	ut	2										
	沒		m	ut	3	m	ut	2	m	ut	2										
	筋		k	ɐn	55	k	ɐn	45	k	ɐn	55										
	斤		k	ɐn	55	k	ɐn	45	k	ɐn	55										
	齦		ŋ	ɐn	51	ŋ	ɐn	51	ŋ	ɐn	51										
