繁	簡	IPA	IPA無調	拼音	調值	解釋													
彗	彗	xueⁱ³²⁴	xueⁱ	huei5	324														
慧	慧	xueⁱ³²⁴	xueⁱ	huei5	324														
晦	晦	xueⁱ³²⁴	xueⁱ	huei5	324														
穢	秽	xueⁱ³²⁴	xueⁱ	huei5	324														
諱	讳	xueⁱ³²⁴	xueⁱ	huei5	324														
喙	喙	xueⁱ³²⁴	xueⁱ	huei5	324														
頮	颒	xueⁱ³²⁴	xueⁱ	huei5	324														
靧	颒	xueⁱ³²⁴	xueⁱ	huei5	324														
威	威	Ǿueⁱ⁴⁴	Ǿueⁱ	uei1	44														
葳	葳	Ǿueⁱ⁴⁴	Ǿueⁱ	uei1	44														
委	委	Ǿueⁱ⁴⁴	Ǿueⁱ	uei1	44	~蛇													
逶	逶	Ǿueⁱ⁴⁴	Ǿueⁱ	uei1	44	~迤													
萎	萎	Ǿueⁱ⁴⁴	Ǿueⁱ	uei1	44														
偎	偎	Ǿueⁱ⁴⁴	Ǿueⁱ	uei1	44														
煨	煨	Ǿueⁱ⁴⁴	Ǿueⁱ	uei1	44	~罐													
隈	隈	Ǿueⁱ⁴⁴	Ǿueⁱ	uei1	44														
巍	巍	Ǿueⁱ⁴⁴	Ǿueⁱ	uei1	44	又音													
微	微	Ǿueⁱ⁴⁴	Ǿueⁱ	uei1	44	稍~													
□		Ǿueⁱ⁴⁴	Ǿueⁱ	uei1	44	~草，水草													
委	委	Ǿueⁱ⁵¹	Ǿueⁱ	uei3	51														
諉	诿	Ǿueⁱ⁵¹	Ǿueⁱ	uei3	51	推~													
痿	痿	Ǿueⁱ⁵¹	Ǿueⁱ	uei3	51														
萎	萎	Ǿueⁱ⁵¹	Ǿueⁱ	uei3	51														
偉	伟	Ǿueⁱ⁵¹	Ǿueⁱ	uei3	51														
葦	苇	Ǿueⁱ⁵¹	Ǿueⁱ	uei3	51														
韙	韪	Ǿueⁱ⁵¹	Ǿueⁱ	uei3	51														
緯	纬	Ǿueⁱ⁵¹	Ǿueⁱ	uei3	51	文													
尾	尾	Ǿueⁱ⁵¹	Ǿueⁱ	uei3	51	新文讀													
僞	伪	Ǿueⁱ⁵¹	Ǿueⁱ	uei3	51	新													
偽	伪	Ǿueⁱ⁵¹	Ǿueⁱ	uei3	51	新													
喂	喂	Ǿueⁱ⁵¹	Ǿueⁱ	uei3	51	招呼聲													
猥	猥	Ǿueⁱ⁵¹	Ǿueⁱ	uei3	51														
唯	唯	Ǿueⁱ⁵¹	Ǿueⁱ	uei3	51	~~諾諾													
韋	韦	Ǿueⁱ³⁴	Ǿueⁱ	uei2B	34	姓氏													
違	违	Ǿueⁱ³⁴	Ǿueⁱ	uei2B	34														
危	危	Ǿueⁱ³⁴	Ǿueⁱ	uei2B	34														
回	回	Ǿueⁱ³⁴	Ǿueⁱ	uei2B	34	~門，~嘴													
穢	秽	Ǿueⁱ³⁴	Ǿueⁱ	uei2B	34	又音													
桅	桅	Ǿueⁱ³⁴	Ǿueⁱ	uei2B	34	~門艙，帆船桅杆下的船艙													
茴	茴	Ǿueⁱ³⁴	Ǿueⁱ	uei2B	34														
蛔	蛔	Ǿueⁱ³⁴	Ǿueⁱ	uei2B	34														
違	违	Ǿueⁱ³⁴	Ǿueⁱ	uei2B	34														
爲	为	Ǿueⁱ³⁴	Ǿueⁱ	uei2B	34	行~													
為	为	Ǿueⁱ³⁴	Ǿueⁱ	uei2B	34	爲俗字													
巍	巍	Ǿueⁱ³⁴	Ǿueⁱ	uei2B	34														
微	微	Ǿueⁱ³⁴	Ǿueⁱ	uei2B	34	稍~													
尉	尉	Ǿueⁱ³²⁴	Ǿueⁱ	uei5	324														
慰	慰	Ǿueⁱ³²⁴	Ǿueⁱ	uei5	324														
蔚	蔚	Ǿueⁱ³²⁴	Ǿueⁱ	uei5	324														
嵬	嵬	Ǿueⁱ³⁴	Ǿueⁱ	uei2B	34														
圍	围	Ǿueⁱ³⁴	Ǿueⁱ	uei2B	34	文，包~													
囗	围	Ǿueⁱ³⁴	Ǿueⁱ	uei2B	34	圍異體													
幃	帏	Ǿueⁱ³⁴	Ǿueⁱ	uei2B	34														
薈	荟	Ǿueⁱ³²⁴	Ǿueⁱ	uei5	324														
闈	闱	Ǿueⁱ³⁴	Ǿueⁱ	uei2B	34														
畏	畏	Ǿueⁱ³²⁴	Ǿueⁱ	uei5	324														
徊	徊	Ǿueⁱ³⁴	Ǿueⁱ	uei2B	34	又音													
帷	帷	Ǿueⁱ³⁴	Ǿueⁱ	uei2B	34	桌~													
餵	喂	Ǿueⁱ³²⁴	Ǿueⁱ	uei5	324	文													
匯	汇	ɦueⁱ²¹³	ɦueⁱ	wei6	213														
彙	汇	ɦueⁱ²¹³	ɦueⁱ	wei6	213	詞~													
會	会	ɦueⁱ²¹³	ɦueⁱ	wei6	213														
衛	卫	ɦueⁱ²¹³	ɦueⁱ	wei6	213														
惠	惠	ɦueⁱ²¹³	ɦueⁱ	wei6	213														
蕙	蕙	ɦueⁱ²¹³	ɦueⁱ	wei6	213														
慧	慧	ɦueⁱ²¹³	ɦueⁱ	wei6	213														
彗	彗	ɦueⁱ²¹³	ɦueⁱ	wei6	213														
偽	伪	ɦueⁱ²¹³	ɦueⁱ	wei6	213	老													
僞	伪	ɦueⁱ²¹³	ɦueⁱ	wei6	213	老													
穢	秽	ɦueⁱ²¹³	ɦueⁱ	wei6	213														
遺	遗	ɦueⁱ²¹³	ɦueⁱ	wei6	213	讀書音，理論白讀爲vi²¹³													
位	位	ɦueⁱ²¹³	ɦueⁱ	wei6	213														
爲	为	ɦueⁱ²¹³	ɦueⁱ	wei6	213	~嗲													
魏	魏	ɦueⁱ²¹³	ɦueⁱ	wei6	213														
緯	纬	ɦueⁱ²¹³	ɦueⁱ	wei6	213	文，經~													
韙	韪	ɦueⁱ²¹³	ɦueⁱ	wei6	213	又音													
胃	胃	ɦueⁱ²¹³	ɦueⁱ	wei6	213														
謂	谓	ɦueⁱ²¹³	ɦueⁱ	wei6	213														
猬	猬	ɦueⁱ²¹³	ɦueⁱ	wei6	213	文													
渭	渭	ɦueⁱ²¹³	ɦueⁱ	wei6	213														
繪	绘	ɦueⁱ²¹³	ɦueⁱ	wei6	213	文													
迴	回	ɦueⁱ²¹³	ɦueⁱ	wei6	213	~避													
追	追	tʃyeⁱ⁴⁴	tʃyeⁱ	ciuei1	44														
錐	锥	tʃyeⁱ⁴⁴	tʃyeⁱ	ciuei1	44	文													
隹	隹	tʃyeⁱ⁴⁴	tʃyeⁱ	ciuei1	44														
嘴	嘴	tʃyeⁱ⁵¹	tʃyeⁱ	ciuei3	51	文													
最	最	tʃyeⁱ³²⁴	tʃyeⁱ	ciuei5	324														
贅	赘	tʃyeⁱ³²⁴	tʃyeⁱ	ciuei5	324														
綴	缀	tʃyeⁱ³²⁴	tʃyeⁱ	ciuei5	324	點~													
醉	醉	tʃyeⁱ³²⁴	tʃyeⁱ	ciuei5	324														
吹	吹	tʃʰyeⁱ⁴⁴	tʃʰyeⁱ	chiuei1	44	文， ~洋泡泡													
炊	炊	tʃʰyeⁱ⁴⁴	tʃʰyeⁱ	chiuei1	44														
粹	粹	tʃʰyeⁱ³²⁴	tʃʰyeⁱ	chiuei5	324														
悴	悴	tʃʰyeⁱ³²⁴	tʃʰyeⁱ	chiuei5	324														
脆	脆	tʃʰyeⁱ³²⁴	tʃʰyeⁱ	chiuei5	324	文													
翠	翠	tʃʰyeⁱ³²⁴	tʃʰyeⁱ	chiuei5	324	文													
萃	萃	tʃʰyeⁱ³²⁴	tʃʰyeⁱ	chiuei5	324	新													
捶	捶	dʒyeⁱ¹¹³	dʒyeⁱ	jiuei2A	113	文													
錘	锤	dʒyeⁱ¹¹³	dʒyeⁱ	jiuei2A	113														
陲	陲	dʒyeⁱ¹¹³	dʒyeⁱ	jiuei2A	113														
鎚	锤	dʒyeⁱ¹¹³	dʒyeⁱ	jiuei2A	113														
槌	椎	dʒyeⁱ¹¹³	dʒyeⁱ	jiuei2A	113														
椎	椎	dʒyeⁱ¹¹³	dʒyeⁱ	jiuei2A	113														
墜	坠	dʒyeⁱ²¹³	dʒyeⁱ	jiuei6	213														
膇	膇	dʒyeⁱ²¹³	dʒyeⁱ	jiuei6	213	腳~气													
雖	虽	ʃyeⁱ⁴⁴	ʃyeⁱ	shiuei1	44	文													
綏	绥	ʃyeⁱ⁴⁴	ʃyeⁱ	shiuei1	44	文													
水	水	ʃyeⁱ⁵¹	ʃyeⁱ	shiuei3	51	文													
髓	髓	ʃyeⁱ⁵¹	ʃyeⁱ	shiuei3	51	文													
稅	税	ʃyeⁱ³²⁴	ʃyeⁱ	shiuei5	324														
說	说	ʃyeⁱ³²⁴	ʃyeⁱ	shiuei5	324	遊~													
粹	粹	ʃyeⁱ³²⁴	ʃyeⁱ	shiuei5	324														
睡	睡	ʃyeⁱ³²⁴	ʃyeⁱ	shiuei5	324	文，官話借音													
帨	帨	ʃyeⁱ³²⁴	ʃyeⁱ	shiuei5	324	~巾													
祟	祟	ʃyeⁱ³²⁴	ʃyeⁱ	shiuei5	324														
邃	邃	ʃyeⁱ³²⁴	ʃyeⁱ	shiuei5	324														
銳	锐	ʃyeⁱ³²⁴	ʃyeⁱ	shiuei5	324	又音，尖~													
隨	随	ʒyeⁱ¹¹³	ʒyeⁱ	zhiuei2A	113	文													
隋	隋	ʒyeⁱ¹¹³	ʒyeⁱ	zhiuei2A	113														
垂	垂	ʒyeⁱ¹¹³	ʒyeⁱ	zhiuei2A	113	文													
誰	谁	ʒyeⁱ¹¹³	ʒyeⁱ	zhiuei2A	113														
蕊	蕊	ʒyeⁱ²³¹	ʒyeⁱ	zhiuei4	231	花~													
□		ʒyeⁱ²³¹	ʒyeⁱ	zhiuei4	231	儲存，積蓄：~點錢建房子													
瑞	瑞	ʒyeⁱ²¹³	ʒyeⁱ	zhiuei6	213														
萃	萃	ʒyeⁱ²¹³	ʒyeⁱ	zhiuei6	213														
悴	悴	ʒyeⁱ²¹³	ʒyeⁱ	zhiuei6	213														
瘁	瘁	ʒyeⁱ²¹³	ʒyeⁱ	zhiuei6	213														
芮	芮	ʒyeⁱ²¹³	ʒyeⁱ	zhiuei6	213														
枘	枘	ʒyeⁱ²¹³	ʒyeⁱ	zhiuei6	213														
蚋	蚋	ʒyeⁱ²¹³	ʒyeⁱ	zhiuei6	213														
蜹	蚋	ʒyeⁱ²¹³	ʒyeⁱ	zhiuei6	213														
睿	睿	ʒyeⁱ²¹³	ʒyeⁱ	zhiuei6	213														
遂	遂	ʒyeⁱ²¹³	ʒyeⁱ	zhiuei6	213	文													
隧	隧	ʒyeⁱ²¹³	ʒyeⁱ	zhiuei6	213	文													
燧	燧	ʒyeⁱ²¹³	ʒyeⁱ	zhiuei6	213	文													
銳	锐	ʒyeⁱ²¹³	ʒyeⁱ	zhiuei6	213														
睡	睡	ʒyeⁱ²¹³	ʒyeⁱ	zhiuei6	213	~覺													
穗	穗	ʒyeⁱ²¹³	ʒyeⁱ	zhiuei6	213	文													
包	包	pɔ⁴⁴	pɔ	pau1	44														
苞	苞	pɔ⁴⁴	pɔ	pau1	44														
胞	胞	pɔ⁴⁴	pɔ	pau1	44	衣~之地													
孢	孢	pɔ⁴⁴	pɔ	pau1	44														
褒	褒	pɔ⁴⁴	pɔ	pau1	44														
襃	褒	pɔ⁴⁴	pɔ	pau1	44	褒古字													
煲	煲	pɔ⁴⁴	pɔ	pau1	44														
勹	包	pɔ⁴⁴	pɔ	pau1	44	說文載「包」本字，非													
保	保	pɔ⁵¹	pɔ	pau3	51														
堡	堡	pɔ⁵¹	pɔ	pau3	51														
褓	褓	pɔ⁵¹	pɔ	pau3	51														
葆	葆	pɔ⁵¹	pɔ	pau3	51														
寶	宝	pɔ⁵¹	pɔ	pau3	51														
飽	饱	pɔ⁵¹	pɔ	pau3	51														
鴇	鸨	pɔ⁵¹	pɔ	pau3	51														
報	报	pɔ³²⁴	pɔ	pau5	324														
豹	豹	pɔ³²⁴	pɔ	pau5	324														
爆	爆	pɔ³²⁴	pɔ	pau5	324	~芽，發芽；~青，返青；~糙米；~炸													
暴	暴	pɔ³²⁴	pɔ	pau5	324	~眼													
曝	曝	pɔ³²⁴	pɔ	pau5	324	~伏，大暑天把箱子裏的衣服曬曬													
趵	趵	pɔ³²⁴	pɔ	pau5	324	~突泉													
泡	泡	pʰɔ⁴⁴	pʰɔ	phau1	44	水~													
拋	抛	pʰɔ⁴⁴	pʰɔ	phau1	44														
脬	脬	pʰɔ⁴⁴	pʰɔ	phau1	44	尿~；卵~，陰囊													
□		pʰɔ⁴⁴	pʰɔ	phau1	44	滚：~下來；~軑													
泡	泡	pʰɔ³²⁴	pʰɔ	phau5	324	動詞：用水~一~													
炮	炮	pʰɔ³²⁴	pʰɔ	phau5	324	砲俗字													
砲	炮	pʰɔ³²⁴	pʰɔ	phau5	324														
疱	疱	pʰɔ³²⁴	pʰɔ	phau5	324	紫血~													
皰	疱	pʰɔ³²⁴	pʰɔ	phau5	324														
跑	疱	bɔ¹¹³	bɔ	bau2A	113														
袍	袍	bɔ¹¹³	bɔ	bau2A	113														
庖	庖	bɔ¹¹³	bɔ	bau2A	113														
狍	狍	bɔ¹¹³	bɔ	bau2A	113														
咆	咆	bɔ¹¹³	bɔ	bau2A	113														
匏	匏	bɔ¹¹³	bɔ	bau2A	113														
刨	刨	bɔ¹¹³	bɔ	bau2A	113	挖：~山芋													
鉋	铇	bɔ¹¹³	bɔ	bau2A	113	刨本字													
炮	炮	bɔ¹¹³	bɔ	bau2A	113	~製													
炰	炮	bɔ¹¹³	bɔ	bau2A	113	炮又作此													
抱	抱	bɔ²³¹	bɔ	bau4	231	本音													
抱	抱	bɔ²¹³	bɔ	bau6	213	又音													
暴	暴	bɔ²¹³	bɔ	bau6	213	~冷，~醃													
曝	曝	bɔ²¹³	bɔ	bau6	213	~光，新													
鮑	鲍	bɔ²¹³	bɔ	bau6	213														
刨	刨	bɔ²¹³	bɔ	bau6	213	~木頭；~平													
鉋	刨	bɔ²¹³	bɔ	bau6	213	刨本字													
雹	雹	bɔ²¹³	bɔ	bau6	213														
爆	爆	bɔ²¹³	bɔ	bau6	213	誤讀音，~炸													
袌	袌	bɔ²¹³	bɔ	bau6	213	~裠													
卯	卯	ʔmɔ⁵¹	ʔmɔ	mau3	51														
昴	昴	ʔmɔ⁵¹	ʔmɔ	mau3	51														
峁	峁	ʔmɔ⁵¹	ʔmɔ	mau3	51														
茆	茆	ʔmɔ⁵¹	ʔmɔ	mau3	51														
鉚	铆	ʔmɔ⁵¹	ʔmɔ	mau3	51	又音													
毛	毛	ʔmɔ³⁴	ʔmɔ	mau2B	34														
茅	茅	ʔmɔ³⁴	ʔmɔ	mau2B	34														
矛	矛	ʔmɔ³⁴	ʔmɔ	mau2B	34	文													
貓	猫	ʔmɔ³⁴	ʔmɔ	mau2B	34	~兒													
錨	锚	ʔmɔ³⁴	ʔmɔ	mau2B	34	拋~													
蟊	蟊	ʔmɔ³⁴	ʔmɔ	mau2B	34	正字應爲蝥													
蝥	蝥	ʔmɔ³⁴	ʔmɔ	mau2B	34														
髦	髦	ʔmɔ³⁴	ʔmɔ	mau2B	34	時~													
旄	旄	ʔmɔ³⁴	ʔmɔ	mau2B	34														
犛	犛	ʔmɔ³⁴	ʔmɔ	mau2B	34														
牦	牦	ʔmɔ³⁴	ʔmɔ	mau2B	34	犛異體													
氂	氂	ʔmɔ³⁴	ʔmɔ	mau2B	34														
鉚	铆	ʔmɔ³⁴	ʔmɔ	mau2B	34	~釘													
冒	冒	mɔ²¹³	mɔ	mau6	213														
帽	帽	mɔ²¹³	mɔ	mau6	213														
瑁	瑁	mɔ²¹³	mɔ	mau6	213														
貌	貌	mɔ²¹³	mɔ	mau6	213														
皃	貌	mɔ²¹³	mɔ	mau6	213														
耄	耄	mɔ²¹³	mɔ	mau6	213														
眊	眊	mɔ²¹³	mɔ	mau6	213														
毷	毷	mɔ²¹³	mɔ	mau6	213														
冃	冒	mɔ²¹³	mɔ	mau6	213	帽本字													
麼	么	mo	mo	mo0	輕聲	語气詞													
刀	刀	tɔ⁴⁴	tɔ	tau1	44														
氘	氘	tɔ⁴⁴	tɔ	tau1	44														
魛	鱽	tɔ⁴⁴	tɔ	tau1	44	~魚													
叨	叨	tɔ⁴⁴	tɔ	tau1	44	嘮~													
島	岛	tɔ⁵¹	tɔ	tau3	51														
搗	捣	tɔ⁵¹	tɔ	tau3	51														
禱	祷	tɔ⁵¹	tɔ	tau3	51														
禂	祷	tɔ⁵¹	tɔ	tau3	51														
倒	倒	tɔ⁵¹	tɔ	tau3	51	打~													
到	到	tɔ³²⁴	tɔ	tau5	324														
倒	倒	tɔ³²⁴	tɔ	tau5	324	~水；副詞													
滔	滔	tʰɔ⁴⁴	tʰɔ	thau1	44														
掏	掏	tʰɔ⁴⁴	tʰɔ	thau1	44														
搯	掏	tʰɔ⁴⁴	tʰɔ	thau1	44														
韜	韬	tʰɔ⁴⁴	tʰɔ	thau1	44														
弢	弢	tʰɔ⁴⁴	tʰɔ	thau1	44														
夲	夲	tʰɔ⁴⁴	tʰɔ	thau1	44														
叨	叨	tʰɔ⁴⁴	tʰɔ	thau1	44	~光													
慆	慆	tʰɔ⁴⁴	tʰɔ	thau1	44	~~叫													
饕	饕	tʰɔ⁴⁴	tʰɔ	thau1	44	~餮													
絛	绦	tʰɔ⁴⁴	tʰɔ	thau1	44														
縚	绦	tʰɔ⁴⁴	tʰɔ	thau1	44														
討	讨	tʰɔ⁵¹	tʰɔ	thau3	51														
套	套	tʰɔ³²⁴	tʰɔ	thau5	324														
桃	桃	dɔ¹¹³	dɔ	dau2A	113														
逃	逃	dɔ¹¹³	dɔ	dau2A	113														
淘	淘	dɔ¹¹³	dɔ	dau2A	113	~伴													
掏	掏	dɔ¹¹³	dɔ	dau2A	113	~井													
滔	滔	dɔ¹¹³	dɔ	dau2A	113														
陶	陶	dɔ¹¹³	dɔ	dau2A	113														
濤	涛	dɔ¹¹³	dɔ	dau2A	113														
燾	焘	dɔ¹¹³	dɔ	dau2A	113														
咷	咷	dɔ¹¹³	dɔ	dau2A	113	作嚎~，起鬨													
啕	啕	dɔ¹¹³	dɔ	dau2A	113														
䛬	䛬	dɔ¹¹³	dɔ	dau2A	113														
蜪	蜪	dɔ¹¹³	dɔ	dau2A	113	蜅~，四角文蛤													
萄	萄	dɔ¹¹³	dɔ	dau2A	113	水葡~，即葡萄													
稻	稻	dɔ²³¹	dɔ	dau4	231	單字音													
道	道	dɔ²¹³	dɔ	dau6	213														
稻	稻	dɔ²¹³	dɔ	dau6	213	~草													
盜	盗	dɔ²¹³	dɔ	dau6	213														
導	导	dɔ²¹³	dɔ	dau6	213	~遊													
悼	悼	dɔ²¹³	dɔ	dau6	213														
蹈	蹈	dɔ²¹³	dɔ	dau6	213														
燾	焘	dɔ²¹³	dɔ	dau6	213														
纛	纛	dɔ²¹³	dɔ	dau6	213														
孬	孬	ʔnɔ⁴⁴	ʔnɔ	nau1	44	又音													
腦	脑	ʔnɔ⁵¹	ʔnɔ	nau3	51														
匘	脑	ʔnɔ⁵¹	ʔnɔ	nau3	51	腦古字													
惱	恼	ʔnɔ⁵¹	ʔnɔ	nau3	51														
瑙	瑙	ʔnɔ⁵¹	ʔnɔ	nau3	51														
□		ʔnɔ⁵¹	ʔnɔ	nau3	51	表示給予或近指的指示詞：~，拏去|~，在箇那													
撓	挠	ʔnɔ³⁴	ʔnɔ	nau2B	34	不屈不~													
鐃	铙	ʔnɔ³⁴	ʔnɔ	nau2B	34	~鈸													
蟯	蛲	ʔnɔ³⁴	ʔnɔ	nau2B	34														
橈	桡	ʔnɔ³⁴	ʔnɔ	nau2B	34														
峱	峱	ʔnɔ³⁴	ʔnɔ	nau2B	34														
猱	猱	ʔnɔ³⁴	ʔnɔ	nau2B	34														
孬	孬	ʔnɔ³⁴	ʔnɔ	nau2B	34														
獿	獿	ʔnɔ³⁴	ʔnɔ	nau2B	34														
䛝	䛝	ʔnɔ³⁴	ʔnɔ	nau2B	34														
臑	臑	ʔnɔ³⁴	ʔnɔ	nau2B	34														
嶩	嶩	ʔnɔ³⁴	ʔnɔ	nau2B	34														
巎	巎	ʔnɔ³⁴	ʔnɔ	nau2B	34														
呶	呶	ʔnɔ³⁴	ʔnɔ	nau2B	34	表示遠指的指示詞：~，在國那													
硇	硇	ʔnɔ³⁴	ʔnɔ	nau2B	34														
䃩	硇	ʔnɔ³⁴	ʔnɔ	nau2B	34														
鬧	闹	nɔ²¹³	nɔ	nau6	213														
淖	淖	nɔ²¹³	nɔ	nau6	213														
堖	垴	nɔ²¹³	nɔ	nau6	213														
撈	捞	ʔɭɔ⁴⁴	ʔɭɔ	lau1	44	用不正當的手段取得：~錢，~後腳													
老	老	ʔɭɔ⁵¹	ʔɭɔ	lau3	51	年~													
銠	铑	ʔɭɔ⁵¹	ʔɭɔ	lau3	51														
佬	佬	ʔɭɔ⁵¹	ʔɭɔ	lau3	51														
姥	姥	ʔɭɔ⁵¹	ʔɭɔ	lau3	51														
撈	捞	ʔɭɔ³⁴	ʔɭɔ	lau2B	34	從水裏或其他液體裏取物：撈麪疙瘩													
鐒	铹	ʔɭɔ³⁴	ʔɭɔ	lau2B	34														
勞	劳	ʔɭɔ³⁴	ʔɭɔ	lau2B	34														
嘮	唠	ʔɭɔ³⁴	ʔɭɔ	lau2B	34	~叨													
澇	涝	ʔɭɔ³⁴	ʔɭɔ	lau2B	34	坐水~													
𤎤		ʔɭɔ³⁴	ʔɭɔ	lau2B	34	肚裏~𡮦													
憦	憦	ʔɭɔ³⁴	ʔɭɔ	lau2B	34	懊~													
牢	牢	ʔɭɔ³⁴	ʔɭɔ	lau2B	34														
耮	耢	ʔɭɔ³⁴	ʔɭɔ	lau2B	34	~墒溝													
嶗	崂	ʔɭɔ³⁴	ʔɭɔ	lau2B	34	~山													
蘿	萝	ʔɭɔ³⁴	ʔɭɔ	lau2B	34	又音，~蔔													
癆	痨	ɭɔ²¹³	ɭɔ	lau6	213														
澇	涝	ɭɔ²¹³	ɭɔ	lau6	213														
潦	涝	ɭɔ²¹³	ɭɔ	lau6	213	澇異體													
咯	咯	ɭɔ	ɭɔ	lau0	輕聲	相當於「了2」，又音													
遭	遭	tsɔ⁴⁴	tsɔ	tsau1	44														
糟	糟	tsɔ⁴⁴	tsɔ	tsau1	44														
朝	朝	tsɔ⁴⁴	tsɔ	tsau1	44	今~													
嘲	嘲	tsɔ⁴⁴	tsɔ	tsau1	44	嘔啞~哳													
昭	昭	tsɔ⁴⁴	tsɔ	tsau1	44														
招	招	tsɔ⁴⁴	tsɔ	tsau1	44														
釗	钊	tsɔ⁴⁴	tsɔ	tsau1	44														
沼	沼	tsɔ⁴⁴	tsɔ	tsau1	44	~气													
抓	抓	tsɔ⁴⁴	tsɔ	tsau1	44	貓兒~人													
謿	嘲	tsɔ⁴⁴	tsɔ	tsau1	44														
啁	啁	tsɔ⁴⁴	tsɔ	tsau1	44														
早	早	tsɔ⁵¹	tsɔ	tsau3	51														
棗	枣	tsɔ⁵¹	tsɔ	tsau3	51														
蚤	蚤	tsɔ⁵¹	tsɔ	tsau3	51														
澡	澡	tsɔ⁵¹	tsɔ	tsau3	51														
藻	藻	tsɔ⁵¹	tsɔ	tsau3	51														
爪	爪	tsɔ⁵¹	tsɔ	tsau3	51	腳~													
笊	笊	tsɔ⁵¹	tsɔ	tsau3	51	~籬子													
找	找	tsɔ⁵¹	tsɔ	tsau3	51														
沼	沼	tsɔ⁵¹	tsɔ	tsau3	51	又音													
竈	灶	tsɔ³²⁴	tsɔ	tsau5	324														
灶	灶	tsɔ³²⁴	tsɔ	tsau5	324	竈俗字													
珓	珓	tsɔ³²⁴	tsɔ	tsau5	324	占卜用具：聖~，陽~，覆~：陰珓													
罩	罩	tsɔ³²⁴	tsɔ	tsau5	324														
照	照	tsɔ³²⁴	tsɔ	tsau5	324														
詔	诏	tsɔ³²⁴	tsɔ	tsau5	324														
躁	躁	tsɔ³²⁴	tsɔ	tsau5	324	發~，暴~													
噪	噪	tsɔ³²⁴	tsɔ	tsau5	324														
着	着	tso	tso	tso0	輕聲	相當與「了2」，又音													
操	操	tsʰɔ⁴⁴	tsʰɔ	tshau1	44	做~													
幧	幧	tsʰɔ⁴⁴	tsʰɔ	tshau1	44														
抄	抄	tsʰɔ⁴⁴	tsʰɔ	tshau1	44	~寫，~近路；舀取													
鈔	钞	tsʰɔ⁴⁴	tsʰɔ	tshau1	44														
超	超	tsʰɔ⁴⁴	tsʰɔ	tshau1	44														
□		tsʰɔ⁴⁴	tsʰɔ	tshau1	44	腿襠下繫布：~尿布													
草	草	tsʰɔ⁵¹	tsʰɔ	tshau3	51														
艸	艸	tsʰɔ⁵¹	tsʰɔ	tshau3	51	草本字													
炒	炒	tsʰɔ⁵¹	tsʰɔ	tshau3	51														
吵	吵	tsʰɔ⁵¹	tsʰɔ	tshau3	51														
鈔	钞	tsʰɔ⁵¹	tsʰɔ	tshau3	51	~票													
糙	糙	tsʰɔ³²⁴	tsʰɔ	tshau5	324	手~													
㿷	㿷	tsʰɔ³²⁴	tsʰɔ	tshau5	324	~米													
慥	慥	tsʰɔ³²⁴	tsʰɔ	tshau5	324	脾气~													
造	造	tsʰɔ³²⁴	tsʰɔ	tshau5	324	~訪													
操	操	tsʰɔ³²⁴	tsʰɔ	tshau5	324	~事，~嘴；曹~，人名													
肏	肏	tsʰɔ³²⁴	tsʰɔ	tshau5	324	普通話借詞													
朝	朝	dzɔ¹¹³	dzɔ	dzau2A	113	~代													
潮	潮	dzɔ¹¹³	dzɔ	dzau2A	113	上~													
嘲	嘲	dzɔ¹¹³	dzɔ	dzau2A	113	出韻字													
晁	晁	dzɔ¹¹³	dzɔ	dzau2A	113														
鼂	晁	dzɔ¹¹³	dzɔ	dzau2A	113														
𪓙	晁	dzɔ¹¹³	dzɔ	dzau2A	113														
趙	赵	dzɔ²¹³	dzɔ	dzau6	213														
兆	兆	dzɔ²¹³	dzɔ	dzau6	213														
肇	肇	dzɔ²¹³	dzɔ	dzau6	213														
造	造	dzɔ²¹³	dzɔ	dzau6	213	~七~八，亂猜亂說													
召	召	dzɔ²¹³	dzɔ	dzau6	213														
燒	烧	sɔ⁴⁴	sɔ	sau1	44														
梢	梢	sɔ⁴⁴	sɔ	sau1	44	長~木頭													
捎	捎	sɔ⁴⁴	sɔ	sau1	44														
艄	艄	sɔ⁴⁴	sɔ	sau1	44	船~													
筲	筲	sɔ⁴⁴	sɔ	sau1	44														
臊	臊	sɔ⁴⁴	sɔ	sau1	44	~臭													
繅	缫	sɔ⁴⁴	sɔ	sau1	44	~絲廠													
騷	骚	sɔ⁴⁴	sɔ	sau1	44														
搔	搔	sɔ⁴⁴	sɔ	sau1	44														
㥰	㥰	sɔ⁴⁴	sɔ	sau1	44														
少	少	sɔ⁵¹	sɔ	sau3	51	多~													
嫂	嫂	sɔ⁵¹	sɔ	sau3	51														
掃	扫	sɔ⁵¹	sɔ	sau3	51														
少	少	sɔ³²⁴	sɔ	sau5	324	老~													
掃	扫	sɔ³²⁴	sɔ	sau5	324	~帚													
哨	哨	sɔ³²⁴	sɔ	sau5	324														
潲	潲	sɔ³²⁴	sɔ	sau5	324	斜風~雨													
䴛	䴛	sɔ³²⁴	sɔ	sau5	324	鹹													
稍	稍	sɔ³²⁴	sɔ	sau5	324	~微													
肖	肖	sɔ³²⁴	sɔ	sau5	324	生~													
燥	燥	sɔ³²⁴	sɔ	sau5	324	乾~，天色~													
噪	噪	sɔ³²⁴	sɔ	sau5	324														
譟	噪	sɔ³²⁴	sɔ	sau5	324														
喿	噪	sɔ³²⁴	sɔ	sau5	324														
