字	声母	韵母	调值	備註	陰平54 陰上32 陰去52 陰入2  陽平24 陽去21 陽入4		
尝	ɬ	yøŋ	24				
尤	0	iu	24				
尧	k	ieu	24				
就	ts	iu	21				
尸	ɬ	i	54				
尹	0	yŋ	32				
尺	tsʰ	e/ieu/iʔ	54/21/2	文讀，白讀，民間樂譜。			
尻	k	ɒ	54	尻川。			
尼	n	i	24				
尽	ts	iŋ	21				
局	k	yøʔ	4				
屁	pʰ	ui	52				
层	ts	ɛŋ	24				
居	k	y	54				
屆	k	ai	52				
届	k	ai	52				
屋	0	ɒʔ	2				
屍	ɬ	i	54				
屎	ɬ	ai	32				
屏	p	iŋ	24				
屐	k	ya	24	柴屐：木屐。			
屑	ɬ	uoʔ	2	鋸屑：鋸末。			
展	tʰ	ɛŋ	32				
屡	l	ui/y	32	屢教不改，屢屢：連。			
屢	l	ui/y	32	屢教不改，屢屢：連。			
層	ts	ɛŋ	24				
山	ɬ	uã/aŋ	54				
屿	ɬ	y	21				
岁	h/ɬ	uoi	52				
岂	kʰ	i	32				
岑	kʰ	iŋ	24				
岔	tsʰ	ɒ/a	54				
岗	k	ɒŋ	54				
岚	l	aŋ	24				
岡	k	ɒŋ	54				
岫	ɬ	iu	52				
岱	t	ai	21				
岳	k	aʔ	4				
岸	h/ŋ	uã/aŋ	21				
峡	k	ieʔ	2				
峦	l	uoŋ	24				
峻	ts	uoŋ	52				
峽	k	ieʔ	2				
崇	ts	ɒŋ	24				
崔	tsʰ	uoi	54				
崗	k	ɒŋ	54				
崩	p	aŋ/ɛŋ	54				
嵌	kʰ	aŋ	52				
嵐	l	aŋ	24				
嵩	ɬ	iŋ/ɒŋ	54	嵩重：嚴重，嵩口。			
嶺	l/n	iŋ/iã	32				
嶼	ɬ	y	21				
巍	k	ui	24				
巒	l	uoŋ	24				
川	tsʰ	yøŋ	54				
州	ts	iu	54				
巡	ɬ	uoŋ	24				
巧	kʰ	ieu/au	32	文讀，聰明靈俐。			
巨	k	y	21				
巩	kʰ	yøŋ	32				
差	tsʰ	a	54				
已	0	i	32				
巳	ɬ	i/o	21				
巴	p	a	54				
巷	h	aŋ	21				
巾	k	yŋ	54				
币	p	e	21				
市	ɬ/tsʰ	i	21	買，白讀。			
帅	ɬ	uoi	52				
帆	h/pʰ	aŋ	24				
师	ɬ	ai/o	54	文讀，師傅。			
帊	pʰ	ɒ	52	口袋。			
希	h	i	54				
帖	tʰ	e/ieʔ	21/2				
帚	ɬ	iu	32				
帛	p	ɛʔ	4				
帝	t	e	52				
帥	ɬ	uoi	52				
带	t	ua/ai	52				
師	ɬ	ai/o	54	文讀，師傅。			
帬	k	uoŋ	24				
席	ɬ	iʔ	4				
帮	p	ŋ/aŋ	54	單字讀，幫貼。			
帳	t	iũ/yøŋ	52				
帶	t	ua/ai	52				
帷	p	i	24				
常	ɬ	yøŋ	24				
帽	p	o/ɒ	21	帽山：地名，白讀。			
幅	h/p	aʔ/ɒʔ	2	文讀，幅布。			
幔	m	aŋ	21				
幣	p	e	21				
幫	p	ŋ/aŋ	54	單字讀，幫貼。			
干	k	ã/uã/aŋ	54/32	人名，白讀，天干地支。			
年	n	iŋ/ɛŋ	24				
幹	k	aŋ	52	幹勁。			
幻	h	uoŋ	21				
幽	0	iu	54				
庆	kʰ	iŋ	52				
庇	p	i	52				
床	tsʰ	ŋ/ɒŋ	24	文讀，桌子。			
序	ɬ	y	21				
庐	l	ɔu	24				
库	kʰ	ɔu	52				
应	0	iŋ	54	應該。			
底	t	e	32				
庖	p	u	24				
店	t	ĩ	52				
庙	p	ieu	21				
庚	k	ã/ɛŋ	54				
府	h	u	32				
庞	m/pʰ	aŋ	24	單字讀，姓。			
度	t	ɔu	21				
座	ts	o/ɒʔ	21/2				
庫	kʰ	ɔu	52				
庵	0	aŋ	54				
庸	0	yøŋ	24				
廁	tsʰ	ɛʔ	2				
廂	ɬ	iũ/yøŋ	54				
廈	0/h	ɒ/a	21	文讀，廈門。			
廉	l	ieŋ	24				
廊	l	ɒŋ	24				
廓	k	ɒʔ	2				
廚	t/tsʰ	iu/y	24	廚，櫥。			
廟	p	ieu	21				
廠	tsʰ	iũ/yøŋ	32				
廢	h	e	52				
廣	k	ŋ/ɒŋ	32	文讀，廣東。			
廬	l	ɔu	24				
廳	tʰ	iã	54				
延	0	ɛŋ	24				
廷	t	ɛŋ	24				
建	k	yøŋ	52				
弄	l	aŋ	21				
弊	p	e	21				
弋	0	iʔ	4				
式	ɬ	iʔ	2				
弓	k	yøŋ	54				
弔	t	ieu	52				
引	0	iŋ	32				
弘	h	ɒŋ	24				
弟	t	i/e	21				
张	t	iu/iũ/yøŋ	54	文讀，姓，量詞。			
弥	p	i	24				
弧	0/h	ɔu	24				
弯	0	uoŋ	54				
弱	ts/tsʰ	yøʔ/ya	4/24				
張	t	iu/iũ/yøŋ	54	文讀，姓，量詞。			
強	k	iũ/yøŋ	24	強壯，略強。			
强	k	iũ/yøŋ	24	強壯，略強。			
弼	p	iʔ	4				
彀	k	au	52				
彌	p	i	24				
彎	0	uoŋ	54				
归	k	ui	54				
录	l	yøʔ	4				
形	h	iŋ	24				
彥	ŋ	ieŋ	21				
彩	tsʰ	ai	32				
彪	p	iu	54				
彫	t	ieu	54				
彬	p	iŋ	54				
彭	pʰ	ã	24	姓。			
彰	ts	yøŋ	54				
影	0	iã/ŋ/iŋ	32	文讀，人影，電影。			
役	0	yʔ	4				
彻	t	ɛʔ	2				
彼	p	i	32				
彿	h	uoʔ	2				
征	ts	iŋ	54	長征。			
径	k	iŋ	52				
待	t	ai	21				
後	h	ieu	21				
徐	ɬ	y	24				
徑	k	iŋ	52				
徒	t	ɔu	24				
徕	l	ai	24				
得	t	ɛʔ	2				
徙	ɬ	ai/o	54/32	遷徙，移。			
徛	kʰ	ya	21	站立。			
從	ts	ɒŋ/yøŋ	24				
徠	l	ai	24				
御	k	y	32				
循	ɬ	uoŋ	24				
微	p	i	24				
徵	t	iŋ	54	特徵。			
德	t	ɛʔ	2				
徹	t	ɛʔ	2				
徽	h	ui	54				
心	ɬ	iŋ	54				
必	p	iʔ	2				
忆	0	i	52				
忌	k	i	21				
志	ts	i	52				
忙	m	ɒŋ	24				
忝	tʰ	ieŋ	32	厲害、氣大忝：嚴重。			
念	n	ieŋ	21				
忽	h	uoʔ	2				
态	tʰ	ai	52				
怕	pʰ	a	52				
怖	p	ɔu	52				
怙	h	ɔu	21				
怠	t	ai	21				
怡	0	i	24				
急	k	iʔ	2				
性	ɬ	ã/iŋ	52				
怯	kʰ	yøʔ	2				
恃	ɬ	i	21				
恆	0/h	ɛŋ	24	單字讀，緊、不松。			
恐	kʰ	yøŋ	32				
恒	0/h	ɛŋ	24	單字讀，緊、不松。			
恕	ɬ	y	52				
恢	kʰ	uoi	54				
恣	ts	o	52				
恤	h	yøʔ	2				
恥	tʰ	i	32				
恨	h	yŋ	21				
恩	0	yŋ	54				
恬	t	ieŋ	24				
恭	k	yøŋ	54				
息	ɬ	iʔ	2				
恰	kʰ	aʔ	2				
恳	kʰ	yŋ	32				
恻	tsʰ	ɛʔ	2				
恼	n	o/ɒ	32	文讀，煩惱。			
悅	0	yøʔ	4				
悉	ɬ	iʔ	2				
悌	t	e/i	21				
悍	h	aŋ	21				
悔	h	uoi	32				
悟	k	ɔu	21				
悠	h	iu	54				
悬	h	ĩ/yøŋ	24	文讀，懸蚊帳，高。			
悯	m	iŋ	32				
悲	p	i	54				
悸	k	i	52				
悼	t	ɒ	21				
情	ts	iã/iŋ	24	文讀，人情。			
惑	h	ɛʔ	4				
惕	tʰ	ɛʔ	2				
惘	m	ŋ/ɒŋ	32	文讀，惘行：隨便走。			
惜	ɬ	ieu/iʔ	21/2	文讀，疼愛。			
惟	p	i	24				
惠	h	i/e	21	單字讀，惠安。			
惡	0	o/ɒʔ	21/2	兇惡，惡做：不易。			
惧	k	y	21				
惨	tsʰ	aŋ	32				
惩	t	iŋ	24				
惬	kʰ	ɛʔ	2	不舒服。			
惭	ts	aŋ	24				
惯	k	ĩ/uoŋ	52	文讀，習慣。			
惱	n	o/ɒ	32	文讀，煩惱。			
想	ɬ	yøŋ	32				
惻	tsʰ	ɛʔ	2				
愁	tsʰ	ieu	24				
愈	ts	y	32				
愉	ts	y	24				
意	0	i	52				
愚	k	y	24				
愛	0	ai	52				
愜	kʰ	ɛʔ	2	不舒服。			
感	k	aŋ	32				
愠	0	uoŋ	52				
愤	h	uoŋ	21				
愧	kʰ	ui	52				
慈	ts	o	24				
態	tʰ	ai	52				
慍	0	uoŋ	52				
慎	ɬ	iŋ	21				
慕	p	ɔu	21				
慘	tsʰ	aŋ	32				
慚	ts	aŋ	24				
慢	m	ɛŋ/aŋ	21				
慣	k	ĩ/uoŋ	52	文讀，習慣。			
慧	h	e	21				
慨	kʰ	ai	52				
慮	l	y	21				
慰	0	ui	52				
慶	kʰ	iŋ	52				
慷	kʰ	ɒŋ	54				
憂	0	iu	54				
憎	ts	ɛŋ	54				
憐	l	ɛŋ	24				
憑	p	iã/iŋ	24	文讀，依樣。			
憤	h	uoŋ	21				
憫	m	iŋ	32				
憲	h	yøŋ	52				
憶	0	i	52				
懂	t	ɒŋ	32				
懇	kʰ	yŋ	32				
懈	h	ai	21				
懒	l	aŋ	32				
懛	t	ai	54	原作呆。			
懲	t	iŋ	24				
懷	h	uoi	24				
懸	h	ĩ/yøŋ	24	文讀，懸蚊帳，高。			
懺	tsʰ	ieŋ/aŋ	52				
懼	k	y	21				
戀	l	yøŋ	21				
戈	k/kʰ	ɒ	54	干戈，量詞。			
戊	p	ɔu	21				
戌	ɬ	uoʔ	2				
戎	ts	yøŋ	24				
戏	h	i	52				
成	ɬ	iã/iŋ	24	文讀，做成，出嫁。			
戒	k	ai	52				
或	h	ɛʔ	4				
战	ts	ɛŋ	52				
戚	tsʰ	iʔ	2				
戟	kʰ	iʔ	2				
戮	l	yøʔ	4				
戰	ts	ɛŋ	52				
戲	h	i	52				
戴	t	i/ø/ai	52	文讀，姓，戴帽。			
戶	h	ɔu	21				
戸	h	ɔu	21				
所	ɬ	ø	32				
扇	ɬ	aŋ/iŋ	52				
手	ɬ/tsʰ	iu	32				
扎	ts	aʔ	4/2	駐紮，扎針。			
扑	pʰ	ɒʔ	2				
扛	k	ŋ/ɒŋ	54	文讀，抬。			
扞	h	uã	21	原作按。			
执	ts	iʔ	2				
扬	0/tsʰ	yøŋ/iũ	24	文讀，揚穀。			
扭	n	iu	32				
扯	tsʰ	e	32	平扯：相等。			
扶	h/pʰ	u/ɔu	24	文讀，蔗扶：舊蔗坊。			
批	pʰ	e	54				
承	ɬ	iŋ	24				
技	k	i	21				
抄	tsʰ	ieu/au	54	單字讀，抄家。			
把	p	ɒ/a	32				
抑	0	iʔ	2				
抓	ts	ua	54				
投	t	au/ieu	24				
抖	t	ieu	21/32	抖擻，發抖。			
折	ts	ɛʔ	2				
抚	h	u	32				
护	0/h	ɔu	21	文讀，偏袒。			
报	p	o/ɒ	52				
抱	pʰ	o/au	21	懷抱，白讀。			
抵	t	e	32				
抹	m/p	aʔ/ua	2/21	單字讀，抹藥。			
押	0	ɒ/aʔ	21/2				
抽	tʰ	iu	54				
拂	h	uoʔ	2				
拄	ts	y	21				
拇	p	o	32				
拈	n	iŋ/ieŋ	54				
拉	l	a	24/54	拖拉，拉開，拉屎。			
拋	pʰ	au	54				
拍	pʰ	a/ɛʔ	21/52/2	拍照，文讀，打。			
拎	l	ɛŋ	24				
拒	k	y	21				
拕	tʰ	ua/ɒ	54				
拗	0	au	52/32	折，拗人：陶氣、壞，折斷。			
拘	kʰ	y	54				
拙	ts/tsʰ	uoʔ/yøʔ	2				
招	ts	ieu	54				
拜	p	ai	52				
拟	k	i	32				
拣	k	ĩ	32	選。			
拥	0	yøŋ	52				
拦	l	aŋ	24				
拨	p	ua/uoʔ	21/2				
括	k	uoʔ	2				
拭	tsʰ	iʔ	2				
拯	ts	iŋ	32				
拱	k	ɒŋ	32				
拼	pʰ	iŋ	21/54	拼湊，拼音。			
拾	ɬ	ieʔ/iʔ	4				
持	t	i	24				
指	k/ts	i	32	文讀，動詞，名詞：手指。			
按	0	aŋ	52				
挐	l	y	24	雜亂。原作本字不明。			
挑	tʰ	ieu	32/54	挑擔，挑戰。			
挚	ts	iʔ	2				
挛	l	uoŋ	24				
挟	h	ieʔ	4				
挡	t	ɒŋ	52				
挥	h	ui	54				
挫	tsʰ	ɒ	52				
振	ts	iŋ	32				
挹	0	iʔ	2				
挺	tʰ	ɛŋ	32				
挾	h	ieʔ	4				
捀	pʰ	aŋ	24	原作捧。			
捉	tsʰ	yøʔ	2				
捋	l	ua	24	捋頭：梳頭。			
捍	h	aŋ	21				
捏	n	ieʔ	2				
捕	p	ɔu	32				
捧	pʰ	ɒŋ	32				
捨	ɬ	ia	32	割捨。			
捷	ts	ieʔ	4				
捺	n	aʔ	4				
掀	h	yŋ/ɛŋ	54	掀蓋，單字讀。			
授	ɬ	iu	21				
掌	ts	yøŋ	32				
排	p	e/ai	24				
掘	k	uoʔ	4				
掛	k	ua	52				
採	tsʰ	ai	32				
接	ts	i/ieʔ	21/2				
掩	0	ieŋ	32				
措	tsʰ	ɔu	52	措施。			
掷	t	iʔ	2				
掺	tsʰ	aŋ	54				
揀	k	ĩ	32	選。			
揉	ts	iu	24				
描	p	ieu	24				
提	t	e	24				
插	tsʰ	ɒ/aʔ	21/2				
揖	0	iʔ	2				
揚	0/tsʰ	yøŋ/iũ	24	文讀，揚穀。			
換	0/h	yã/uoŋ	21/52				
揭	k	ieʔ	2				
揮	h	ui	54				
援	0	yøŋ	24				
揽	l/n	aŋ	32				
損	ɬ	yøŋ	32				
搖	0	ieu	24				
摄	ɬ	ɛʔ	2				
摊	tʰ	uã/aŋ	54	文讀，擺攤。			
摒	p	iã/iŋ	52	文讀，全部倒掉。			
摘	t	ɛʔ	2				
摧	tsʰ	uoi	54				
摩	m	ɒ	24				
摭	kʰ	aʔ/ieu	2/21	揀拾，拾、揀。			
摯	ts	iʔ	2				
摻	tsʰ	aŋ	54				
撆	p/pʰ	i/ɛʔ	21/2	文讀，挽袖子。			
撇	p/pʰ	i/ɛʔ	21/2	文讀，挽袖子。			
撈	l	au	54				
撕	ɬ	i	54	扯。			
撘	t	ɒ/aʔ	21/2				
撚	n	ieŋ	32				
撥	p	ua/uoʔ	21/2				
撫	h	u	32				
播	p	ɒ	52/54	傳播，文讀，播秧苗。			
撰	ts	uoŋ	21				
撲	pʰ	ɒʔ	2				
撼	h	aŋ	52				
擁	0	yøŋ	52				
擂	l	ui	21	擂臺。			
擅	ɬ	ɛŋ	21				
擇	ts	ɛʔ	4				
擊	kʰ	iʔ	2				
擋	t	ɒŋ	52				
操	tsʰ	au/ɒ	54	操勞，早操。			
擒	kʰ	iŋ	24				
擔	t	ɒ̃/aŋ	54	負擔，擔米：動詞。			
據	k	y	52				
擣	t	ɒ	32				
擬	k	i	32				
擲	t	iʔ	2				
擺	p	ai	32				
擾	ts	ieu	24				
攀	pʰ	aŋ	54				
攂	l	ui	21	擂臺。			
攃	tsʰ	ø/aʔ	52/2	文讀，重擦。			
攔	l	aŋ	24				
攜	h	e	24				
攝	ɬ	ɛʔ	2				
攣	l	uoŋ	24				
攤	tʰ	uã/aŋ	54	文讀，擺攤。			
攪	k	au	32				
攬	l/n	aŋ	32				
支	k/ts	i	54				
收	ɬ	iu	54				
改	k	ø/ai	32				
放	h/p	ɒŋ/aŋ	52				
政	ts	iŋ	52				
故	k	ɔu	52				
效	h	au	21				
敍	ɬ	y	21				
敏	m	iŋ	32				
敗	p	ai	21				
敘	ɬ	y	21				
教	k	ɒ/au	52				
敝	p	e	52				
敢	k	ɒ̃/aŋ	32				
散	ɬ	uã/aŋ	52	分散，白讀。			
敦	t	uoŋ	54				
敬	k	iŋ	52				
数	ɬ	ɔu	32				
整	ts	iŋ	32				
敵	t	ɛʔ	4				
敷	h	u	54				
數	ɬ	ɔu	32				
斃	p	e	21				
文	m	uoŋ	24				
斌	p	iŋ	54				
斑	p	aŋ	54				
斗	t	au/ieu	32	北斗，穀鬥。			
斛	h	aʔ	4				
斜	ɬ/tsʰ	ia/ya	24				
斟	ts	iŋ	54	吻。			
斠	k	au	52	提鬥。			
斤	k	yŋ	54				
斥	tsʰ	iʔ	2				
斧	h/p	u/ɔu	32				
斩	ts	aŋ	32				
斬	ts	aŋ	32				
斯	ɬ	o	54				
方	h	ŋ/ɒŋ	54	文讀，姓。			
斻	0	ã	24	椽桁：椽子。			
旁	p	ɒŋ	24				
旅	l	y	32				
旋	ɬ	yøŋ	24				
旌	ts	iŋ	54				
族	ts	ɒʔ	4				
旗	k	i	24				
既	k	i	52				
旣	k	i	52				
日	l/ts	iʔ	4	日月，日子。			
旦	t	uã/aŋ	52	文讀，今旦：今天。			
旧	k	u/iu	21				
旨	ts	i	32				
早	ts	ɒ	32				
旬	ɬ	uoŋ	24				
旭	h	yøʔ	2				
旱	0/h	uã/aŋ	21				
时	ɬ	i	24				
旷	kʰ	ɒŋ	52				
旺	0	ɒŋ	21				
昂	ŋ	ɒŋ	24	聲昂柴昂：聲粗。			
昆	kʰ	uoŋ	54				
昌	tsʰ	yøŋ	54				
明	m	iã/iŋ	24	文讀，清明。			
易	0	ia/i	32/21	容易，姓。			
昔	ɬ	iʔ	2				
昙	tʰ	aŋ	24				
星	ɬ/tsʰ	iŋ/ã	54				
映	0	iŋ	52				
春	tsʰ	uoŋ	54				
昧	p	uoi	21				
昨	ɬ	o	24				
昫	0	y	52				
昭	ts	ieu	54				
是	ɬ	i	21				
昼	t	iu/au	52	文讀，上晝：上午。			
显	h	ɛŋ	32				
時	ɬ	i	24				
晃	h	ɒŋ	32				
晉	ts	iŋ	52				
晓	h	ieu	32				
晕	0/h	uoŋ	21	單字讀，頭暈。			
晚	m	aŋ	32				
晝	t	iu/au	52	文讀，上晝：上午。			
晡	p	ɔu	52	昨晡：昨天。			
晧	h	ɒ	21				
晨	ɬ	iŋ	24				
晬	ts	ø	52	小孩周歲。			
景	k	iŋ	32				
晴	ɬ/ts	ã/iŋ	24				
晶	ts	iŋ	54				
智	t	i	52				
暂	ts	aŋ	21				
暈	0/h	uoŋ	21	單字讀，頭暈。			
暉	h	ui	54				
暑	ɬ	y	32				
暖	n	uoŋ	32				
暗	0	aŋ	52				
暢	tʰ	yøŋ	52				
暫	ts	aŋ	21				
暮	p	ɔu	21				
暹	ɬ	ieŋ	54	暹羅。			
曇	tʰ	aŋ	24				
曉	h	ieu	32				
曠	kʰ	ɒŋ	52				
曡	t	e/ieʔ	24/4				
曰	0	yøʔ	4				
曲	kʰ	ieu/uoʔ/yøʔ	2	歌曲，彎曲，尾曲曲（原作翹）、骹曲：人死。			
曳	0	ia	24	招手；又曳扇：搧扇。			
更	k	ã/ɛŋ	54	更改，五更。			
書	ɬ/ts	y	54				
曼	m	aŋ	21				
曾	ts	ɛŋ	54	姓。			
替	tʰ	e	52				
最	ts	uoi	52				
會	h	uoi	21	開會。			
月	k	uoi/yøʔ	24/4				
有	0	u/iu	21/32				
朋	p	ɛŋ	24				
服	h	ɒʔ	4				
朔	ɬ	ɒʔ	2				
朗	l	ɒŋ	32				
朝	t	ieu	54	朝氣。			
朦	m	ɒŋ	24				
木	p	aʔ/ɒʔ	4	文讀，木虱、臭蟲。			
未	p	uoi/i	21				
末	p	ua/uoi/ɒʔ	24/4	單字讀，藥末，面末：麵粉。			
本	p	uĩ/uoŋ	32				
朴	pʰ	ɒʔ	2				
朵	t	ɒ	32				
朽	h	iu	32				
杀	ɬ	aʔ	2				
杂	ts	aʔ	4				
权	k	yøŋ	24				
杈	tsʰ	ɒ	54				
杉	ɬ	aŋ	54				
李	l	i	32				
材	ts	ai	24				
村	tsʰ	yøŋ	54				
杖	t/tʰ	yøŋ/iũ	21	虎杖：中藥，白讀。			
杜	t	ɔu	21				
杞	k	i	32				
束	ɬ	ɒʔ	2				
来	l	i/ai	24				
杨	0	iũ/yøŋ	24	文讀，姓。			
杭	h	aŋ/ɒŋ	24	蘇杭，單字讀。			
杮	pʰ	uoi	52	量詞：塊。			
杯	p	uoi	54				
東	t	aŋ/ɒŋ	54				
杳	0	ieu	32				
松	ɬ	yøŋ	24	松柏。			
板	p	aŋ	32				
枇	p	i	24				
枉	0	ɒŋ	32				
析	ɬ	iʔ	2				
枕	ts	iŋ	32				
林	l/n	ɒ̃/iŋ/i	24	文讀，姓，樹林。			
枚	p	uoi	24				
果	k	uoi/ɒ	32	文讀，果子。			
枝	k	i	54				
枢	kʰ	y	54				
枣	ts	o	32				
枪	tsʰ	iũ/yøŋ	54	文讀，梭標。			
枫	h/p	ɒŋ/uĩ	54				
枯	k	ɔu	54				
枴	k	uoi	32				
枵	0/h	ieu	54	文讀，餓。			
架	k	ɒ/a	52				
柄	p	ã/iŋ	52				
柏	p	a/ɛʔ	21/2				
某	p	ɔu	32				
柑	k	ɒ̃/aŋ	54				
柚	0	iu	21				
柤	ts	ua/a	54	文讀，調查瞭解。			
柩	k	iu	21				
柬	k	aŋ	32				
柯	kʰ	o/ua/ɒ	54	文讀，樹名，姓。			
柱	tʰ/ts	iu/y	21				
柿	kʰ	i	21				
栀	k	i	54				
标	p	ieu	54				
栋	t	ɒŋ	52				
栏	l/n	aŋ/uã	24	文讀，牛欄。			
栗	l	ɛʔ	4				
校	k	au	52	校對。			
株	t	au/y	54	單字讀，一株菜：量詞（原作上艸下兜）。			
核	h	ɛʔ	4				
根	k	yŋ	54				
桁	0	ã	24	椽桁：椽子。			
桂	k	e	52				
桃	tʰ	o/ɒ	24				
案	0	aŋ	52				
桌	t	o/ɒʔ	21/2				
桐	t/tʰ	ŋ/ɒŋ/aŋ	24	梧桐，桐油，梧桐：地名。			
桢	ts	iŋ	54				
桥	k	ieu	24				
桦	h	ua	24				
桧	k	uoi	52				
桨	ts	yøŋ	32				
梁	l/n	yøŋ/iũ	24	文讀，姓。			
梓	ts	o	32				
梔	k	i	54				
梧	k	ɔu	24				
梨	l	ai/i	24	文讀，王梨：鳳梨。			
梭	ɬ	ɒ	54				
梯	tʰ	ui/e	54				
梳	ɬ	ø	54				
检	k	ieŋ	32				
棄	kʰ	i	52				
棉	m	iŋ/ɛŋ	24				
棒	p	ɒŋ	21				
棗	ts	o	32				
棟	t	ɒŋ	52				
棠	t	ɒŋ	24				
棬	kʰ	yã/yøŋ	54	零，一圈蚊香：量詞。			
森	ɬ	ieŋ	54				
棲	tsʰ	e	54				
棺	k	uã/uoŋ	54				
椀	0	uã	32				
椒	ts	ieu	54				
椭	tʰ	ɒ	24				
椶	ts	aŋ/ɒŋ	54				
楊	0	iũ/yøŋ	24	文讀，姓。			
楓	h/p	ɒŋ/uĩ	54				
楚	tsʰ	ø	32				
楝	l	yøŋ	21	川楝：中藥。			
楣	p	ai/i	24				
楦	h	uĩ	52				
楨	ts	iŋ	54				
業	k	ieʔ	4				
楼	l	au/ieu	24				
概	kʰ	ai	52				
榄	l	aŋ	32				
榛	ts	ɛŋ	54				
榨	t/ts	ɒ/a	52	文讀，榨油。			
榮	0	yŋ	24				
榴	l	iu	24				
榻	tʰ	aʔ	2				
槃	p	uoŋ	24				
構	k	ieu	52				
槍	tsʰ	iũ/yøŋ	54	文讀，梭標。			
槐	h	uoi	24				
槟	p	iŋ	54				
槩	kʰ	ai	52				
槳	ts	yøŋ	32				
槽	ɬ/ts	o/ɒ	24				
樂	k	aʔ	4	音樂。			
樓	l	au/ieu	24				
樘	tʰ	ã	54				
標	p	ieu	54				
樞	kʰ	y	54				
樟	ts	iũ/yøŋ	54				
模	p	ɔu	24				
樱	0	iŋ/ɛŋ	54	單字讀，櫻花。			
樵	ts/tsʰ	ieu/ɒ	24	單字讀，原作柴。			
樸	pʰ	ɒʔ	2				
樺	h	ua	24				
橄	k	ɒ̃/aŋ	32				
橋	k	ieu	24				
橕	tʰ	ã	54				
橘	k	yʔ	2				
機	k	ui/i	54	文讀，布機。			
橡	tsʰ	iũ	21				
橢	tʰ	ɒ	24				
橫	h	uã/ɛŋ	24	橫行，不直，攔阻。			
橹	l	ɔu	32				
檀	t	aŋ	24				
檄	h	iʔ	4				
檜	k	uoi	52				
檢	k	ieŋ	32				
檳	p	iŋ	54				
檸	n	ɛŋ	24				
櫀	k	i	24				
櫃	k	ui	21				
櫓	l	ɔu	32				
櫻	0	iŋ/ɛŋ	54	單字讀，櫻花。			
欄	l/n	aŋ/uã	24	文讀，牛欄。			
權	k	yøŋ	24				
欖	l	aŋ	32				
欠	kʰ	ieŋ	52				
次	tsʰ	o	52				
欢	h	uã/uoŋ	54	文讀，歡喜。			
欣	h	yŋ	54				
欲	0	yøʔ	4				
欺	kʰ	i	54				
欽	kʰ	iŋ	54				
款	kʰ	uoŋ	32				
歇	h	ø/yøʔ	21/2				
歌	k	ɒ	54				
歡	h	uã/uoŋ	54	文讀，歡喜。			
止	ts	i	32				
正	ts	iã/iŋ	52				
此	tsʰ	o	32				
步	p	ɔu	21				
武	p	u	32				
歪	0	uoi	54				
歲	h/ɬ	uoi	52				
歷	l	ɛʔ	4				
歸	k	ui	54				
死	ɬ	i/o	32				
殃	0	yøŋ	54				
殆	t	ai	21				
殉	ɬ	uoŋ	52				
殓	l	ieŋ	21				
殕	pʰ	u	32	黴。			
殖	ɬ	iʔ	4				
殘	ts/tsʰ	aŋ	24	殘毒，殘廢。			
殡	p	iŋ	52				
殮	l	ieŋ	21				
殯	p	iŋ	52				
殲	tsʰ	ieŋ	54				
段	t	uã/uoŋ	21				
殷	0	yŋ	54				
殺	ɬ	aʔ	2				
殿	t	ɛŋ	21				
毀	h	ui	32				
毅	k	i	21				
母	p	o/ieu	32				
每	p	uoi	32				
毒	t/tʰ	ɒʔ/au	52/4	文讀，毒老鼠。			
毙	p	e	21				
毛	m	ŋ/ɒ	24	後者原作芒。			
毫	h	ɒ	24				
毯	tʰ	aŋ	32				
氏	ɬ	i	21				
民	m	iŋ	24				
水	ɬ/ts	ui	32				
永	0	yŋ	32				
汀	t	ɛŋ	54				
求	k	iu	24				
汉	h	aŋ	52				
汗	h/k	aŋ/uã	21				
汙	0	ɔu/u	52	單字讀，舊指女人身上的穢氣。			
汝	t/ts	y	32	文讀，你。			
汞	k	ɒŋ	52				
池	t	i	24				
汤	tʰ	ŋ/ɒŋ	54				
汪	0	ɒŋ	54				
汰	tʰ	ua/ai	21/52	單字讀，搓洗（原作本字不明。）。			
決	k	yøʔ	2				
沁	tsʰ	iŋ	52				
沂	k	i	24				
沃	0	ɒʔ/aʔ	2	澆淋，白讀。			
沈	t	ieŋ/iŋ	24				
沒	p	uoʔ	4	沒枚。			
沓	t/tʰ	aʔ/ɒ	4/24				
沕	p	i	21				
沖	tsʰ	yøŋ	54				
沙	ɬ	ua/a	54				
沟	k	au/ieu	54				
没	p	uoʔ	4	沒枚。			
沦	l	uoŋ	24				
沧	tsʰ	ɒŋ	54				
沪	h	ɔu	21				
河	0/h	ua/o/ɒ	24	文讀，白讀，河溪：銀河。			
沸	p	ui/i	52				
油	0	iu	24				
治	tʰ	ai	24	殺、宰。			
沼	ts	ieu	32				
沽	k	ɔu	32				
沿	0	ɛŋ	24				
況	h	ɒŋ	52				
泅	ɬ	iu	24				
泉	ɬ	uĩ/yã/yøŋ	24	文讀，泉水，泉州。			
泌	p	i	52				
法	h	aʔ	2				
泡	pʰ	au	54	面泡泡：腫脹。			
泣	kʰ	iʔ	2				
泥	n	i	24				
注	ts	ɔu/y	52	文讀，注音，一注錢。			
泯	m	iŋ	24				
泰	tʰ	ai	52				
泳	0	yŋ	21				
泽	ts	ɛʔ	4				
洘	kʰ	o	32	液體稠。			
洛	l	ɒʔ	4				
洞	t	ɒŋ	21				
津	ts	iŋ	54				
