字目	读音	注释	声母(实际)	声母(原)	韵母	声调	声调（调类)						声调	国际惯例	声调
橋	kio2		k	k	io	44	2								
叫	kio5		k	k	io	21	5								
轎	kio6		k	k	io	42	6								
蹻	kʰio6	绊脚	kʰ	kʰ	io	42	6								
腰	io1				io	22	1								
姚搖	io2				io	44	2								
舀	io3				io	53	3								
鷂	io6	风筝			io	42	6								
□	pfu1	～螺，一种海螺，可当喇叭吹；引申为轻视对方的观点，认为其不切实际	pf	p	u	22	1								
捕	pfu4		pf	p	u	213	4								
婦	pfu4		pf	p	u	213	4								
富	pfu5		pf	p	u	21	5								
佈怖	pfu5		pf	p	u	21	5								
蒲葡	pfʰu2		pfʰ	pʰ	u	44	2								
莆	pʰou3	~田	pʰ	pʰ	ou	53	3								
芙浮	pfʰu2		pfʰ	pʰ	u	44	2								
烰	pfʰu2	油炸，本字泡	pfʰ	pʰ	u	44	2								
□	pfʰu3	性交；la～，huaʔ～，指吹牛	pfʰ	pʰ	u	53	3								
巫誣蕪	bvu2		bv	b	u	44	2								
武舞侮撫鵡	bvu3		bv	b	u	53	3								
務	bvu4		bv	b	u	213	4								
孵	bvu6		bv	b	u	42	6								
霧	bvu6		bv	b	u	42	6								
蛛	tu1		t	t	u	22	1								
豬	tu1		t	t	u	22	1								
誅	tu1		t	t	u	22	1								
除	tu2		t	t	u	44	2								
鋤	tu2	～头	t	t	u	44	2								
滁	tu2		t	t	u	44	2								
堵睹	tu3		t	t	u	53	3								
拄	tu3		t	t	u	53	3								
賭	tu3		t	t	u	53	3								
著	tu5		t	t	u	21	5								
箸	tu6		t	t	u	42	6								
徒途塗圖	tʰu2		tʰ	tʰ	u	44	2								
儲	tʰu3		tʰ	tʰ	u	53	3								
□	tʰu6	拟声词，形容鼾声响	tʰ	tʰ	u	42	6								
驢	lu2		l	l	u	44	2								
旅魯屢	lu3		l	l	u	53	3								
汝	lu3		l	l	u	53	3								
你您	lu3	训	l	l	u	53	3								
呂鋁侶	lu4		l	l	u	213	4								
慮濾	lu4		l	l	u	213	4								
朱珠姿滋淄	tsu1		ts	ts	u	22	1								
之芝孜	tsu1		ts	ts	u	22	1								
組諸資諮	tsu1		ts	ts	u	22	1								
書	tsu1		ts	ts	u	22	1								
薯	tsu2		ts	ts	u	44	2								
煮	tsu3		ts	ts	u	53	3								
主子梓	tsu3		ts	ts	u	53	3								
聚住自	tsu4		ts	ts	u	213	4								
注蛀駐	tsu5		ts	ts	u	21	5								
疵趨	tsʰu1		tsʰ	tsʰ	u	22	1								
徐	tsʰu2		tsʰ	tsʰ	u	44	2								
雌瓷慈磁雛	tsʰu2		tsʰ	tsʰ	u	44	2								
取娶此	tsʰu3		tsʰ	tsʰ	u	53	3								
鼠	tsʰu3		tsʰ	tsʰ	u	53	3								
措	tsʰu5		tsʰ	tsʰ	u	21	5								
趣次處	tsʰu5		tsʰ	tsʰ	u	21	5								
如儒而	dzu2		dz	dz	u	44	2								
俞逾	dzu2		dz	dz	u	44	2								
髵	dzu2	乱	dz	dz	u	44	2								
汝乳	dzu3		dz	dz	u	53	3								
愈	dzu3		dz	dz	u	53	3								
耳尔迩	dzu3		dz	dz	u	53	3								
裕喻	dzu4		dz	dz	u	213	4								
吁	dzu4	呼～	dz	dz	u	213	4								
舒需斯私	su1		s	s	u	22	1								
司	su1	~命公	s	s	u	22	1								
思	su1	～考	s	s	u	22	1								
須輸師抒廝	su1		s	s	u	22	1								
殊	su2		s	s	u	44	2								
祠辭詞	su2		s	s	u	44	2								
暑	su3		s	s	u	53	3								
黍墅署史緒曙	su3		s	s	u	53	3								
序叙似伺士仕敘嶼豎樹	su4		s	s	u	213	4								
素絮恕訴	su5		s	s	u	21	5								
思	su5	意～	s	s	u	21	5								
事	su6	文	s	s	u	42	6								
居	ku1		k	k	u	22	1								
痀	ku1	瘕～抽：哮喘	k	k	u	22	1								
佝	ku1	腰～：驼背	k	k	u	22	1								
車	ku1		k	k	u	22	1								
龜	ku1		k	k	u	22	1								
矩舉	ku3		k	k	u	53	3								
久韭	ku3		k	k	u	53	3								
巨拒距具俱	ku4		k	k	u	213	4								
舅	ku4		k	k	u	213	4								
據懼	ku4		k	k	u	213	4								
故固句顧	ku5		k	k	u	21	5								
鋸	ku5		k	k	u	21	5								
灸	ku5		k	k	u	21	5								
故	ku6	训	k	k	u	42	6								
舊	ku6		k	k	u	42	6								
拘	kʰu1		kʰ	kʰ	u	22	1								
丘	kʰu1	白，一～田。百二丘田，在普宁大南山	kʰ	kʰ	u	22	1								
邱樞區驅	kʰu1		kʰ	kʰ	u	22	1								
軀	kʰu1		kʰ	kʰ	u	22	1								
渠衢	kʰu2		kʰ	kʰ	u	44	2								
臼	kʰu4		kʰ	kʰ	u	213	4								
去	kʰu5		kʰ	kʰ	u	21	5								
牛	gu2		g	g	u	44	2								
禦	gu4		g	g	u	213	4								
御	gu6		g	g	u	42	6								
語	ŋu3	文	ŋ	ŋ	u	53	3								
呼乎墟夫敷腐膚唬虚	hu1		h	h	u	22	1								
灰	hu1	白，火～	h	h	u	22	1								
胡狐蝴互符扶壺弧	hu2		h	h	u	44	2								
魚漁	hu2		h	h	u	44	2								
府滸栩	hu3		h	h	u	53	3								
互父傅護輔婦負	hu4		h	h	u	213	4								
咐	hu5	huang1~，吩咐	h	h	u	21	5								
付附副賦	hu5		h	h	u	21	5								
赴	hu5		h	h	u	21	5								
污嗚	u1				u	22	1								
于	u1	姓			u	22	1								
捂	u1				u	22	1								
吾予豫餘預娛輿	u2				u	44	2								
雨宇禹羽與	u3				u	53	3								
有	u4				u	213	4								
譽	u4				u	213	4								
瘀淤惡	u5				u	21	5								
悲	pfui1		pf	p	ui	22	1								
肥	pfui2		pf	p	ui	44	2								
□	pfʰui5	吐出	pfʰ	pʰ	ui	21	5								
屁	pfʰui5		pfʰ	pʰ	ui	21	5								
煨	bvui2		bv	b	ui	44	2								
微	bvui2	又	bv	b	ui	44	2								
吠	bvui5		bv	b	ui	21	5								
痱	bvui5		bv	b	ui	21	5								
吠	bvui6	又	bv	b	ui	42	6								
微薇	ɱui2		ɱ	m	ui	44	2								
美	ɱui3		ɱ	m	ui	53	3								
□	ɱui5	不怕（不畏合音）；没关系	ɱ	m	ui	21	5								
追	tui1		t	t	ui	22	1								
錘捶	tui2		t	t	ui	44	2								
對	tui5		t	t	ui	21	5								
隊	tui6		t	t	ui	42	6								
梯推	tʰui1		tʰ	tʰ	ui	22	1								
槌	tʰui2		tʰ	tʰ	ui	44	2								
錘	tʰui2		tʰ	tʰ	ui	44	2								
腿	tʰui3		tʰ	tʰ	ui	53	3								
雷	lui2		l	l	ui	44	2								
累壘	lui3		l	l	ui	53	3								
淚	lui4		l	l	ui	213	4								
累類	lui6		l	l	ui	42	6								
椎錐	tsui1		ts	ts	ui	22	1								
沝	tsui3	闽语俗字。《類篇》：閩人謂水曰沝。	ts	ts	ui	53	3								
水	tsui3		ts	ts	ui	53	3								
悴	tsui4		ts	ts	ui	213	4								
醉	tsui5		ts	ts	ui	21	5								
推催崔摧	tsʰui1		tsʰ	tsʰ	ui	22	1								
脆	tsʰui3		tsʰ	tsʰ	ui	53	3								
碎翠	tsʰui5		tsʰ	tsʰ	ui	21	5								
喙	tsʰui5		tsʰ	tsʰ	ui	21	5								
嘴	tsʰui5	训	tsʰ	tsʰ	ui	21	5								
帷維遺惟唯	dzui2		dz	dz	ui	44	2								
雖	sui1		s	s	ui	22	1								
隋垂隨誰	sui2		s	s	ui	44	2								
睡瑞遂隧穗祟	sui4		s	s	ui	213	4								
圭奎閨規歸硅	kui1		k	k	ui	22	1								
鬼	kui3		k	k	ui	53	3								
幾	kui3	用于询问数量，如：～侬（几人）	k	k	ui	53	3								
跪	kui4		k	k	ui	213	4								
瑰	kui5		k	k	ui	21	5								
桂癸貴	kui5		k	k	ui	21	5								
掛	kui5	～纸	k	k	ui	21	5								
櫃	kui6		k	k	ui	42	6								
開	kʰui1		kʰ	kʰ	ui	22	1								
虧窺	kʰui1		kʰ	kʰ	ui	22	1								
葵	kʰui2	文，秋～	kʰ	kʰ	ui	44	2								
逵	kʰui2		kʰ	kʰ	ui	44	2								
軌	kʰui3		kʰ	kʰ	ui	53	3								
愧潰饋	kʰui4		kʰ	kʰ	ui	213	4								
垝	bvui4	一～墙，一面墙，	bv	b	ui	213	4								
季	kʰui5		kʰ	kʰ	ui	21	5								
氣	kʰui5		kʰ	kʰ	ui	21	5								
垝	gui6	又读kui6，bvui6等音	g	g	ui	42	6								
危	ŋui2	又读ɱui44	ŋ	ŋ	ui	44	2								
嵬	ŋui2		ŋ	ŋ	ui	44	2								
伪	ŋui4		ŋ	ŋ	ui	213	4								
魏	ŋui6		ŋ	ŋ	ui	42	6								
灰非菲徽揮輝暉啡	hui1		h	h	ui	22	1								
飛	hui1	文，张～	h	h	ui	22	1								
惠慧	hui4		h	h	ui	213	4								
肺沸廢費	hui5		h	h	ui	21	5								
威醫	ui1				ui	22	1								
爲違圍	ui2				ui	44	2								
委違煒偉韋	ui3				ui	53	3								
謂	ui4				ui	213	4								
爲胃	ui6				ui	42	6								
排牌	pai2		p	p	ai	44	2								
擺	pai3		p	p	ai	53	3								
拜	pai5		p	p	ai	21	5								
敗	pai6		p	p	ai	42	6								
歹	pʰai3	白，～囝（坏人）	pʰ	pʰ	ai	53	3								
沛派	pʰai5		pʰ	pʰ	ai	21	5								
眉	bai2		b	b	ai	44	2								
楣	bai2		b	b	ai	44	2								
跛	bai3	白	b	b	ai	53	3								
埋	mai2		m	m	ai	44	2								
跛	mai3	又	m	m	ai	53	3								
□	mai3	～折（指因为坐姿不正将椅子坐坏）	m	m	ai	53	3								
邁	mai4		m	m	ai	213	4								
勿	mai5	不要（原是“m4-ãi5”合音字，现在也作为“勿”的读音	m	m	ai	21	5								
呆	tai1	文，痴～症	t	t	ai	22	1								
□	tai2	埋	t	t	ai	44	2								
歹	tai3		t	t	ai	53	3								
大	tai4	文，～家	t	t	ai	213	4								
代	tai5	交～	t	t	ai	21	5								
黛貸	tai5		t	t	ai	21	5								
篩	tʰai1		tʰ	tʰ	ai	22	1								
台	tʰai2		tʰ	tʰ	ai	44	2								
抬	tʰai2		tʰ	tʰ	ai	44	2								
治	tʰai2	杀	tʰ	tʰ	ai	44	2								
□	tʰai3	sai1～：哭闹	tʰ	tʰ	ai	53	3								
待	tʰai4		tʰ	tʰ	ai	213	4								
太泰態	tʰai5		tʰ	tʰ	ai	21	5								
梨	lai2		l	l	ai	44	2								
狸	lai2	hou2-lai2（狐狸）	l	l	ai	44	2								
來	lai2		l	l	ai	44	2								
□	lai3	甜膏～，指菜味道半甜半咸	l	l	ai	53	3								
内	lai4	训，家。本字为里	l	l	ai	213	4								
内	lai6	训，入～（搬入新屋）。也可以用lai4	l	l	ai	42	6								
利	lai6	刀刃或其他薄片状物体锋利	l	l	ai	42	6								
蓮	nai2		n	n	ai	44	2								
奶乃	nai3		n	n	ai	53	3								
耐奈	nai4		n	n	ai	213	4								
賴	nai4	老～，姓	n	n	ai	213	4								
荔	nai6	～果（荔枝）	n	n	ai	42	6								
栽災	tsai1		ts	ts	ai	22	1								
知	tsai1	白	ts	ts	ai	22	1								
者	tsai3	合音，这个	ts	ts	ai	53	3								
宰載仔崽	tsai3		ts	ts	ai	53	3								
在	tsai4		ts	ts	ai	213	4								
载	tsai5	～人	ts	ts	ai	21	5								
再	tsai5		ts	ts	ai	21	5								
載	tsai5	～人，超～	ts	ts	ai	21	5								
猜	tsʰai1		tsʰ	tsʰ	ai	22	1								
才材裁財	tsʰai2		tsʰ	tsʰ	ai	44	2								
菜	tsʰai5		tsʰ	tsʰ	ai	21	5								
腮	sai1		s	s	ai	22	1								
西	sai1	白	s	s	ai	22	1								
犀	sai1		s	s	ai	22	1								
私	sai1	白，走～（非法转运货物入境售卖）	s	s	ai	22	1								
鰓	sai1		s	s	ai	22	1								
狮	sai1		s	s	ai	22	1								
屎	sai3		s	s	ai	53	3								
使	sai3	～用，～钱（花钱）	s	s	ai	53	3								
駛	sai3		s	s	ai	53	3								
柿	sai4		s	s	ai	213	4								
使	sai5	天～	s	s	ai	21	5								
塞賽曬	sai5		s	s	ai	21	5								
婿	sai5		s	s	ai	21	5								
皆偕該	kai1		k	k	ai	22	1								
個	kai2	白	k	k	ai	44	2								
介	kai5		k	k	ai	21	5								
界芥尬戒屆丐鈣誡	kai5		k	k	ai	21	5								
開	kʰai1	文，～放，～发，～始	kʰ	kʰ	ai	22	1								
楷凱	kʰai3		kʰ	kʰ	ai	53	3								
概慨	kʰai5		kʰ	kʰ	ai	21	5								
礙	gai6		g	g	ai	42	6								
呆	ŋai2	俗，痴～（反应迟钝）	ŋ	ŋ	ai	44	2								
涯崖捱	ŋai2		ŋ	ŋ	ai	44	2								
艾	ŋai4	文	ŋ	ŋ	ai	213	4								
岸	ŋai4	文	ŋ	ŋ	ai	213	4								
孩諧	hai2		h	h	ai	44	2								
海亥	hai3		h	h	ai	53	3								
懈械	hai4		h	h	ai	213	4								
害	hai6		h	h	ai	42	6								
哀埃	ai1				ai	22	1								
□	ai2	面称母亲，阿姨合音			ai	44	2								
隘	ai3				ai	53	3								
乖	kuai1		k	k	uai	22	1								
□	kuai3	瘸。～kha1：瘸子	k	k	uai	53	3								
拐	kuai3		k	k	uai	53	3								
繪怪	kuai5		k	k	uai	21	5								
快筷	kʰuai5		kʰ	kʰ	uai	21	5								
淮槐懷	huai2		h	h	uai	44	2								
壞	huai4		h	h	uai	213	4								
歪	uai1	文			uai	22	1								
挖	uai1				uai	22	1								
批	pʰoi1		pʰ	pʰ	oi	22	1								
買	boi3		b	b	oi	53	3								
賣	boi6		b	b	oi	42	6								
蹄題	toi2		t	t	oi	44	2								
底	toi3	~手，还手	t	t	oi	53	3								
抵	toi3	~手，还手	t	t	oi	53	3								
第	toi4		t	t	oi	213	4								
代	tʰoi5	训读，本字为“替”	tʰ	tʰ	oi	21	5								
替	tʰoi5		tʰ	tʰ	oi	21	5								
犁	loi2		l	l	oi	44	2								
□	loi2	布~：布条	l	l	oi	44	2								
黎	loi2		l	l	oi	44	2								
蠡	loi3	弯	l	l	oi	53	3								
禮	loi3		l	l	oi	53	3								
劙	loi5	劈	l	l	oi	21	5								
齊	tsoi2		ts	ts	oi	44	2								
多	tsoi6	训	ts	ts	oi	42	6								
載	tsoi6	多	ts	ts	oi	42	6								
粞	tsʰoi5		tsʰ	tsʰ	oi	21	5								
洗	soi3		s	s	oi	53	3								
細	soi5		s	s	oi	21	5								
街雞	koi1		k	k	oi	22	1								
改解	koi3		k	k	oi	53	3								
計	koi5		k	k	oi	21	5								
易	koi6	训	k	k	oi	42	6								
溪	kʰoi1		kʰ	kʰ	oi	22	1								
契	kʰoi5		kʰ	kʰ	oi	21	5								
喫	kʰoi5	啃	kʰ	kʰ	oi	21	5								
倪藝	goi6		g	g	oi	42	6								
蟹	hoi4		h	h	oi	213	4								
鞋	oi2				oi	44	2								
矮	oi3				oi	53	3								
解	oi4	白，会。～知，知道			oi	213	4								
□	oi6	应答声			oi	42	6								
彪	pʰiu1		pʰ	pʰ	iu	22	1								
漂	pʰiu5	裂开；乞～去，形容结果很失败	pʰ	pʰ	iu	21	5								
謬	miu4		m	m	iu	213	4								
丟	tiu1		t	t	iu	22	1								
稠綢	tiu2		t	t	iu	44	2								
宙晝	tiu3		t	t	iu	53	3								
抽	tʰiu1		tʰ	tʰ	iu	22	1								
濤籌	tʰiu2		tʰ	tʰ	iu	44	2								
醜	tʰiu3	俗。应是简化字合并后混读	tʰ	tʰ	iu	53	3								
溜	liu1		l	l	iu	22	1								
流留榴琉硫瀏	liu2		l	l	iu	44	2								
柳	liu3		l	l	iu	53	3								
□	liu3	挖	l	l	iu	53	3								
溜	liu5		l	l	iu	21	5								
扭紐	niu3		n	n	iu	53	3								
州洲舟周	tsiu1		ts	ts	iu	22	1								
酒	tsiu3		ts	ts	iu	53	3								
就	tsiu4		ts	ts	iu	213	4								
鬚	tsʰiu1	鬍～	tsʰ	tsʰ	iu	22	1								
秋	tsʰiu1		tsʰ	tsʰ	iu	22	1								
鰍	tsʰiu1		tsʰ	tsʰ	iu	22	1								
囚仇酬售	tsʰiu2		tsʰ	tsʰ	iu	44	2								
手	tsʰiu3		tsʰ	tsʰ	iu	53	3								
□	tsʰiu5	刷	tsʰ	tsʰ	iu	21	5								
樹	tsʰiu6		tsʰ	tsʰ	iu	42	6								
揉柔	dziu2		dz	dz	iu	44	2								
梳	siu1		s	s	iu	22	1								
修羞	siu1		s	s	iu	22	1								
收	siu1		s	s	iu	22	1								
泅	siu2		s	s	iu	44	2								
守首	siu3		s	s	iu	53	3								
帚	siu3		s	s	iu	53	3								
受授	siu4		s	s	iu	213	4								
秀繡鏽獸袖	siu5		s	s	iu	21	5								
壽	siu6		s	s	iu	42	6								
□	kiu1	缩水	k	k	iu	22	1								
球	kiu2		k	k	iu	44	2								
九糾	kiu3		k	k	iu	53	3								
救究	kiu5		k	k	iu	21	5								
求逑	kʰiu2		kʰ	kʰ	iu	44	2								
□	kʰiu2	爬(杆)	kʰ	kʰ	iu	44	2								
糗	kʰiu3	猪~献：臭味	kʰ	kʰ	iu	53	3								
悠	iu1				iu	22	1								
幽	iu1				iu	22	1								
優憂	iu1				iu	22	1								
尤由游酋郵遊	iu2				iu	44	2								
油	iu2				iu	44	2								
友酉	iu3				iu	53	3								
又	iu3				iu	53	3								
誘	iu3				iu	53	3								
又	iu4				iu	213	4								
右佑	iu4				iu	213	4								
賄宥	iu4				iu	213	4								
柚	iu6				iu	42	6								
包胞鮑	pau1		p	p	au	22	1								
堡	pau3		p	p	au	53	3								
暴爆	pau4		p	p	au	213	4								
褒苞拋	pʰau1		pʰ	pʰ	au	22	1								
袍刨咆	pʰau2		pʰ	pʰ	au	44	2								
跑	pʰau3		pʰ	pʰ	au	53	3								
抱	pʰau4		pʰ	pʰ	au	213	4								
奅	pʰau5	奢大～，吹牛	pʰ	pʰ	au	21	5								
炮	pʰau5		pʰ	pʰ	au	21	5								
卯	bau3		b	b	au	53	3								
矛茅	mau2		m	m	au	44	2								
冒貌	mau4		m	m	au	213	4								
叨	tau1		t	t	au	22	1								
兜	tau1		t	t	au	22	1								
投	tau2		t	t	au	44	2								
倒島搗找	tau3		t	t	au	53	3								
斗	tau3		t	t	au	53	3								
道稻蹈盜	tau4		t	t	au	213	4								
導	tau4		t	t	au	213	4								
□	tau5	安装	t	t	au	21	5								
到	tau5		t	t	au	21	5								
豆痘逗	tau6		t	t	au	42	6								
滔掏	tʰau1		tʰ	tʰ	au	22	1								
偷	tʰau1		tʰ	tʰ	au	22	1								
陶淘	tʰau2		tʰ	tʰ	au	44	2								
頭	tʰau2		tʰ	tʰ	au	44	2								
㪗	tʰau3		tʰ	tʰ	au	53	3								
套	tʰau5		tʰ	tʰ	au	21	5								
透	tʰau5		tʰ	tʰ	au	21	5								
嘮	lau1		l	l	au	22	1								
褸	lau1	也读lau4	l	l	au	22	1								
流留瘤樓劉	lau2		l	l	au	44	2								
落	lau2	ka1～，掉落	l	l	au	44	2								
勞撈	lau2		l	l	au	44	2								
老佬	lau3		l	l	au	53	3								
老佬	lau4		l	l	au	213	4								
鬧	lau6	~热	l	l	au	42	6								
落	lau5	拉稀	l	l	au	21	5								
漏	lau6		l	l	au	42	6								
澇	lau6		l	l	au	42	6								
腦惱瑙	nau3		n	n	au	53	3								
藕	nau4		n	n	au	213	4								
扭	nau4	白，~着腰	n	n	au	213	4								
鬧	nau4		n	n	au	213	4								
遭糟	tsau1		ts	ts	au	22	1								
□	tsau2	整齐	ts	ts	au	44	2								
蚤走	tsau3		ts	ts	au	53	3								
澡藻	tsau3		ts	ts	au	53	3								
造罩	tsau4		ts	ts	au	213	4								
灶奏	tsau5		ts	ts	au	21	5								
皂	tsau5		ts	ts	au	21	5								
操抄鈔剿	tsʰau1		tsʰ	tsʰ	au	22	1								
曹巢	tsʰau2		tsʰ	tsʰ	au	44	2								
草	tsʰau3		tsʰ	tsʰ	au	53	3								
吵	tsʰau3		tsʰ	tsʰ	au	53	3								
操燥躁	tsʰau5		tsʰ	tsʰ	au	21	5								
臭	tsʰau5		tsʰ	tsʰ	au	21	5								
稍騷梢	sau1		s	s	au	22	1								
□	sau1	形容人声音沙哑；扬声器声音模糊不清	s	s	au	22	1								
嗽	sau5		s	s	au	21	5								
掃哨啸	sau5		s	s	au	21	5								
高交郊	kau1		k	k	au	22	1								
勾鉤溝	kau1		k	k	au	22	1								
蚯	kau1		k	k	au	22	1								
猴	kau2		k	k	au	44	2								
狡搞	kau3		k	k	au	53	3								
狗垢九	kau3		k	k	au	53	3								
厚	kau4		k	k	au	213	4								
到	kau5		k	k	au	21	5								
究	kau5	~量：仔细考虑	k	k	au	21	5								
夠	kau5		k	k	au	21	5								
告	kau5		k	k	au	21	5								
遘	kau5	到	k	k	au	21	5								
薅	kʰau1		kʰ	kʰ	au	22	1								
摳	kʰau1		kʰ	kʰ	au	22	1								
□	kʰau2	剃毛	kʰ	kʰ	au	44	2								
考拷烤	kʰau3		kʰ	kʰ	au	53	3								
口	kʰau3		kʰ	kʰ	au	53	3								
叩扣哭	kʰau5		kʰ	kʰ	au	21	5								
靠	kʰau5		kʰ	kʰ	au	21	5								
賢	gau2	民间替字，乖；有才能；快，如：子孙～大，在跪拜时常说的话，意在希望子孙快快长大	g	g	au	44	2								
囂	ŋau1		ŋ	ŋ	au	22	1								
熬敖肴淆爻遨	ŋau2		ŋ	ŋ	au	44	2								
傲	ŋau4		ŋ	ŋ	au	213	4								
樂	ŋau6	文	ŋ	ŋ	au	42	6								
佝	hau1	腰~~：腰是弯的	h	h	au	22	1								
豪壕毫	hau2		h	h	au	44	2								
熬	hau2	白，～me2（熬夜）	h	h	au	44	2								
皓浩昊灝顥	hau3		h	h	au	53	3								
吼	hau3		h	h	au	53	3								
好	hau3	文，又音	h	h	au	53	3								
校	hau4		h	h	au	213	4								
後	hau4		h	h	au	213	4								
孝	hau5		h	h	au	21	5								
效	hau6		h	h	au	42	6								
候鱟	hau6		h	h	au	42	6								
甌歐謳區毆鷗	au1				au	22	1								
鏖	au1	文。～糟tsau1：糟蹋			au	22	1								
喉	au2				au	44	2								
嘔	au3				au	53	3								
後	au4				au	213	4								
漚	au5				au	21	5								
表	piau3		p	p	iau	53	3								
漂標飄嘌	pʰiau1		pʰ	pʰ	iau	22	1								
嫖	pʰiau2		pʰ	pʰ	iau	44	2								
苗	miau2		m	m	iau	44	2								
藐渺秒邈	miau3		m	m	iau	53	3								
妙	miau4		m	m	iau	213	4								
刁雕貂凋	tiau1		t	t	iau	22	1								
□	tiau2	猪～：猪圈	t	t	iau	44	2								
條	tiau2		t	t	iau	44	2								
兆召	tiau4		t	t	iau	213	4								
吊	tiau5		t	t	iau	21	5								
掉	tiau6	损坏	t	t	iau	42	6								
調	tiau6		t	t	iau	42	6								
挑	tʰiau1	～战，～剔	tʰ	tʰ	iau	22	1								
迢	tʰiau2		tʰ	tʰ	iau	44	2								
調	tʰiau2		tʰ	tʰ	iau	44	2								
斢	tʰiau2	调换	tʰ	tʰ	iau	44	2								
柱	tʰiau4		tʰ	tʰ	iau	213	4								
超跳	tʰiau5		tʰ	tʰ	iau	21	5								
燎聊寥	liau2		l	l	iau	44	2								
潦療遼	liau2		l	l	iau	44	2								
寮	liau2		l	l	iau	44	2								
□	liau6	量词，用于肉类	l	l	iau	42	6								
撈	liau2		l	l	iau	44	2								
了	liau3		l	l	iau	53	3								
料廖	liau6		l	l	iau	42	6								
撓	niau1	畏～（怕痒）	n	n	iau	22	1								
焦礁朝昭招釗	tsiau1		ts	ts	iau	22	1								
鳥	tsiau3		ts	ts	iau	53	3								
□	tsʰiau1	混合	tsʰ	tsʰ	iau	22	1								
朝	tsʰiau2		tsʰ	tsʰ	iau	44	2								
稍	tsʰiau3	白	tsʰ	tsʰ	iau	53	3								
俏悄	tsʰiau3		tsʰ	tsʰ	iau	53	3								
抓	dziau2	训	dz	dz	iau	44	2								
撓饒嬈	dziau2		dz	dz	iau	44	2								
爪	dziau3		dz	dz	iau	53	3								
擾沼	dziau3		dz	dz	iau	53	3								
繞	dziau5		dz	dz	iau	21	5								
趭	dziau6	驱赶	dz	dz	iau	42	6								
消宵霄硝銷蕭瀟簫	siau1		s	s	iau	22	1								
搜	siau1		s	s	iau	22	1								
□	siau2	~圣：形容人意气风发	s	s	iau	44	2								
小	siau3		s	s	iau	53	3								
肖韶紹肇	siau4		s	s	iau	213	4								
少	siau5		s	s	iau	21	5								
數	siau5		s	s	iau	21	5								
驕嬌澆	kiau1		k	k	iau	22	1								
矯	kiau3		k	k	iau	53	3								
繳	kiau3		k	k	iau	53	3								
餃	kiau3		k	k	iau	53	3								
撬	kiau4		k	k	iau	213	4								
喬僑蕎	kʰiau2		kʰ	kʰ	iau	44	2								
翹	kʰiau2		kʰ	kʰ	iau	44	2								
翹	kʰiau5		kʰ	kʰ	iau	21	5								
竅	kʰiau5		kʰ	kʰ	iau	21	5								
貓	ŋiau1		ŋ	ŋ	iau	22	1								
堯	ŋiau2		ŋ	ŋ	iau	44	2								
□	ŋiau3	猫叫声	ŋ	ŋ	iau	53	3								
囂邀僥	hiau1		h	h	iau	22	1								
梟	hiau1	~雄：形容做事无顾忌	h	h	iau	22	1								
曉	hiau3		h	h	iau	53	3								
枵	iau1	肚子饿			iau	22	1								
妖夭要幺	iau1				iau	22	1								
搖遙瑤謠姚	iau2				iau	44	2								
曜燿	iau4				iau	213	4								
要	iau5				iau	21	5								
調	tiau5	～头	t	t	iau	21	5								
夫	pou1	ta1~:男子	p	p	ou	22	1								
埠	pou1		p	p	ou	22	1								
脯斧補	pou3		p	p	ou	53	3								
部	pou4		p	p	ou	213	4								
布	pou5		p	p	ou	21	5								
哺	pou6	白，咀嚼	p	p	ou	42	6								
步	pou6		p	p	ou	42	6								
鋪	pʰou1		pʰ	pʰ	ou	22	1								
普浦甫譜	pʰou3		pʰ	pʰ	ou	53	3								
簿	pʰou4		pʰ	pʰ	ou	213	4								
鋪	pʰou5		pʰ	pʰ	ou	21	5								
模	bou2		b	b	ou	44	2								
牡	bou3		b	b	ou	53	3								
母	bou3	妻子	b	b	ou	53	3								
亩	bou3		b	b	ou	53	3								
戊	bou6		b	b	ou	42	6								
謀某	mou2		m	m	ou	44	2								
茂	mou4		m	m	ou	213	4								
貿	mou5		m	m	ou	21	5								
都	tou1		t	t	ou	22	1								
圖屠廚櫥塗	tou2		t	t	ou	44	2								
肚	tou3	肚子	t	t	ou	53	3								
抖	tou3		t	t	ou	53	3								
肚	tou4	猪～，用于食物	t	t	ou	213	4								
妒杜	tou4		t	t	ou	213	4								
□	tou5	～phe6：口袋	t	t	ou	21	5								
鬥	tou5	文。与“斗”tau3为两字，sio1 lou3 tou5：内斗，窝里斗	t	t	ou	21	5								
□	tou5	黑；味道浓	t	t	ou	21	5								
度渡鍍	tou6		t	t	ou	42	6								
塗	tʰou2		tʰ	tʰ	ou	44	2								
土	tʰou3		tʰ	tʰ	ou	53	3								
吐	tʰou3	外露。如：目～～	tʰ	tʰ	ou	53	3								
吐兔	tʰou5		tʰ	tʰ	ou	21	5								
盧爐蘆臚	lou2		l	l	ou	44	2								
婁瀘	lou2		l	l	ou	44	2								
滷	lou3	～水	l	l	ou	53	3								
鹵	lou4	腌制	l	l	ou	213	4								
露	lou5	文，暴～	l	l	ou	21	5								
陋	lou5		l	l	ou	21	5								
路	lou6		l	l	ou	42	6								
露	lou6	白，～水	l	l	ou	42	6								
鷺	lou6		l	l	ou	42	6								
孥	nou1	孥囝	n	n	ou	22	1								
奴孥	nou2		n	n	ou	44	2								
租	tsou1		ts	ts	ou	22	1								
鄒	tsou1		ts	ts	ou	22	1								
