"ID"	"繁体"	"简体"	"拼音"	"注释"	""	"调值"
"1604"	"癸"	"癸"	"kui阴上"	""	""	""
"1605"	"晷"	"晷"	"kui阴上"	""	""	""
"1606"	"愧"	"愧"	"kʰui去声"	""	""	""
"1607"	"季"	"季"	"kʰui去声"	"白"	""	""
"1608"	"季"	"季"	"ki去声"	"文"	""	""
"1609"	"葵"	"葵"	"kue阳平"	"白"	""	""
"1610"	"葵"	"葵"	"kʰui阳平"	"文"	""	""
"1611"	"逵"	"逵"	"kʰui阳平"	""	""	""
"1612"	"夔"	"夔"	"kʰui阳平"	""	""	""
"1613"	"揆"	"揆"	"kʰui阳平"	""	""	""
"1614"	"櫃"	"柜"	"kui去声"	""	""	""
"1615"	"帷"	"帷"	"ui阳平"	""	""	""
"1616"	"位"	"位"	"ui去声"	""	""	""
"1617"	"維"	"维"	"dzui阳平"	""	""	""
"1618"	"惟"	"惟"	"dzui阳平"	""	""	""
"1619"	"遺"	"遗"	"dzui阳平"	""	""	""
"1620"	"唯"	"唯"	"dzui阳平"	""	""	""
"1621"	"飛"	"飞"	"pue阴平"	"白"	""	""
"1622"	"飛"	"飞"	"hui阴平"	"文"	""	""
"1623"	"非"	"非"	"hui阴平"	""	""	""
"1624"	"匪"	"匪"	"huĩ阴上"	""	""	""
"1625"	"沸"	"沸"	"pui去声"	"白"	""	""
"1626"	"沸"	"沸"	"hui去声"	"文"	""	""
"1627"	"痱"	"痱"	"mui去声"	""	""	""
"1628"	"妃"	"妃"	"hui阴平"	""	""	""
"1629"	"菲"	"菲"	"hui阴平"	""	""	""
"1630"	"費"	"费"	"hui去声"	"文"	""	""
"1631"	"肥"	"肥"	"pui阳平"	"白"	""	""
"1632"	"肥"	"肥"	"hui阳平"	"文"	""	""
"1633"	"薇"	"薇"	"mui阳平"	""	""	""
"1634"	"微"	"微"	"mui阳平"	""	""	""
"1635"	"微"	"微"	"mi阳平"	""	""	""
"1636"	"微"	"微"	"bi阳平"	""	""	""
"1637"	"尾"	"尾"	"bue阴上"	"白"	""	""
"1638"	"未"	"未"	"bue去声"	"白"	""	""
"1639"	"未"	"未"	"bi去声"	"文"	""	""
"1640"	"味"	"味"	"bi去声"	""	""	""
"1641"	"歸"	"归"	"kui阴平"	""	""	""
"1642"	"鬼"	"鬼"	"kui阴上"	""	""	""
"1643"	"貴"	"贵"	"kui去声"	""	""	""
"1644"	"巍"	"巍"	"ŋui阳平"	""	""	""
"1645"	"魏"	"魏"	"ŋui去声"	""	""	""
"1646"	"揮"	"挥"	"hui阴平"	""	""	""
"1647"	"輝"	"辉"	"hui阴平"	""	""	""
"1648"	"徽"	"徽"	"hui阴平"	""	""	""
"1649"	"諱"	"讳"	"hui去声"	""	""	""
"1650"	"卉"	"卉"	"hui阴上"	""	""	""
"1651"	"威"	"威"	"ui阴平"	""	""	""
"1652"	"畏"	"畏"	"ui去声"	""	""	""
"1653"	"慰"	"慰"	"ue去声"	"白"	""	""
"1654"	"慰"	"慰"	"ui去声"	"文"	""	""
"1655"	"違"	"违"	"ui阳平"	""	""	""
"1656"	"圍"	"围"	"ui阳平"	""	""	""
"1657"	"葦"	"苇"	"ui阴上"	""	""	""
"1658"	"偉"	"伟"	"ui阴上"	""	""	""
"1659"	"緯"	"纬"	"hui去声"	"白"	""	""
"1660"	"緯"	"纬"	"ui阴上"	"俗"	""	""
"1661"	"胃"	"胃"	"ui去声"	""	""	""
"1662"	"謂"	"谓"	"ui去声"	""	""	""
"1663"	"謂"	"谓"	"ui阳上"	""	""	""
"1664"	"猬"	"猬"	"ui去声"	""	""	""
"1665"	"褒"	"褒"	"pau阴平"	""	""	""
"1666"	"保"	"保"	"po阴上"	"白"	""	""
"1667"	"保"	"保"	"pau阴上"	"文"	""	""
"1668"	"堡"	"堡"	"pau阴上"	""	""	""
"1669"	"寶"	"宝"	"po阴上"	"白"	""	""
"1670"	"寶"	"宝"	"pau阴上"	"文"	""	""
"1671"	"報"	"报"	"po去声"	"白"	""	""
"1672"	"報"	"报"	"pau去声"	"文"	""	""
"1673"	"袍"	"袍"	"pʰau阳平"	""	""	""
"1674"	"抱"	"抱"	"po阳上"	"白"	""	""
"1675"	"抱"	"抱"	"pau阳上"	"文"	""	""
"1676"	"暴"	"暴"	"pau阳上"	""	""	""
"1677"	"暴"	"暴"	"pʰak阳入"	""	""	""
"1678"	"毛"	"毛"	"mo阳平"	"白"	""	""
"1679"	"毛"	"毛"	"mau阳平"	"文"	""	""
"1680"	"冒"	"冒"	"mau阳上"	""	""	""
"1681"	"冒"	"冒"	"mok阳入"	"冒顿"	""	""
"1682"	"帽"	"帽"	"bo去声"	""	""	""
"1683"	"刀"	"刀"	"to阴平"	"白"	""	""
"1684"	"刀"	"刀"	"tau阴平"	"文"	""	""
"1685"	"叨"	"叨"	"tʰau阴平"	""	""	""
"1686"	"叨"	"叨"	"tau阴平"	""	""	""
"1687"	"倒"	"倒"	"to阴上"	"白"	""	""
"1688"	"倒"	"倒"	"to去声"	"白"	""	""
"1689"	"倒"	"倒"	"tau阴上"	"文"	""	""
"1690"	"倒"	"倒"	"tau去声"	"文"	""	""
"1691"	"島"	"岛"	"tau阴上"	""	""	""
"1692"	"禱"	"祷"	"tau阴上"	""	""	""
"1693"	"到"	"到"	"tau去声"	""	""	""
"1694"	"到"	"到"	"kau去声"	"训"	""	""
"1695"	"掏"	"掏"	"tʰau阴平"	""	""	""
"1696"	"掏"	"掏"	"tʰau阳平"	""	""	""
"1697"	"滔"	"滔"	"tʰau阴平"	""	""	""
"1698"	"討"	"讨"	"tʰo阴上"	"白"	""	""
"1699"	"討"	"讨"	"tʰau阴上"	"文"	""	""
"1700"	"套"	"套"	"tʰau去声"	""	""	""
"1701"	"桃"	"桃"	"to阳平"	"白"	""	""
"1702"	"桃"	"桃"	"tʰo阳平"	"白"	""	""
"1703"	"桃"	"桃"	"tʰau阳平"	"文"	""	""
"1704"	"逃"	"逃"	"to阳平"	""	""	""
"1705"	"陶"	"陶"	"tʰau阳平"	""	""	""
"1706"	"陶"	"陶"	"iau阳平"	""	""	""
"1707"	"萄"	"萄"	"tʰo阳平"	""	""	""
"1708"	"濤"	"涛"	"tʰiu阳平"	"白"	""	""
"1709"	"濤"	"涛"	"tʰau阳平"	"文"	""	""
"1710"	"稻"	"稻"	"tiu阳上"	"白"	""	""
"1711"	"稻"	"稻"	"tau阳上"	"文"	""	""
"1712"	"道"	"道"	"tau阳上"	"文"	""	""
"1713"	"道"	"道"	"to阳上"	"白"	""	""
"1714"	"導"	"导"	"tau阳上"	""	""	""
"1715"	"盗"	"盗"	"tau阳上"	""	""	""
"1716"	"腦"	"脑"	"nau阴上"	"文"	""	""
"1717"	"腦"	"脑"	"lo阴上"	"白"	""	""
"1718"	"惱"	"恼"	"nau阴上"	"文"	""	""
"1719"	"惱"	"恼"	"lo阴上"	"白"	""	""
"1720"	"勞"	"劳"	"lau阳平"	"文"	""	""
"1721"	"勞"	"劳"	"lo阳平"	"白"	""	""
"1722"	"撈"	"捞"	"lau阳平"	"文"	""	""
"1723"	"撈"	"捞"	"lio阳平"	"俗"	""	""
"1724"	"撈"	"捞"	"liau阳平"	"俗"	""	""
"1725"	"嘮"	"唠"	"lau阳平"	""	""	""
"1726"	"牢"	"牢"	"lau阳平"	"文"	""	""
"1727"	"牢"	"牢"	"lo阳平"	"白"	""	""
"1728"	"牢"	"牢"	"tiau阳平"	"俗"	""	""
"1729"	"老"	"老"	"lau阳上"	"白"	""	""
"1730"	"老"	"老"	"lau阴上"	"文"	""	""
"1731"	"遭"	"遭"	"tsau阴平"	""	""	""
"1732"	"糟"	"糟"	"tsau阴平"	""	""	""
"1733"	"糟"	"糟"	"tso阴平"	""	""	""
"1734"	"早"	"早"	"tsau阴平"	"文"	""	""
"1735"	"早"	"早"	"tsa阴平"	"白"	""	""
"1736"	"棗"	"枣"	"tsau阴上"	"文"	""	""
"1737"	"棗"	"枣"	"tso阴上"	"白"	""	""
"1738"	"蚤"	"蚤"	"tsau阴上"	""	""	""
"1739"	"澡"	"澡"	"tsau阴上"	""	""	""
"1740"	"躁"	"躁"	"tsau去声"	""	""	""
"1741"	"灶"	"灶"	"tsau去声"	""	""	""
"1742"	"操"	"操"	"tsʰau阴平"	""	""	""
"1743"	"操"	"操"	"tsʰau去声"	""	""	""
"1744"	"造"	"造"	"tsau阳上"	"文"	""	""
"1745"	"造"	"造"	"tso阳上"	"白"	""	""
"1746"	"草"	"草"	"tsʰau阴上"	"文"	""	""
"1747"	"草"	"草"	"tsʰo阴上"	"白"	""	""
"1748"	"曹"	"曹"	"tsʰau阳平"	""	""	""
"1749"	"皂"	"皂"	"tsau阳上"	""	""	""
"1750"	"騷"	"骚"	"sau阴平"	""	""	""
"1751"	"臊"	"臊"	"tsʰo阴平"	"白"	""	""
"1752"	"臊"	"臊"	"sau阴平"	"文"	""	""
"1753"	"掃"	"扫"	"sau去声"	""	""	""
"1754"	"嫂"	"嫂"	"sau阴上"	"文"	""	""
"1755"	"嫂"	"嫂"	"so阴上"	"白"	""	""
"1756"	"高"	"高"	"kau阴平"	"文"	""	""
"1757"	"高"	"高"	"ko阴平"	"白"	""	""
"1758"	"膏"	"膏"	"kau阴平"	"文"	""	""
"1759"	"膏"	"膏"	"ko阴平"	"白"	""	""
"1760"	"羔"	"羔"	"kau阴平"	"文"	""	""
"1761"	"羔"	"羔"	"ko阴平"	"白"	""	""
"1762"	"糕"	"糕"	"kau阴平"	"文"	""	""
"1763"	"糕"	"糕"	"ko阴平"	"白"	""	""
"1764"	"稿"	"稿"	"kau阴上"	"文"	""	""
"1765"	"稿"	"稿"	"ko阴上"	"白"	""	""
"1766"	"告"	"告"	"kau去声"	"文"	""	""
"1767"	"告"	"告"	"ko去声"	"白"	""	""
"1768"	"考"	"考"	"kʰau阴上"	""	""	""
"1769"	"烤"	"烤"	"kʰau阴上"	""	""	""
"1770"	"靠"	"靠"	"kʰau去声"	"文"	""	""
"1771"	"靠"	"靠"	"kʰo去声"	"白"	""	""
"1772"	"犒"	"犒"	"kʰau去声"	"文"	""	""
"1773"	"犒"	"犒"	"kʰo去声"	"白"	""	""
"1774"	"熬"	"熬"	"ŋau阳平"	"文"	""	""
"1775"	"熬"	"熬"	"hau阳平"	"白"	""	""
"1776"	"傲"	"傲"	"ŋau阳上"	""	""	""
"1777"	"蒿"	"蒿"	"o阴平"	"俗"	""	""
"1778"	"蒿"	"蒿"	"hau阴平"	"文"	""	""
"1779"	"薅"	"薅"	"kʰau阴平"	"白"	""	""
"1780"	"薅"	"薅"	"hau阴平"	"文"	""	""
"1781"	"好"	"好"	"hau阴上"	"文"	""	""
"1782"	"好"	"好"	"ho阴上"	"白"	""	""
"1783"	"耗"	"耗"	"hau去声"	"文"	""	""
"1784"	"耗"	"耗"	"ho去声"	"白"	""	""
"1785"	"豪"	"豪"	"hau阳平"	""	""	""
"1786"	"毫"	"毫"	"hau阳平"	""	""	""
"1787"	"號"	"号"	"hau阴平"	"文"	""	""
"1788"	"號"	"号"	"ho去声"	"白"	""	""
"1789"	"浩"	"浩"	"hau阳上"	""	""	""
"1790"	"爊"	"爊"	"ŋau阳平"	""	""	""
"1791"	"襖"	"袄"	"au阴上"	"文"	""	""
"1792"	"襖"	"袄"	"o阴上"	"白"	""	""
"1793"	"懊"	"懊"	"au去声"	"文"	""	""
"1794"	"懊"	"懊"	"o去声"	"白"	""	""
"1795"	"奥"	"奥"	"au去声"	"文"	""	""
"1796"	"奥"	"奥"	"o去声"	"白"	""	""
"1797"	"包"	"包"	"pau阴平"	""	""	""
"1798"	"胞"	"胞"	"pau阴平"	""	""	""
"1799"	"飽"	"饱"	"pau阴上"	"文"	""	""
"1800"	"飽"	"饱"	"pa阴上"	"白"	""	""
"1801"	"豹"	"豹"	"pau去声"	"文"	""	""
"1802"	"豹"	"豹"	"pa去声"	"白"	""	""
"1803"	"爆"	"爆"	"pau阳上"	""	""	""
"1804"	"爆"	"爆"	"pʰok阴入"	""	""	""
"1805"	"泡"	"泡"	"pʰau去声"	"文"	""	""
"1806"	"泡"	"泡"	"pʰau阴平"	"文"	""	""
"1807"	"泡"	"泡"	"pʰa阳上"	"白"	""	""
"1808"	"抛"	"抛"	"pʰau阴平"	"文"	""	""
"1809"	"抛"	"抛"	"pʰa阴平"	"白"	""	""
"1810"	"炮"	"炮"	"pʰau去声"	""	""	""
"1811"	"跑"	"跑"	"pʰau阴上"	""	""	""
"1812"	"鮑"	"鲍"	"pau阳上"	""	""	""
"1813"	"刨"	"刨"	"pau阴平"	""	""	""
"1814"	"茅"	"茅"	"mau阳平"	""	""	""
"1815"	"貓"	"猫"	"ŋiau阴平"	"文"	""	""
"1816"	"貓"	"猫"	"mau阴平"	"文"	""	""
"1817"	"貓"	"猫"	"ba阴平"	"白"	""	""
"1818"	"卯"	"卯"	"bau阴上"	""	""	""
"1819"	"貌"	"貌"	"mau阳上"	""	""	""
"1820"	"鐃"	"铙"	"nau阴平"	""	""	""
"1821"	"撓"	"挠"	"ŋiau阴平"	"俗"	""	""
"1822"	"撓"	"挠"	"nau阴平"	"文"	""	""
"1823"	"撓"	"挠"	"la阳上"	"白"	""	""
"1824"	"鬧"	"闹"	"lau去声"	""	""	""
"1825"	"鬧"	"闹"	"nau阳上"	""	""	""
"1826"	"鬧"	"闹"	"nau去声"	""	""	""
"1827"	"罩"	"罩"	"tsau去声"	"文"	""	""
"1828"	"罩"	"罩"	"tã去声"	"白"	""	""
"1829"	"抓"	"抓"	"tsau阴上"	""	""	""
"1830"	"抓"	"抓"	"tsiau阴上"	""	""	""
"1831"	"爪"	"爪"	"dziau阴上"	""	""	""
"1832"	"找"	"找"	"tsau阳上"	"文"	""	""
"1833"	"找"	"找"	"tau阴上"	"俗"	""	""
"1834"	"笊"	"笊"	"tsau阴上"	""	""	""
"1835"	"抄"	"抄"	"tsʰau阴平"	""	""	""
"1836"	"鈔"	"钞"	"tsʰau阴平"	""	""	""
"1837"	"炒"	"炒"	"tsʰa阴上"	"白"	""	""
"1838"	"炒"	"炒"	"tsʰau阴上"	"文"	""	""
"1839"	"吵"	"吵"	"tsʰau阴平"	""	""	""
"1840"	"巢"	"巢"	"tsʰau阳平"	""	""	""
"1841"	"梢"	"梢"	"sau阴平"	""	""	""
"1842"	"梢"	"梢"	"siau阴平"	"又"	""	""
"1843"	"捎"	"捎"	"sau阴平"	""	""	""
"1844"	"捎"	"捎"	"siau阴平"	"又"	""	""
"1845"	"稍"	"稍"	"siau阴上"	""	""	""
"1846"	"稍"	"稍"	"siau阴平"	"又"	""	""
"1847"	"潲"	"潲"	"sau去声"	""	""	""
"1848"	"交"	"交"	"kau阴平"	""	""	""
"1849"	"郊"	"郊"	"kau阴平"	""	""	""
"1850"	"膠"	"胶"	"ka阴平"	""	""	""
"1851"	"教"	"教"	"ka去声"	"白"	""	""
"1852"	"教"	"教"	"kau去声"	"文"	""	""
"1853"	"絞"	"绞"	"ka阴上"	"白"	""	""
"1854"	"絞"	"绞"	"kau阴上"	"文"	""	""
"1855"	"狡"	"狡"	"kau阴上"	""	""	""
"1856"	"鉸"	"铰"	"ka阴平"	""	""	""
"1857"	"搞"	"搞"	"kau阴上"	"文"	""	""
"1858"	"搞"	"搞"	"kiau阴上"	"文"	""	""
"1859"	"攪"	"搅"	"ka阴上"	"白"	""	""
"1860"	"攪"	"搅"	"kiau阴上"	"文"	""	""
"1861"	"較"	"较"	"ka去声"	"白"	""	""
"1862"	"較"	"较"	"kau去声"	"文"	""	""
"1863"	"較"	"较"	"kaʔ阴入"	"文"	""	""
"1864"	"較"	"较"	"kʰaʔ阴入"	"文"	""	""
"1865"	"酵"	"酵"	"kã去声"	""	""	""
"1866"	"窖"	"窖"	"ka去声"	"白"	""	""
"1867"	"窖"	"窖"	"kiau去声"	"文"	""	""
"1868"	"校"	"校"	"ka去声"	"白"	""	""
"1869"	"校"	"校"	"hau阳上"	"文"	""	""
"1870"	"覺"	"觉"	"kak阴入"	""	""	""
"1871"	"敲"	"敲"	"kʰa去声"	"白"	""	""
"1872"	"敲"	"敲"	"kʰiau阴平"	"文"	""	""
"1873"	"巧"	"巧"	"kʰa阴上"	"白"	""	""
"1874"	"巧"	"巧"	"kʰiau阴上"	"文"	""	""
"1875"	"咬"	"咬"	"ka阳上"	""	""	""
"1876"	"咬"	"咬"	"ŋauʔ阴入"	"又"	""	""
"1877"	"孝"	"孝"	"ha去声"	"白"	""	""
"1878"	"孝"	"孝"	"hau去声"	"文"	""	""
"1879"	"肴"	"肴"	"iau阳平"	""	""	""
"1880"	"淆"	"淆"	"hiau阳平"	""	""	""
"1881"	"效"	"效"	"hau去声"	""	""	""
"1882"	"坳"	"坳"	"au阴平"	""	""	""
"1883"	"拗"	"拗"	"au阴上"	"文"	""	""
"1884"	"拗"	"拗"	"a阴上"	"白"	""	""
"1885"	"飈"	"飙"	"piau阴平"	""	""	""
"1886"	"標"	"标"	"pio阴平"	"白"	""	""
"1887"	"標"	"标"	"piau阴平"	"文"	""	""
"1888"	"標"	"标"	"pʰiau阴平"	"又"	""	""
"1889"	"表"	"表"	"pio阴上"	"白"	""	""
"1890"	"表"	"表"	"piau阴上"	"文"	""	""
"1891"	"錶"	"表"	"pio阴上"	"白"	""	""
"1892"	"錶"	"表"	"piau阴上"	"文"	""	""
"1893"	"錶"	"表"	"pio阴平"	"又"	""	""
"1894"	"飄"	"飘"	"pʰiau阴平"	""	""	""
"1895"	"漂"	"漂"	"pʰiau阴平"	"文"	""	""
"1896"	"漂"	"漂"	"pʰiau去声"	"文"	""	""
"1897"	"漂"	"漂"	"pʰio去声"	"白"	""	""
"1898"	"漂"	"漂"	"pʰiu去声"	"又"	""	""
"1899"	"票"	"票"	"pʰio去声"	"白"	""	""
"1900"	"票"	"票"	"pʰiau去声"	"文"	""	""
"1901"	"嫖"	"嫖"	"pʰiau阳平"	""	""	""
"1902"	"瓢"	"瓢"	"pʰiau阳平"	""	""	""
"1903"	"鰾"	"鳔"	"pio阳上"	""	""	""
"1904"	"鰾"	"鳔"	"piau阳上"	""	""	""
"1905"	"描"	"描"	"bio阳平"	"白"	""	""
"1906"	"描"	"描"	"miau阳平"	"文"	""	""
"1907"	"苗"	"苗"	"bio阳平"	"白"	""	""
"1908"	"苗"	"苗"	"miau阳平"	"文"	""	""
"1909"	"貓"	"猫"	"ŋiau阳平"	"文"	""	""
"1910"	"貓"	"猫"	"ba阳平"	"白"	""	""
"1911"	"藐"	"藐"	"mau阳上"	""	""	""
"1912"	"渺"	"渺"	"miau阴上"	""	""	""
"1913"	"秒"	"秒"	"miau阴上"	""	""	""
"1914"	"秒"	"秒"	"bio阴上"	""	""	""
"1915"	"廟"	"庙"	"bio去声"	"白"	""	""
"1916"	"廟"	"庙"	"miau去声"	"文"	""	""
"1917"	"妙"	"妙"	"miau阳上"	""	""	""
"1918"	"燎"	"燎"	"liau阳平"	""	""	""
"1919"	"焦"	"焦"	"tsiau阴平"	""	""	""
"1920"	"椒"	"椒"	"tsio阴平"	""	""	""
"1921"	"剿"	"剿"	"tsiau阴上"	""	""	""
"1922"	"鍬"	"锹"	"tsʰiau阴平"	"文"	""	""
"1923"	"鍬"	"锹"	"tsʰiu阴平"	"又"	""	""
"1924"	"繰"	"缲"	"sau阴平"	""	""	""
"1925"	"悄"	"悄"	"tsʰiau阴上"	""	""	""
"1926"	"俏"	"俏"	"tsʰiau去声"	""	""	""
"1927"	"樵"	"樵"	"tsiau阴平"	""	""	""
"1928"	"瞧"	"瞧"	"tsʰiau阳平"	""	""	""
"1929"	"消"	"消"	"siau阴平"	""	""	""
"1930"	"宵"	"宵"	"siau阴平"	""	""	""
"1931"	"霄"	"霄"	"siau阴平"	"文"	""	""
"1932"	"霄"	"霄"	"sio阴平"	"白"	""	""
"1933"	"硝"	"硝"	"siau阴平"	""	""	""
"1934"	"銷"	"销"	"siau阴平"	""	""	""
"1935"	"小"	"小"	"siau阴上"	"文"	""	""
"1936"	"小"	"小"	"sio阴上"	"白"	""	""
"1937"	"笑"	"笑"	"tsʰio阴平"	"白"	""	""
"1938"	"笑"	"笑"	"siau阴平"	"文"	""	""
"1939"	"鞘"	"鞘"	"sau阴平"	""	""	""
"1940"	"鞘"	"鞘"	"siau阴平"	""	""	""
"1941"	"朝"	"朝"	"tsʰiau阳平"	""	""	""
"1942"	"朝"	"朝"	"tsiau阴平"	""	""	""
"1943"	"超"	"超"	"tʰiau阴平"	""	""	""
"1944"	"超"	"超"	"tʰiau阳平"	""	""	""
"1945"	"潮"	"潮"	"tio阳平"	"白"	""	""
"1946"	"潮"	"潮"	"tiau阳平"	"文"	""	""
"1947"	"趙"	"赵"	"tio阳上"	"白"	""	""
"1948"	"趙"	"赵"	"tsiau阳上"	"文"	""	""
"1949"	"兆"	"兆"	"tiau阳上"	"白"	""	""
"1950"	"兆"	"兆"	"tsiau阳上"	"文"	""	""
"1951"	"肇"	"肇"	"tiau阳上"	"白"	""	""
"1952"	"肇"	"肇"	"tsiau阳上"	"文"	""	""
"1953"	"召"	"召"	"tiau去声"	"白"	""	""
"1954"	"召"	"召"	"tsiau去声"	"文"	""	""
"1955"	"昭"	"昭"	"tsiau阴平"	""	""	""
"1956"	"招"	"招"	"tsiau阴平"	"文"	""	""
"1957"	"招"	"招"	"tsio阴平"	"白"	""	""
"1958"	"沼"	"沼"	"tsiau阴上"	""	""	""
"1959"	"照"	"照"	"tsio去声"	"白"	""	""
"1960"	"照"	"照"	"tsiau去声"	"文"	""	""
"1961"	"詔"	"诏"	"tsiau去声"	""	""	""
"1962"	"燒"	"烧"	"sio阴平"	""	""	""
"1963"	"少"	"少"	"tsio阴上"	"白"	""	""
"1964"	"少"	"少"	"siau阴上"	"文"	""	""
"1965"	"少"	"少"	"siau去声"	"文"	""	""
"1966"	"韶"	"韶"	"siau去声"	""	""	""
"1967"	"韶"	"韶"	"siau阴平"	""	""	""
"1968"	"紹"	"绍"	"siau阳上"	""	""	""
"1969"	"邵"	"邵"	"siau阳上"	"文"	""	""
"1970"	"邵"	"邵"	"sio去声"	"白"	""	""
"1971"	"饒"	"饶"	"dziau阳平"	""	""	""
"1972"	"擾"	"扰"	"dziau阴上"	""	""	""
"1973"	"繞"	"绕"	"dziau去声"	""	""	""
"1974"	"驕"	"骄"	"kiau阴平"	""	""	""
"1975"	"嬌"	"娇"	"kiau阴平"	""	""	""
"1976"	"矯"	"矫"	"kiau阴上"	""	""	""
"1977"	"喬"	"乔"	"kʰiau阳平"	""	""	""
"1978"	"橋"	"桥"	"kio阳平"	"白"	""	""
"1979"	"橋"	"桥"	"kiau阳平"	"文"	""	""
"1980"	"轎"	"轿"	"kio去声"	"白"	""	""
"1981"	"轎"	"轿"	"kiau去声"	"文"	""	""
"1982"	"囂"	"嚣"	"hiau阴平"	""	""	""
"1983"	"枵"	"枵"	"iau阴平"	""	""	""
"1984"	"妖"	"妖"	"iau阴平"	""	""	""
"1985"	"邀"	"邀"	"iau阴平"	""	""	""
"1986"	"邀"	"邀"	"kiau阴平"	""	""	""
"1987"	"腰"	"腰"	"io阴平"	""	""	""
"1988"	"要"	"要"	"iau阴平"	""	""	""
"1989"	"要"	"要"	"iau去声"	""	""	""
"1990"	"夭"	"夭"	"iau阴平"	""	""	""
"1991"	"搖"	"摇"	"iau阳平"	"文"	""	""
"1992"	"搖"	"摇"	"io阳平"	"白"	""	""
"1993"	"搖"	"摇"	"io去声"	"白"	""	""
"1994"	"謠"	"谣"	"iau阳平"	""	""	""
"1995"	"窯"	"窑"	"io阳平"	""	""	""
"1996"	"姚"	"姚"	"iau阳平"	"文"	""	""
"1997"	"姚"	"姚"	"io阳平"	"白"	""	""
"1998"	"舀"	"舀"	"io阴上"	""	""	""
"1999"	"耀"	"耀"	"iau阳上"	""	""	""
"2000"	"刁"	"刁"	"tiau阴平"	""	""	""
"2001"	"貂"	"貂"	"tiau阴平"	""	""	""
"2002"	"雕"	"雕"	"tiau阴平"	""	""	""
"2003"	"鳥"	"鸟"	"tsiau阴上"	""	""	""
"2004"	"吊"	"吊"	"tiau去声"	""	""	""
"2005"	"釣"	"钓"	"tio去声"	"白"	""	""
"2006"	"釣"	"钓"	"tiau去声"	"文"	""	""
"2007"	"挑"	"挑"	"tʰiau阴平"	"文"	""	""
"2008"	"挑"	"挑"	"tʰio阴平"	"白"	""	""
"2009"	"跳"	"跳"	"tʰiau去声"	"文"	""	""
"2010"	"跳"	"跳"	"tio阳平"	"白"	""	""
"2011"	"跳"	"跳"	"tio去声"	"白"	""	""
"2012"	"糶"	"粜"	"tʰio去声"	""	""	""
"2013"	"條"	"条"	"tiau阳平"	""	""	""
"2014"	"調"	"调"	"tiau去声"	""	""	""
"2015"	"調"	"调"	"tʰiau阳平"	""	""	""
"2016"	"掉"	"掉"	"tiau去声"	""	""	""
"2017"	"尿"	"尿"	"dzio去声"	""	""	""
"2018"	"尿"	"尿"	"sui阴平"	"文"	""	""
"2019"	"尿"	"尿"	"su阴平"	"白"	""	""
"2020"	"聊"	"聊"	"liau阳平"	""	""	""
"2021"	"遼"	"辽"	"liau阳平"	""	""	""
"2022"	"撩"	"撩"	"liau阳平"	""	""	""
"2023"	"寥"	"寥"	"liau阳平"	""	""	""
"2024"	"廖"	"廖"	"liau去声"	""	""	""
"2025"	"了"	"了"	"liau阴上"	""	""	""
"2026"	"了"	"了"	"liau去声"	""	""	""
"2027"	"瞭"	"瞭"	"liau阳平"	""	""	""
"2028"	"瞭"	"瞭"	"liau阴上"	""	""	""
"2029"	"料"	"料"	"liau去声"	""	""	""
"2030"	"簫"	"箫"	"siau阴平"	""	""	""
"2031"	"蕭"	"萧"	"siau阴平"	""	""	""
"2032"	"嘯"	"啸"	"siau去声"	""	""	""
"2033"	"澆"	"浇"	"kiau阴平"	""	""	""
"2034"	"繳"	"缴"	"kiau阴上"	""	""	""
"2035"	"叫"	"叫"	"kio去声"	""	""	""
"2036"	"竅"	"窍"	"kʰiau去声"	""	""	""
"2037"	"堯"	"尧"	"ŋiau阳平"	""	""	""
"2038"	"曉"	"晓"	"hiau阴上"	""	""	""
"2039"	"么"	"么"	"iau阴平"	"文"	""	""
"2040"	"么"	"么"	"io阴平"	"白"	""	""
"2041"	"杳"	"杳"	"iau阴上"	""	""	""
"2042"	"剖"	"剖"	"pʰou阴上"	"文"	""	""
"2043"	"剖"	"剖"	"pʰau阴上"	"白"	""	""
"2044"	"某"	"某"	"mou阴上"	""	""	""
"2045"	"畝"	"亩"	"bou阴上"	""	""	""
"2046"	"牡"	"牡"	"bou阴上"	""	""	""
"2047"	"拇"	"拇"	"m阴上"	""	""	""
"2048"	"拇"	"拇"	"bo阴上"	"又"	""	""
"2049"	"拇"	"拇"	"mu阴上"	"文"	""	""
"2050"	"母"	"母"	"bo阴上"	"白"	""	""
"2051"	"母"	"母"	"m阴上"	"白"	""	""
"2052"	"母"	"母"	"bou阴上"	"白"	""	""
"2053"	"母"	"母"	"mu阴上"	"文"	""	""
"2054"	"茂"	"茂"	"mou阳上"	"文"	""	""
"2055"	"茂"	"茂"	"mau阳上"	"白"	""	""
"2056"	"戊"	"戊"	"bou去声"	""	""	""
"2057"	"貿"	"贸"	"mou去声"	"文"	""	""
"2058"	"貿"	"贸"	"mau去声"	"白"	""	""
"2059"	"兜"	"兜"	"tou阴平"	"文"	""	""
"2060"	"兜"	"兜"	"tau阴平"	"白"	""	""
"2061"	"斗"	"斗"	"tou去声"	"文"	""	""
"2062"	"斗"	"斗"	"tau去声"	"白"	""	""
"2063"	"斗"	"斗"	"tau阴上"	"又"	""	""
"2064"	"抖"	"抖"	"tou阴上"	"文"	""	""
"2065"	"抖"	"抖"	"tau阴上"	"白"	""	""
"2066"	"陡"	"陡"	"tou阴上"	"文"	""	""
