單字	粵拼	聲母_定	韻母_定	聲調_定	江拼	聲母_定	韻母_定	聲調_定	IPA(寬)	聲母_定	韻母_定	聲調_定	備註
家		g	u	1		g	u	1		k	u	23	曹大家
估		g	u	2		g	u	3		k	u	35	估計
古		g	u	2		g	u	3		k	u	35	
股		g	u	2		g	u	3		k	u	35	
詁		g	u	2		g	u	3		k	u	35	
鼓		g	u	2		g	u	3		k	u	35	
賈		g	u	2		g	u	3		k	u	35	商賈
居		g	ui	1		g	ui	1		k	ui	23	
車		g	ui	1		g	ui	1		k	ui	23	車馬炮
据		g	ui	1		g	ui	1		k	ui	23	
踞		g	ui	1		g	ui	1		k	ui	23	
據		g	ui	1		g	ui	1		k	ui	23	
鋸		g	ui	1		g	ui	1		k	ui	23	
瞿		g	ui	1		g	ui	1		k	ui	23	瞿然一驚
句		g	ui	1		g	ui	1		k	ui	23	
莒		g	ui	2		g	ui	3		k	ui	35	
舉		g	ui	2		g	ui	3		k	ui	35	
櫸		g	ui	2		g	ui	3		k	ui	35	
矩		g	ui	2		g	ui	3		k	ui	35	
遽		g	ui	6		g	ui	4		k	ui	31	
巨		g	ui	6		g	ui	4		k	ui	31	
炬		g	ui	6		g	ui	4		k	ui	31	
鉅		g	ui	6		g	ui	4		k	ui	31	
具		g	ui	6		g	ui	4		k	ui	31	
懼		g	ui	6		g	ui	4		k	ui	31	
局		g	uk	8		g	uk	8		k	ʊk	31	
掬		g	uk	7A		g	uk	6		k	ʊk	35	
鞠		g	uk	7A		g	uk	6		k	ʊk	35	
菊		g	uk	7A		g	uk	6		k	ʊk	35	
谷		g	uk	7A		g	uk	6		k	ʊk	35	山谷
穀		g	uk	7A		g	uk	6		k	ʊk	35	
官		g	waan	1		g	uan	1		k	uan	23	
冠		g	waan	1		g	uan	1		k	uan	23	
倌		g	waan	1		g	uan	1		k	uan	23	
棺		g	waan	1		g	uan	1		k	uan	23	
觀		g	waan	1		g	uan	1		k	uan	23	
貫		g	waan	1		g	uan	1		k	uan	23	
灌		g	waan	1		g	uan	1		k	uan	23	
罐		g	waan	1		g	uan	1		k	uan	23	
鸛		g	waan	1		g	uan	1		k	uan	23	
館		g	waan	2		g	uan	3		k	uan	35	
管		g	waan	2		g	uan	3		k	uan	35	
弓		g	ung	1		g	ung	1		k	ʊŋ	23	
躬		g	ung	1		g	ung	1		k	ʊŋ	23	
宮		g	ung	1		g	ung	1		k	ʊŋ	23	
恭		g	ung	1		g	ung	1		k	ʊŋ	23	
供		g	ung	1		g	ung	1		k	ʊŋ	23	
工		g	ung	1		g	ung	1		k	ʊŋ	23	
公		g	ung	1		g	ung	1		k	ʊŋ	23	
公		g	ung	5		g	ung	5		k	ʊŋ	21	變調
功		g	ung	1		g	ung	1		k	ʊŋ	23	
攻		g	ung	1		g	ung	1		k	ʊŋ	23	
蚣		g	ung	1		g	ung	1		k	ʊŋ	23	
貢		g	ung	1		g	ung	1		k	ʊŋ	23	
紅		g	ung	1		g	ung	1		k	ʊŋ	23	女紅
拱		g	ung	2		g	ung	3		k	ʊŋ	35	
鞏		g	ung	2		g	ung	3		k	ʊŋ	35	
共		g	ung	6		g	ung	4		k	ʊŋ	31	
瓜		gw	aa	1		gu	a	1		kw	a	23	
卦		gw	aa	1		gu	a	1		kw	a	23	
掛		gw	aa	1		gu	a	1		kw	a	23	
呱		gw	aa	1		gu	a	1		kw	a	23	
褂		gw	aa	1		gu	a	1		kw	a	23	
寡		gw	aa	2		gu	a	3		kw	a	35	
乖		gw	aai	1		gu	ai	1		kw	ai	23	
怪		gw	aai	1		gu	ai	1		kw	ai	23	
枴		gw	aai	2		gu	ai	3		kw	ai	35	
拐		gw	aai	2		gu	ai	3		kw	ai	35	
綸		gw	aan	1		gu	an	1		kw	an	23	綸巾
關		gw	aan	1		gu	an	1		kw	an	23	
慣		gw	aan	1		gu	an	1		kw	an	23	
刮		gw	et	7B		gu	et	7		kw	ɛt	23	
颳		gw	et	7B		gu	et	7		kw	ɛt	23	
圭		gw	i	1		gu	i	1		kw	i	23	
閨		gw	i	1		gu	i	1		kw	i	23	
鮭		gw	i	1		gu	i	1		kw	i	23	
桂		gw	i	1		gu	i	1		kw	i	23	
鱖		gw	i	1		gu	i	1		kw	i	23	
季		gw	i	1		gu	i	1		kw	i	23	
癸		gw	i	1		gu	i	1		kw	i	23	
悸		gw	i	1		gu	i	1		kw	i	23	
龜		gw	i	1		gu	i	1		kw	i	23	
歸		gw	i	1		gu	i	1		kw	i	23	
貴		gw	i	1		gu	i	1		kw	i	23	
傀		gw	i	1		gu	i	1		kw	i	23	傀偉
瑰		gw	i	1		gu	i	1		kw	i	23	
詭		gw	i	2		gu	i	3		kw	i	35	
軌		gw	i	2		gu	i	3		kw	i	35	
晷		gw	i	2		gu	i	3		kw	i	35	
鬼		gw	i	2		gu	i	3		kw	i	35	
跪		gw	i	6		gu	i	4		kw	i	31	
櫃		gw	i	6		gu	i	4		kw	i	31	
匱		gw	i	6		gu	i	4		kw	i	31	
餽		gw	i	6		gu	i	4		kw	i	31	
饋		gw	i	6		gu	i	4		kw	i	31	
均		gw	an	1		gu	aen	1		kw	ɐn	23	
鈞		gw	an	1		gu	aen	1		kw	ɐn	23	
君		gw	an	1		gu	aen	1		kw	ɐn	23	
軍		gw	an	1		gu	aen	1		kw	ɐn	23	
棍		gw	an	1		gu	aen	1		kw	ɐn	23	
龜		gw	an	1		gu	aen	1		kw	ɐn	23	
滾		gw	an	2		gu	aen	3		kw	ɐn	35	
郡		gw	an	6		gu	aen	4		kw	ɐn	31	
轟		gw	aang	1		gu	ang	1		kw	aŋ	23	
肱		gw	aang	1		gu	ang	1		kw	aŋ	23	
梗		gw	aang	2		gu	ang	3		kw	aŋ	35	
逛		gw	aang	6		gu	ang	4		kw	aŋ	31	
倔		gw	at	8		gu	aet	8		kw	ɐt	31	
掘		gw	at	8		gu	aet	8		kw	ɐt	31	
崛		gw	at	8		gu	aet	8		kw	ɐt	31	
骨		gw	at	7A		gu	aet	6		kw	ɐt	35	
滑		gw	at	7A		gu	aet	6		kw	ɐt	35	滑稽
蝦		h	aa	1		h	a	1		h	a	23	蝦蟆
哈		h	aa	1		h	a	1		h	a	23	
他		h	aa	1		h	a	1		h	a	23	
它		h	aa	1		h	a	1		h	a	23	
她		h	aa	1		h	a	1		h	a	23	
牠		h	aa	1		h	a	1		h	a	23	
祂		h	aa	1		h	a	1		h	a	23	
蛤		h	aa	1		h	a	1		h	a	23	蛤蟆
遐		h	aa	4		h	a	2		h	a	22	
瑕		h	aa	4		h	a	2		h	a	22	
霞		h	aa	4		h	a	2		h	a	22	
下		h	aa	5		h	a	5		h	a	21	打一下
蝦		h	aa	5		h	a	5		h	a	21	蝦米
暇		h	aa	6		h	a	4		h	a	31	
下		h	aa	6		h	a	4		h	a	31	下面
廈		h	aa	6		h	a	4		h	a	31	
夏		h	aa	6		h	a	4		h	a	31	
邂		h	aai	1		h	ai	1		h	ai	23	
太		h	aai	1		h	ai	1		h	ai	23	
汰		h	aai	1		h	ai	1		h	ai	23	
泰		h	aai	1		h	ai	1		h	ai	23	
貸		h	aai	1		h	ai	1		h	ai	23	
態		h	aai	1		h	ai	1		h	ai	23	
蟹		h	aai	2		h	ai	3		h	ai	35	
鞋		h	aai	4		h	ai	2		h	ai	22	
蟹		h	aai	5		h	ai	5		h	ai	21	
骸		h	aai	4		h	ai	2		h	ai	22	
諧		h	aai	4		h	ai	2		h	ai	22	
孩		h	aai	4		h	ai	2		h	ai	22	
懈		h	aai	6		h	ai	4		h	ai	31	
解		h	aai	6		h	ai	4		h	ai	31	姓解
械		h	aai	6		h	ai	4		h	ai	31	
貪		h	aam	1		h	am	1		h	am	23	
探		h	aam	1		h	am	1		h	am	23	
淡		h	aam	1		h	am	1		h	am	23	好淡
喊		h	aam	1		h	am	1		h	am	23	
咸		h	aam	4		h	am	2		h	am	22	
銜		h	aam	4		h	am	2		h	am	22	
鹹		h	em	4		h	em	2		h	ɛm	22	
潭		h	aam	4		h	am	2		h	am	22	
譚		h	aam	4		h	am	2		h	am	22	
函		h	aam	4		h	am	2		h	am	22	
涵		h	aam	4		h	am	2		h	am	22	
痰		h	aam	4		h	am	2		h	am	22	
談		h	aam	4		h	am	2		h	am	22	
罈		h	aam	4		h	am	2		h	am	22	
餡		h	aam	5		h	am	5		h	am	21	
陷		h	aam	6		h	am	4		h	am	31	
攤		h	aan	1		h	an	1		h	an	23	
灘		h	aan	1		h	an	1		h	an	23	
嘆		h	aan	1		h	an	1		h	an	23	
炭		h	aan	1		h	an	1		h	an	23	
歎		h	aan	1		h	an	1		h	an	23	
癱		h	aan	1		h	an	1		h	an	23	
碳		h	aan	1		h	an	1		h	an	23	
毯		h	aan	2		h	an	3		h	an	35	
袒		h	aan	2		h	an	3		h	an	35	
坦		h	aan	2		h	an	3		h	an	35	
忐		h	aan	2		h	an	3		h	an	35	
閒		h	aan	4		h	an	2		h	an	22	
彈		h	aan	4		h	an	2		h	an	22	彈劾
壇		h	aan	4		h	an	2		h	an	22	
檀		h	aan	4		h	an	2		h	an	22	
嫻		h	aan	4		h	an	2		h	an	22	
限		h	aan	6		h	an	4		h	an	31	
峽		h	aap	8		h	ap	8		h	ap	31	
狹		h	aap	8		h	ap	8		h	ap	31	
匣		h	aap	8		h	ap	8		h	ap	31	
掐		h	aap	7B		h	ap	7		h	ap	23	
塔		h	aap	7B		h	ap	7		h	ap	23	
榻		h	aap	7B		h	ap	7		h	ap	23	
塌		h	aap	7B		h	ap	7		h	ap	23	
酵		h	iaau	1		h	iau	1		h	iau	23	
敲		h	iaau	1		h	iau	1		h	iau	23	
敲		k	iaau	1		k	iau	1		kʰ	iau	23	白讀
哮		h	iaau	1		h	iau	1		h	iau	23	
孝		h	iaau	1		h	iau	1		h	iau	23	
拷		h	iaau	1		h	iau	1		h	iau	23	
烤		h	iaau	1		h	iau	1		h	iau	23	
巧		h	iaau	2		h	iau	3		h	iau	35	
考		h	aau	2		h	au	3		h	au	35	
校		h	iaau	6		h	iau	4		h	iau	31	學校
效		h	iaau	6		h	iau	4		h	iau	31	
梯		h	e	1		h	e	1		h	ɛ	23	
嚏		h	oi	1		h	oi	1		h	ɔi	23	
剃		h	oi	1		h	oi	1		h	ɔi	23	
替		h	oi	1		h	oi	1		h	ɔi	23	
涕		h	oi	1		h	oi	1		h	ɔi	23	
屜		h	oi	1		h	oi	1		h	ɔi	23	
體		h	oi	2		h	oi	3		h	ɔi	35	
睇		h	e	2		h	e	3		h	ɛ	35	看
啼		h	oi	4		h	oi	2		h	ɔi	22	
蹄		h	oi	4		h	oi	2		h	ɔi	22	
題		h	oi	4		h	oi	2		h	ɔi	22	
兮		h	oi	4		h	oi	2		h	ɔi	22	
奚		h	oi	4		h	oi	2		h	ɔi	22	
堤		h	oi	4		h	oi	2		h	ɔi	22	
提		h	oi	4		h	oi	2		h	ɔi	22	
係		h	oi	6		h	oi	4		h	ɔi	31	
繫		h	oi	6		h	oi	4		h	ɔi	31	
系		h	oi	6		h	oi	4		h	ɔi	31	
喀		h	aak	7A		h	ak	6		h	ak	35	
客		h	aak	7A		h	ak	6		h	ak	35	
赫		h	aak	7A		h	ak	6		h	ak	35	
克		h	aak	7A		h	ak	6		h	ak	35	
刻		h	aak	7A		h	ak	6		h	ak	35	
剋		h	aak	7A		h	ak	6		h	ak	35	
黑		h	aak	7A		h	ak	6		h	ak	35	
嘿		h	aak	7A		h	ak	6		h	ak	35	嘿嘿
可		h	aak	7A		h	ak	6		h	ak	35	可汗
嚇		h	aak	7B		h	ak	7		h	ak	23	
咯		h	aak	7B		h	ak	7		h	ak	23	咯血
堪		h	aam	1		h	am	1		h	am	23	
龕		h	aam	1		h	am	1		h	am	23	
勘		h	am	1		h	aem	1		h	ɐm	23	
瞰		h	aam	1		h	am	1		h	am	23	
憨		h	aam	1		h	am	1		h	am	23	
崁		h	aam	1		h	am	1		h	am	23	
坎		h	aam	2		h	am	3		h	am	35	
砍		h	aam	2		h	am	3		h	am	35	
含		h	aam	4		h	am	2		h	am	22	
酣		h	aam	4		h	am	2		h	am	22	
嵌		h	am	6		h	aem	4		h	ɐm	31	
憾		h	aam	6		h	am	4		h	am	31	
撼		h	aam	6		h	am	4		h	am	31	
冚		h	am	6		h	aem	4		h	ɐm	31	全部
冚		h	am	5		h	aem	5		h	ɐm	21	冚家鏟
吞		h	an	1		h	aen	1		h	ɐn	23	
褪		h	an	1		h	aen	1		h	ɐn	23	褪落來
墾		h	an	2		h	aen	3		h	ɐn	35	
懇		h	an	2		h	aen	3		h	ɐn	35	
很		h	an	2		h	aen	3		h	ɐn	35	
狠		h	an	2		h	aen	3		h	ɐn	35	
盾		h	an	5		h	aen	5		h	ɐn	21	
痕		h	an	4		h	aen	2		h	ɐn	22	
恨		h	an	6		h	aen	4		h	ɐn	31	
坑		h	aang	1		h	ang	1		h	aŋ	23	
桁		h	aang	1		h	ang	1		h	aŋ	23	三桁瓦，地名
桁		p	aang	1		p	ang	1		pʰ	aŋ	23	三桁瓦，地名，連讀
亨		h	aang	1		h	ang	1		h	aŋ	23	
鏗		h	aang	1		h	ang	1		h	aŋ	23	
哼		h	aang	1		h	ang	1		h	aŋ	23	哼歌
肯		h	aang	2		h	ang	3		h	aŋ	35	
啃		h	aang	2		h	ang	3		h	aŋ	35	
衡		h	aang	4		h	ang	2		h	aŋ	22	
行		h	aang	4		h	ang	2		h	aŋ	22	步行
藤		h	aang	4		h	ang	2		h	aŋ	22	
騰		h	aang	4		h	ang	2		h	aŋ	22	
恆		h	aang	4		h	ang	2		h	aŋ	22	
疼		h	aang	4		h	ang	2		h	aŋ	22	疼痛
籐		h	aang	4		h	ang	2		h	aŋ	22	
行		h	aang	6		h	ang	4		h	aŋ	31	品行
杏		h	aang	6		h	ang	4		h	aŋ	31	
幸		h	aang	6		h	ang	4		h	aŋ	31	
倖		h	aang	6		h	ang	4		h	aŋ	31	
俠		h	ap	8		h	aep	8		h	ɐp	31	
磕		h	aap	8		h	ap	8		h	ap	31	
合		h	aap	8		h	ap	8		h	ap	31	合格
盒		h	aap	8		h	ap	8		h	ap	31	
闔		h	aap	8		h	ap	8		h	ap	31	
閤		h	ap	8		h	aep	8		h	ɐp	31	閤眼
恰		h	ap	7A		h	aep	6		h	ɐp	35	
洽		h	ap	7A		h	aep	6		h	ɐp	35	
嗑		h	aap	7A		h	ap	6		h	ap	35	
瞌		h	ap	7A		h	aep	6		h	ɐp	35	
核		h	at	8		h	aet	8		h	ɐt	31	
劾		h	at	8		h	aet	8		h	ɐt	31	
瞎		h	at	8		h	aet	8		h	ɐt	31	
轄		h	at	8		h	aet	8		h	ɐt	31	
覈		h	at	8		h	aet	8		h	ɐt	31	
乞		h	at	7A		h	aet	6		h	ɐt	35	
偷		h	ou	1		h	ou	1		h	ou	23	
透		h	ou	1		h	ou	1		h	ou	23	
厚		h	ou	1		h	ou	1		h	ou	23	
吼		h	ou	1		h	ou	1		h	ou	23	
口		h	ou	2		h	ou	3		h	ou	35	
投		h	ou	4		h	ou	2		h	ou	22	
頭		h	ou	4		h	ou	2		h	ou	22	
侯		h	ou	4		h	ou	2		h	ou	22	
喉		h	ou	4		h	ou	2		h	ou	22	
猴		h	ou	4		h	ou	2		h	ou	22	
逅		h	ou	6		h	ou	4		h	ou	31	
候		h	ou	6		h	ou	4		h	ou	31	
后		h	ou	6		h	ou	4		h	ou	31	
後		h	ou	6		h	ou	4		h	ou	31	
靴		h	iaa	1		h	ia	1		h	ia	23	
憩		h	ei	1		h	ei	1		h	ei	23	
欺		h	ei	1		h	ei	1		h	ei	23	
熙		h	ei	1		h	ei	1		h	ei	23	
嘻		h	ei	1		h	ei	1		h	ei	23	
嬉		h	ei	1		h	ei	1		h	ei	23	
熹		h	ei	1		h	ei	1		h	ei	23	
禧		h	ei	1		h	ei	1		h	ei	23	
羲		h	ei	1		h	ei	1		h	ei	23	
曦		h	ei	1		h	ei	1		h	ei	23	
犧		h	ei	1		h	ei	1		h	ei	23	
戲		h	ei	1		h	ei	1		h	ei	23	
棄		h	ei	1		h	ei	1		h	ei	23	
器		h	ei	1		h	ei	1		h	ei	23	
氣		h	ei	1		h	ei	1		h	ei	23	
希		h	ei	1		h	ei	1		h	ei	23	
稀		h	ei	1		h	ei	1		h	ei	23	
汽		h	ei	1		h	ei	1		h	ei	23	
烯		h	ei	1		h	ei	1		h	ei	23	
釐		h	ei	1		h	ei	1		h	ei	23	恭賀新釐
起		h	ei	2		h	ei	3		h	ei	35	
喜		h	ei	2		h	ei	3		h	ei	35	
豈		h	ei	2		h	ei	3		h	ei	35	
踢		h	iaak	7B		h	iak	7		h	iak	23	
吃		h	iaak	7B		h	iak	7		h	iak	23	吃飯
喫		h	iaak	7B		h	iak	7		h	iak	23	喫飯
艇		h	iaang	1		h	iang	1		h	iaŋ	23	
聽		h	iaang	1		h	iang	1		h	iaŋ	23	聽力，白讀
廳		h	iaang	1		h	iang	1		h	iaŋ	23	
艇		h	iaang	5		h	iang	5		h	iaŋ	21	又音
剔		h	ik	7A		h	ik	6		h	ɪk	35	
惕		h	ik	7A		h	ik	6		h	ɪk	35	
忑		h	ik	7A		h	ik	6		h	ɪk	35	
忒		h	ik	7A		h	ik	6		h	ɪk	35	
添		h	iaam	1		h	iam	1		h	iam	23	
謙		h	iaam	1		h	iam	1		h	iam	23	
歉		h	iaam	1		h	iam	1		h	iam	23	
欠		h	iaam	1		h	iam	1		h	iam	23	
芡		h	iaam	1		h	iam	1		h	iam	23	
險		h	iaam	2		h	iam	3		h	iam	35	
舔		h	iaam	2		h	iam	3		h	iam	35	
恬		h	iaam	4		h	iam	2		h	iam	22	
甜		h	iaam	4		h	iam	2		h	iam	22	
斷		h	waan	1		h	uan	1		h	uan	23	斷了
絢		h	in	1		h	in	1		h	in	23	
天		h	in	1		h	in	1		h	in	23	
牽		h	in	1		h	in	1		h	in	23	
縴		h	in	1		h	in	1		h	in	23	
禤		h	in	1		h	in	1		h	in	23	便嬛
嬛		h	in	1		h	in	1		h	in	23	便嬛
騫		h	in	1		h	in	1		h	in	23	
勸		h	in	1		h	in	1		h	in	23	
喧		h	in	1		h	in	1		h	in	23	
暄		h	in	1		h	in	1		h	in	23	
掀		h	in	1		h	in	1		h	in	23	
軒		h	in	1		h	in	1		h	in	23	
憲		h	in	1		h	in	1		h	in	23	
獻		h	in	1		h	in	1		h	in	23	
圈		h	in	1		h	in	1		h	in	23	圓圈
犬		h	in	2		h	in	3		h	in	35	
腆		h	in	2		h	in	3		h	in	35	
靦		h	in	2		h	in	3		h	in	35	靦顏事仇
顯		h	in	2		h	in	3		h	in	35	
譴		h	in	2		h	in	3		h	in	35	
遣		h	in	2		h	in	3		h	in	35	
團		h	waan	4		h	uan	2		h	uan	22	
團		h	on	4		h	on	2		h	ɔn	22	團年
佃		h	in	4		h	in	2		h	in	22	佃作
田		h	in	4		h	in	2		h	in	22	
闐		h	in	4		h	in	2		h	in	22	
填		h	in	4		h	in	2		h	in	22	
屯		h	an	4		h	aen	2		h	ɐn	22	
豚		h	an	4		h	aen	2		h	ɐn	22	
臀		h	an	4		h	aen	2		h	ɐn	22	
糰		h	in	4		h	in	2		h	in	22	
挺		h	ing	1		h	ing	1		h	ɪŋ	23	
汀		h	ing	1		h	ing	1		h	ɪŋ	23	
聽		h	ing	1		h	ing	1		h	ɪŋ	23	聽任
罄		h	ing	1		h	ing	1		h	ɪŋ	23	
馨		h	ing	1		h	ing	1		h	ɪŋ	23	
兄		h	ing	1		h	ing	1		h	ɪŋ	23	
卿		h	ing	1		h	ing	1		h	ɪŋ	23	
慶		h	ing	1		h	ing	1		h	ɪŋ	23	
輕		h	ing	1		h	ing	1		h	ɪŋ	23	
興		h	ing	1		h	ing	1		h	ɪŋ	23	
氫		h	ing	1		h	ing	1		h	ɪŋ	23	
廷		h	ing	4		h	ing	2		h	ɪŋ	22	
亭		h	ing	4		h	ing	2		h	ɪŋ	22	
亭		h	iaang	4		h	iang	2		h	iaŋ	22	天亭，地名
庭		h	ing	4		h	ing	2		h	ɪŋ	22	
停		h	ing	4		h	ing	2		h	ɪŋ	22	
蜓		h	ing	4		h	ing	2		h	ɪŋ	22	
霆		h	ing	4		h	ing	2		h	ɪŋ	22	
婷		h	ing	4		h	ing	2		h	ɪŋ	22	
香		h	iaang	1		h	iang	1		h	iaŋ	23	
鄉		h	iaang	1		h	iang	1		h	iaŋ	23	
嚮		h	iaang	1		h	iang	1		h	iaŋ	23	
向		h	iaang	1		h	iang	1		h	iaŋ	23	
饗		h	iaang	2		h	iang	3		h	iaŋ	35	
響		h	iaang	2		h	iang	3		h	iaŋ	35	
嚮		h	iaang	2		h	iang	3		h	iaŋ	35	
晌		h	iaang	2		h	iang	3		h	iaŋ	35	
享		h	iaang	2		h	iang	3		h	iaŋ	35	
帖		h	iaap	7B		h	iap	7		h	iap	23	
貼		h	iaap	7B		h	iap	7		h	iap	23	
愜		h	iaap	7B		h	iap	7		h	iap	23	
協		h	iaap	7B		h	iap	7		h	iap	23	
挾		h	iaap	7B		h	iap	7		h	iap	23	
怯		h	iaap	7B		h	iap	7		h	iap	23	
脅		h	iaap	7B		h	iap	7		h	iap	23	
脫		h	waat	7B		h	uat	7		h	uat	23	
血		h	it	7B		h	it	7		h	it	23	
鐵		h	it	7B		h	it	7		h	it	23	
歇		h	it	7B		h	it	7		h	it	23	
跳		h	iaau	1		h	iau	1		h	iau	23	
挑		h	iaau	1		h	iau	1		h	iau	23	挑水
眺		h	iaau	1		h	iau	1		h	iau	23	
驍		h	iaau	1		h	iau	1		h	iau	23	
蹺		h	iaau	1		h	iau	1		h	iau	23	
囂		h	iaau	1		h	iau	1		h	iau	23	
僥		h	iaau	1		h	iau	1		h	iau	23	僥倖
曉		h	iaau	2		h	iau	3		h	iau	35	
調		h	iaau	4		h	iau	2		h	iau	22	調味
條		h	iaau	4		h	iau	2		h	iau	22	
窕		h	iaau	4		h	iau	2		h	iau	22	
唾		h	o	1		h	o	1		h	ɔ	23	
妥		h	o	1		h	o	1		h	ɔ	23	
橢		h	o	1		h	o	1		h	ɔ	23	
拖		h	o	1		h	o	1		h	ɔ	23	
苛		h	o	1		h	o	1		h	ɔ	23	
呵		h	o	1		h	o	1		h	ɔ	23	
可		h	o	2		h	o	3		h	ɔ	35	可以
坷		h	o	2		h	o	3		h	ɔ	35	
佗		h	o	4		h	o	2		h	ɔ	22	
陀		h	o	4		h	o	2		h	ɔ	22	
沱		h	o	4		h	o	2		h	ɔ	22	
跎		h	o	4		h	o	2		h	ɔ	22	
馱		h	o	4		h	o	2		h	ɔ	22	
駝		h	o	4		h	o	2		h	ɔ	22	
舵		h	o	4		h	o	2		h	ɔ	22	
何		h	o	4		h	o	2		h	ɔ	22	
河		h	o	4		h	o	2		h	ɔ	22	
荷		h	o	4		h	o	2		h	ɔ	22	荷花
蚵		h	o	4		h	o	2		h	ɔ	22	
鴕		h	o	4		h	o	2		h	ɔ	22	
賀		h	o	6		h	o	4		h	ɔ	31	
荷		h	o	6		h	o	4		h	ɔ	31	負荷
胎		h	oi	1		h	oi	1		h	ɔi	23	
台		h	oi	1		h	oi	1		h	ɔi	23	天台，地名
開		h	oi	1		h	oi	1		h	ɔi	23	
嗨		h	oi	1		h	oi	1		h	ɔi	23	
凱		h	oi	2		h	oi	3		h	ɔi	35	
海		h	oi	2		h	oi	3		h	ɔi	35	
苔		h	oi	4		h	oi	2		h	ɔi	22	
臺		h	oi	4		h	oi	2		h	ɔi	22	
檯		h	oi	4		h	oi	2		h	ɔi	22	
咳		h	oi	4		h	oi	2		h	ɔi	22	
抬		h	oi	4		h	oi	2		h	ɔi	22	
颱		h	oi	4		h	oi	2		h	ɔi	22	
駭		h	oi	6		h	oi	4		h	ɔi	31	
害		h	oi	6		h	oi	4		h	ɔi	31	
亥		h	oi	6		h	oi	4		h	ɔi	31	
學		h	ok	8		h	ok	8		h	ɔk	31	
鶴		h	ok	8		h	ok	8		h	ɔk	31	
拓		h	ok	7B		h	ok	7		h	ɔk	23	
託		h	ok	7B		h	ok	7		h	ɔk	23	
壑		h	ok	7B		h	ok	7		h	ɔk	23	
殼		h	ok	7B		h	ok	7		h	ɔk	23	
托		h	ok	7B		h	ok	7		h	ɔk	23	
刊		h	on	1		h	on	1		h	ɔn	23	
看		h	on	1		h	on	1		h	ɔn	23	看守
漢		h	on	1		h	on	1		h	ɔn	23	
侃		h	on	2		h	on	3		h	ɔn	35	
罕		h	on	2		h	on	3		h	ɔn	35	
寒		h	on	4		h	on	2		h	ɔn	22	
韓		h	on	4		h	on	2		h	ɔn	22	
汗		h	on	4		h	on	2		h	ɔn	22	可汗
鼾		h	on	4		h	on	2		h	ɔn	22	
翰		h	on	6		h	on	4		h	ɔn	31	
汗		h	on	6		h	on	4		h	ɔn	31	流汗
悍		h	on	6		h	on	4		h	ɔn	31	
瀚		h	on	6		h	on	4		h	ɔn	31	
旱		h	on	1		h	on	1		h	ɔn	23	
銲		h	on	6		h	on	4		h	ɔn	31	
筐		h	ong	1		h	ong	1		h	ɔŋ	23	
框		h	ong	1		h	ong	1		h	ɔŋ	23	
湯		h	ong	1		h	ong	1		h	ɔŋ	23	
熨		h	ong	1		h	ong	1		h	ɔŋ	23	
趟		h	ong	1		h	ong	1		h	ɔŋ	23	
腔		h	ong	1		h	ong	1		h	ɔŋ	23	
康		h	ong	1		h	ong	1		h	ɔŋ	23	
炕		h	ong	1		h	ong	1		h	ɔŋ	23	
燙		h	ong	1		h	ong	1		h	ɔŋ	23	
吭		h	ong	1		h	ong	1		h	ɔŋ	23	吭聲
慷		h	ong	2		h	ong	3		h	ɔŋ	35	
倘		h	ong	2		h	ong	3		h	ɔŋ	35	
淌		h	ong	2		h	ong	3		h	ɔŋ	35	
躺		h	ong	2		h	ong	3		h	ɔŋ	35	
降		h	ong	4		h	ong	2		h	ɔŋ	22	投降
唐		h	ong	4		h	ong	2		h	ɔŋ	22	
堂		h	ong	4		h	ong	2		h	ɔŋ	22	
棠		h	ong	4		h	ong	2		h	ɔŋ	22	
塘		h	ong	4		h	ong	2		h	ɔŋ	22	
糖		h	ong	4		h	ong	2		h	ɔŋ	22	
螳		h	ong	4		h	ong	2		h	ɔŋ	22	
杭		h	ong	4		h	ong	2		h	ɔŋ	22	
航		h	ong	4		h	ong	2		h	ɔŋ	22	
吭		h	ong	4		h	ong	2		h	ɔŋ	22	引吭高歌
行		h	ong	4		h	ong	2		h	ɔŋ	22	銀行
膛		h	ong	4		h	ong	2		h	ɔŋ	22	
幢		h	ong	4		h	ong	2		h	ɔŋ	22	海幢寺
巷		h	ong	6		h	ong	4		h	ɔŋ	31	
項		h	ong	6		h	ong	4		h	ɔŋ	31	
行		h	ong	6		h	ong	4		h	ɔŋ	31	行行
喝		h	ot	7A		h	ot	6		h	ɔt	23	
渴		h	ot	7B		h	ot	7		h	ɔt	23	
褐		h	ot	7B		h	ot	7		h	ɔt	23	
菟		h	ou	1		h	ou	1		h	ou	23	
兔		h	ou	1		h	ou	1		h	ou	23	
吐		h	ou	1		h	ou	1		h	ou	23	
叨		h	aau	1		h	au	1		h	au	23	叨擾
絛		h	aau	1		h	au	1		h	au	23	
滔		h	aau	1		h	au	1		h	au	23	
挑		h	aau	1		h	au	1		h	au	23	挑達
套		h	aau	1		h	au	1		h	au	23	
蒿		h	aau	1		h	au	1		h	au	23	
好		h	aau	1		h	au	1		h	au	23	好客
耗		h	aau	1		h	au	1		h	au	23	
土		h	ou	2		h	ou	3		h	ou	35	
禱		h	aau	2		h	au	3		h	au	35	
討		h	aau	2		h	au	3		h	au	35	
好		h	aau	2		h	au	3		h	au	35	友好
荼		h	ou	4		h	ou	2		h	ou	22	如火如荼
