正體	簡體	聲母	韻母	聲調	詞例	声母音标	韵母音标	調值	拼音	
床	床	ch	uan	2		tʂʰ	uã	24	chuan2	
牀	床	ch	uan	2		tʂʰ	uã	24	chuan2	
闖	闯	ch	uan	3		tʂʰ	uã	31	chuan3	
創	创	ch	uan	5		tʂʰ	uã	44	chuan5	
幢	幢	ch	uan	6		tʂʰ	uã	33	chuan6	
狀	状	ch	uan	6		tʂʰ	uã	33	chuan6	
撞	撞	ch	uan	6		tʂʰ	uã	33	chuan6	
出	出	ch	ueh	7		tʂʰ	uə?	4	chueh7	
齣	出	ch	ueh	7		tʂʰ	uə?	4	chueh7	
朮	朮	ch	ueh	8		tʂʰ	uə?	3	chueh8	
吹	吹	ch	uei	1		tʂʰ	uəi	21	chuei1	
炊	炊	ch	uei	1		tʂʰ	uəi	21	chuei1	
捶	捶	ch	uei	2		tʂʰ	uəi	24	chuei2	
棰	棰	ch	uei	2		tʂʰ	uəi	24	chuei2	
槌	槌	ch	uei	2		tʂʰ	uəi	24	chuei2	
錘	锤	ch	uei	2		tʂʰ	uəi	24	chuei2	
椎	椎	ch	uei	2		tʂʰ	uəi	24	chuei2	
墜	坠	ch	uei	6		tʂʰ	uəi	33	chuei6	
春	春	ch	uen	1		tʂʰ	uəŋ	21	chuen1	
椿	椿	ch	uen	1		tʂʰ	uəŋ	21	chuen1	
皴	皴	ch	uen	1		tsʰ	uəŋ	21	chuen1	
鶉	鹑	ch	uen	2		tʂʰ	uəŋ	24	chuen2	
磣	碜	ch	uen	3		tʂʰ	uəŋ	31	chuen3	
蠢	蠢	ch	uen	3		tʂʰ	uəŋ	31	chuen3	
襯	衬	ch	uen	5		tʂʰ	uəŋ	44	chuen5	
啜	啜	ch	uh	7		tʂʰ	ʊʔ	4	chuh7	
川	川	ch	un	1		tʂʰ	ʊ̃	21	chun1	
氚	氚	ch	un	1		tʂʰ	ʊ̃	21	chun1	
穿	穿	ch	un	1		tʂʰ	ʊ̃	21	chun1	
傳	传	ch	un	2	傳說	tʂʰ	ʊ̃	24	chun2	
船	船	ch	un	2		tʂʰ	ʊ̃	24	chun2	
椽	椽	ch	un	2		tʂʰ	ʊ̃	24	chun2	
喘	喘	ch	un	3		tʂʰ	ʊ̃	31	chun3	
串	串	ch	un	5		tʂʰ	ʊ̃	44	chun5	
釧	钏	ch	un	5		tʂʰ	ʊ̃	44	chun5	
傳	传	ch	un	6	白蛇传	tʂʰ	ʊ̃	33	chun6	
篆	篆	ch	un	6		tʂʰ	ʊ̃	33	chun6	
初	初	ch	v	1		tʂʰ	ʋ	21	chv1	
芻	刍	ch	v	1		tʂʰ	ʋ	21	chv1	
除	除	ch	v	2		tʂʰ	ʋ	24	chv2	
鋤	锄	ch	v	2		tʂʰ	ʋ	24	chv2	
滁	滁	ch	v	2		tʂʰ	ʋ	24	chv2	
蜍	蜍	ch	v	2		tʂʰ	ʋ	24	chv2	
雛	雏	ch	v	2		tʂʰ	ʋ	24	chv2	
櫥	橱	ch	v	2		tʂʰ	ʋ	24	chv2	
鶵	鶵	ch	v	2		tʂʰ	ʋ	24	chv2	
杵	杵	ch	v	3		tʂʰ	ʋ	31	chv3	
礎	础	ch	v	3		tʂʰ	ʋ	31	chv3	
儲	储	ch	v	3		tʂʰ	ʋ	31	chv3	
楚	楚	ch	v	3		tʂʰ	ʋ	31	chv3	
褚	褚	ch	v	3		tʂʰ	ʋ	31	chv3	
處	处	ch	v	3	處理	tʂʰ	ʋ	31	chv3	
暑	暑	ch	v	3		tʂʰ	ʋ	31	chv3	
鼠	鼠	ch	v	3		tʂʰ	ʋ	31	chv3	
處	处	ch	v	5	處所	tʂʰ	ʋ	44	chv5	
助	助	ch	v	6		tʂʰ	ʋ	33	chv6	
住	住	ch	v	6		tʂʰ	ʋ	33	chv6	
柱	柱	ch	v	6		tʂʰ	ʋ	33	chv6	
箸	箸	ch	v	6		tʂʰ	ʋ	33	chv6	
操	操	c	o	1		tsʰ	ɔ	21	co1	
𤵥	𤵥	c	o	2		tsʰ	ɔ	24	co2	
曹	曹	c	o	2		tsʰ	ɔ	24	co2	
嘈	嘈	c	o	2		tsʰ	ɔ	24	co2	
漕	漕	c	o	2		tsʰ	ɔ	24	co2	
槽	槽	c	o	2		tsʰ	ɔ	24	co2	
螬	螬	c	o	2		tsʰ	ɔ	24	co2	
艚	艚	c	o	2		tsʰ	ɔ	24	co2	
草	草	c	o	3		tsʰ	ɔ	31	co3	
糙	糙	c	o	5		tsʰ	ɔ	44	co5	
噪	噪	c	o	5		tsʰ	ɔ	44	co5	
燥	燥	c	o	5		tsʰ	ɔ	44	co5	
皂	皂	c	o	6		tsʰ	ɔ	33	co6	
造	造	c	o	6		tsʰ	ɔ	33	co6	
促	促	c	oh	7		tsʰ	ɔʔ	4	coh7	
簇	簇	c	oh	7		tsʰ	ɔʔ	4	coh7	
族	族	c	oh	8		tsʰ	ɔʔ	3	coh8	
匆	匆	c	on	1		tsʰ	ɔŋ	21	con1	
囪	囱	c	on	1		tsʰ	ɔŋ	21	con1	
蔥	葱	c	on	1		tsʰ	ɔŋ	21	con1	
聰	聪	c	on	1		tsʰ	ɔŋ	21	con1	
從	从	c	on	2		tsʰ	ɔŋ	24	con2	
叢	丛	c	on	2		tsʰ	ɔŋ	24	con2	
搓	搓	c	u	1		tsʰ	ʊ	21	cu1	
挫	挫	c	u	5		tsʰ	ʊ	44	cu5	
銼	锉	c	u	5		tsʰ	ʊ	44	cu5	
錯	错	c	u	5		tsʰ	ʊ	44	cu5	
坐	坐	c	u	6	坐下	tsʰ	ʊ	33	cu6	
唑	唑	c	u	6		tsʰ	ʊ	33	cu6	
座	座	c	u	6		tsʰ	ʊ	33	cu6	
啐	啐	c	uae	5		tsʰ	uɛ	44	cuae5	
猝	猝	c	ueh	7		tsʰ	uə?	4	cueh7	
崔	崔	c	uei	1		tsʰ	uəi	21	cuei1	
催	催	c	uei	1		tsʰ	uəi	21	cuei1	
摧	摧	c	uei	1		tsʰ	uəi	21	cuei1	
隋	隋	c	uei	2		tsʰ	uəi	24	cuei2	
隨	随	c	uei	2	隨便	tsʰ	uəi	24	cuei2	
璀	璀	c	uei	3		tsʰ	uəi	31	cuei3	
脆	脆	c	uei	5		tsʰ	uəi	44	cuei5	
淬	淬	c	uei	5		tsʰ	uəi	44	cuei5	
悴	悴	c	uei	5		tsʰ	uəi	44	cuei5	
翠	翠	c	uei	5		tsʰ	uəi	44	cuei5	
遂	遂	c	uei	6		tsʰ	uəi	33	cuei6	
隧	隧	c	uei	6		tsʰ	uəi	33	cuei6	
罪	罪	c	uei	6		tsʰ	uəi	33	cuei6	
村	村	c	uen	1		tsʰ	uəŋ	21	cuen1	
存	存	c	uen	2		tsʰ	uəŋ	24	cuen2	
寸	寸	c	uen	5		tsʰ	uəŋ	44	cuen5	
吋	吋	c	uen	5		tsʰ	uəŋ	44	cuen5	
鱒	鳟	c	uen	6		tsʰ	uəŋ	33	cuen6	
撮	撮	c	uh	7		tsʰ	ʊʔ	4	cuh7	
汆	汆	c	un	1		tsʰ	ʊ̃	21	cun1	
蚕	蚕	c	un	2		tsʰ	ʊ̃	24	cun2	
蠶	蚕	c	un	2		tsʰ	ʊ̃	24	cun2	
竄	窜	c	un	5		tsʰ	ʊ̃	44	cun5	
粗	粗	c	v	1		tsʰ	ʋ	21	cv1	
醋	醋	c	v	5		tsʰ	ʋ	44	cv5	
措	措	c	v	5		tsʰ	ʋ	44	cv5	
差	差	c	z	1	參差	tsʰ	ɿ	21	cz1	
雌	雌	c	z	1		tsʰ	ɿ	21	cz1	
疵	疵	c	z	2		tsʰ	ɿ	24	cz2	
詞	词	c	z	2		tsʰ	ɿ	24	cz2	
茨	茨	c	z	2		tsʰ	ɿ	24	cz2	
祠	祠	c	z	2		tsʰ	ɿ	24	cz2	
瓷	瓷	c	z	2		tsʰ	ɿ	24	cz2	
辭	辞	c	z	2		tsʰ	ɿ	24	cz2	
慈	慈	c	z	2		tsʰ	ɿ	24	cz2	
磁	磁	c	z	2		tsʰ	ɿ	24	cz2	
鶿	鹚	c	z	2		tsʰ	ɿ	24	cz2	
餈	餈	c	z	2		tsʰ	ɿ	24	cz2	
糍	糍	c	z	2		ʦʰ	ɿ	24	cz2	
飼	饲	c	z	2		tsʰ	ɿ	24	cz2	
嗣	嗣	c	z	2		tsʰ	ɿ	24	cz2	
跐	跐	c	z	3		tsʰ	ɿ	31	cz3	
此	此	c	z	3		tsʰ	ɿ	31	cz3	
次	次	c	z	5		tsʰ	ɿ	44	cz5	
伺	伺	c	z	5		tsʰ	ɿ	44	cz5	
刺	刺	c	z	5		tsʰ	ɿ	44	cz5	
賜	赐	c	z	5		tsʰ	ɿ	44	cz5	
寺	寺	c	z	6		tsʰ	ɿ	33	cz6	
自	自	c	z	6		tsʰ	ɿ	33	cz6	
字	字	c	z	6		tsʰ	ɿ	33	cz6	
漬	渍	c	z	6		tsʰ	ɿ	33	cz6	
咑	咑	d	a	1		t	a	21	da1	
打	打	d	a	3		t	a	31	da3	
大	大	d	a	5	大小	t	a	44	da5	
呆	呆	d	ae	1	呆子	t	ɛ	21	dae1	
歹	歹	d	ae	3		t	ɛ	31	dae3	
逮	逮	d	ae	3		t	ɛ	31	dae3	
傣	傣	d	ae	3		t	ɛ	31	dae3	
代	代	d	ae	5	代他，单用	t	ɛ	44	dae5	
帶	带	d	ae	5		t	ɛ	44	dae5	
戴	戴	d	ae	5		t	ɛ	44	dae5	
搭	搭	d	aeh	7		t	iaʔ	4	daeh7	
答	答	d	aeh	7		t	iaʔ	4	daeh7	
瘩	瘩	d	aeh	7		t	iaʔ	4	daeh7	
丹	丹	d	aen	1		t	ɛ̃	21	daen1	
擔	担	d	aen	1	擔任	t	ɛ̃	21	daen1	
單	单	d	aen	1	單獨	t	ɛ̃	21	daen1	
鄲	郸	d	aen	1		t	ɛ̃	21	daen1	
膽	胆	d	aen	3		t	ɛ̃	31	daen3	
撣	掸	d	aen	3	雞毛撣子	t	ɛ̃	31	daen3	
擔	担	d	aen	5	挑擔	t	ɛ̃	44	daen5	
旦	旦	d	aen	5		t	ɛ̃	44	daen5	
耷	耷	d	ah	7	耷耳朵	t	aʔ	4	dah7	
沰	沰	d	ah	7	沰雨（淋雨）	t	aʔ	4	dah7	
當	当	d	an	1	當然	t	ã	21	dan1	
噹	当	d	an	1		t	ã	21	dan1	
璫	珰	d	an	1		t	ã	21	dan1	
鐺	铛	d	an	1		t	ã	21	dan1	
襠	裆	d	an	1		t	ã	21	dan1	
擋	挡	d	an	3		t	ã	31	dan3	
黨	党	d	an	3		t	ã	31	dan3	
當	当	d	an	5	上當	t	ã	44	dan5	
檔	档	d	an	5		t	ã	44	dan5	
得	得	d	eh	7		t	əʔ	4	deh7	
鍀	锝	d	eh	7		t	əʔ	4	deh7	
𨁽	𨁽	d	eh	7	跺腳	t	əʔ	4	deh7	
德	德	d	eh	7		t	əʔ	4	deh7	
虴	虴	d	eh	7	虴蛨（蚱蜢）	t	əʔ	4	deh7	
燈	灯	d	en	1		t	əŋ	21	den1	
登	登	d	en	1		t	əŋ	21	den1	
蹬	蹬	d	en	1		t	əŋ	21	den1	
噸	吨	d	en	1		t	əŋ	21	den1	
敦	敦	d	en	1		t	əŋ	21	den1	
墩	墩	d	en	1		t	əŋ	21	den1	
礅	礅	d	en	1		t	əŋ	21	den1	
蹾	蹾	d	en	1		t	əŋ	21	den1	
等	等	d	en	3		t	əŋ	31	den3	
戥	戥	d	en	3		t	əŋ	31	den3	
盹	盹	d	en	3		t	əŋ	31	den3	
躉	趸	d	en	3		t	əŋ	31	den3	
扽	扽	d	en	5		t	əŋ	44	den5	
凳	凳	d	en	5		t	əŋ	44	den5	
瞪	瞪	d	en	5		t	əŋ	44	den5	
燉	炖	d	en	5		t	əŋ	44	den5	
頓	顿	d	en	5		t	əŋ	44	den5	
兜	兜	d	eu	1		t	ɤɯ	21	deu1	
抖	抖	d	eu	3		t	ɤɯ	31	deu3	
陡	陡	d	eu	3		t	ɤɯ	31	deu3	
蚪	蚪	d	eu	3		t	ɤɯ	31	deu3	
斗	斗	d	eu	3	漏斗	t	ɤɯ	31	deu3	
鬥	斗	d	eu	5	爭鬥	t	ɤɯ	44	deu5	
低	低	d	i	1		tɕ	ɨᶨ	21	di1	
邸	邸	d	i	3		tɕ	ɨᶨ	31	di3	
抵	抵	d	i	3		tɕ	ɨᶨ	31	di3	
底	底	d	i	3		tɕ	ɨᶨ	31	di3	
帝	帝	d	i	5		tɕ	ɨᶨ	44	di5	
諦	谛	d	i	5		tɕ	ɨᶨ	44	di5	
蒂	蒂	d	i	5		tɕ	ɨᶨ	44	di5	
爹	爹	d	ia	1		t	ia	21	dia1	
嗲	嗲	d	ia	3		t	ia	31	dia3	
的	的	d	ieh	7	目的，的確	t	iəʔ	4	dieh7	
滴	滴	d	ieh	7		t	iəʔ	4	dieh7	
鏑	镝	d	ieh	7		t	iəʔ	4	dieh7	
嘀	嘀	d	ieh	7		t	iəʔ	4	dieh7	
嫡	嫡	d	ieh	7		t	iəʔ	4	dieh7	
菂	菂	d	ieh	7		t	iəʔ	4	dieh7	
扚	扚	d	ieh	7		t	iəʔ	4	dieh7	
丁	丁	d	ien	1		t	iəŋ	21	dien1	
叮	叮	d	ien	1		t	iəŋ	21	dien1	
盯	盯	d	ien	1		t	iəŋ	21	dien1	
釘	钉	d	ien	1	名词	t	iəŋ	21	dien1	
疔	疔	d	ien	1		t	iəŋ	21	dien1	
頂	顶	d	ien	3		t	iəŋ	31	dien3	
鼎	鼎	d	ien	3		t	iəŋ	31	dien3	
澄	澄	d	ien	5	使沉澱	t	iəŋ	44	dien5	
釘	钉	d	ien	5	动词	t	iəŋ	44	dien5	
訂	订	d	ien	5		t	iəŋ	44	dien5	
碇	碇	d	ien	5		t	iəŋ	44	dien5	
錠	锭	d	ien	5		t	iəŋ	44	dien5	
丟	丢	d	ieu	1		t	iʊ	21	dieu1	
跌	跌	d	ih	7		t	iʔ	4	dih7	
碟	碟	d	ih	7	盤子碟兒	t	iʔ	4	dih7	
窒	窒	d	ih	7	窒頭，塞子	t	iʔ	4	dih7	
的	的	d	ii	0	我的	t	i	0	dii0	
掂	掂	d	in	1		t	ĩ	21	din1	
顛	颠	d	in	1		t	ĩ	21	din1	
巔	巅	d	in	1		t	ĩ	21	din1	
癲	癫	d	in	1		t	ĩ	21	din1	
典	典	d	in	3		t	ĩ	31	din3	
點	点	d	in	3		t	ĩ	31	din3	
碘	碘	d	in	3		t	ĩ	31	din3	
踮	踮	d	in	5		t	ĩ	44	din5	
電	电	d	in	5		t	ĩ	44	din5	
甸	甸	d	in	5	雙甸	t	ĩ	44	din5	
店	店	d	in	5		t	ĩ	44	din5	
惦	惦	d	in	5		t	ĩ	44	din5	
殿	殿	d	in	5	殿軍	t	ĩ	44	din5	
癜	癜	d	in	5		t	ĩ	44	din5	
刁	刁	d	io	1		t	iɔ	21	dio1	
叼	叼	d	io	1		t	iɔ	21	dio1	
凋	凋	d	io	1		t	iɔ	21	dio1	
貂	貂	d	io	1		t	iɔ	21	dio1	
碉	碉	d	io	1		t	iɔ	21	dio1	
雕	雕	d	io	1		t	iɔ	21	dio1	
屌	屌	d	io	3		t	iɔ	31	dio3	
弔	吊	d	io	5	弔唁	t	iɔ	44	dio5	
吊	吊	d	io	5	上吊	t	iɔ	44	dio5	
釣	钓	d	io	5		t	iɔ	44	dio5	
調	调	d	io	5	音調	t	iɔ	44	dio5	
刀	刀	d	o	1		t	ɔ	21	do1	
島	岛	d	o	3		t	ɔ	31	do3	
搗	捣	d	o	3		t	ɔ	31	do3	
禱	祷	d	o	3		t	ɔ	31	do3	
倒	倒	d	o	3	跌倒	t	ɔ	31	do3	
到	到	d	o	5		t	ɔ	44	do5	
倒	倒	d	o	5	倒茶	t	ɔ	44	do5	
督	督	d	oh	7		t	ɔʔ	4	doh7	
篤	笃	d	oh	7		t	ɔʔ	4	doh7	
東	东	d	on	1		t	ɔŋ	21	don1	
冬	冬	d	on	1		t	ɔŋ	21	don1	
咚	咚	d	on	1		t	ɔŋ	21	don1	
氡	氡	d	on	1		t	ɔŋ	21	don1	
董	董	d	on	3		t	ɔŋ	31	don3	
懂	懂	d	on	3		t	ɔŋ	31	don3	
凍	冻	d	on	5		t	ɔŋ	44	don5	
棟	栋	d	on	5		t	ɔŋ	44	don5	
都	都	d	u	1	都是	t	ʊ	21	du1	
多	多	d	u	1		t	ʊ	21	du1	
哆	哆	d	u	1		t	ʊ	21	du1	
朵	朵	d	u	3		t	ʊ	31	du3	
躲	躲	d	u	3		t	ʊ	31	du3	
剁	剁	d	u	5		t	ʊ	44	du5	
堆	堆	d	uei	1		t	uəi	21	duei1	
隊	队	d	uei	5		t	uəi	44	duei5	
對	对	d	uei	5		t	uəi	44	duei5	
𤒘	𬊯	d	uh	7	小火煨煮	t	ʊʔ	4	duh7	
㴷	㴷	d	un	1		t	ʊ̃	21	dun1	
端	端	d	un	1		t	ʊ̃	21	dun1	
短	短	d	un	3		t	ʊ̃	31	dun3	
斷	断	d	un	3	中途截住，攔路搶劫，俗作“短”	t	ʊ̃	31	dun3	
斷	断	d	un	5	判斷，斷定，斷案	t	ʊ̃	44	dun5	
鍛	锻	d	un	5		t	ʊ̃	44	dun5	
籪	簖	d	un	5		t	ʊ̃	44	dun5	
都	都	d	v	1	首都	t	ʋ	21	dv1	
嘟	嘟	d	v	1		t	ʋ	21	dv1	
堵	堵	d	v	3		t	ʋ	31	dv3	
賭	赌	d	v	3		t	ʋ	31	dv3	
睹	睹	d	v	3		t	ʋ	31	dv3	
肚	肚	d	v	3	肚子	t	ʋ	31	dv3	
妒	妒	d	v	5		t	ʋ	44	dv5	
對	对	d	y	5		t	yᶨ	44	dy5	
兒	儿		er	2			ɚ	24	er2	
而	而		er	2			ɚ	24	er2	
爾	尔		er	3			ɚ	31	er3	
耳	耳		er	3			ɚ	31	er3	
邇	迩		er	3			ɚ	31	er3	
餌	饵		er	3			ɚ	31	er3	
洱	洱		er	3			ɚ	31	er3	
二	二		er	6			ɚ	33	er6	
貳	贰		er	6			ɚ	33	er6	
發	发	f	aeh	7	發達	f	iaʔ	4	faeh7	
髮	发	f	aeh	7	頭髮，髮絲	f	iaʔ	4	faeh7	
法	法	f	aeh	7		f	iaʔ	4	faeh7	
砝	砝	f	aeh	7		f	iaʔ	4	faeh7	
鍅	鍅	f	aeh	7		f	iaʔ	4	faeh7	
琺	珐	f	aeh	7		f	iaʔ	4	faeh7	
乏	乏	f	aeh	8		f	iaʔ	3	faeh8	
伐	伐	f	aeh	8		f	iaʔ	3	faeh8	
罰	罚	f	aeh	8		f	iaʔ	3	faeh8	
閥	阀	f	aeh	8		f	iaʔ	3	faeh8	
筏	筏	f	aeh	8		f	iaʔ	3	faeh8	
番	番	f	aen	1		f	ɛ̃	21	faen1	
幡	幡	f	aen	1		f	ɛ̃	21	faen1	
翻	翻	f	aen	1		f	ɛ̃	21	faen1	
帆	帆	f	aen	2		f	ɛ̃	24	faen2	
藩	藩	f	aen	2		f	ɛ̃	24	faen2	
凡	凡	f	aen	2		f	ɛ̃	24	faen2	
礬	矾	f	aen	2		f	ɛ̃	24	faen2	
釩	钒	f	aen	2		f	ɛ̃	24	faen2	
煩	烦	f	aen	2		f	ɛ̃	24	faen2	
樊	樊	f	aen	2		f	ɛ̃	24	faen2	
繁	繁	f	aen	2		f	ɛ̃	24	faen2	
反	反	f	aen	3		f	ɛ̃	31	faen3	
返	返	f	aen	3		f	ɛ̃	31	faen3	
㽹	㽹	f	aen	5		f	ɛ̃	44	faen5	
泛	泛	f	aen	5		f	ɛ̃	44	faen5	
販	贩	f	aen	5		f	ɛ̃	44	faen5	
犯	犯	f	aen	6		f	ɛ̃	33	faen6	
飯	饭	f	aen	6		f	ɛ̃	33	faen6	
范	范	f	aen	6		f	ɛ̃	33	faen6	
範	范	f	aen	6		f	ɛ̃	33	faen6	
梵	梵	f	aen	6		f	ɛ̃	33	faen6	
方	方	f	an	1		f	ã	21	fan1	
坊	坊	f	an	1		f	ã	21	fan1	
芳	芳	f	an	1		f	ã	21	fan1	
妨	妨	f	an	1		f	ã	21	fan1	
防	防	f	an	2		f	ã	24	fan2	
妨	妨	f	an	2		f	ã	24	fan2	
肪	肪	f	an	2		f	ã	24	fan2	
房	房	f	an	2		f	ã	24	fan2	
仿	仿	f	an	3		f	ã	31	fan3	
訪	访	f	an	3		f	ã	31	fan3	
紡	纺	f	an	3		f	ã	31	fan3	
放	放	f	an	5		f	ã	44	fan5	
拂	拂	f	eh	7		f	əʔ	4	feh7	
佛	佛	f	eh	8		f	əʔ	3	feh8	
氟	氟	f	eh	8		f	əʔ	3	feh8	
飛	飞	f	ei	1		f	əi	21	fei1	
妃	妃	f	ei	1		f	əi	21	fei1	
非	非	f	ei	1		f	əi	21	fei1	
菲	菲	f	ei	1		f	əi	21	fei1	
啡	啡	f	ei	1		f	əi	21	fei1	
緋	绯	f	ei	1		f	əi	21	fei1	
扉	扉	f	ei	1		f	əi	21	fei1	
霏	霏	f	ei	1		f	əi	21	fei1	
肥	肥	f	ei	2		f	əi	24	fei2	
淝	淝	f	ei	2		f	əi	24	fei2	
匪	匪	f	ei	3		f	əi	31	fei3	
誹	诽	f	ei	3		f	əi	31	fei3	
斐	斐	f	ei	3		f	əi	31	fei3	
翡	翡	f	ei	3		f	əi	31	fei3	
杮	杮	f	ei	5		f	əi	44	fei5	
肺	肺	f	ei	5		f	əi	44	fei5	
廢	废	f	ei	5		f	əi	44	fei5	
沸	沸	f	ei	5		f	əi	44	fei5	
費	费	f	ei	5		f	əi	44	fei5	
䉬	䉬	f	ei	5	蘆䉬	f	əi	44	fei5	
分	分	f	en	1	分寸	f	əŋ	21	fen1	
芬	芬	f	en	1		f	əŋ	21	fen1	
吩	吩	f	en	1		f	əŋ	21	fen1	
紛	纷	f	en	1		f	əŋ	21	fen1	
墳	坟	f	en	2		f	əŋ	24	fen2	
焚	焚	f	en	2		f	əŋ	24	fen2	
粉	粉	f	en	3		f	əŋ	31	fen3	
畚	畚	f	en	5	畚箕	f	əŋ	44	fen5	
奮	奋	f	en	5		f	əŋ	44	fen5	
糞	粪	f	en	5		f	əŋ	44	fen5	
分	分	f	en	6	分量	f	əŋ	33	fen6	
份	份	f	en	6		f	əŋ	33	fen6	
憤	愤	f	en	6		f	əŋ	33	fen6	
缶	缶	f	eu	3		f	ɤɯ	31	feu3	
否	否	f	eu	3		f	ɤɯ	31	feu3	
幅	幅	f	oh	7		f	ɔʔ	4	foh7	
輻	辐	f	oh	7		f	ɔʔ	4	foh7	
福	福	f	oh	7		f	ɔʔ	4	foh7	
蝠	蝠	f	oh	7		f	ɔʔ	4	foh7	
復	复	f	oh	7		f	ɔʔ	4	foh7	
複	复	f	oh	7		f	ɔʔ	4	foh7	
腹	腹	f	oh	7		f	ɔʔ	4	foh7	
覆	覆	f	oh	7		f	ɔʔ	4	foh7	
伏	伏	f	oh	8	埋伏	f	ɔʔ	3	foh8	
服	服	f	oh	8		f	ɔʔ	3	foh8	
茯	茯	f	oh	8		f	ɔʔ	3	foh8	
菔	菔	f	oh	8		f	ɔʔ	3	foh8	
匐	匐	f	oh	8		f	ɔʔ	3	foh8	
袱	袱	f	oh	8		f	ɔʔ	3	foh8	
丰	丰	f	on	1		f	ɔŋ	21	fon1	
豐	丰	f	on	1		f	ɔŋ	21	fon1	
風	风	f	on	1		f	ɔŋ	21	fon1	
楓	枫	f	on	1		f	ɔŋ	21	fon1	
封	封	f	on	1		f	ɔŋ	21	fon1	
瘋	疯	f	on	1		f	ɔŋ	21	fon1	
鋒	锋	f	on	1		f	ɔŋ	21	fon1	
蜂	蜂	f	on	1		f	ɔŋ	21	fon1	
峰	峰	f	on	2		f	ɔŋ	24	fon2	
烽	烽	f	on	2		f	ɔŋ	24	fon2	
鋒	锋	f	on	2		f	ɔŋ	24	fon2	
馮	冯	f	on	2		f	ɔŋ	24	fon2	
逢	逢	f	on	2		f	ɔŋ	24	fon2	
縫	缝	f	on	2	縫紉	f	ɔŋ	24	fon2	
鳳	凤	f	on	6		f	ɔŋ	33	fon6	
奉	奉	f	on	6		f	ɔŋ	33	fon6	
俸	俸	f	on	6		f	ɔŋ	33	fon6	
縫	缝	f	on	6	縫隙	f	ɔŋ	33	fon6	
夫	夫	f	v	1		f	ʋ	21	fv1	
伕	夫	f	v	1		f	ʋ	21	fv1	
膚	肤	f	v	1		f	ʋ	21	fv1	
衭	衭	f	v	1		f	ʋ	21	fv1	
麩	麸	f	v	1		f	ʋ	21	fv1	
稃	稃	f	v	1		f	ʋ	21	fv1	
敷	敷	f	v	1		f	ʋ	21	fv1	
俘	俘	f	v	1		f	ʋ	21	fv1	
鳧	凫	f	v	2		f	ʋ	24	fv2	
扶	扶	f	v	2		f	ʋ	24	fv2	
芙	芙	f	v	2		f	ʋ	24	fv2	
浮	浮	f	v	2		f	ʋ	24	fv2	
符	符	f	v	2		f	ʋ	24	fv2	
蜉	蜉	f	v	2		f	ʋ	24	fv2	
巫	巫	f	v	2		f	ʋ	24	fv2	
誣	诬	f	v	2		f	ʋ	24	fv2	
撫	抚	f	v	3		f	ʋ	31	fv3	
斧	斧	f	v	3		f	ʋ	31	fv3	
府	府	f	v	3		f	ʋ	31	fv3	
俯	俯	f	v	3		f	ʋ	31	fv3	
釜	釜	f	v	3		f	ʋ	31	fv3	
腑	腑	f	v	3		f	ʋ	31	fv3	
腐	腐	f	v	3		f	ʋ	31	fv3	
訃	讣	f	v	5		f	ʋ	44	fv5	
付	付	f	v	5		f	ʋ	44	fv5	
負	负	f	v	5		f	ʋ	44	fv5	
咐	咐	f	v	5		f	ʋ	44	fv5	
赴	赴	f	v	5		f	ʋ	44	fv5	
副	副	f	v	5		f	ʋ	44	fv5	
賦	赋	f	v	5		f	ʋ	44	fv5	
傅	傅	f	v	5		f	ʋ	44	fv5	
富	富	f	v	5		f	ʋ	44	fv5	
父	父	f	v	6		f	ʋ	33	fv6	
婦	妇	f	v	6		f	ʋ	33	fv6	
附	附	f	v	6	附帶	f	ʋ	33	fv6	
駙	驸	f	v	6		f	ʋ	33	fv6	
伽	伽	g	a	1		k	a	21	ga1	
加	加	g	a	1		k	a	21	ga1	
家	家	g	a	1	我家	k	a	21	ga1	
咖	咖	g	a	1	咖喱	k	a	21	ga1	
尬	尬	g	a	5		k	a	44	ga5	
架	架	g	a	5	架子	k	a	44	ga5	
界	界	g	a	5		k	a	44	ga5	
該	该	g	ae	1		k	ɛ	21	gae1	
陔	陔	g	ae	1		k	ɛ	21	gae1	
垓	垓	g	ae	1		k	ɛ	21	gae1	
賅	赅	g	ae	1		k	ɛ	21	gae1	
㨟	㨟	g	ae	1		k	ɛ	21	gae1	
枷	枷	g	ae	1	連枷	k	ɛ	21	gae1	
階	阶	g	ae	1		k	ɛ	21	gae1	
稭	秸	g	ae	1	麥稭	k	ɛ	21	gae1	
街	街	g	ae	1		k	ɛ	21	gae1	
改	改	g	ae	3		k	ɛ	31	gae3	
解	解	g	ae	3	解開	k	ɛ	31	gae3	
丐	丐	g	ae	5		k	ɛ	44	gae5	
鈣	钙	g	ae	5		k	ɛ	44	gae5	
蓋	盖	g	ae	5		k	ɛ	44	gae5	
溉	溉	g	ae	5		k	ɛ	44	gae5	
概	概	g	ae	5		k	ɛ	44	gae5	
介	介	g	ae	5		k	ɛ	44	gae5	
戒	戒	g	ae	5		k	ɛ	44	gae5	
屆	届	g	ae	5		k	ɛ	44	gae5	
界	界	g	ae	5	界岸	k	ɛ	44	gae5	
疥	疥	g	ae	5		k	ɛ	44	gae5	
嘎	嘎	g	aeh	7		k	iaʔ	4	gaeh7	
夾	夹	g	aeh	7		k	iaʔ	4	gaeh7	
