汉字	拼音	IPA	注释	编号	符号	调值	名称		说明：本字表使用Sawroeg，以武鸣壮语为主，收集了壮语（包含方言）的汉字音，不区分层次。				
飛	feih	fei33											
非	fei	fei24											
匪													
沸													
痱													
妃													
菲													
費	feiq	fei35											
肥	biz	piː31											
肥	feiz	fei31											
薇	meiz	mei31											
微	meiz	mei31											
尾	meix	mei42											
未	feih	fei33											
味	feih	fei33											
歸	gvi	kʷiː24											
鬼	gvij	kʷiː55											
貴	gviq	kʷiː35											
巍	ngaeh	ŋai33											
魏	ngaeh	ŋai33											
揮	vi	βiː24											
輝	vi	βiː24											
徽	veih	βei33											
諱													
卉													
威	vi	βiː24											
偎	oi	oːi24											
畏	viq	βiː35											
尉	viq	βiː35											
慰	viq	βiː35											
違	viz	βiː31											
圍	viz	βiː31											
葦	viz	βiː31											
偉	vix	βiː42											
緯	viz	βiː31											
胃	vih	βiː33											
謂	vih	βiː33											
猬	vih	βiː33											
褒													
保	bauj	paːu55											
堡	bauj	paːu55											
寶	bauj	paːu55											
報	bauq	paːu35											
袍	bauz	paːu31											
抱	bauh	paːu33											
暴	bauh	paːu33											
毛	mauz	maːu31											
冒	mauh	maːu33											
帽	mauh	maːu33											
刀	dau	taːu24											
叨													
倒	dauj	taːu55											
島	dauj	taːu55											
禱													
到	dauq	taːu35											
倒	dauq	taːu35											
掏	dau	taːu24											
滔	dau	taːu24											
討	dauj	taːu55											
套	dauq	taːu35											
桃	dauz	taːu31											
逃	dauz	taːu31											
逃	deuz	teːu31	动词										
陶	dauz	taːu31											
萄	dauz	taːu31											
濤	dau	taːu24											
稻													
道	dauh	taːu33											
導	dauj	taːu55											
盗													
腦													
瑙	naux	naːu42											
惱	naeuq	nau35	懊恼										
勞	lauz	laːu31											
撈	lauz	laːu31											
嘮													
牢	lauz	laːu31											
老	laux	laːu42											
遭													
糟	cauj	ɕaːu55											
早	caeux	ɕau42											
棗	cauj	ɕaːu55											
蚤													
澡													
躁	cauq	ɕaːu35											
灶	cauq	ɕaːu35											
灶	saeuq	θau35											
操	cau	ɕaːu24											
造	cauh	ɕaːu33											
造	caux	ɕaːu42											
草	cauj	ɕaːu55											
曹													
皂													
騷	sau	θaːu24											
臊	cauz	ɕaːu31											
掃	sauj	θaːu55											
嫂	sauj	θaːu55											
掃	sauq	θaːu35											
高	gauh	kaːu33											
膏	gau	kaːu24											
羔													
糕	gau	kaːu24											
糕	gauj	kaːu55											
稿	gauj	kaːu55											
告	gauq	kaːu35											
考	gauj	kaːu55											
烤	gauj	kaːu55											
靠	gauq	kaːu35											
犒													
熬	ngauz	ŋaːu31											
傲													
蒿	hau	haːu24											
薅													
好	hauj	haːu55											
好	hauq	haːu35											
耗	hauq	haːu35											
豪	hauz	haːu31											
毫	hauz	haːu31											
號	hauh	haːu33											
浩	haux	haːu42											
爊													
襖													
懊	aeuq	au35											
奥													
包	bau	paːu24											
胞	bau	paːu24											
飽	bauj	paːu55											
豹	beuq	peːu35											
爆	bauq	paːu35											
泡	bauq	paːu35											
泡	bau	paːu24											
抛	bau	paːu24											
炮	bauq	paːu35											
跑	bauj	paːu55											
鮑													
刨	bauh	paːu33											
刨	bauz	paːu31											
茅													
貓	meuz	meːu31											
卯	mauj	maːu55											
卯	maux	maːu42											
貌	mauh	maːu33											
鐃	nauz	naːu31											
撓													
鬧	nauh	naːu33											
罩													
抓													
爪	nyauj	ȵaːu55											
爪	cauj	ɕaːu55											
找	cauj	ɕaːu55											
笊													
抄	cau	ɕaːu24											
鈔	cau	ɕaːu24											
炒	cauj	ɕaːu55											
炒	ceuj	ɕeːu55											
吵	cauz	ɕaːu31											
巢													
梢	sau	θaːu24											
捎	siu	θiːu24											
稍	sau	θaːu24											
潲													
交	geu	keːu24											
交	gyau	kʲaːu24											
藠	giux	kiːu42											
郊													
膠	gau	kaːu24											
膠	gyauh	kʲaːu33											
教	gauq	kaːu35											
教	gyauq	kʲaːu35											
絞	geuj	keːu55											
絞	giuj	kiːu55											
狡													
鉸													
搞	gauj	kaːu55											
搞	gauz	kaːu31											
攪	gyaeuj	kʲau55											
攪	gyaux	kʲaːu42											
攪	gauj	kaːu55											
較	gyauq	kʲaːu35											
酵													
窖													
校	gauq	kaːu35											
校	auq	aːu35											
覺													
敲	gau	kaːu24											
巧	giuj	kiːu55											
咬	ngaux	ŋaːu42											
孝	hauq	haːu35											
肴													
淆													
效	hauh	haːu33											
校	hauh	haːu33											
坳													
拗	euq	eːu35											
飈	biu	piːu24											
標	biu	piːu24											
表	biuj	piːu55											
錶	biuj	piːu55											
飄	biu	piːu24											
漂	biu	piːu24											
票	biuq	piːu35											
漂	biuq	piːu35											
嫖	biuz	piːu31											
瓢	beuz	peːu31											
鰾													
膘	biu	piːu24											
描	miuz	miːu31											
苗	miuz	miːu31											
苗	meuz	meːu31											
藐													
渺													
秒	miux	miːu42											
秒	myauj	mʲaːu55											
廟	miuh	miːu33											
妙	miuq	miːu35											
燎													
燎													
焦													
椒	ceu	ɕeːu24											
剿													
鍬	ciu	ɕiːu24											
繰													
悄	ciuj	ɕiːu55											
俏													
樵													
瞧	ciuz	ɕiːu31											
消	siu	θiːu24											
宵	siu	θiːu24											
霄													
硝	siu	θiːu24											
銷	siu	θiːu24											
小	siuj	θiːu55											
笑	siuq	θiːu35											
鞘													
朝	ciuz	ɕiːu31											
超	ciu	ɕiːu24											
朝													
潮	ciuz	ɕiːu31											
趙													
兆	ciuq	ɕiːu35											
兆	ciu	ɕiːu24											
肇													
召	ciu	ɕiːu24											
昭													
招	ciu	ɕiːu24											
沼													
照	ciuq	ɕiːu35											
詔													
燒	siu	θiːu24											
少	siuj	θiːu55											
少													
韶													
紹	siuh	θiːu33											
邵													
饒	nyiuz	ȵiːu31											
擾	nyaux	ȵaːu42											
擾	yaux	jaːu42											
擾	yiu	jiːu24											
繞													
繞													
驕													
嬌													
矯													
喬	giuz	kiːu31											
橋	giuz	kiːu31											
轎	giuh	kiːu33											
囂	hiu	hiːu24											
枵													
妖	iu	iːu24											
妖	iuj	iːu55											
邀	iu	iːu24											
邀	yiu	jiːu24											
腰	iu	iːu24											
腰	yiu	jiːu24											
要	iu	iːu24											
夭													
要	iuq	iːu35											
搖	yauz	jaːu31											
謠	yiuz	jiːu31											
窯	yiuz	jiːu31											
姚	yiuz	jiːu31											
舀	yiux	jiːu42											
耀	yiuh	jiːu33											
刁	diu	tiːu24											
刁	diuq	tiːu35											
貂													
雕	deu	teːu24											
雕	diuh	tiːu33											
鳥	diuj	tiːu55											
吊	diuq	tiːu35											
釣	diuq	tiːu35											
挑	diu	tiːu24											
跳	diuq	tiːu35											
糶													
條	diuz	tiːu31											
調	diuz	tiːu31											
掉													
調	diuh	tiːu33											
調	diu	tiːu24											
尿													
聊													
遼													
撩													
寥													
廖													
了	leux	leːu42											
了	leu	leːu24											
了	liux	liːu42											
瞭													
料	liuh	liːu33											
簫	siu	θiːu24											
蕭	siu	θiːu24											
嘯	siuq	θiːu35											
澆													
繳	giuj	kiːu55											
繳	gyauj	kʲaːu55											
繳	gyau	kʲaːu24											
叫													
竅													
堯	nyiuz	ȵiːu31											
曉	yiux	jiːu42											
么	iu	iːu24											
杳													
剖	baeu	pau24											
某	moux	mou42											
畝	moux	mou42											
牡	maux	maːu42											
拇													
母	mux	muː42											
母	muq	muː35											
母	meh	meː33											
茂													
戊	fouh	fou33											
貿													
兜													
斗	daeuj	tau55											
斗	doj	toː55											
抖													
陡													
鬥	daeuq	tau35											
偷	daeu	tau24											
透	daeuq	tau35											
頭	daeuz	tau31											
頭	duz	tuː31											
頭	du	tuː24											
投	daeuz	tau31											
投	douz	tou31											
豆	daeuh	tau33											
豆	duh	tuː33											
豆	daux	taːu42											
豆	dox	toː42											
豆	dax	taː42											
逗	daeuq	tau35											
逗	doq	toː35											
耨													
樓	laeuz	lau31											
摟													
簍	laeux	lau42											
漏	laeuh	lau33											
漏	lawq	laɯ35											
陋													
走													
奏													
凑	caeuq	ɕau35											
叟													
嗽	saeuq	θau35											
勾	ngaeu	ŋau24											
勾	gaeu	kau24											
鉤	go	koː24											
鉤	ngaeu	ŋau24											
鉤	gaw	kaɯ24											
溝													
狗	gouj	kou55											
苟													
垢													
彀													
夠	gaeuq	kau35											
構													
購	gou	kou24											
媾													
摳													
口	haeuj	hau55											
口	gouj	kou55											
叩													
扣	gaeu	kau24											
寇													
藕	ngaeux	ŋau42											
偶	ngaeuh	ŋau33											
吼	haeuj	hau55											
蔻													
侯													
喉	haeuz	hau31											
喉	hoz	hoː31											
猴	haeuz	hau31											
後	haeux	hau42											
後	haeuh	hau33											
厚	haeux	hau42											
后	haeux	hau42											
候	haeuh	hau33											
謳													
歐	aeu	au24											
嘔													
毆													
漚													
慪	aeuq	au35											
否	mbouj	ɓou55											
富	fouq	fou35											
富	fuq	fuː35											
富	fu	fuː24											
副	fouq	fou35											
副	fuq	fuː35											
副	huq	huː35											
副	fu	fuː24											
浮	fouz	fou31											
浮	feuz	feːu31											
浮	feuh	feːu33											
阜													
負	fouh	fou33	欺负										
負	fu	fuː24											
婦													
復													
謀	maeuz	mau31											
矛													
眸													
紐	naux	naːu42											
紐	niuj	niːu55											
扭	niuj	niːu55											
留	louz	lou31											
留	liuz	liːu31											
榴	loux	lou42											
榴	louz	lou31											
劉	louz	lou31											
流	louz	lou31											
流	liuz	liːu31											
硫													
琉													
柳	laeux	lau42											
柳	liux	liːu42											
溜													
揪													
酒													
秋	cou	ɕou24											
秋	caeu	ɕau24											
秋	caeuz	ɕau31											
秋	ciu	ɕiːu24											
就	couh	ɕou33											
就	caeuh	ɕau33											
修	sou	θou24											
羞	sou	θou24											
秀	souq	θou35											
秀	siuq	θiːu35											
秀	siu	θiːu24											
鏽	souq	θou35											
繡	souq	θou35											
繡	siuq	θiːu35											
宿	saeuq	θau35											
囚													
袖	souh	θou33											
袖	siu	θiːu24											
肘													
晝													
抽	caeu	ɕau24											
抽	cou	ɕou24											
抽	couh	ɕou33											
丑	couj	ɕou55											
綢	caeuz	ɕau31											
綢	couz	ɕou31											
稠	caeuz	ɕau31											
籌	caeuz	ɕau31											
籌	couz	ɕou31											
紂													
宙													
鄒													
皺													
縐													
愁	saeuz	θau31											
驟													
餿	saeu	θau24											
搜	saeu	θau24											
搜	saeuj	θau55											
颼													
蒐	saeu	θau24											
蒐	saeuj	θau55											
瘦	saeuq	θau35											
漱	sauq	θaːu35											
周	cou	ɕou24											
舟													
洲													
州	cou	ɕou24											
州	cu	ɕuː24											
帚													
咒													
醜	couj	ɕou55											
臭	caeuq	ɕau35											
收	sou	θou24											
手	souj	θou55											
首	souj	θou55											
守	souj	θou55											
守	siuj	θiːu55											
獸	seuq	θeːu35											
讎	caeuz	ɕau31											
讎	couz	ɕou31											
酬	caeuz	ɕau31											
受	souh	θou33											
壽	souh	θou33											
授	saeuh	θau33											
售	saeuh	θau33											
柔	nyaeuz	ȵau31											
揉	nyaeuz	ȵau31											
鳩													
鬮	gaeu	kau24											
九	gouj	kou55											
久													
韭													
灸	giuj	kiːu55											
究	gouq	kou35											
救	gouq	kou35											
救	gaeuq	kau35											
丘	yaeu	jau24											
求	gouz	kou31											
求	giuz	kiːu31											
求	gyaeuz	kʲau31											
球	gouz	kou31											
球	giuz	kiːu31											
仇													
舅	goux	kou42											
舅	giu	kiːu24											
臼													
咎													
舊	gaeuq	kau35											
舊	geq	keː35											
柩													
牛													
休	hiu	hiːu24											
朽	hiux	hiːu42											
嗅	hiuh	hiːu33											
憂	you	jou24											
優	you	jou24											
尤	youz	jou31											
郵	youz	jou31											
有	youx	jou42											
友	youx	jou42											
又	youh	jou33											
右	youh	jou33											
宥													
祐	youh	jou33											
佑	youh	jou33											
油	youz	jou31											
游	youz	jou31											
悠	youz	jou31											
猶	youz	jou31											
由	youz	jou31											
酉	youx	jou42											
莠													
誘	yaeuh	jau33											
釉	youh	jou33											
柚	you	jou24											
彪													
謬	niu	niːu24											
丢													
糾	geuj	keːu55											
喲	iu	iːu24											
幽	you	jou24											
幼	ouq	ou35											
耽													
貪	dam	taːm24											
探	damq	taːm35											
潭													
譚													
南	namz	naːm31											
男	namz	naːm31											
婪	lamz	laːm31											
簪	cam	ɕaːm24											
參	cam	ɕaːm24											
參	samh	θaːm33	参加										
摻	cam	ɕaːm24											
慘	camʲ	ɕaːm55											
蠶	camz	ɕaːm31											
感	gamʲ	kaːm55											
堪													
龕	ham	haːm24											
坎	gamx	kaːm42											
砍													
勘	hamq	haːm35											
含	hanz	haːn31											
含	hamz	haːm31											
含	gamz	kaːm31											
含	oem	om24											
函	hamz	haːm31											
撼													
憾													
庵													
諳													
暗	amq	aːm35											
擔	dam	taːm24											
膽	damʲ	taːm55											
擔	damq	taːm35											
坍													
毯	damʲ	taːm55											
痰	damz	taːm31											
談	damz	taːm31											
淡	damh	taːm33											
淡	damz	taːm31	淡定										
藍	lamz	laːm31											
籃	lamz	laːm31											
欖	lamʲ	laːm55											
欖	lamq	laːm35											
攬	lamx	laːm42											
覽													
纜	lamh	laːm33											
濫	lamh	laːm33											
濫	lanh	laːn33											
慚	camz	ɕaːm31											
暫	camh	ɕaːm33											
三	sam	θaːm24											
柑	gam	kaːm24											
泔													
甘	gam	kaːm24											
疳	gam	kaːm24											
敢	gamʲ	kaːm55											
橄	gyamʲ	kʲaːm55											
瞰													
蚶													
喊	hamʲ	haːm55											
喊	hemq	hem35											
邯													
酣													
站	camh	ɕaːm33											
賺	canh	ɕaːn33											
斬													
蘸	caemʲ	ɕam55											
讒													
饞	canz	ɕaːn31											
杉	sam	θaːm24											
杉	camh	ɕaːm33											
衫	sam	θaːm24											
尷													
減	gemʲ	kem55											
鹻	genj	ken55											
鹼	genj	ken55											
鹹	hamz	haːm31											
鹹	haemz	ham31											
鹹	gimz	kim31											
咸	hamz	haːm31											
陷	hamh	haːm33											
饀	hamh	haːm33											
攙	cam	ɕaːm24											
懺													
監	gam	kaːm24											
監													
鑒	gamq	kaːm35											
嵌	haemq	ham35											
巖	ngamz	ŋaːm31											
銜	hamz	haːm31											
銜	gamz	kaːm31											
艦													
貶	bienj	piːn55											
黏	nem	nem24											
廉													
鐮	liemz	liːm31											
簾													
奩													
斂	liemx	liːm42											
殮													
尖													
殲													
籤	ciem	ɕiːm24											
簽	ciem	ɕiːm24											
僉													
潛	ciemz	ɕiːm31											
漸	ciemh	ɕiːm33											
暹	senh	θen33											
纖	cien	ɕiːn24											
沾													
粘	nem	nem24											
瞻													
佔	ciemq	ɕiːm35											
占	ciemq	ɕiːm35											
陝	siemʲ	θiːm55											
閃	siemʲ	θiːm55											
贍													
染	nyiemx	ȵiːm42											
冉													
檢	gienj	kiːn55											
檢	genj	ken55											
臉													
鉗	giemz	kiːm31											
鉗	gemz	kem31											
鉗	gimz	kim31											
儉	giemh	kiːm33											
驗	niemh	niːm33											
驗	nyiemh	ȵiːm33											
險	yiemʲ	jiːm55											
淹	iem	iːm24											
閹	iem	iːm24											
奄	iemʲ	iːm55											
掩	iemʲ	iːm55											
厭	iemq	iːm35											
炎	yiemz	jiːm31											
鹽	yiemz	jiːm31											
閻	yiemz	jiːm31											
檐	yiemh	jiːm33											
艷	yiemh	jiːm33											
焰	yiemh	jiːm33											
劍	giemq	kiːm35											
欠	giemq	kiːm35											
嚴	nyiemz	ȵiːm31											
嚴	niemz	niːm31											
嚴	yiemz	jiːm31											
儼													
釅													
鍁													
崦													
掂													
點	diemʲ	tiːm55											
墊	diemh	tiːm33											
墊	demh	tem33											
店	diemq	tiːm35											
添	diem	tiːm24											
添	dem	tem24											
忝													
舔													
甜	diemz	tiːm31											
甜	dienz	tiːn31											
拈													
鮎													
念	niemh	niːm33											
僭													
兼	giem	kiːm24											
蒹													
謙	giem	kiːm24											
歉	giemq	kiːm35											
嫌	yiemz	jiːm31											
嫌	yiem	jiːm24											
泛	famh	faːm33											
凡	bamz	paːm31											
凡	fanz	faːn31											
帆	fanz	faːn31											
範	fan	faːn24											
范	fan	faːn24											
犯	famh	faːm33											
梵													
答	dap	taːp35											
搭	dap	taːp35											
踏	dab	taːp33											
納	nab	naːp33											
拉													
雜	cab	ɕaːp33											
蛤													
鴿	gap	kaːp35											
合	hab	haːp33											
哈	ha	haː24											
盒	hab	haːp33											
榻													
塔	dap	taːp35											
塌	dap	taːp35											
臘	lab	laːp33											
蠟	lab	laːp33											
鑞													
卅													
磕													
盍													
劄													
眨													
插	cap	ɕaːp35											
插	cab	ɕaːp33											
閘	cab	ɕaːp33											
煠													
霎													
夾	gab	kaːp33											
夾	geb	keːp33											
袷													
恰	hab	haːp33											
掐													
狹	gaeb	kap33											
峽													
洽	hab	haːp33											
甲	gap	kaːp35											
甲	gyap	kʲaːp35											
甲	gyaep	kʲap55											
匣	hab	haːp33											
狎													
鴨	ap	aːp35											
押	ap	aːp35											
壓	at	aːt3524											
聶													
鑷	naep	nap55											
鑷	nep	neːp35											
獵	lieb	liːp33											
接	ciep	ɕiːp35											
妾													
捷													
輒													
摺	cip	ɕip55											
攝	siep	θiːp35											
涉	siep	θiːp35											
靨													
葉	yieb	jiːp33											
劫	giep	kiːp35											
怯	yiep	jiːp35											
業	nieb	niːp33											
業	nyieb	ȵiːp33											
脅	hiep	hiːp35											
貼	diep	tiːp35											
帖	diep	tiːp35											
疊	dieb	tiːp33											
疊	daeb	tap33											
疊	dab	taːp33											
牒													
蝶													
諜													
協	hieb	hiːp33											
叶													
俠													
挾	hieb	hiːp33											
法	fap	faːp35											
乏													
禀	bingj	piŋ55											
品	bimʲ	pim55											
賃													
林	limz	lim31											
淋	limz	lim31											
臨	laemz	lam31											
臨	linh	lin33											
凛													
廪													
浸	cimq	ɕim35											
侵	caem	ɕam24											
侵	ciemq	ɕiːm35											
寢													
蕈													
心	sim	θim24											
心	saem	θam24											
尋	cimz	ɕim31											
尋	cimh	ɕim33											
琛													
沉	caenz	ɕan31											
沉	caem	ɕam24											
朕													
簪	cam	ɕaːm24											
岑													
森	sam	θaːm24											
參	caem	ɕam24											
滲	saemq	θam35											
針	cim	ɕim24											
斟	caem	ɕam24											
枕	cinj	ɕin55											
葚													
深	saem	θam24											
瀋	saemʲ	θam55											
審	saemʲ	θam55											
嬸	saemʲ	θam55											
甚	saemh	θam33											
壬	nyaemz	ȵam31											
任	nyimh	ȵim33											
任	nyaemh	ȵam33											
任	yaemh	jam33											
妊													
今													
金	gim	kim24											
襟	gaemq	kam35											
襟	ginq	kin35											
襟	gaemʲ	kam55											
襟	gimʲ	kim55											
禁	gimq	kim35											
禁	gimh	kim33											
錦													
欽													
琴	gimz	kim31											
禽	gimz	kim31											
擒	gaemh	kam33											
吟	ngaemz	ŋam31											
音	yaem	jam24											
陰	yaem	jam24											
陰	im	im24											
飲	yaemʲ	jam55											
蔭	yaem	jam24											
窨													
淫	yaemz	jam31											
立	laeb	lap33											
粒													
緝													
集	caeb	ɕap33											
輯													
習	caeb	ɕap33											
襲	caeb	ɕap33											
蟄	caet	ɕat55											
蟄	cig	ɕik33											
澀	saep	θap55											
汁													
執	caep	ɕap55											
濕	saep	θap55											
十	sib	θip33											
十	cib	ɕip33											
什	sib	θip33											
拾	sib	θip33											
拾	cib	ɕip33											
拾	caeb	ɕap33	收拾										
入	nyaeb	ȵap33											
急	gip	kip55											
級	gaep	kap55											
汲													
給													
泣													
及	gib	kip33											
吸	haep	hap55											
邑	aep	ap55											
揖	aep	ap55											
丹	dan	taːn24											
單	dan	taːn24											
旦	danq	taːn35											
灘	dan	taːn24											
攤	dan	taːn24											
坦	danj	taːn55											
嘆	danq	taːn35											
炭	danq	taːn35											
檀	danz	taːn31											
壇	danz	taːn31											
彈	danz	taːn31											
誕													
但	danh	taːn33											
氮	danq	taːn35											
彈	danh	taːn33											
彈	dan	taːn24											
蛋													
憚													
難	nanz	naːn31											
難	nanh	naːn33											
蘭	lanz	laːn31											
攔	lanz	laːn31											
欄	ranz	ɣaːn31											
欄	lanz	laːn31											
懶	lanx	laːn42											
爛	lanh	laːn33											
贊	danq	taːn35											
餐	can	ɕaːn24											
燦	canq	ɕaːn35											
殘	canz	ɕaːn31											
珊													
散	sanj	θaːn55											
傘	sanj	θaːn55											
散	sanq	θaːn35											
肝													
竿													
干	gan	kaːn24											
乾	gan	kaːn24											
幹	ganq	kaːn35											
幹	gan	kaːn24											
桿	gan	kaːn24											
稈	ganj	kaːn55											
稈	gaenh	kan33											
稈	gaenj	kan55											
稈	ganz	kaːn31											
稈	gan	kaːn24											
擀	gyaenx	kʲan42											
趕	ganj	kaːn55											
看	ganq	kaːn35											
刊													
侃													
看													
岸	nganx	ŋaːn42											
鼾	gyaen	kʲan24											
罕													
漢	hanq	haːn35											
漢	han	haːn24											
寒	hanz	haːn31											
韓													
旱	hanx	haːn42											
焊	hanh	haːn33											
汗	hanq	haːn35											
汗	hanh	haːn33											
翰													
安	an	aːn24											
鞍	an	aːn24											
按	anq	aːn35											
案	anq	aːn35											
扮	banq	paːn35											
盼	banq	paːn35											
瓣	banh	paːn33											
辦	banh	paːn33											
綻													
盞													
鏟	canj	ɕaːn55											
鏟	danj	taːn55											
鏟	conx	ɕoːn42											
潺													
山	san	θaːn24											
山	sanh	θaːn33											
產	canj	ɕaːn55											
艱	gan	kaːn24											
間	gan	kaːn24											
簡													
揀	genj	ken55											
柬													
間													
眼	nganx	ŋaːn42											
閒	hanz	haːn31											
限	hanh	haːn33											
莧													
班	ban	paːn24											
扳	ban	paːn24											
扳	banj	paːn55											
頒													
板	banj	paːn55											
板	benj	pen55											
版	banj	paːn55											
攀	ban	paːn24											
攀	benz	pen31											
襻													
蠻	manz	maːn31											
慢	manh	maːn33											
慢	menh	men33											
棧													
删	san	θaːn24											
訕													
疝													
奸	gan	kaːn24											
奸	gen	ken24											
姦	gan	kaːn24											
姦	gen	ken24											
諫													
顏	nganz	ŋaːn31											
雁	nyanh	ȵaːn33											
晏													
編	bien	piːn24											
鞭	bien	piːn24											
變	bienq	piːn35											
篇	bien	piːn24											
偏	bien	piːn24											
騙	bienq	piːn35											
便	bienz	piːn31											
辨	bienh	piːn33											
辯	bienh	piːn33											
便	bienh	piːn33											
汴													
綿	mienz	miːn31											
棉	mienz	miːn31											
免	mienx	miːn42											
勉	mienx	miːn42											
勉	menj	men55											
娩													
緬													
面	mienh	miːn33											
碾	nienj	niːn55											
連	lienz	liːn31											
聯	lienz	liːn31											
輦													
煎	cien	ɕiːn24											
煎	cienq	ɕiːn35											
剪	cienj	ɕiːn55											
箭	cienq	ɕiːn35											
濺													
遷	cien	ɕiːn24											
遷	senj	θen55											
淺	cienj	ɕiːn55											
錢	cienz	ɕiːn31											
踐													
賤	cienh	ɕiːn33											
仙	sien	θiːn24											
鮮	sien	θiːn24											
鮮													
癬	sienj	θiːn55											
線	sienq	θiːn35											
涎													
羨													
展	canj	ɕaːn55											
纏	canz	ɕaːn31											
氈	cien	ɕiːn24											
戰	cen	ɕen24											
顫	canq	ɕaːn35											
膻													
扇	sienq	θiːn35											
蟬													
禪													
善	sienh	θiːn33											
膳													
擅													
單													
禪													
然	yienz	jiːn31											
燃	yienz	jiːn31											
遣	yienj	jiːn55											
乾													
虔													
件	gienh	kiːn33											
諺	nyienh	ȵiːn33											
彦	nyienh	ȵiːn33											
焉	ien	iːn24											
延	yienz	jiːn31											
筵													
演	yienx	jiːn42											
演	yienj	jiːn55											
建													
鍵													
健													
腱	gienq	kiːn35											
言	nyienz	ȵiːn31											
唁	nyienh	ȵiːn33											
軒	hien	hiːn24											
掀	yien	jiːn24											
憲	yienq	jiːn35											
獻	yienq	jiːn35											
獻	yen	jen24											
蔫													
堰	ienj	iːn55											
邊	bien	piːn24											
蝙													
扁	bienj	piːn55											
扁	benj	pen55											
匾	bienj	piːn55											
遍	bienq	piːn35											
片	bienq	piːn35											
片	benq	pen35											
駢													
辮	bien	piːn24											
眠													
麵	mienh	miːn33											
顛													
典	dienj	tiːn55											
天	dien	tiːn24											
天	dienz	tiːn31											
田	dienz	tiːn31											
填	dienz	tiːn31											
電	dienh	tiːn33											
殿	dienh	tiːn33											
奠													
佃													
年	nienz	niːn31											
攆													
撚	naenj	nan55											
憐													
蓮	lienz	liːn31											
練	lienh	liːn33											
煉	lienh	liːn33											
煉	len	len24											
箋													
薦													
千	cien	ɕiːn24											
前	cienz	ɕiːn31											
先	sien	θiːn24											
肩													
堅	gien	kiːn24											
繭													
見													
牽	yien	jiːn24											
研	nyienz	ȵiːn31											
研	nganz	ŋaːn31											
研	ngenz	ŋen31											
研	ngienz	ŋiːn31											
硯	nyienh	ȵiːn33											
硯	yienh	jiːn33											
顯	yienj	jiːn55											
賢	yienz	jiːn31											
弦	yienz	jiːn31											
現	yienq	jiːn35											
現	yienh	jiːn33											
煙	ien	iːn24											
燕	enq	en35											
嚥	ienq	iːn35											
咽	ien	iːn24											
咽	iet	iːt35	哽咽										
宴	enq	en35											
獺													
達	dad	taːt33											
捺													
辣	lad	laːt33											
辣	lah	laː33											
癩													
擦	cat	ɕaːt35											
撒	sat	θaːt35											
薩	sat	θaːt35											
割	gat	kaːt35											
葛													
渴	hat	haːt35											
喝	hat	haːt35											
曷													
八	bet	peːt35											
八	bat	paːt35											
拔	baed	pat33											
札													
紮	caeb	ɕap33											
紮	cap	ɕaːp35											
扎	caeb	ɕap33											
扎	cap	ɕaːp35											
察	caz	ɕaː31											
殺	sat	θaːt35											
殺	caed	ɕat33											
軋	ngad	ŋaːt33											
鍘	cab	ɕaːp33											
瞎	haed	hat33											
轄													
憋	mbaet	ɓat55											
憋	mboet	ɓot55											
鱉	biet	piːt35											
別	biet	piːt35											
別	bied	piːt33											
滅	mied	miːt33											
滅	maet	mat55											
列	lied	liːt33											
裂													
烈													
薛	siet	θiːt35											
褻													
泄	siet	θiːt35											
哲													
徹	ciet	ɕiːt35											
撤	ciet	ɕiːt35											
轍													
折	cied	ɕiːt33											
折	ciet	ɕiːt35											
浙													
舌	sied	θiːt33											
設	siet	θiːt35											
熱	yied	jiːt33											
孑													
傑													
孽													
揭	giet	kiːt35											
竭	gved	kʷeːt33											
竭	gvaed	kʷat33											
歇	yiet	jiːt35											
蝎	hiet	hiːt35											
謁													
撇	biet	piːt35											
篾													
鐵	diet	tiːt35											
迭													
跌													
捏													
節	ciet	ɕiːt35											
切	ciet	ɕiːt35											
截													
屑	siet	θiːt35											
結	giet	kiːt35											
潔													
噎	iet	iːt35											
搬	buen	puːn24											
般	buen	puːn24											
半	buenq	puːn35											
絆													
潘													
拚	buenq	puːn35											
判	buenq	puːn35											
盤	buenz	puːn31											
伴	buenh	puːn33											
伴	buenx	puːn42											
叛	buenh	puːn33											
瞞	muenz	muːn31											
饅	manz	maːn31											
滿	muenx	muːn42											
漫													
幔													
端													
短	dinj	tin55											
斷	duenh	tuːn33											
斷	donq	toːn35											
斷	don	toːn24											
鍛	don	toːn24											
團	duenz	tuːn31											
段	duenh	tuːn33											
段	donh	toːn33											
緞	duenh	tuːn33											
暖	nonj	noːn55											
鸞													
卵	luenx	luːn42											
亂	luenh	luːn33											
鑽	cuenq	ɕuːn35											
鑽	conq	ɕoːn35											
纂													
竄	cuenh	ɕuːn33											
酸	suen	θuːn24											
算	suenq	θuːn35											
蒜	suenq	θuːn35											
官	guen	kuːn24											
觀													
冠													
管	guenj	kuːn55											
館													
冠													
觀													
灌	guenq	kuːn35											
罐	guenq	kuːn35											
貫	gvanq	kʷaːn35											
寬													
款													
玩													
歡	vuen	βuːn24											
喚	vuenq	βuːn35											
煥													
桓													
完	yienz	jiːn31											
完	yuenz	juːn31											
丸	yienz	jiːn31											
丸	yuenz	juːn31											
丸	vienz	βiːn31											
紈													
緩	vuenx	βuːn42											
皖													
換	vuenh	βuːn33											
豌	van	βaːn24											
豌	venz	βen31											
碗	vanj	βaːn55											
