id	ini	fn	pt	单字	IPA	注释	
618	ts	ɐi	25	祭	tsɐi25	祭祀	
619	ts	ɐi	25	際	tsɐi25	国际	
620	ts	ɐi	53	滯	tsɐi53	停滞	
621	ts	ɐi	25	制	tsɐi25	制度	
622	ts	ɐi	25	製	tsɐi25	制造	
623	s	ɐi	25	世	sɐi25	世界	
624	s	ɐi	25	勢	sɐi25	势力	
625	s	ɐi	53	誓	sɐi53	发誓	
626	s	ɐi	53	逝	sɐi53	逝去，逝世	
627	ŋ	ɐi	53	藝	ŋɐi53	艺术	
628	p	ɐi	25	蓖	pɐi25	蓖麻	
629	p	ɐi	25	閉	pɐi25	关闭	
630	pʰ	ɐi	33	批	pʰɐi33	批评	
631	m	ɐi	41	迷	mɐi41	迷路	
632	m	ɐi	21	米	mɐi21	大米	
633	m	ɐi	53	謎	mɐi53	谜语	
634	t	ɐi	33	低	tɐi33	高低	
635	tʰ	ɐi	41	堤	tʰɐi41	河堤	
636	t	ɐi	21	底	tɐi21	水底	
637	t	ɐi	21	抵	tɐi21	抵押	
638	t	ɐi	25	帝	tɐi25	皇帝	
639	t	ɐi	25	蒂	tɐi25	瓜蒂，并蒂莲	
640	tʰ	ɐi	33	梯	tʰɐi33	楼梯	
641	tʰ	ɐi	21	體	tʰɐi21	身体	
642	tʰ	ɐi	25	替	tʰɐi25	代替	
643	tʰ	ɐi	25	涕	tʰɐi25	鼻涕	
644	tʰ	ɐi	25	剃	tʰɐi25	剃头	
645	tʰ	ɐi	41	題	tʰɐi41	题目	
646	tʰ	ɐi	41	提	tʰɐi41	提问	
647	tʰ	ɐi	41	蹄	tʰɐi41	猪蹄	
648	tʰ	ɐi	41	啼	tʰɐi41	鸡啼	
649	t	ɐi	53	弟	tɐi53	弟弟	
650	t	ɐi	53	第	tɐi53	第一	
651	t	ɐi	53	遞	tɐi53	传递	
652	n	ɐi	41	泥	nɐi41	水泥	
653	l	ɐi	41	犁	lɐi41	犁地	
654	l	ɐi	41	黎	lɐi41	黎明；姓	
655	l	ɐi	21	禮	lɐi21	礼貌	
656	l	ɐi	53	麗	lɐi53	美丽	
657	l	ɐi	53	隸	lɐi53	奴隶；隶属	
658	l	ei	53	莉	lei53	茉莉	
659	ts	ɐi	33	擠	tsɐi33	拥挤	
660	ts	ɐi	25	濟	tsɐi25	经济	
661	tsʰ	ɐi	33	妻	tsʰɐi33	妻子	
662	tsʰ	ɐi	25	砌	tsʰɐi25	砌墙	
663	tsʰ	ɐi	41	齊	tsʰɐi41	整齐	
664	tsʰ	ei	41	臍	tsʰei41	肚脐	
665	ts	ɐi	33	劑	tsɐi33	药剂	
666	ɬ	ɐi	33	西	ɬɐi33	东西南北	
667	tsʰ	ɐi	33	棲	tsʰɐi33	栖息，两栖	
668	ɬ	ɐi	33	犀	ɬɐi33	犀牛	
669	ɬ	ɐi	21	洗	ɬɐi21	洗衣服	
670	ɬ	ɐi	25	細	ɬɐi25	粗细；大细	
671	ɬ	ɐi	25	婿	ɬɐi25	女婿	
672	k	ɐi	33	雞	kɐi33	公鸡	
673	kʰ	ɐi	33	稽	kʰɐi33	稽查	
674	k	ɐi	25	計	kɐi25	会计	
675	k	ɐi	25	繼	kɐi25	继续	
676	h	ɐi	53	繫	hɐi53	联系	
677	k	ɐi	25	髻	kɐi25	发髻	
678	kʰ	ɐi	33	溪	kʰɐi33	小溪	
679	kʰ	ɐi	21	啓	kʰɐi21	启发	
680	kʰ	ɐi	25	契	kʰɐi25	地契	
681	ŋ	ɐi	53	倪	ŋɐi53	姓	
682	h	ɐi	53	系	hɐi53	系统；中文系	
684	h	ɐi	53	係	hɐi53	是	
685	p	ui	33	杯	pui33	茶杯	
686	p	ui	25	輩	pui25	长辈	
687	p	ui	25	背	pui25	背书	
688	pʰ	ui	33	胚	pʰui33	胚胎	
690	pʰ	ui	25	配	pʰui25	分配	
691	pʰ	ui	41	培	pʰui41	培训	
692	pʰ	ui	41	陪	pʰui41	陪伴	
693	pʰ	ui	41	賠	pʰui41	赔钱	
694	pʰ	ui	41	裴	pʰui41	姓	
695	pʰ	ui	21	倍	pʰui21	倍数	
696	pʰ	ui	25	佩	pʰui25	佩服	
697	pʰ	ui	25	背	pui25	后背	1
698	p	ui	53	焙	pui53	焙干	
699	m	ui	41	梅	mui41	梅花	
700	m	ui	41	枚	mui41	一枚	
701	m	ui	41	媒	mui41	媒人	
702	m	ui	41	煤	mui41	煤矿	
703	m	ui	41	玫	mui41	玫瑰	
704	m	ui	41	莓	mui41	草莓	
705	m	ui	21	每	mui21	每天	
706	m	ui	53	妹	mui53	妹妹	
707	m	ei	41	昧	mei41	拾金不昧	
708	t	ui	33	堆	tui33	堆放	
709	t	ui	25	對	tui25	对错	
710	tʰ	ui	33	推	tʰui33	推动	
711	tʰ	ui	21	腿	tʰui21	腿部	
712	tʰ	ui	25	退	tʰui25	退后	
713	t	ui	53	隊	tui53	队伍	
714	n	ui	53	内	nui53	内外	
715	l	ui	41	雷	lui41	雷公；姓	
716	l	ui	53	累	lui53	极困；劳累	
717	tsʰ	ui	33	催	tsʰui33	催眠	
718	tsʰ	ui	33	崔	tsʰui33	姓	
719	ts	ui	53	罪	tsui53	犯罪	
720	ɬ	ui	25	碎	ɬui25	破碎	
721	kʰ	ui	33	盔	kʰui33	头盔	
722	kʰ	ui	33	魁	kʰui33	魁悟	
723	f	ui	33	恢	fui33	恢复	
724	kʰ	ai	25	塊	kʰai25	块状	
725	w	ɐi	41	桅	wɐi41	桅杆	
726	f	ui	33	灰	fui33	灰色	
727	kʰ	ui	25	賄	kʰui25	贿赂	
728	f	ui	25	悔	fui25	后悔	
729	f	ui	25	晦	fui25	晦气	
730	w	ui	41	回	wui41	回去	
731	w	ui	41	茴	wui41	茴香	
732	w	ui	53	匯	wui53	汇报	
733	kʰ	ui	25	潰	kʰui25	溃疡	
734	w	ui	33	煨	wui33	煨番薯	
735	tʰ	ui	25	蜕	tʰui25	蜕变	
736	t	ui	53	兑	tui53	兑换	
737	ts	ui	25	最	tsui25	最好	
738	w	ui	53	會	wui53	会不会	
739	kʰ	ui	25	劊	kʰui25	刽子手	
740	kʰ	ui	25	檜	kʰui25	秦桧	
741	w	ui	53	外	wui53	外面	
742	w	ui	53	會	wui53	会计	
743	w	ui	53	會	wui53	开会	
744	kʰ	ui	25	繪	kʰui25	绘画	
745	k	ɐi	33	乖	kai33	小孩听话	
746	k	ɐi	25	怪	kai25	奇怪	
747	w	ɐi	41	懷	wai41	胸怀	
748	w	ɐi	41	槐	wai41	槐树	
749	w	ɐi	41	淮	wai41	淮河	
750	w	ɐi	53	壞	wai53	好坏	
751	k	ɐi	21	拐	kai21	拐卖	
752	kʰ	a	25	掛	kʰa25	挂钩	
753	k	a	25	卦	ka25	卜卦；八卦	
754	w	ai	33	歪	wai33	歪斜	
755	w	ak	053	畫	wɐk53	油画	
756	w	a	33	蛙	wa33	青蛙	
757	kʰ	ɐi	25	快	kʰai25	快点；快车	
758	kʰ	ɐi	25	筷	kʰai25	筷子	
759	w	a	53	話	wa53	说话	
760	tsʰ	ui	25	脆	tsʰui25	干脆	
761	ɬ	ui	25	歲	ɬui25	万岁	
762	ts	ui	53	贅	tsui53	入赘	
763	s	ui	25	税	sui25	税收	
765	w	ɐi	53	衛	wɐi53	卫生	
766	j	ui	53	鋭	jui53	尖锐	
767	f	ɐi	25	廢	fɐi25	废品	
768	f	ɐi	25	肺	fɐi25	猪肺	
769	f	ɐi	53	吠	fɐi53	狗叫、狗吠	
770	w	ui	25	穢	wui25	污秽	
771	k	ɐi	33	圭	kɐi33	人名用字	
772	k	ɐi	33	閨	kɐi33	闺房	
773	k	ɐi	25	桂	kɐi25	桂花	
774	kʰ	ui	33	奎	kʰui33	人名用字	
775	kʰ	ɐi	41	携	kʰɐi41	携带	
776	w	ɐi	53	惠	wɐi53	优惠	
777	j	ui	53	慧	jui53	智慧	
778	p	ei	33	碑	pei33	石碑	
779	p	ei	33	卑	pei33	卑鄙	
780	pʰ	ei	21	彼	pʰei21	彼此	
782	p	ei	25	臂	pei25	手臂	
783	pʰ	ei	33	披	pʰei33	披上	
784	pʰ	ei	25	譬	pʰei25	譬如；譬喻	
785	pʰ	ei	41	皮	pʰei41	果皮	
786	pʰ	ei	41	疲	pʰei41	疲劳	
787	pʰ	ei	41	脾	pʰei41	脾气	
788	p	ei	53	被	pei53	被动	
789	p	ei	21	婢	pei21	婢女	
790	pʰ	ei	21	被	pʰei21	棉被	
791	p	ei	53	避	pei53	避开	
793	m	ei	41	彌	mei41	弥补	
794	l	ei	41	離	lei41	离别	
795	l	ei	41	籬	lei41	篱笆	
796	l	ei	41	璃	lei41	玻璃	
797	l	ɐi	41	荔	lɐi41	荔枝	
798	l	ei	41	離	lei41	离开	
799	ts	ei	21	紫	tsei21	紫色	
800	ts	ei	33	雌	tsei33	雌雄	
801	tsʰ	ei	21	此	tsʰei21	此地	
802	tsʰ	i	25	刺	tsʰi25	鱼刺	
803	ɬ	ei	33	斯	ɬei33	斯大林	
804	ɬ	ei	33	撕	ɬei33	撕破	
805	ɬ	ɐi	21	璽	ɬɐi21	玉玺	
806	ɬ	ɐi	21	徙	ɬɐi21	迁徙	
807	tsʰ	ei	25	賜	tsʰei25	赏赐	
808	ts	i	33	知	tsi33	知道	
809	ts	i	33	蜘	tsi33	蜘蛛	
810	ts	i	25	智	tsi25	智慧	
811	tsʰ	i	41	池	tsʰi41	池塘	
812	tsʰ	i	41	馳	tsʰi41	奔驰	
813	s	ɐi	33	篩	sɐi33	筛子	
814	ts	i	33	支	tsi33	支持	
815	ts	i	33	枝	tsi33	荔枝	
816	ts	i	33	肢	tsi33	四肢	
817	ts	i	21	紙	tsi21	白纸	
818	ts	i	21	只	tsi21	只有	
819	tsʰ	i	21	侈	tsʰi21	奢侈	
820	s	ɐi	21	舐	sɐi21	舔	
821	s	i	33	施	si33	施肥	
822	tsʰ	i	25	翅	tsʰi25	鱼翅	
823	s	i	41	匙	si41	钥匙；匙羹	
824	s	i	53	是	si53	是不是	
825	s	i	53	氏	si53	姓氏	
826	s	i	53	豉	si53	豆豉	
827	#$0235	i	53	兒	ȵi53	儿童	
828	j	i	21	爾	ji21	尔虞我诈	
829	k	ei	25	寄	kei25	寄信	
830	kʰ	ei	21	企	kʰei21	企业	
831	kʰ	ei	41	奇	kʰei41	奇怪	
832	kʰ	ei	41	騎	kʰei41	骑马	
833	kʰ	ei	41	岐	kʰei41	岐山	
834	kʰ	ei	21	徛	kʰei21	站立	
835	k	ei	53	技	kei53	技术	
836	k	ei	53	妓	kei53	妓女	
837	#$0235	i	41	宜	ȵi41	便宜	
838	#$0235	i	41	儀	ȵi41	礼仪	
839	ŋ	ɐi	21	蟻	ŋɐi21	蚂蚁	
840	#$0235	i	41	誼	ȵi41	友谊	
841	j	i	53	義	ji53	情义	
842	#$0235	i	53	議	ȵi53	会议	
843	h	ei	33	犧	hei33	牺牲	
844	h	ei	25	戲	hei25	大戏	
845	j	i	21	倚	ji21	倚靠	
846	j	i	21	椅	ji21	椅子	
847	j	i	41	移	ji41	移动	
848	j	i	53	易	ji53	容易	
849	p	ei	33	悲	pei33	悲伤	
850	pʰ	ei	21	鄙	pʰei21	卑鄙	
851	p	ei	21	比	pei21	对比	
853	p	ei	25	秘	pei25	秘密	
854	p	ei	25	泌	pei25	分泌	
855	p	ei	25	庇	pei25	包庇	
856	p	ei	25	痹	pei25	麻痹	
857	pʰ	ei	21	丕	pʰei21	曹丕	
858	pʰ	ei	25	屁	pʰei25	放屁	
859	pʰ	ei	41	琵	pʰei41	琵琶	
860	pʰ	ei	41	枇	pʰei41	枇杷	
861	p	ei	53	備	pei53	准备	
862	p	ei	53	鼻	pei53	鼻涕	
863	p	ei	25	篦	pei25	篦子（可抓虱子的很密的梳子）	
864	m	ei	41	眉	mei41	眉毛	
865	m	ei	41	楣	mei41	门楣	
866	m	ui	41	霉	mui41	发霉	
867	m	ei	21	美	mei21	美化	
868	m	ei	25	媚	mei25	妩媚	
869	t	ei	53	地	tei53	土地	
870	n	ɐi	41	尼	nɐi41	尼姑	
871	n	ɐi	53	膩	nɐi53	油腻	
872	l	ei	41	梨	lei41	雪梨	
873	l	ei	21	履	lei21	履行	
874	l	ei	53	利	lei53	有利	
875	l	ei	53	痢	lei53	痢疾	
876	ts	ei	33	資	tsei33	资本	
877	ts	ei	33	姿	tsei33	姿势	
878	ts	ei	33	咨	tsei33	咨询	
879	ts	ei	21	姊	tsei21	姊妹	
880	tsʰ	ei	25	次	tsʰei25	名次	
881	tsʰ	ei	41	瓷	tsʰei41	陶瓷	
882	tsʰ	ei	41	糍	tsʰei41	糍粑；糯米糍	
883	ts	ei	53	自	tsei53	自己	
884	ɬ	ei	33	私	ɬei33	自私	
885	ɬ	ei	21	死	ɬei21	死亡	
886	ɬ	ei	25	四	ɬei25	四个	
887	ɬ	ei	25	肆	ɬei25	放肆	
888	ts	i	25	致	tsi25	导致	
889	tsʰ	i	41	遲	tsʰi41	迟到	
890	ts	i	25	稚	tsi25	幼稚	
891	s	i	33	師	si33	老师	
892	s	i	33	獅	si33	狮子	
893	ts	i	33	脂	tsi33	脂肪	
894	ts	i	21	旨	tsi21	奉旨	
895	ts	i	21	指	tsi21	手指	
896	ts	i	25	至	tsi25	至少	
897	s	i	53	示	si53	启示	
898	s	i	33	尸	si33	死尸	
900	s	i	21	屎	si21	狗屎	
901	s	i	53	視	si53	近视	
902	s	i	25	嗜	si25	嗜好	
903	#$0235	i	53	二	ȵi53	第二	
904	#$0235	i	53	貳	ȵi53	二心	
905	k	ei	33	飢	kei33	饥饿	
906	k	ei	33	肌	kei33	肌肉	
907	k	ei	33	几	kei33	茶几	
908	h	ei	25	器	hei25	武器	
909	h	ei	25	棄	hei25	放弃	
910	j	i	33	伊	ji33	伊犁	
911	j	i	41	夷	ji41	化险为夷	
912	j	i	41	姨	ji41	阿姨	
913	j	i	41	姨	ji41	姨丈	
914	n	ei	21	你	nei21	你们	
915	l	ei	41	厘	lei41	厘米	
916	l	ei	41	狸	lei41	狐狸	
917	l	ei	21	李	lei21	姓	
918	l	ei	21	里	lei21	公里	
919	l	ei	21	裏	lei21	里面	
920	l	ei	21	理	lei21	道理	
921	l	ei	21	鯉	lei21	鲤鱼	
922	l	ei	53	吏	lei53	官吏	
923	ts	ei	33	兹	tsei33	公文用语	
924	ts	ei	33	滋	tsei33	滋润	
925	ts	ei	21	子	tsei21	孔子；子孙	
927	tsʰ	ei	41	慈	tsʰei41	慈悲	
928	tsʰ	ei	41	磁	tsʰei41	磁铁	
929	ts	ei	53	字	tsei53	文字	
930	ɬ	ei	33	司	ɬei33	公司	
931	ɬ	ei	33	絲	ɬei33	丝绸	
932	ɬ	ei	33	思	ɬei33	思念	
934	ɬ	ei	33	思	ɬei33	意思	
935	tsʰ	ei	41	辭	tsʰei41	告辞	
936	tsʰ	ei	41	詞	tsʰei41	歌词	
937	tsʰ	ei	41	祠	tsʰei41	祠堂	
938	ts	ei	53	似	tsei53	相似	
940	ts	ei	53	巳	tsei53	地支第六	
941	ts	ei	53	寺	tsei53	寺庙	
942	ts	ei	53	嗣	tsei53	后嗣	
943	ts	ei	33	飼	tsei33	饲养	
944	ts	i	25	置	tsi25	布置	
945	ts	i	33	癡	tsi33	痴呆	
946	tsʰ	i	21	耻	tsʰi21	耻辱	
947	tsʰ	i	41	持	tsʰi41	坚持	
948	ts	i	53	痔	tsi53	痔疮	
949	ts	i	53	治	tsi53	治安	
950	tsʰ	ei	25	厠	tsʰei25	厕所	
951	s	i	53	士	si53	士兵	
952	s	i	53	仕	si53	仕途	
953	s	i	21	柿	si21	柿子	
954	s	i	53	事	si53	事情	
955	s	i	21	使	si21	大使馆	
956	s	ɐi	21	使	sɐi21	使用	
957	s	i	21	史	si21	历史	
958	s	ɐi	21	駛	sɐi21	驾驶	
959	ts	i	33	之	tsi33	之前	
960	ts	i	33	芝	tsi33	灵芝	
961	ts	i	21	止	tsi21	停止	
962	ts	i	21	趾	tsi21	脚趾	
963	ts	i	21	址	tsi21	地址	
964	ts	i	25	志	tsi25	志气	
965	ts	i	25	誌	tsi25	标志	
966	ts	i	25	痣	tsi25	与胎记不同	
967	tsʰ	i	21	齒	tsʰi21	牙齿	
968	s	i	33	詩	si33	诗人	
969	tsʰ	i	21	始	tsʰi21	开始	
970	s	i	25	試	si25	考试	
971	s	i	41	時	si41	时间	
972	s	i	21	市	si21	市场	
973	s	i	53	恃	si53	有恃无恐，自恃	
974	s	i	53	侍	si53	服侍	
975	#$0235	i	41	而	ȵi41	而且	
976	#$0235	i	21	耳	ȵi21	耳朵	
977	n	ei	25	餌	nei25	钓饵	
978	k	ei	33	基	kei33	基本	
979	k	ei	33	箕	kei33	粪箕	
980	k	ei	21	己	kei21	自己	
981	k	ei	21	紀	kei21	纪律	
982	k	ei	21	紀	kei21	纪念	
983	k	ei	25	記	kei25	记号	
984	h	ei	33	欺	hei33	欺负	
985	h	ei	21	起	hei21	起床	
986	k	ei	21	杞	kei21	枸杞	
987	kʰ	ei	41	其	kʰei41	其他	
988	kʰ	ei	41	棋	kʰei41	下棋	
989	kʰ	ei	41	期	kʰei41	日期	
990	kʰ	ei	41	旗	kʰei41	红旗	
991	k	ei	53	忌	kei53	禁忌	
992	j	i	41	疑	ji41	怀疑	
993	j	i	41	擬	ji41	拟人	
994	h	ei	21	嬉	hei21	嬉戏	
995	h	ei	33	熙	hei33	康熙	
996	h	ei	21	喜	hei21	喜欢	
997	j	i	33	醫	ji33	医生	
998	j	i	25	意	ji25	大意	
999	j	i	41	飴	ji41	饴糖	
1000	j	i	21	已	ji21	已经	
1001	j	i	21	以	ji21	可以	
1002	j	i	53	異	ji53	异同	
1003	k	ei	21	幾	kei21	几乎	
1004	k	ei	33	機	kei33	机器	
1005	k	ei	33	譏	kei33	讥笑	
1006	k	ei	33	饑	kei33	饥荒	
1007	k	ei	21	幾	kei21	几个	
1008	k	ei	25	既	kei25	既然	
1009	h	ei	21	豈	hei21	岂有此理	
1010	h	ei	25	氣	hei25	空气	
1011	h	ei	25	汽	hei25	汽车	
1012	kʰ	ei	41	祈	kʰei41	祈祷	
1013	ŋ	ɐi	53	毅	ŋɐi53	毅力	
1014	h	ei	33	希	hei33	希望	
1015	h	ei	33	稀	hei33	稀有	
1016	j	i	33	衣	ji33	衣服	
1017	j	i	33	依	ji33	依靠	
1018	l	ui	21	累	lui21	累积	
1019	l	ui	53	累	lui53	连累	
1020	ts	ui	21	嘴	tsui21	嘴巴	
1021	ɬ	ui	21	髓	ɬui21	骨髓	
1022	tsʰ	ui	41	隨	tsʰui41	随便	
1023	tsʰ	ui	33	吹	tsʰui33	吹牛	
1024	tsʰ	ui	33	炊	tsʰui33	炊烟	
1025	s	ui	41	垂	sui41	下垂	
1026	s	ui	53	睡	sui53	午睡	
1027	ɬ	ui	53	瑞	ɬui53	瑞雪	
1028	#$0235	ui	21	蕊	ȵui21	花蕊	
1029	kʰ	ɐi	33	規	kʰɐi33	规矩	
1030	k	ɐi	21	詭	kɐi21	诡计	
1031	kʰ	ɐi	33	虧	kʰɐi33	吃亏	
1032	kʰ	ɐi	33	窺	kʰɐi33	偷窥	
1033	k	ɐi	53	跪	kɐi53	下跪	
1034	ŋ	ɐi	41	危	ŋɐi41	危险	
1035	ŋ	ɐi	53	僞	ŋɐi53	虚伪	
1036	f	ɐi	21	毁	fɐi21	毁灭	
1037	w	ɐi	21	萎	wɐi21	枯萎	
1038	w	ɐi	21	委	wɐi21	委托	
1039	w	ɐi	53	爲	wɐi53	为什么	
1040	w	ɐi	41	爲	wɐi41	行为	
1041	l	ui	21	壘	lui21	堡垒	
1042	l	ui	53	類	lui53	分类	
1043	l	ui	53	淚	lui53	眼泪	
1044	ts	ui	25	醉	tsui25	喝醉	
1045	tsʰ	ui	25	翠	tsʰui25	翡翠	
1046	ɬ	ui	33	雖	ɬui33	虽然	
1047	tsʰ	ui	25	粹	tsʰui25	纯粹	
1048	ɬ	ui	53	遂	ɬui53	未遂	
1049	ɬ	ui	53	隧	ɬui53	隧道	
1050	ɬ	ui	53	穗	ɬui53	谷穗	
1051	ts	ui	33	追	tsui33	追赶	
1052	tsʰ	ui	41	槌	tsʰui41	棒槌	
1053	tsʰ	ui	41	錘	tsʰui41	铁锤	
1054	ts	ui	53	墜	tsui53	下坠	
1055	s	ui	33	衰	sui33	衰老	
1056	ɬ	ui	25	摔	ɬui25	摔跤	
1057	s	ui	25	帥	sui25	元帅	
1058	ts	ui	33	錐	tsui33	圆锥	
1059	s	ui	21	水	sui21	水果	
1060	s	ui	41	誰	sui41	谁人	
1061	k	ɐi	33	龜	kɐi33	乌龟	
1062	k	ɐi	21	軌	kɐi21	铁轨	
1063	kʰ	ɐi	41	癸	kʰɐi41	天干第十	
1064	kʰ	ɐi	25	愧	kʰɐi25	惭愧	
1065	k	ɐi	25	季	kɐi25	四季	
1066	kʰ	ɐi	41	逵	kʰɐi41	李逵	
1067	kʰ	ɐi	41	葵	kʰɐi41	向日葵	
1068	k	ɐi	53	櫃	kɐi53	柜台	
1069	w	ɐi	53	位	wɐi53	地位	
1070	w	ɐi	41	維	wɐi41	维持	
1071	w	ɐi	41	惟	wɐi41	惟一	
1072	w	ɐi	41	遺	wɐi41	遗失	
1073	w	ɐi	41	唯	wɐi41	唯有	
1074	f	ei	33	非	fei33	非常	
1075	f	ei	33	飛	fei33	飞机	
1076	f	ɐi	21	匪	fɐi21	土匪	
1077	p	ɐi	53	痱	pɐi53	痱子，热痱	
1078	f	ɐt	053	沸	fɐt53	沸腾	
1079	f	ei	33	妃	fei33	贵妃	
1080	f	ɐi	25	費	fɐi25	浪费	
1081	f	ei	41	肥	fei41	肥料	
1082	f	ɐi	21	翡	fɐi21	翡翠	
1083	m	ei	41	微	mei41	细微	
1084	m	ei	21	尾	mei21	尾巴	
1085	m	ei	53	未	mei53	未来	
1086	m	ei	53	味	mei53	味道	
1087	k	ɐi	33	歸	kɐi33	回归	
1088	k	ɐi	21	鬼	kɐi21	鬼神	
1089	k	ɐi	25	貴	kɐi25	贵客	
1090	ŋ	ɐi	53	魏	ŋɐi53	魏国；姓	
1091	f	ɐi	33	揮	fɐi33	指挥	
1092	f	ɐi	33	輝	fɐi33	光辉	
1093	f	ɐi	33	徽	fɐi33	国徽	
1094	w	ɐi	21	諱	wɐi21	忌讳	
1095	w	ɐi	33	威	wɐi33	威风	
1096	w	ɐi	25	畏	wɐi25	畏罪	
1097	w	ɐi	25	慰	wɐi25	安慰	
1098	w	ɐi	41	違	wɐi41	违背	
1099	w	ɐi	41	圍	wɐi41	包围	
1100	w	ɐi	21	偉	wɐi21	伟大	
1101	w	ɐi	21	葦	wɐi21	芦苇	
1102	w	ɐi	21	緯	wɐi21	经纬	
1103	w	ɐi	53	胃	wɐi53	肠胃	
1104	w	ɐi	53	謂	wɐi53	所谓	
1105	w	ɐi	53	猬	wɐi53	刺猬	
1106	w	ui	53	匯	wui53	汇报	
1107	p	au	55	褒	pau55	褒奖	
1108	p	ou	21	保	pou21	保护	
1109	p	ou	21	堡	pou21	碉堡	
1110	p	ou	21	寶	pou21	宝贝	
1111	p	ou	25	報	pou25	报告；日报	
1112	pʰ	ou	41	袍	pʰou41	长袍	
1113	pʰ	ou	21	抱	pʰou21	拥抱	
1114	p	ou	53	暴	pou53	暴露	
1115	p	ou	53	菢	pou53	菢小鸡	
1116	m	ou	41	毛	mou41	毛笔	
1117	m	ou	53	冒	mou53	冒充	
1118	m	ou	53	帽	mou53	草帽	
1119	t	ou	33	刀	tou33	菜刀	
1120	tʰ	ou	41	禱	tʰou41	祈祷	
1121	t	ou	21	島	tou21	海岛	
1122	t	ou	21	搗	tou21	捣乱	
1123	t	ou	21	倒	tou21	打倒	
1124	t	ou	25	到	tou25	来到	
1125	t	ou	21	倒	tou21	倒水	
1126	tʰ	ou	33	滔	tʰou33	滔滔不绝	
1127	tʰ	ou	21	討	tʰou21	讨好	
1128	tʰ	ou	25	套	tʰou25	配套	
1129	tʰ	ou	41	桃	tʰou41	桃花	
1130	tʰ	ou	41	逃	tʰou41	逃难	
1131	tʰ	ou	41	淘	tʰou41	淘米	
1132	tʰ	ou	41	陶	tʰou41	陶瓷	
1133	tʰ	ou	41	萄	tʰou41	葡萄	
1134	tʰ	ou	41	濤	tʰou41	波涛	
1135	t	ou	53	道	tou53	道理	
1136	t	ou	53	稻	tou53	水稻	
1137	t	ou	53	盗	tou53	强盗	
1138	t	ou	53	導	tou53	领导	
1140	n	ou	21	惱	nou21	恼火	
1141	l	ou	41	勞	lou41	劳动	
1142	l	au	33	撈	lau33	打捞	
1143	l	ou	33	撈	lou33	捞钱，捞面	
1144	l	ou	41	牢	lou41	坐牢	
1145	l	ou	21	老	lou21	老实	
1146	l	ou	41	澇	lou41	洪涝	
1147	ts	ou	33	遭	tsou33	遭殃	
1148	ts	ou	33	糟	tsou33	糟糕	
1149	ts	ou	21	早	tsou21	早上	
1150	ts	ou	21	棗	tsou21	红枣	
1152	tsʰ	ou	25	澡	tsʰou25	洗澡	
1153	tsʰ	ou	25	躁	tsʰou25	暴躁	
1154	ts	ou	25	竈	tsou25	灶神	
1155	tsʰ	ou	33	操	tsʰou33	操作	
1156	tsʰ	ou	21	草	tsʰou21	青草	
1157	tsʰ	ou	25	糙	tsʰou25	粗糙，糙米	
1158	tsʰ	ou	41	曹	tsʰou41	阴曹	
1159	tsʰ	ou	41	槽	tsʰou41	猪槽	
1160	ts	ou	53	皂	tsou53	肥皂；皂角	
1161	ts	ou	53	造	tsou53	制造	
1162	ɬ	ou	33	騷	ɬou33	风骚	
1163	ɬ	ou	33	臊	ɬou33	羊臊气	
1164	ɬ	ou	25	掃	ɬou25	扫把（名）	
1165	ɬ	ou	21	嫂	ɬou21	大嫂	
1166	ɬ	ou	25	掃	ɬou25	扫地（动）	
1167	k	ou	33	高	kou33	跳高	
1168	k	ou	33	膏	kou33	牙膏；膏药	
1169	k	ou	33	篙	kou33	竹篙	
1170	k	ou	33	羔	kou33	羊羔	
1171	k	ou	33	糕	kou33	蛋糕	
1172	k	ou	21	稿	kou21	草稿	
1173	k	ou	25	告	kou25	报告	
1174	h	au	21	考	hau21	考试	
1175	h	au	21	烤	hau21	烧烤	
1176	kʰ	ou	25	靠	kʰou25	可靠	
1177	h	au	21	銬	hau21	手铐	
1178	ŋ	ou	53	熬	ŋou53	难熬	
1179	ŋ	ou	53	傲	ŋou53	骄傲	
1180	h	ou	33	蒿	hou33	蓬蒿	
1181	h	ou	33	薅	hou33	薅田（除田草）	
1182	h	ou	21	好	hou21	好坏	
1183	h	ou	25	好	hou25	爱好	
1184	h	ou	25	耗	hou25	消耗	
1185	h	ou	41	毫	hou41	毫厘	
1186	h	ou	41	壕	hou41	战壕	
1187	h	ou	41	豪	hou41	豪华	
1188	h	ou	53	號	hou53	号叫，呼号（动）	
1189	h	ou	53	浩	hou53	浩荡	
1190	h	ou	53	號	hou53	号码（名）	
1191		ou	25	襖	ou25	棉襖	
1192		ou	25	懊	ou25	懊恼	
1193		ou	25	奥	ou25	奥妙	
1194		ou	25	懊	ou25	懊悔	
1195		ou	25	澳	ou25	澳门	
1196	p	au	33	包	pau33	钱包	
1197	p	au	33	胞	pau33	同胞	
1198	p	au	21	飽	pau21	吃饱	
1199	p	au	25	豹	pau25	一种动物	
1200	p	au	25	爆	pau25	爆炸	
1201	pʰ	au	25	泡	pʰau25	泡茶	
1202	pʰ	au	33	抛	pʰau33	抛弃	
1203	pʰ	au	25	炮	pʰau25	枪炮	
1204	pʰ	au	25	泡	pʰau25	水泡，泡沫	
1205	pʰ	au	21	跑	pʰau21	跑步	
1206	pʰ	au	41	刨	pʰau41	刨地，刨木	
