字目	读音	注释	声母	韵母	声调	(声母)	(声母序)	(韵母序)	(调序)	最后一个同音字?1为是	同音字汇(连字音beta!)	声韵组合	最后一个同音异调?1为是	同音字汇(同音异调!)	同音字汇连声韵
季	=D1399&E1399&F1399		kʰ	ui	21	=IF(D1399=0,"〇",D1399)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1399=B1400,0,1)	=IF(B1399=B1398,L1398&IF(C1399=0,A1399,A1399&"{"&C1399&"}"),IF(C1399=0,A1399,A1399&"{"&C1399&"}"))	=D1399&E1399	=IF(M1399=M1400,0,1)	=IF(N1398=0,IF(K1398=0,IF(B1399=B1398,O1398&IF(C1399=0,A1399,A1399&"{"&C1399&"}"),"["&J1399&"]"&IF(C1399=0,A1399,A1399&"{"&C1399&"}")),O1398&"["&J1399&"]"&IF(C1399=0,A1399,A1399&"{"&C1399&"}")),"["&J1399&"]"&IF(C1399=0,A1399,A1399&"{"&C1399&"}"))	=M1399&O1399
氣	=D1400&E1400&F1400		kʰ	ui	21	=IF(D1400=0,"〇",D1400)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1400=B1401,0,1)	=IF(B1400=B1399,L1399&IF(C1400=0,A1400,A1400&"{"&C1400&"}"),IF(C1400=0,A1400,A1400&"{"&C1400&"}"))	=D1400&E1400	=IF(M1400=M1401,0,1)	=IF(N1399=0,IF(K1399=0,IF(B1400=B1399,O1399&IF(C1400=0,A1400,A1400&"{"&C1400&"}"),"["&J1400&"]"&IF(C1400=0,A1400,A1400&"{"&C1400&"}")),O1399&"["&J1400&"]"&IF(C1400=0,A1400,A1400&"{"&C1400&"}")),"["&J1400&"]"&IF(C1400=0,A1400,A1400&"{"&C1400&"}"))	=M1400&O1400
垝	=D1401&E1401&F1401	又读kui6，bvui6等音	g	ui	311	=IF(D1401=0,"〇",D1401)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1401=B1402,0,1)	=IF(B1401=B1400,L1400&IF(C1401=0,A1401,A1401&"{"&C1401&"}"),IF(C1401=0,A1401,A1401&"{"&C1401&"}"))	=D1401&E1401	=IF(M1401=M1402,0,1)	=IF(N1400=0,IF(K1400=0,IF(B1401=B1400,O1400&IF(C1401=0,A1401,A1401&"{"&C1401&"}"),"["&J1401&"]"&IF(C1401=0,A1401,A1401&"{"&C1401&"}")),O1400&"["&J1401&"]"&IF(C1401=0,A1401,A1401&"{"&C1401&"}")),"["&J1401&"]"&IF(C1401=0,A1401,A1401&"{"&C1401&"}"))	=M1401&O1401
危	=D1402&E1402&F1402	又读ɱui44	ŋ	ui	44	=IF(D1402=0,"〇",D1402)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1402=B1403,0,1)	=IF(B1402=B1401,L1401&IF(C1402=0,A1402,A1402&"{"&C1402&"}"),IF(C1402=0,A1402,A1402&"{"&C1402&"}"))	=D1402&E1402	=IF(M1402=M1403,0,1)	=IF(N1401=0,IF(K1401=0,IF(B1402=B1401,O1401&IF(C1402=0,A1402,A1402&"{"&C1402&"}"),"["&J1402&"]"&IF(C1402=0,A1402,A1402&"{"&C1402&"}")),O1401&"["&J1402&"]"&IF(C1402=0,A1402,A1402&"{"&C1402&"}")),"["&J1402&"]"&IF(C1402=0,A1402,A1402&"{"&C1402&"}"))	=M1402&O1402
嵬	=D1403&E1403&F1403		ŋ	ui	44	=IF(D1403=0,"〇",D1403)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1403=B1404,0,1)	=IF(B1403=B1402,L1402&IF(C1403=0,A1403,A1403&"{"&C1403&"}"),IF(C1403=0,A1403,A1403&"{"&C1403&"}"))	=D1403&E1403	=IF(M1403=M1404,0,1)	=IF(N1402=0,IF(K1402=0,IF(B1403=B1402,O1402&IF(C1403=0,A1403,A1403&"{"&C1403&"}"),"["&J1403&"]"&IF(C1403=0,A1403,A1403&"{"&C1403&"}")),O1402&"["&J1403&"]"&IF(C1403=0,A1403,A1403&"{"&C1403&"}")),"["&J1403&"]"&IF(C1403=0,A1403,A1403&"{"&C1403&"}"))	=M1403&O1403
伪	=D1404&E1404&F1404		ŋ	ui	13	=IF(D1404=0,"〇",D1404)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1404=B1405,0,1)	=IF(B1404=B1403,L1403&IF(C1404=0,A1404,A1404&"{"&C1404&"}"),IF(C1404=0,A1404,A1404&"{"&C1404&"}"))	=D1404&E1404	=IF(M1404=M1405,0,1)	=IF(N1403=0,IF(K1403=0,IF(B1404=B1403,O1403&IF(C1404=0,A1404,A1404&"{"&C1404&"}"),"["&J1404&"]"&IF(C1404=0,A1404,A1404&"{"&C1404&"}")),O1403&"["&J1404&"]"&IF(C1404=0,A1404,A1404&"{"&C1404&"}")),"["&J1404&"]"&IF(C1404=0,A1404,A1404&"{"&C1404&"}"))	=M1404&O1404
魏	=D1405&E1405&F1405		ŋ	ui	311	=IF(D1405=0,"〇",D1405)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1405=B1406,0,1)	=IF(B1405=B1404,L1404&IF(C1405=0,A1405,A1405&"{"&C1405&"}"),IF(C1405=0,A1405,A1405&"{"&C1405&"}"))	=D1405&E1405	=IF(M1405=M1406,0,1)	=IF(N1404=0,IF(K1404=0,IF(B1405=B1404,O1404&IF(C1405=0,A1405,A1405&"{"&C1405&"}"),"["&J1405&"]"&IF(C1405=0,A1405,A1405&"{"&C1405&"}")),O1404&"["&J1405&"]"&IF(C1405=0,A1405,A1405&"{"&C1405&"}")),"["&J1405&"]"&IF(C1405=0,A1405,A1405&"{"&C1405&"}"))	=M1405&O1405
灰	=D1406&E1406&F1406	文	h	ui	22	=IF(D1406=0,"〇",D1406)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1406=B1407,0,1)	=IF(B1406=B1405,L1405&IF(C1406=0,A1406,A1406&"{"&C1406&"}"),IF(C1406=0,A1406,A1406&"{"&C1406&"}"))	=D1406&E1406	=IF(M1406=M1407,0,1)	=IF(N1405=0,IF(K1405=0,IF(B1406=B1405,O1405&IF(C1406=0,A1406,A1406&"{"&C1406&"}"),"["&J1406&"]"&IF(C1406=0,A1406,A1406&"{"&C1406&"}")),O1405&"["&J1406&"]"&IF(C1406=0,A1406,A1406&"{"&C1406&"}")),"["&J1406&"]"&IF(C1406=0,A1406,A1406&"{"&C1406&"}"))	=M1406&O1406
麾	=D1407&E1407&F1407		h	ui	22	=IF(D1407=0,"〇",D1407)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1407=B1408,0,1)	=IF(B1407=B1406,L1406&IF(C1407=0,A1407,A1407&"{"&C1407&"}"),IF(C1407=0,A1407,A1407&"{"&C1407&"}"))	=D1407&E1407	=IF(M1407=M1408,0,1)	=IF(N1406=0,IF(K1406=0,IF(B1407=B1406,O1406&IF(C1407=0,A1407,A1407&"{"&C1407&"}"),"["&J1407&"]"&IF(C1407=0,A1407,A1407&"{"&C1407&"}")),O1406&"["&J1407&"]"&IF(C1407=0,A1407,A1407&"{"&C1407&"}")),"["&J1407&"]"&IF(C1407=0,A1407,A1407&"{"&C1407&"}"))	=M1407&O1407
非	=D1408&E1408&F1408		h	ui	22	=IF(D1408=0,"〇",D1408)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1408=B1409,0,1)	=IF(B1408=B1407,L1407&IF(C1408=0,A1408,A1408&"{"&C1408&"}"),IF(C1408=0,A1408,A1408&"{"&C1408&"}"))	=D1408&E1408	=IF(M1408=M1409,0,1)	=IF(N1407=0,IF(K1407=0,IF(B1408=B1407,O1407&IF(C1408=0,A1408,A1408&"{"&C1408&"}"),"["&J1408&"]"&IF(C1408=0,A1408,A1408&"{"&C1408&"}")),O1407&"["&J1408&"]"&IF(C1408=0,A1408,A1408&"{"&C1408&"}")),"["&J1408&"]"&IF(C1408=0,A1408,A1408&"{"&C1408&"}"))	=M1408&O1408
妃	=D1409&E1409&F1409		h	ui	22	=IF(D1409=0,"〇",D1409)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1409=B1410,0,1)	=IF(B1409=B1408,L1408&IF(C1409=0,A1409,A1409&"{"&C1409&"}"),IF(C1409=0,A1409,A1409&"{"&C1409&"}"))	=D1409&E1409	=IF(M1409=M1410,0,1)	=IF(N1408=0,IF(K1408=0,IF(B1409=B1408,O1408&IF(C1409=0,A1409,A1409&"{"&C1409&"}"),"["&J1409&"]"&IF(C1409=0,A1409,A1409&"{"&C1409&"}")),O1408&"["&J1409&"]"&IF(C1409=0,A1409,A1409&"{"&C1409&"}")),"["&J1409&"]"&IF(C1409=0,A1409,A1409&"{"&C1409&"}"))	=M1409&O1409
菲	=D1410&E1410&F1410		h	ui	22	=IF(D1410=0,"〇",D1410)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1410=B1411,0,1)	=IF(B1410=B1409,L1409&IF(C1410=0,A1410,A1410&"{"&C1410&"}"),IF(C1410=0,A1410,A1410&"{"&C1410&"}"))	=D1410&E1410	=IF(M1410=M1411,0,1)	=IF(N1409=0,IF(K1409=0,IF(B1410=B1409,O1409&IF(C1410=0,A1410,A1410&"{"&C1410&"}"),"["&J1410&"]"&IF(C1410=0,A1410,A1410&"{"&C1410&"}")),O1409&"["&J1410&"]"&IF(C1410=0,A1410,A1410&"{"&C1410&"}")),"["&J1410&"]"&IF(C1410=0,A1410,A1410&"{"&C1410&"}"))	=M1410&O1410
徽	=D1411&E1411&F1411		h	ui	22	=IF(D1411=0,"〇",D1411)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1411=B1412,0,1)	=IF(B1411=B1410,L1410&IF(C1411=0,A1411,A1411&"{"&C1411&"}"),IF(C1411=0,A1411,A1411&"{"&C1411&"}"))	=D1411&E1411	=IF(M1411=M1412,0,1)	=IF(N1410=0,IF(K1410=0,IF(B1411=B1410,O1410&IF(C1411=0,A1411,A1411&"{"&C1411&"}"),"["&J1411&"]"&IF(C1411=0,A1411,A1411&"{"&C1411&"}")),O1410&"["&J1411&"]"&IF(C1411=0,A1411,A1411&"{"&C1411&"}")),"["&J1411&"]"&IF(C1411=0,A1411,A1411&"{"&C1411&"}"))	=M1411&O1411
飛	=D1412&E1412&F1412	文，张～	h	ui	22	=IF(D1412=0,"〇",D1412)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1412=B1413,0,1)	=IF(B1412=B1411,L1411&IF(C1412=0,A1412,A1412&"{"&C1412&"}"),IF(C1412=0,A1412,A1412&"{"&C1412&"}"))	=D1412&E1412	=IF(M1412=M1413,0,1)	=IF(N1411=0,IF(K1411=0,IF(B1412=B1411,O1411&IF(C1412=0,A1412,A1412&"{"&C1412&"}"),"["&J1412&"]"&IF(C1412=0,A1412,A1412&"{"&C1412&"}")),O1411&"["&J1412&"]"&IF(C1412=0,A1412,A1412&"{"&C1412&"}")),"["&J1412&"]"&IF(C1412=0,A1412,A1412&"{"&C1412&"}"))	=M1412&O1412
揮	=D1413&E1413&F1413		h	ui	22	=IF(D1413=0,"〇",D1413)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1413=B1414,0,1)	=IF(B1413=B1412,L1412&IF(C1413=0,A1413,A1413&"{"&C1413&"}"),IF(C1413=0,A1413,A1413&"{"&C1413&"}"))	=D1413&E1413	=IF(M1413=M1414,0,1)	=IF(N1412=0,IF(K1412=0,IF(B1413=B1412,O1412&IF(C1413=0,A1413,A1413&"{"&C1413&"}"),"["&J1413&"]"&IF(C1413=0,A1413,A1413&"{"&C1413&"}")),O1412&"["&J1413&"]"&IF(C1413=0,A1413,A1413&"{"&C1413&"}")),"["&J1413&"]"&IF(C1413=0,A1413,A1413&"{"&C1413&"}"))	=M1413&O1413
輝	=D1414&E1414&F1414		h	ui	22	=IF(D1414=0,"〇",D1414)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1414=B1415,0,1)	=IF(B1414=B1413,L1413&IF(C1414=0,A1414,A1414&"{"&C1414&"}"),IF(C1414=0,A1414,A1414&"{"&C1414&"}"))	=D1414&E1414	=IF(M1414=M1415,0,1)	=IF(N1413=0,IF(K1413=0,IF(B1414=B1413,O1413&IF(C1414=0,A1414,A1414&"{"&C1414&"}"),"["&J1414&"]"&IF(C1414=0,A1414,A1414&"{"&C1414&"}")),O1413&"["&J1414&"]"&IF(C1414=0,A1414,A1414&"{"&C1414&"}")),"["&J1414&"]"&IF(C1414=0,A1414,A1414&"{"&C1414&"}"))	=M1414&O1414
暉	=D1415&E1415&F1415		h	ui	22	=IF(D1415=0,"〇",D1415)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1415=B1416,0,1)	=IF(B1415=B1414,L1414&IF(C1415=0,A1415,A1415&"{"&C1415&"}"),IF(C1415=0,A1415,A1415&"{"&C1415&"}"))	=D1415&E1415	=IF(M1415=M1416,0,1)	=IF(N1414=0,IF(K1414=0,IF(B1415=B1414,O1414&IF(C1415=0,A1415,A1415&"{"&C1415&"}"),"["&J1415&"]"&IF(C1415=0,A1415,A1415&"{"&C1415&"}")),O1414&"["&J1415&"]"&IF(C1415=0,A1415,A1415&"{"&C1415&"}")),"["&J1415&"]"&IF(C1415=0,A1415,A1415&"{"&C1415&"}"))	=M1415&O1415
啡	=D1416&E1416&F1416		h	ui	22	=IF(D1416=0,"〇",D1416)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1416=B1417,0,1)	=IF(B1416=B1415,L1415&IF(C1416=0,A1416,A1416&"{"&C1416&"}"),IF(C1416=0,A1416,A1416&"{"&C1416&"}"))	=D1416&E1416	=IF(M1416=M1417,0,1)	=IF(N1415=0,IF(K1415=0,IF(B1416=B1415,O1415&IF(C1416=0,A1416,A1416&"{"&C1416&"}"),"["&J1416&"]"&IF(C1416=0,A1416,A1416&"{"&C1416&"}")),O1415&"["&J1416&"]"&IF(C1416=0,A1416,A1416&"{"&C1416&"}")),"["&J1416&"]"&IF(C1416=0,A1416,A1416&"{"&C1416&"}"))	=M1416&O1416
匪	=D1417&E1417&F1417		h	ui	53	=IF(D1417=0,"〇",D1417)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1417=B1418,0,1)	=IF(B1417=B1416,L1416&IF(C1417=0,A1417,A1417&"{"&C1417&"}"),IF(C1417=0,A1417,A1417&"{"&C1417&"}"))	=D1417&E1417	=IF(M1417=M1418,0,1)	=IF(N1416=0,IF(K1416=0,IF(B1417=B1416,O1416&IF(C1417=0,A1417,A1417&"{"&C1417&"}"),"["&J1417&"]"&IF(C1417=0,A1417,A1417&"{"&C1417&"}")),O1416&"["&J1417&"]"&IF(C1417=0,A1417,A1417&"{"&C1417&"}")),"["&J1417&"]"&IF(C1417=0,A1417,A1417&"{"&C1417&"}"))	=M1417&O1417
翡	=D1418&E1418&F1418		h	ui	53	=IF(D1418=0,"〇",D1418)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1418=B1419,0,1)	=IF(B1418=B1417,L1417&IF(C1418=0,A1418,A1418&"{"&C1418&"}"),IF(C1418=0,A1418,A1418&"{"&C1418&"}"))	=D1418&E1418	=IF(M1418=M1419,0,1)	=IF(N1417=0,IF(K1417=0,IF(B1418=B1417,O1417&IF(C1418=0,A1418,A1418&"{"&C1418&"}"),"["&J1418&"]"&IF(C1418=0,A1418,A1418&"{"&C1418&"}")),O1417&"["&J1418&"]"&IF(C1418=0,A1418,A1418&"{"&C1418&"}")),"["&J1418&"]"&IF(C1418=0,A1418,A1418&"{"&C1418&"}"))	=M1418&O1418
卉	=D1419&E1419&F1419		h	ui	53	=IF(D1419=0,"〇",D1419)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1419=B1420,0,1)	=IF(B1419=B1418,L1418&IF(C1419=0,A1419,A1419&"{"&C1419&"}"),IF(C1419=0,A1419,A1419&"{"&C1419&"}"))	=D1419&E1419	=IF(M1419=M1420,0,1)	=IF(N1418=0,IF(K1418=0,IF(B1419=B1418,O1418&IF(C1419=0,A1419,A1419&"{"&C1419&"}"),"["&J1419&"]"&IF(C1419=0,A1419,A1419&"{"&C1419&"}")),O1418&"["&J1419&"]"&IF(C1419=0,A1419,A1419&"{"&C1419&"}")),"["&J1419&"]"&IF(C1419=0,A1419,A1419&"{"&C1419&"}"))	=M1419&O1419
惠	=D1420&E1420&F1420		h	ui	13	=IF(D1420=0,"〇",D1420)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1420=B1421,0,1)	=IF(B1420=B1419,L1419&IF(C1420=0,A1420,A1420&"{"&C1420&"}"),IF(C1420=0,A1420,A1420&"{"&C1420&"}"))	=D1420&E1420	=IF(M1420=M1421,0,1)	=IF(N1419=0,IF(K1419=0,IF(B1420=B1419,O1419&IF(C1420=0,A1420,A1420&"{"&C1420&"}"),"["&J1420&"]"&IF(C1420=0,A1420,A1420&"{"&C1420&"}")),O1419&"["&J1420&"]"&IF(C1420=0,A1420,A1420&"{"&C1420&"}")),"["&J1420&"]"&IF(C1420=0,A1420,A1420&"{"&C1420&"}"))	=M1420&O1420
慧	=D1421&E1421&F1421		h	ui	13	=IF(D1421=0,"〇",D1421)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1421=B1422,0,1)	=IF(B1421=B1420,L1420&IF(C1421=0,A1421,A1421&"{"&C1421&"}"),IF(C1421=0,A1421,A1421&"{"&C1421&"}"))	=D1421&E1421	=IF(M1421=M1422,0,1)	=IF(N1420=0,IF(K1420=0,IF(B1421=B1420,O1420&IF(C1421=0,A1421,A1421&"{"&C1421&"}"),"["&J1421&"]"&IF(C1421=0,A1421,A1421&"{"&C1421&"}")),O1420&"["&J1421&"]"&IF(C1421=0,A1421,A1421&"{"&C1421&"}")),"["&J1421&"]"&IF(C1421=0,A1421,A1421&"{"&C1421&"}"))	=M1421&O1421
肺	=D1422&E1422&F1422		h	ui	21	=IF(D1422=0,"〇",D1422)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1422=B1423,0,1)	=IF(B1422=B1421,L1421&IF(C1422=0,A1422,A1422&"{"&C1422&"}"),IF(C1422=0,A1422,A1422&"{"&C1422&"}"))	=D1422&E1422	=IF(M1422=M1423,0,1)	=IF(N1421=0,IF(K1421=0,IF(B1422=B1421,O1421&IF(C1422=0,A1422,A1422&"{"&C1422&"}"),"["&J1422&"]"&IF(C1422=0,A1422,A1422&"{"&C1422&"}")),O1421&"["&J1422&"]"&IF(C1422=0,A1422,A1422&"{"&C1422&"}")),"["&J1422&"]"&IF(C1422=0,A1422,A1422&"{"&C1422&"}"))	=M1422&O1422
沸	=D1423&E1423&F1423		h	ui	21	=IF(D1423=0,"〇",D1423)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1423=B1424,0,1)	=IF(B1423=B1422,L1422&IF(C1423=0,A1423,A1423&"{"&C1423&"}"),IF(C1423=0,A1423,A1423&"{"&C1423&"}"))	=D1423&E1423	=IF(M1423=M1424,0,1)	=IF(N1422=0,IF(K1422=0,IF(B1423=B1422,O1422&IF(C1423=0,A1423,A1423&"{"&C1423&"}"),"["&J1423&"]"&IF(C1423=0,A1423,A1423&"{"&C1423&"}")),O1422&"["&J1423&"]"&IF(C1423=0,A1423,A1423&"{"&C1423&"}")),"["&J1423&"]"&IF(C1423=0,A1423,A1423&"{"&C1423&"}"))	=M1423&O1423
廢	=D1424&E1424&F1424		h	ui	21	=IF(D1424=0,"〇",D1424)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1424=B1425,0,1)	=IF(B1424=B1423,L1423&IF(C1424=0,A1424,A1424&"{"&C1424&"}"),IF(C1424=0,A1424,A1424&"{"&C1424&"}"))	=D1424&E1424	=IF(M1424=M1425,0,1)	=IF(N1423=0,IF(K1423=0,IF(B1424=B1423,O1423&IF(C1424=0,A1424,A1424&"{"&C1424&"}"),"["&J1424&"]"&IF(C1424=0,A1424,A1424&"{"&C1424&"}")),O1423&"["&J1424&"]"&IF(C1424=0,A1424,A1424&"{"&C1424&"}")),"["&J1424&"]"&IF(C1424=0,A1424,A1424&"{"&C1424&"}"))	=M1424&O1424
費	=D1425&E1425&F1425		h	ui	21	=IF(D1425=0,"〇",D1425)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1425=B1426,0,1)	=IF(B1425=B1424,L1424&IF(C1425=0,A1425,A1425&"{"&C1425&"}"),IF(C1425=0,A1425,A1425&"{"&C1425&"}"))	=D1425&E1425	=IF(M1425=M1426,0,1)	=IF(N1424=0,IF(K1424=0,IF(B1425=B1424,O1424&IF(C1425=0,A1425,A1425&"{"&C1425&"}"),"["&J1425&"]"&IF(C1425=0,A1425,A1425&"{"&C1425&"}")),O1424&"["&J1425&"]"&IF(C1425=0,A1425,A1425&"{"&C1425&"}")),"["&J1425&"]"&IF(C1425=0,A1425,A1425&"{"&C1425&"}"))	=M1425&O1425
衣	=D1426&E1426&F1426			ui	22	=IF(D1426=0,"〇",D1426)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1426=B1427,0,1)	=IF(B1426=B1425,L1425&IF(C1426=0,A1426,A1426&"{"&C1426&"}"),IF(C1426=0,A1426,A1426&"{"&C1426&"}"))	=D1426&E1426	=IF(M1426=M1427,0,1)	=IF(N1425=0,IF(K1425=0,IF(B1426=B1425,O1425&IF(C1426=0,A1426,A1426&"{"&C1426&"}"),"["&J1426&"]"&IF(C1426=0,A1426,A1426&"{"&C1426&"}")),O1425&"["&J1426&"]"&IF(C1426=0,A1426,A1426&"{"&C1426&"}")),"["&J1426&"]"&IF(C1426=0,A1426,A1426&"{"&C1426&"}"))	=M1426&O1426
威	=D1427&E1427&F1427			ui	22	=IF(D1427=0,"〇",D1427)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1427=B1428,0,1)	=IF(B1427=B1426,L1426&IF(C1427=0,A1427,A1427&"{"&C1427&"}"),IF(C1427=0,A1427,A1427&"{"&C1427&"}"))	=D1427&E1427	=IF(M1427=M1428,0,1)	=IF(N1426=0,IF(K1426=0,IF(B1427=B1426,O1426&IF(C1427=0,A1427,A1427&"{"&C1427&"}"),"["&J1427&"]"&IF(C1427=0,A1427,A1427&"{"&C1427&"}")),O1426&"["&J1427&"]"&IF(C1427=0,A1427,A1427&"{"&C1427&"}")),"["&J1427&"]"&IF(C1427=0,A1427,A1427&"{"&C1427&"}"))	=M1427&O1427
醫	=D1428&E1428&F1428			ui	22	=IF(D1428=0,"〇",D1428)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1428=B1429,0,1)	=IF(B1428=B1427,L1427&IF(C1428=0,A1428,A1428&"{"&C1428&"}"),IF(C1428=0,A1428,A1428&"{"&C1428&"}"))	=D1428&E1428	=IF(M1428=M1429,0,1)	=IF(N1427=0,IF(K1427=0,IF(B1428=B1427,O1427&IF(C1428=0,A1428,A1428&"{"&C1428&"}"),"["&J1428&"]"&IF(C1428=0,A1428,A1428&"{"&C1428&"}")),O1427&"["&J1428&"]"&IF(C1428=0,A1428,A1428&"{"&C1428&"}")),"["&J1428&"]"&IF(C1428=0,A1428,A1428&"{"&C1428&"}"))	=M1428&O1428
