num	聲	呼	等	韻	調	組	攝	字	茶山茶山	茶山塘角(大部头)	茶山塘角(莞语探源)	長安	常平	大朗	道滘	東城	東坑	高埗	莞城	莞城字匯	莞城老男(語保)	莞城青男(語保)	橫瀝	洪梅	厚街	虎門	黃江	寮步	麻湧	南城	企石	橋頭	沙田	石碣	石龙1890原版	石龙1890粤拼版	石龍	石排	塘廈	萬江	望牛墩	謝崗	中堂		大嶺山	鳳崗	清溪	樟木頭
1239	心	合	三	虞	平	精	遇	需	sui³¹		ʃui1																								꜀súí	sui1												
1240	心	合	三	虞	平	精	遇	須	sui³¹		ʃui1									ʃɵ²³|ʃɐu²³																												
1241	曉	合	三	虞	上	影	遇	煦																																								
1242	曉	合	三	虞	平	影	遇	吁	ji³¹																																							
1243	曉	合	三	虞	上	影	遇	詡																																								
1244	曉	合	三	虞	去	影	遇	酗																																								
1245	溪	合	三	虞	平	見	遇	嶇			kʰui1																																					
1246	溪	合	三	虞	平	見	遇	軀			kʰui1																																					
1247	溪	合	三	虞	平	見	遇	驅	kʰui³¹		kʰui1									kʰɵ²³																												
1248	溪	合	三	虞	平	見	遇	摳			kʰɔ1									kʰau⁴⁴³															k′aú	kau												
1249	溪	合	三	虞	平	見	遇	區	kʰui³¹	kʰui³³	kʰui1	kʰɔi⁵⁵⁴	kʰui³²	kʰui³¹	kʰui²³	kʰui³³	kʰui³²	kʰui²³	k1θ23	kʰɵ²³	khɵ23	khɵ55	kʰui³²	kʰui²³	kʰui²³	kʰøy⁵⁵	kʰui³²	kʰui³¹	kʰøy⁵⁵³	kʰɵ²³	kʰui³²	kʰoi²²	kʰøy⁵³	kʰui²²	k′uí	keoi	kʰui³¹	kʰui³²	kʰui³²	kʰui²³	kʰui²³	kʰøy²²	kʰui²³		kʰi²³	kʰi²³	kʰi³⁴	kʰi³⁴
1250	書	合	三	虞	平	章	遇	輸	sʏ³¹|sy³¹	ʃi³³	ʃi1	ʃy³⁴	sɿ³²	sɿ³¹	ʃi²³	ʃi³³	ʃi³²	ʃi²³	ʃy23	ʃy²³|ʃy²³	ʃi23	ʃy23	ʃi³²	ʃi²³	ʃi²³	ʃy⁵⁵	ʃi³²	ʃi³¹	ʃy⁵⁵³	ʃy²³	ʃi³²	ʃy²²	ʃi⁵³	ʃy²²			ʃy³¹	ʃi³²	ʃi³²	ʃi²³	ʃi²³	ʃy²²	ʃi²³		su²³	su²³	su³⁴	su³⁴
1251	書	合	三	虞	去	章	遇	戍	sy⁴³											ʃy⁴⁴³																												
1252	生	合	三	虞	上	莊	遇	數	sɐu¹³|sɐu³⁵	ʃɐu³⁵;ʃɐu³⁴	ʃəu3	ʃou³⁵;ʃou⁴⁴³	sɐu⁵⁵;sɐu³⁴	sɐu⁵⁵;sɐu²³	ʃɐu³⁵;ʃɐu⁴⁴	ʃɐu³⁵;ʃɐu³⁴	ʃɐu⁴⁵;ʃɐu²⁴	ʃɐu³⁵;ʃɐu³⁴|ʃɐu³³	ʃɐu35;ʃɐu443	ʃɐu³⁵|ʃɐu⁴⁴³|lœŋ⁴⁴³	ʃɐu35;ʃɐu44	ʃɐu35;ʃɐu44	ʃɐu⁵⁵;ʃɐu²⁴	ʃɐu³⁵;ʃɐu³⁴	ʃɐu³⁵;ʃɐu³³	ʃəu³⁵;ʃəu⁴⁴³	ʃɐu³⁵;ʃɐu³⁴	ʃɐu³⁵;ʃɐu²⁴	ʃou³⁵;ʃou⁴⁴	ʃɐu³⁵;ʃɐu⁴³	ʃɐu⁵⁵;ʃɐu²³	ʃɐu⁵⁵;ʃɐu³⁵	ʃou³⁵;ʃou⁴³	ʃɐu³⁵;ʃɐu²³	shò	shou	ʃɐu³⁵;ʃɐu²³	ʃɐu³⁵;ʃɐu²³	ʃou³⁵;ʃou³⁴	ʃɐu³⁵;ʃɐu⁴⁴³	ʃou³⁵;ʃou³⁴	ʃɐu⁵⁵;ʃɐu³⁵	ʃɐu³⁵;ʃɐu³⁴		su⁵¹;su⁵¹	su⁵¹;su⁵¹	su⁵²;su⁵²	su⁵¹;su⁵¹
1253	生	合	三	虞	去	莊	遇	數	sɐu¹³|sɐu³⁵	ʃɐu³⁵;ʃɐu³⁴	ʃəu3	ʃou³⁵;ʃou⁴⁴³	sɐu⁵⁵;sɐu³⁴	sɐu⁵⁵;sɐu²³	ʃɐu³⁵;ʃɐu⁴⁴	ʃɐu³⁵;ʃɐu³⁴	ʃɐu⁴⁵;ʃɐu²⁴	ʃɐu³⁵;ʃɐu³⁴|ʃɐu³³	ʃɐu35;ʃɐu443	ʃɐu³⁵|ʃɐu⁴⁴³|lœŋ⁴⁴³	ʃɐu35;ʃɐu44	ʃɐu35;ʃɐu44	ʃɐu⁵⁵;ʃɐu²⁴	ʃɐu³⁵;ʃɐu³⁴	ʃɐu³⁵;ʃɐu³³	ʃəu³⁵;ʃəu⁴⁴³	ʃɐu³⁵;ʃɐu³⁴	ʃɐu³⁵;ʃɐu²⁴	ʃou³⁵;ʃou⁴⁴	ʃɐu³⁵;ʃɐu⁴³	ʃɐu⁵⁵;ʃɐu²³	ʃɐu⁵⁵;ʃɐu³⁵	ʃou³⁵;ʃou⁴³	ʃɐu³⁵;ʃɐu²³	shò	shou	ʃɐu³⁵;ʃɐu²³	ʃɐu³⁵;ʃɐu²³	ʃou³⁵;ʃou³⁴	ʃɐu³⁵;ʃɐu⁴⁴³	ʃou³⁵;ʃou³⁴	ʃɐu⁵⁵;ʃɐu³⁵	ʃɐu³⁵;ʃɐu³⁴		su⁵¹;su⁵¹	su⁵¹;su⁵¹	su⁵²;su⁵²	su⁵¹;su⁵¹
1254	日	合	三	虞	平	日	遇	嚅																											sö	soe												
1255	日	合	三	虞	平	日	遇	儒	jy²¹		ji4									jy³¹																												
1256	日	合	三	虞	上	日	遇	乳	lin⁵⁵|jy¹³		jui3									jɵ³⁴																												
1257	日	合	三	虞	去	日	遇	孺																																								
1258	日	合	三	虞	平	日	遇	懦			lu3																																					
1259	群	合	三	虞	平	見	遇	瞿												kʰɵ³¹																												
1260	群	合	三	虞	平	見	遇	句	kui¹³	kui³⁴	kui3	kɔi⁴⁴³	kui³⁴	kui²³	kui⁴⁴	kui³⁴	kui²⁴	kui³⁴	ke443	kɵ⁴⁴³	kɵ44	kɵ44	kui²⁴	kui⁴⁴³	kui³³	køy⁴⁴³	kui³⁴	kui²⁴	køy⁴⁴	kɵ⁴³	kui²³	koi³⁵	køy⁴³	kui²³			kui²³	kui²³	kui³⁴	kui⁴⁴³	kui³³	køy³⁵	kui³²		ki⁵¹	ki⁵¹	ki⁵²	ki⁵¹
1261	群	合	三	虞	去	見	遇	具	kui⁴³		kui6									kɵ⁴⁴³																												
1262	群	合	三	虞	去	見	遇	懼	kui⁴³		kui6									kɵ⁴⁴³																												
1263	群	合	三	虞	去	見	遇	颶																																								
1264	清	合	三	虞	平	精	遇	趨	ʦʰui³¹		tʃʰui1									ʧʰɵ²³																												
1265	清	合	三	虞	上	精	遇	取	tsʰui³⁵	ʧʰui³⁵	tʃʰui2	ʧʰɔi³⁵	ʦʰui⁵⁵	ʦʰui⁵⁵	ʧʰui³⁵	ʧʰui³⁵	ʧʰui⁴⁵	ʧʰui³⁵	ʧʰə35	ʧʰɵ³⁵	ʧhɵ35	ʧhɵ35	ʧʰui⁵⁵	ʧʰui³⁵	ʧʰui³⁵	ʧʰøy³⁵	ʧʰui⁵⁵	ʧʰui³⁵	ʧʰøy³⁵	ʧʰɵ³⁵	ʧʰui⁵⁵	ʧʰoi⁵⁵	ʧʰøy³⁵	ʧʰui³⁵			ʧʰui³⁵	ʧʰui³⁵	ʧʰui⁵⁵	ʧʰui³⁵	ʧʰui³⁵	ʧʰøy⁵⁵	ʧʰui³⁵		ʦʰi⁴¹	ʦʰi³¹	ʦʰi³¹	ʦʰi⁴¹
1266	滂	合	三	虞	平	幫	遇	鋪	pʰɐu¹³|pʰɐu³¹	pʰɐu³³	pʰəu1	pʰou³⁴	pʰɐu³²	pʰɐu³¹	pʰɐu²³	pʰɐu³³	pʰɐu³²	pʰɐu²³	pʰɐu23	pʰɐu²³|pʰɐu⁴⁴³	phɐu23	phɐu23	pʰɐu³²	pʰɐu²³	pʰɐu²³	pʰəu²³	pʰɐu³²	pʰɐu³¹	pʰou⁵⁵³	pʰɐu²³	pʰɐu³²	pʰɐu²²	pʰou⁵³	pʰɐu²²			pʰɐu³¹	pʰɐu³²	pʰou³²	pʰɐu²³	pʰou²³	pʰɐu²²	pʰɐu²³		pʰu²³	pʰu²³	pʰu³⁴	pʰu³⁴
1267	滂	合	三	虞	平	幫	遇	孵	pou⁴³		fu1									fu²³																												
1268	滂	合	三	虞	平	幫	遇	敷	fu³¹		fu1									fu²³																												
1269	滂	合	三	虞	平	幫	遇	俘	fu³¹		fu1									fu²³																												
1270	滂	合	三	虞	上	幫	遇	撫	fu³⁵		fu2									fu³⁵																												
1271	滂	合	三	虞	上	幫	遇	剖	pʰɐu³⁵		fɔ2									pʰau³⁵																												
1272	滂	合	三	虞	去	幫	遇	仆																											p′uk	puk												
1273	滂	合	三	虞	去	幫	遇	赴	fu⁴³		fu6									fu⁴⁴³																												
1274	滂	合	三	虞	平	幫	遇	麩	fu³¹		fu1									fu²³																												
1275	滂	合	三	虞	去	幫	遇	訃	fu⁴³																																							
1276	滂	合	三	虞	平	幫	遇	孚																																								
1277	明	合	三	虞	平	幫	遇	蕪			məu4																																					
1278	明	合	三	虞	平	幫	遇	無	mɐu²¹|mɐu¹³		məu4									mɐu³¹																												
1279	明	合	三	虞	平	幫	遇	巫	mɐu²¹		məu4									mɐu³¹															mò	mou												
1280	明	合	三	虞	平	幫	遇	誣	mɐu²¹		məu4									mɐu³¹																												
1281	明	合	三	虞	平	幫	遇	毋																																								
1282	明	合	三	虞	上	幫	遇	武	mɐu¹³	mɐu³⁴	məu3	bou³⁴	mɐu³⁴	mɐu²³	mɐu³⁴	bɐu³⁴	mɐu²⁴	mɐu³⁴	mɐu34		mɐu34	mɐu34	bɐu²⁴	bɐu³⁴	bɐu²³	məu³⁴	bɐu³⁴	mɐu²⁴	mou²³	mɐu³⁴	bɐu²³	mɐu³⁴	bou²³	mɐu²³			mɐu²³	bɐu²³	bou³⁴	mɐu³⁴	bou³⁴	bɐu³⁴	mɐu³⁴		vu²³	vu²³	vu³⁴	vu³⁴
1283	明	合	三	虞	上	幫	遇	侮	mɐu¹³		məu3									mɐu³⁴																												
1284	明	合	三	虞	上	幫	遇	鵡	mɐu¹³		məu3									mɐu³⁴																												
1285	明	合	三	虞	上	幫	遇	舞	mɐu¹³|mɐu¹³		məu3									mɐu³⁴|mɐu⁴⁴³																												
1286	明	合	三	虞	去	幫	遇	務	mɐu⁴³		məu6									mɐu⁴⁴³																												
1287	明	合	三	虞	去	幫	遇	霧	mɐu⁴³	mɐu⁴⁴	məu6	bou³³²	mɐu³³	mɐu³³	mɐu⁴⁴	bou⁴⁴	mɐu⁴³	mɐu³³	mɐu443	mɐu⁴⁴³	mɐu44	mɐu44	bɐu³³	bɐu⁴⁴³	bɐu³³	məu⁴⁴³	bɐu³³	mɐu⁴²	mou⁴¹	mɐu⁴³	bɐu⁴³	mɐu⁴⁴	bou⁴³	mɐu³³			mɐu⁴¹	bɐu⁴⁴	bou³³	mɐu⁴⁴³	bou³³	bɐu⁴⁴	mɐu³²		bu⁵¹	mu⁵¹	mu⁵²	bu⁵¹
1288	明	合	三	虞	去	幫	遇	婺																																								
1289	來	合	三	虞	平	來	遇	摟	lɐu¹³		lɔ2									lau³⁵|laŋ³⁴																												
1290	來	合	三	虞	平	來	遇	鏤																																								
1291	來	合	三	虞	上	來	遇	縷	lɐu³⁵		lɔ3																																					
1292	來	合	三	虞	去	來	遇	屢	lui¹³		lui3									nɵ³⁴																												
1293	精	合	三	虞	去	精	遇	足		ʧɤk⁵	tʃəʔ7	ʧok⁵	ʦək⁵	ʦək⁵	ʧok⁵	ʧək⁵	ʧɤk⁵	ʧok⁵	ʧok5	ʧok⁵	ʧok5	ʧok5	ʧək⁵	ʧok⁵	ʧuk⁵	ʧok⁵	ʧok⁵	ʧɤk⁵	ʧok⁵	ʧok⁵	ʧək⁵	ʧok⁵	ʧok⁵	ʧok⁵	tsuk	zuk	ʧok⁵	ʧək⁵	ʧok⁵	ʧok⁵	ʧok⁵	ʧok⁵	ʧok⁵		ʦuk³	ʦok³	ʦuk³	ʦok³
1294	見	合	三	虞	平	見	遇	俱	kui⁴³		kʰui1																																					
1295	見	合	三	虞	平	見	遇	拘	kui³¹		kʰui1									kʰɵ²³																												
1296	見	合	三	虞	去	見	遇	瞿												kʰɵ³¹																												
1297	見	合	三	虞	上	見	遇	矩	kui⁴³		kui2									kɵ³⁵																												
1298	見	合	三	虞	平	見	遇	駒			kʰui1									kʰɵ²³																												
1299	從	合	三	虞	上	精	遇	聚	tsui⁴³|tsui⁴³		tʃui6									ʧɵ⁴⁴³																												
1300	初	合	三	虞	平	莊	遇	芻																																								
1301	崇	合	三	虞	平	莊	遇	雛	tsʰui³¹		tʃʰui1																																					
1302	澄	合	三	虞	平	知	遇	廚	tsʰi²¹		tʃʰi4									ʧʰy³¹																												
1303	澄	合	三	虞	上	知	遇	柱	tsʰi¹³	ʧʰi³⁴	tʃʰi3	ʧʰy³⁴	ʦʰɿ³⁴	ʦʰɿ²³	ʧʰi³⁴	ʧʰi³⁴	ʧʰi²⁴	ʧʰi³⁴	ʧʰy34	ʧʰy³⁴	ʧhi34	ʧhi34 ʧhy34	tʰi²⁴	ʧʰi³⁴	ʧʰi²³	ʧʰy³⁴	ʧʰi³⁴	ʧʰi²⁴	ʧʰy²³	ʧʰy⁴³	ʧʰi²³	ʧʰy³⁴	ʧʰi²³	ʧʰy²³			ʧʰy²³	ʧʰi²³	ʧʰi³⁴	ʧʰi³⁴	ʧʰi³⁴	ʧʰy³⁴	ʧʰi³⁴		ʦʰu²³	ʦʰu²³	ʦʰu³⁴	ʦʰu³⁴
1304	澄	合	三	虞	去	知	遇	逗	tɐu⁴³|tɐu¹³		tɔ6									tau⁴⁴³																												
1305	澄	合	三	虞	去	知	遇	住	tsi⁴³	ʧi⁴⁴	tʃi6	ʧy³³²	ʦɿ³³	ʦɿ³³	ʧi⁴⁴	ʧi⁴⁴	ʧi⁴³	ʧi³³	ʧy443	ʧy⁴⁴³|ʧʰɛŋ⁴⁴³	ʧi44	ʧy44	ʧʰi³²|ʧʰi²⁴	ʧi⁴⁴³	ʧi³³	ʧy⁴⁴³	ʧi³³	ʧi⁴²	ʧy⁴¹	ʧy⁴³	ʧi⁴³	ʧʰy⁴⁴	ʧi⁴³	ʧy³³			ʧy⁴¹	ʧi⁴⁴	ʧi³³	ʧi⁴⁴³	ʧi³³	ʧʰy⁴⁴	ʧi³²		ʦʰu⁵¹	ʦʰu³¹	ʦʰu³¹	ʦʰu⁴¹
1306	常	合	三	虞	平	章	遇	殊	sʏ²¹		ʃi4									ʃy³¹																												
1307	常	合	三	虞	上	章	遇	樹	sʏ⁴³	ʃi⁴⁴	ʃi6	ʃy³³²	sɿ³³	sɿ³³	ʃi⁴⁴	ʃi⁴⁴	ʃi⁴³	ʃi³³	fy443	ʃy⁴⁴³|jit³	ʃi44	ʃy44	ʃi³³	ʃi⁴⁴³	ʃi³³	ʃy⁴⁴³	ʃi³³	ʃi⁴²	ʃy⁴¹	ʃy⁴³	ʃi⁴³	ʃy⁴⁴	ʃi⁴³	ʃy³³			ʃy⁴¹	ʃi⁴⁴	ʃi³³	ʃi⁴⁴³	ʃi³³	ʃy⁴⁴	ʃi³²		su⁵¹	su³¹	su³¹	su⁴¹
1308	常	合	三	虞	上	章	遇	豎	sʏ⁴³	ʃi⁴⁴	ʃi6	ʃy³³²	sɿ³³	sɿ³³	ʃi⁴⁴	ʃi⁴⁴	ʃi⁴³	ʃi³³	ʃy443	ʃy⁴⁴³	ʃi44	ʃy44	ʃi²⁴	ʃi⁴⁴³	ʃi³³	ʃy⁴⁴³	ʃi³³	ʃi⁴²	ʃy⁴¹	ʃy⁴³	ʃi⁴³	ʃy⁴⁴	ʃi⁴³	ʃy³³			ʃy⁴¹	ʃi⁴⁴	ʃi³³	ʃi⁴⁴³	ʃi³³	ʃy⁴⁴	ʃi³²		su⁵¹	su⁵¹	su⁵²	su⁵¹
1309	常	合	三	虞	平	章	遇	茱																																								
1310	昌	合	三	虞	平	章	遇	樞	sy³¹		ʃi1									ʃy²³															ch′ü	chyu												
1311	禪	合	三	虞	平	莊	遇	銖																																								
1312	並	合	三	虞	平	幫	遇	夫	fu³¹		fu1									fu²³															fú	fu												
1313	並	合	三	虞	平	幫	遇	符	fu²¹		fu4									fu³¹																												
1314	並	合	三	虞	平	幫	遇	芙	fu²¹		fu4									fu³¹																												
1315	並	合	三	虞	平	幫	遇	苻																																								
1316	並	合	三	虞	平	幫	遇	扶	pʰɐu²¹|fu²¹		fu4									fu³¹																												
1317	並	合	三	虞	上	幫	遇	腐	fu⁴³|fu⁴³		fu6									fu⁴⁴³																												
1318	並	合	三	虞	上	幫	遇	輔	fu⁴³		fu6									fu⁴⁴³																												
1319	並	合	三	虞	去	幫	遇	附	fu⁴³		fu6									fu⁴⁴³																												
1320	並	合	三	虞	去	幫	遇	駙																																								
1321	並	合	三	虞	上	幫	遇	釜	fu³⁵																																							
1322	幫	合	三	虞	平	幫	遇	膚	fu³¹		fu1									fu²³																												
1323	幫	合	三	虞	平	幫	遇	夫	fu³¹		fu1									fu²³															fú	fu												
1324	幫	合	三	虞	上	幫	遇	斧	pɐu³⁵		fu2									fu³⁵|pɐu³⁵																												
1325	幫	合	三	虞	上	幫	遇	脯	pɐu³⁵|None		pʰəu2									pʰɐu³⁵																												
1326	幫	合	三	虞	上	幫	遇	脯	pɐu³⁵|None		pʰəu2									pʰɐu³⁵																												
1327	幫	合	三	虞	上	幫	遇	俯	fu³⁵		fu2									fu³⁵																												
1328	幫	合	三	虞	上	幫	遇	父	fu¹³	fu⁴⁴	fu6	fu³³²	fu³³	fu³³	fu⁴⁴	fu⁴⁴	fu⁴³	fu³³	fu443	fu⁴⁴³	fu44	fu44	fu³³	fo⁴⁴³	fu³³	fu⁴⁴³	fu³³	fu⁴²	ɸu⁴¹	fu⁴³	fu⁴³	fu⁴⁴	fu⁴³	fu³³	fú꜄	fu3	fu⁴¹	fu⁴⁴	fu³³	fu⁴⁴³	fu³³	fu⁴⁴	fu³²		fu⁵¹	fu³¹	fu³¹	fu⁴¹
1329	幫	合	三	虞	上	幫	遇	府	fu³⁵	fu³⁵	fu2	fu³⁵	fu⁵⁵	fu⁵⁵	fu³⁵	fu³⁵	fu⁴⁵	fu³⁵	fu35	fu³⁵	fu35	fu35	fu⁵⁵	fo³⁵	fu³⁵	fu³⁵	fu⁵⁵	fu³⁵	ɸu³⁵	fu³⁵	fu⁵⁵	fu⁵⁵	fu³⁵	fu³⁵			fu³⁵	fu³⁵	fu⁵⁵	fu³⁵	fu³⁵	fu⁵⁵	fu³⁵		fu⁴¹	fu³¹	fu³¹	fu⁴¹
1330	幫	合	三	虞	上	幫	遇	甫	fu³⁵		pʰəu2									pʰɐu³⁵																												
1331	幫	合	三	虞	上	幫	遇	甫	fu³⁵		pʰəu2									pʰɐu³⁵																												
1332	幫	合	三	虞	去	幫	遇	付	fu⁴³	fu⁴⁴	fu6	fu³³²	fu³³	fu³³	fu⁴⁴	fu⁴⁴	fu⁴³	fu³³	fu443	fu⁴⁴³	fu44	fu44	fu³³	fo⁴⁴³	fu³³	fu⁴⁴³	fu³³	fu⁴²	ɸu⁴¹	fu⁴³	fu⁴³	fu⁴⁴	fu⁴³	fu³³			fu⁴¹	fu⁴⁴	fu³³	fu⁴⁴³	fu³⁴	fu⁴⁴	fu³²		fu⁵¹	fu⁵¹	fu⁵²	fu⁵¹
1333	幫	合	三	虞	去	幫	遇	搏			poʔ8																																					
1334	幫	合	三	虞	去	幫	遇	傅	fu⁴³|fu⁵⁵		fu6									fu⁴⁴³																												
1335	幫	合	三	虞	去	幫	遇	賦	fu⁴³		fu6									fu⁴⁴³																												
1336	幫	合	三	虞	上	幫	遇	腑	fu³⁵											fu³⁵																												
1337	幫	合	三	虞	上	幫	遇	莆																																								
1338	影	合	三	廢	去	影	蟹	穢	vɔi³⁵		vɔi3																																					
1339	疑	開	三	廢	去	見	蟹	刈																																								
1340	曉	合	三	廢	去	影	蟹	喙																																								
1341	滂	合	三	廢	去	幫	蟹	肺	fɔi¹³	foe³⁴	fɔi3	fai⁴⁴³	foe³⁴	foe²³	foe⁴⁴	fɔi³⁴	fɔi²⁴	foe³⁴	fɔi443	fɔi⁴⁴³	fɔi44	fɔi44	foe²⁴	foe³⁴	foe³³	fai⁴⁴³	fai³⁵	fɔi²⁴	ɸɐi⁴⁴	foe⁴³	foe²³	fai³⁵	fɐi⁴³	foe²³	fwoí	fwoi	fɔe²³	foe²³	fai³⁴	fɔe³⁴	foe³⁴	fei³⁵	fɔi³⁴		pʰui⁵¹	pʰui⁵¹	pʰui⁵²|fui⁵²	pʰui⁵¹|fui⁵¹
1342	並	合	三	廢	去	幫	蟹	吠	fɔi⁴³		fɔi6									fɔi⁴⁴³																												
1343	幫	合	三	廢	去	幫	蟹	廢	fɔi¹³		fɔi3									fɔi⁴⁴³																												
1344	影	開	二	夬	去	影	蟹	喝	fək0¹³		fəʔ8									fut³|fut³															fút	fut												
1345	匣	合	二	夬	去	影	蟹	話	va⁴³|va⁵⁵|va⁵⁵	va⁴⁴	va6	wa³³²	vɑ³³	vɑ³³	wa⁴⁴	wa⁴⁴	vɑ⁴³	wa³³	wa443	wa⁴⁴³	wai44	wa44	wa³³	wa⁴⁴³	wa³³	wa⁴⁴³	wo³³|wɑ³³	va⁴²	wa⁴¹	wa⁴³	wa⁴³	wa⁴⁴	wa⁴³	wa³³			wa⁴¹	wa⁴⁴	wa³³	wa⁴⁴³	wa³³	wa⁴⁴	wa³²		va⁵¹	va³¹	va³¹	va⁴¹
1346	溪	合	二	夬	去	見	蟹	快	fai¹³	fai³⁴	fai3	fa⁴⁴³	fai³⁴	fai²³	fai⁴⁴	fai³⁴	fai²⁴	fai³⁴	fai443	fai⁴⁴³	fai44	fai44	fai²⁴	fai³⁴	fai³³	fai⁴⁴³	fiai³⁵|fai³⁴	fai²⁴	ɸai⁴⁴	fai⁴³	fai²³	fai³⁵	fai⁴³	fai²³			fai²³	fai²³	fai³⁴	fai⁴⁴³	fai³⁴	fai³⁵	fai³⁴		kʰai⁵¹	kʰai⁵¹	kʰai⁵²	kʰai⁵¹
1347	明	開	二	夬	去	幫	蟹	邁	mai⁴³		mai6									mai⁴⁴³|naŋ³⁴																												
1348	崇	開	二	夬	去	莊	蟹	寨	tsai¹³		tʃai3									ʧai⁴⁴³																												
1349	並	開	二	夬	去	幫	蟹	敗	pai⁴³	pai⁴⁴	pai6	pa³³²	pai³³	pai³³	pai⁴⁴	pai⁴⁴	pai⁴³	pai³³	pai443	pai⁴⁴³	pai44	pai44	pʰai³³|pai³³	pai⁴⁴³	pai³³	pai⁴⁴³	piai³³	pai⁴²	pai⁴¹	pai⁴³	pai⁴³	pai⁴⁴	pai⁴³	pai³³	p′éí	pei	pai⁴¹	pai⁴⁴	pai³³	pai⁴⁴³	pai³³	pai⁴⁴	pai³²		pʰai⁵¹	pʰai³¹	pʰai³¹	pʰai⁴¹
1350	並	開	二	夬	去	幫	蟹	唄																											p′éí	pei												
1351	影	開	一	咍	平	影	蟹	唉			ŋai1																								aí	ai												
1352	影	開	一	咍	平	影	蟹	哀	ɡui³¹		ŋui1									ŋɵ²³																												
1353	影	開	一	咍	平	影	蟹	埃	ai³¹		ŋai1									ŋɵ²³|ŋai²³																												
1354	影	開	一	咍	上	影	蟹	欸																																								
1355	影	開	一	咍	去	影	蟹	愛	ui¹³	vui³⁴	vui3	wɔi⁴⁴³	vui³⁴	vui²³	wi⁴⁴	wui³⁴	vui²⁴	wui³⁴	wi443	wi⁴⁴³	wi44	wi44	wui²⁴	wɐi⁴⁴³	wui³³	ŋøy⁴⁴³	wui³³	vui²⁴	we⁴⁴	wi⁴³	wui²³	oi³⁵	wui⁴³|gɔi⁴³	wui²³			wui²³	wui²³	wui³⁴	wui⁴⁴³	wɐi³³	øy³⁵	wui³²		ɔi⁵¹	ɔi⁵¹	ɔi⁵²	ɔi⁵¹
1356	影	開	一	咍	去	影	蟹	璦																																								
1357	影	開	一	咍	去	影	蟹	曖																																								
1358	疑	開	一	咍	平	見	蟹	皚																																								
1359	疑	開	一	咍	去	見	蟹	礙	ui⁴³		vui6									wi⁴⁴³																												
1360	疑	開	一	咍	平	見	蟹	獃																																								
1361	心	開	一	咍	去	精	蟹	塞	sɒʔ0⁵⁵	ʃɔk⁵	ʃɔʔ7	ʃak⁵	ɬak⁵	sɐk⁵	ʃɐt⁵	ʃɔk⁵	ɬak⁵	ʃak⁵	ʃak5	ʃak⁵	ʃak5	ʃak5	ʃɐk⁵	ʃak⁵	ʃɐk⁵	ʃat⁵	ʃat⁵	ʃʌk⁵	ʃɐk⁵	ʃaʔ⁵	ʃɐt⁵	ʃɐt⁵	ʃɐt⁵	ʃɐt⁵	sat	sat	ʃat⁵	ʃɐt⁵	ʃək⁵	ʃak⁵	ʃaʔ⁵	ɬək⁵	ʃak⁵		sɛt³	sɛt³	sɛt³	sɛt³
1362	心	開	一	咍	平	精	蟹	鰓	sui³¹											ʃɵ²³																												
1363	心	開	一	咍	去	精	蟹	賽	tsʰui¹³		tʃʰui3									ʃai⁴⁴³																												
1364	曉	開	一	咍	上	影	蟹	海	fui³⁵	fui³⁵	fui2	fɔi³⁵	fui⁵⁵	fui⁵⁵	fi³⁵	fui³⁵	fui⁴⁵	fui³⁵	fi35	fi³⁵	fi35	fi35	fui⁵⁵	fɐi³⁵	fui³⁵	høy³⁵	fui⁵⁵	fui³⁵	hue³⁵	fi³⁵	fui⁵⁵	foi⁵⁵	hɔi³⁵	fui³⁵			fui³⁵	fui³⁵	fui⁵⁵	fɐi³⁵	fɐi³⁵	føy⁵⁵	fui³⁵		hɔi⁴¹	hɔi³¹	hɔi³¹	hɔi⁴¹
1365	匣	開	一	咍	平	影	蟹	孩	hai²¹		hai4									hai³¹															háí	haai												
1366	匣	開	一	咍	平	影	蟹	咳	kɐt0⁵⁵		kʰɐʔ7									kʰak⁵															k′at	kat												
1367	匣	開	一	咍	上	影	蟹	亥	fui⁴³		hai3																																					
1368	溪	開	一	咍	平	見	蟹	開	fui³¹	fui³³	fui1	fɔi³⁴	fui³²	fui³¹	fi²³	fui³³	fui³²	fui²³	fi23	fi²³	fi23	fi23	fui³²	fui²³	fui²³	føy²³|høy⁵⁵	fui³²	fui³¹	hue⁵⁵³	fi²³	fui³²	foi²²	fui⁵³|hɔi⁵³	fui²²	fúí	fui	fui³¹	fui³²	fui³²	fɐi²³	fui²³	føy²²	fui²³		hɔi²³	hɔi²³|kʰɔi²³	kʰɔi³⁴	kʰɔi³⁴
1369	溪	開	一	咍	上	見	蟹	凱	fui³⁵		hui2									fi³⁵																												
1370	溪	開	一	咍	去	見	蟹	慨	kʰui¹³											kʰwi⁴⁴³																												
1371	溪	開	一	咍	上	見	蟹	愷																																								
1372	溪	開	一	咍	上	見	蟹	鎧																																								
