單字	國際音標	粵拼	備註
漆	tʰit55		
緝	tʰip55		
輯	tʰip55		
搶	tʰiŋ55		
槍	tʰiŋ33		
鎗	tʰiŋ33		
鏘	tʰiŋ33		鏗鏘haŋ³³ tʰiɛŋ³³
嗆	tʰiŋ33		食急氣逆參考鄭鈞
鑲	tʰiŋ33		
戕	tʰiŋ22		參考斗山鄭鈞
薔	tʰiŋ22		
牆	tʰiŋ22		
庠	tʰiŋ22		
祥	tʰiŋ22		
翔	tʰiŋ22		
詳	tʰiŋ22		
盹	tʰin55		盹眼睏tʰin⁵⁵ ŋɔn⁵⁵ fun¹¹⁵
親	tʰin33		口語「親kaai335」有「既然如此」、「這樣子」的意思，不知道什麼字
寢	tʰim55		
侵	tʰim33		
添	tʰim33		白讀。
尋	tʰim22		
妾	tʰiɛp55		
簽	tʰiɛm33		
籤	tʰiɛm33		
纖	tʰiɛm33		
潛	tʰiɛm22		單獨用可指「拔」，動詞
錢	tʰiɛm22		
籤	tʰiɛm21		棉籤、牙籤
潛	tʰiɛm21		「水潛」即水溝
邪	tʰiɛ22		
斜	tʰiɛ22		
悄	tʰiɐu33		
俏	tʰiɐu33		
憔	tʰiɐu22		
樵	tʰiɐu22		
請	tʰiɐŋ55		白讀
青	tʰiɐŋ33		白讀
清	tʰiɐŋ33		白讀
曾	tʰiɐŋ22		「未曾」、「未曾下」的變音，意思是「動不動就」
晴	tʰiɐŋ22		白讀「晴水」指「雨過天晴」
痛	tʰiɐk33		白讀，不知道什麼字。「氣tiak3」指「生氣」
似	tʰi21		又讀。
慫	tʰəŋ55		參考斗山鄭鈞
統	tʰəŋ55		應為廣州話傳入，「統統」
匆	tʰəŋ33		
聰	tʰəŋ33		
從	tʰəŋ22		
從	tʰəŋ22		從容
叢	tʰəŋ22		
松	tʰəŋ22		
茼	tʰəŋ22		茼蒿tʰʊŋ²² hɔu³³⁵，借詞。
蔥	tʰəŋ21		低變調，本調缺失。
促	tʰək55		
簇	tʰək55		
蹙	tʰək55		
蹴	tʰək55		
速	tʰək55		
禿	tʰək55		
	tʰei33		「塞」的意思，用於動詞
糍	tʰei22		有「煎軟糍」等
臍	tʰei21		低變調，本調缺失。「孖臍」即「荸薺」
似	tʰei21		㕛讀
遢	tʰɔt33		「邋(lot32)遢(tot3)」
	tʰɔt33		口語「反復做無用功又急躁的行為」；「huoi22tot3」指「多事」、「好動」
遢	tʰɔt21		「邋(laa11)遢(tot11)」
甴？	tʰɔt21		「蠄tot1」即蟑螂
倉	tʰɔŋ33		
蒼	tʰɔŋ33		
滄	tʰɔŋ33		
艙	tʰɔŋ33		
窗	tʰɔŋ33		單用一般都升變
愴	tʰɔŋ33		
藏	tʰɔŋ22		收藏「行（haang22藏）指「東西」」；單獨用可指「達到某個位置」，如「水藏到膝頭」
璨	tʰɔn55		
燦	tʰɔn55		
餐	tʰɔn33		
褪	tʰɔn33		白讀，不排除廣州話傳入
殘	tʰɔn22		
餐	tʰɔn21		「餐33餐11」指「每餐」
胎	tʰɔi55		輪胎、爆胎
沏	tʰɔi33		
妻	tʰɔi33		
萋	tʰɔi33		
淒	tʰɔi33		
悽	tʰɔi33		
棲	tʰɔi33		
砌	tʰɔi33		
切	tʰɔi33		一切
齊	tʰɔi22		
草	tʰau55		
操	tʰau33		
糙	tʰau33		
澡	tʰau33		
藻	tʰau33		
噪	tʰau33		
燥	tʰau33		
躁	tʰau33		
曹	tʰau22		
嘈	tʰau22		「嘈龍龍」即「很嘈」
槽	tʰau22		
戚	tʰɐt55		
竊	tʰɐt55		
忑	tʰɐt55		
剔	tʰɐt55		
惕	tʰɐt55		
切	tʰɐt33		動詞。
夕	tʰɐt32		
曾	tʰaŋ22		曾經
層	tʰaŋ22		
情	tʰaŋ22		「情taang22願ngun22」的變音
淺	tʰɐn55		
請	tʰɐn55		文讀
千	tʰɐn33		
仟	tʰɐn33		
阡	tʰɐn33		
遷	tʰɐn33		
青	tʰɐn33		文讀 「青倦」指老人家老當益壯，身體好，同「能持」
清	tʰɐn33		文讀
蜻	tʰɐn33		
前	tʰɐn22		
情	tʰɐn22		
晴	tʰɐn22		文讀
前	tʰɐn21		「門前」（最外面的那層）、「口前」(眼前)；或地名，山前村
塹	tʰɐn21		參考鄭鈞
慘	tʰam55		另有「兇狠」的意思
參	tʰam33		參加、人參、參差均讀tʰam³³感覺沒有此變音
摻	tʰam33		參考鄭鈞
慚	tʰam22		
攙	tʰam22		參考鄭鈞
蠶	tʰam21		單獨讀tʰam115
	tʰak55		僅用於口語「taak5 taak5」，指「快點」，用來使喚人
賊	tʰak21		
湊	tʰai33		「湊啱」，指「湊巧」
	tʰai32		僅用於口語「夠taai324」，指「滿意」，本音不明
接	təp33		
	təp33		口語「攆走」，用於對物件
總	təŋ55		
樅	təŋ33		參考鄭鈞，地名
淙	təŋ33		參考鄭鈞
咚	təŋ33		擬聲詞
宗	təŋ33		用作量詞時指「群」，如「一宗人」即「一群人」
棕	təŋ33		
綜	təŋ33		
鬃	təŋ33		
蹤	təŋ33		
縱	təŋ33		縱橫 「橫」指「胖」、「壯」
縱	təŋ33		放縱
訟	təŋ32		
頌	təŋ32		
誦	təŋ32		
粽	təŋ21		
足	tək55		
嗆	tək32		同「嗆」，不確定是什麼字
贖	tək32		找錢曰贖
俗	tək32		
續	tək32		
濁	tək32		
族	tək32		
姊	tei55		姐姊不同音。姐讀tiɛ⁵⁵
	tɔt33		口語「抽搐」、「跳」，同廣州話「daat3」
	tɔŋ55		口語「段」、「條」，量詞，形容條狀物，如「一dong55屎」、「大dong55」
檔	tɔŋ33		拍檔，檔案
贓	tɔŋ33		
髒	tɔŋ33		
葬	tɔŋ33		
藏	tɔŋ32		寶藏
臟	tɔŋ32		
贊	tɔn33		
讚	tɔn33		
彈	tɔn32		白讀，彈弓
作	tɔk55		「作叻」指「自作聰明」
作	tɔk33		作棋、作(編造)。超常用口語，指「法子」，如「吃作」指「吃法」
	tɔk33		僅用於「dok3棋」，即「下棋」
鑿	tɔk32		
	tɔk32		僅用於口語「dok32過」，「糟蹋食物」的意思
昨	tɔk21		昨日曰昨晚tam¹¹ man¹¹⁵
抵	tɔi55		「唔抵」，疑似粵語影響
擠	tɔi55		
劑	tɔi55		
	tɔi55		意為「邊」，如：「外doi55」意為「外邊」、「出doi55」意為「出邊」
祭	tɔi33		
際	tɔi33		
濟	tɔi33		
弟	tɔi32		白讀，單字讀升變調toi¹¹⁵
	tɔi21		僅用於口語「炸結doi114」，意為裝蒜
倒	tau55		「跌倒」，應該是連音
早	tau55		「早先」指「早」，常用
蚤	tau55		
棗	tau55		
遭	tau33		
糟	tau33		
蹧	tau33		
灶	tau33		本調罕用。止“灶尾”讀本調.「灶頭」也是本調
叨	tau32		嘮laau22叨daau32
皂	tau32		
造	tau32		單獨用指「無中生有」，如「你造啊55來」指「你在造謠」；「造數」指「註定」；「勞造」指「嘈雜」
灶	tau21		低變調
唧	tɐt55		唧唧復唧唧
積	tɐt55		
即	tɐt55		口語「即了」指「一向」
跡	tɐt55		
績	tɐt55		
蹟	tɐt55		
癤	tɐt55		參考鄭鈞
節	tɐt55		節約、節日「節節跌」指水或物件逐漸掉下
櫛	tɐt55		參考鄭鈞
漬	tɐt55		
節	tɐt33		過節、時節
藉	tɐt32		藉口
籍	tɐt32		
寂	tɐt32		
截	tɐt32		
汐	tɐt32		
矽	tɐt32		
席	tɐt32		文讀，主席，席位
蓆	tɐt32		文讀
節	tɐt21		低變調。竹節
	tap55		口語「關掉按鈕」
疊	tap32		又讀
集	tap32		
什	tap32		什錦
襲	tap32		
雜	tap32		
疊	tap21		又讀
僧	taŋ33		常用讀音
增	taŋ33		
憎	taŋ33		
罾	taŋ33		魚網曰罾。參考斗山
曾	taŋ32		曾孫、曾姓。曾姓曾孫統一讀陽去調，不清楚是否變調，身邊一切長輩包括村民都是如此讀
贈	taŋ32		
甑	taŋ21		低變調。參考斗山
剪	tɐn55		
翦	tɐn55		
餞	tɐn55		參考鄭鈞，炒米餞
墊	tɐn33		
煎	tɐn33		
荐	tɐn33		
箭	tɐn33		
薦	tɐn33		
濺	tɐn33		流水鳴濺濺
晶	tɐn33		
睛	tɐn33		
精	tɐn33		文讀
氈	tɐn33		
定	tɐn32		用語「唔定(daan325)」，意思是「可能」，同廣州話意思，用於句末，推測為連讀演化的變音。另有「實定(daan325)」,指「到底」
賤	tɐn32		
踐	tɐn32		
餞	tɐn32		
濺	tɐn32		
淨	tɐn32		文讀
靖	tɐn32		
靜	tɐn32		「淡靜」形容人性格不愛說話
情	tɐn22		「實情daan225」的變音
	tɐn21		僅用於口語「短daan11短daan114」，指「短短的」
則	tak55		
得	tak33		唔得，不能也
	tak21		口語「佬」，一般形容未知的人，如「kung11個daak11」指「那個人」
走	tai55		
奏	tai33		
竇	tai32		父曰老竇。
	ta32		口語，僅用於「daa32 下(haa11)」，指「上下」
	sut33		口語「踡縮」
朮	sut32		白朮，蒼朮。
述	sut32		
術	sut32		
舜	sun33		
順	sun32		
純	sun22		單獨用指生物無精打采，如「條魚純啊」，意思是「條魚快死了」
脣	sun22		
淳	sun22		
醇	sun22		
馴	sun22		馴，稟性溫良也。
鶉	sun21		鵪鶉(ʔ)em³³ sun¹¹⁵，本調缺失。
腎	sun21		
腎	sun21		白讀
瞬	sun21		
誰	sui55		口語
水	sui55		「浸白水弟324」指「水浸」
衰	sui33		
帥	sui33		
稅	sui33		
說	sui33		遊說
睡	sui32		
垂	sui22		
誰	sui22		
說	suɔt55		「基說」即「夾克衫」，「說」為「shirt」的譯字；「short」的音譯，意思是「傻了」
	suɔt55		口語「滑」，動詞，相當於廣州話「soe22」。「suot5 suot5板」指「滑梯」；「suot5 suot5飄」指「滑不溜秋」
船	suɔn22		
吮	suɔn21		吸也。
使	suɔi55		使用
駛	suɔi55		
塞	suɔi33		塞外
賽	suɔi33		
	suɔi32		嗑瓜子，不知道什麼字
	suɔi32		動詞，吃瓜子的動作
嗦	suɔ55		羅嗦luɔ⁵⁵ suɔ⁵⁵
所	suɔ55		
梳	suɔ33		
疏	suɔ33		疏通 「疏氣」指「清淡解膩」；「疏想」指「清瘦」
疏	suɔ33		註疏
蔬	suɔ33		
娑	suɔ33		不確定，參考鄭鈞
梭	suɔ33		
傻	suɔ21		
數	sou55		動詞
數	sou33		名詞打數（計劃）
手	siu55		「手扶仔」即「拖拉機」
守	siu55		
首	siu55		
收	siu33		
狩	siu33		
受	siu32		
授	siu32		
壽	siu32		
仇	siu22		仇人
售	siu22		參考斗山鄭鈞
瑟	sit55		
失	sit55		「失教」即「沒教養」
室	sit55		有seat/座位的意思，如「車室」
實	sit32		
溼	sip55		
濕	sip55		
十	sip32		
拾	sip32		
傷	siŋ55		口語動詞，撞傷
賞	siŋ55		
	siŋ55		僅用於「koi22 sing55」，與「koi22」意思相同，頑皮。「koi22」參見「曳」
	siŋ55		動詞，撞傷身體
商	siŋ33		
傷	siŋ33		
上	siŋ33		動詞，常用。
上	siŋ32		「上下114」指「差不多」、「過一會」
尚	siŋ32		
常	siŋ22		
徜	siŋ22		參考鄭鈞
嘗	siŋ22		
嫦	siŋ22		
嚐	siŋ22		
償	siŋ22		
裳	siŋ22		
申	sin33		
伸	sin33		
身	sin33		
呻	sin33		
紳	sin33		
慎	sin32		
臣	sin22		
辰	sin22		
宸	sin22		
晨	sin22		
神	sin22		
身	sin21		變音，「側身」指「側邊」
沈	sim55		沈姓
審	sim55		
瀋	sim55		瀋陽
嬸	sim55		
沁	sim33		參考鄭鈞
深	sim33		
滲	sim33		
葚	sim32		
什	sim32		什麼
甚	sim32		
勺	sik55		參考鄭鈞
芍	sik55		參考鄭鈞
軾	sik55		不確定，參考斗山
爍	sik55		
灼	sik55		
溼	sik33		訓讀，詞源不明。
濕	sik33		訓讀，詞源不明。
設	siɛt55		
蝨	siɛt55		
	siɛt55		動詞，噴灑
折	siɛt32		折本
舌	siɛt21		
閃	siɛp33		口語
霅	siɛp33		天霅，閃電也。
涉	siɛp32		
搧	siɛn33		
煽	siɛn33		
扇	siɛn33		
禪	siɛn32		禪讓，參考鄭鈞
單	siɛn32		姓單
倩	siɛn32		
善	siɛn32		超常用口語，指「死」
擅	siɛn32		
繕	siɛn32		
扇	siɛn21		撲克牌「葵22扇」的變音
陝	siɛm55		
閃	siɛm55		「閃埋(muoi22)」指「走開躲一下」
禪	siɛm22		禪師
蟬	siɛm22		
蟾	siɛm22		蟾蜍白讀kʰɛm22 si22
單	siɛm22		單于
簷	siɛm22		
舍	siɛ55		同『捨』，捨棄
捨	siɛ55		「捨衣」即「燒衣紙」
畲	siɛ33		
賒	siɛ33		
舍	siɛ33		宿舍
赦	siɛ33		
射	siɛ32		
佘	siɛ22		
蛇	siɛ22		
社	siɛ21		
少	siɐu55		多少
燒	siɐu33		
少	siɐu33		年少
邵	siɐu32		
劭	siɐu32		
紹	siɐu32		
肇	siɐu32		
韶	siɐu22		
兆	siɐu21		
聲	siɐŋ33		白讀
成	siɐŋ22		白讀
城	siɐŋ22		白讀
石	siɐk32		文讀
碩	siɐk32		
石	siɐk21		白讀
矢	si55		
屎	si55		
暑	si55		
黍	si55		參考斗山鄭鈞
鼠	si55		
施	si33		
屍	si33		
詩	si33		
嗜	si33		
試	si33		「睇試」意思是「看一看」
謚	si33		
抒	si33		
書	si33		
紓	si33		
舒	si33		
樞	si33		
輸	si33		
署	si33		
曙	si33		參考鄭鈞
恕	si33		
庶	si33		
示	si32		
侍	si32		
是	si32		
視	si32		
豎	si32		
樹	si32		
峙	si32		
蜍	si22		蠄蜍
時	si22		「天時」指天氣；「時文」指「話」；用在句末可指「話說回來」，如「你唔使怕時」，指「話說回來，你也不用擔心」
匙	si22		灰匙讀作fuɔi³³ si¹¹⁵
殊	si22		
薯	si22		單獨用多升變調si325
糬	si22		麻糬
藷	si22		同『薯』參考斗山
時	si21		變音，如「舊時」、「未時」(還沒一會)
氏	si21		姓氏
市	si21		「為wei22市」意思是「身為」；「喜市」意為「凌厲」；「猜市」即「猜拳」
恃	si21		參考鄭鈞
澀	səp55		不滑也。
	səp55		口語，用作形容詞為「粗糙」，用作動詞為「剪」
	səp55		口語，「sup5」變音
崇	səŋ22		
鱅	səŋ22		鱅魚sʊŋ²² ŋui²²
岑	səm22		
涔	səm22		參考鄭鈞
忱	səm22		熱忱參考鄭鈞
森	səm22		
叔	sək55		
倏	sək55		
縮	sək33		
淑	sək32		
孰	sək32		
塾	sək32		
熟	sək32		
贖	sək32		贖回
蜀	sək32		
屬	sək32		屬於
剎	sɔt33		剎車
殺	sɔt33		「殺勢」指「一下就有很誇張的反應」，又稱「殺屎」
煞	sɔt33		
刷	sɔt33		
殺	sɔt21		殺蟲、噴殺
刷	sɔt21		低變調，名詞。
爽	sɔŋ55		爽有很多意思，如「好」、「好吃」、「可愛」、「舒服」、「開心」、「有趣」；另外口語「貪爽」、「貪謀爽」意為「圖它有趣」；「緊爽」意為「剛好」；「啱爽」意為「剛才」
瀧	sɔŋ33		瀧水，新會地名，今作『雙水』。
霜	sɔŋ33		
雙	sɔŋ33		「加雙」指「加倍」
篡	sɔn33		
山	sɔn33		「山尾佬」指住山村的人
刪	sɔn33		
姍	sɔn33		
珊	sɔn33		
跚	sɔn33		
潸	sɔn33		
訕	sɔn33		
拴	sɔn33		
拴	sɔn33		
閂	sɔn33		文讀。動詞，閂門
栓	sɔn33		
柵	sɔn33		參考鄭鈞
潺	sɔn22		「牛鼻潺」即「鼻涕蟲」
閂	sɔn21		低變調，名詞。
朔	sɔk55		
	sɔk33		哄人，不知道什麼字
	sɔi55		「non55 soi55」指「嬌氣」、「作狀」、「臭美」
篩	sɔi33		
曬	sɔi33		
世	sɔi33		「前世」、「成世」等一般升變調soi335
勢	sɔi33		「慣勢」意為持久，可形容關係或習慣，「慣勢了」意為壞習慣。「家勢」指「光鮮」或「裝作光鮮」。「殺勢」指「對小事情過度反應」。「快勢」指「快」
逝	sɔi32		
誓	sɔi32		
噬	sɔi32		
世	sɔi21		口語，「九世」、「九世九世33由225」，意為很長時間
舐	sɔi21		「口舐」指「口癖」
	sɔi21		僅用於口語「口soi11」，指「口癖」
稍	sau55		
梢	sau33		
哨	sau33		
鏽	sau33		
	sau32		口語「扔掉」
色	sɐt55		
識	sɐt55		認識「結識」意為「迷信」，「識領」、「識會11」指「知道」
式	sɐt55		
拭	sɐt55		
飾	sɐt55		
適	sɐt55		
釋	sɐt55		
食	sɐt32		
蝕	sɐt32		
霎	sap33		
	saŋ551		「識」、「識領」的連讀音，意思是「知道」、「會」
省	saŋ55		廣東省指動物十二指腸，如「豬省」
生	saŋ33		「生藝324」指「消遣」
牲	saŋ33		
笙	saŋ33		
甥	saŋ33		升變調
生	saŋ21		低變調，頭生
覡	saŋ21		訓讀。覡婆讀saŋ¹¹ pʰuɔ¹¹⁵
升	sɐn33		
昇	sɐn33		
聲	sɐn33		文讀
勝	sɐn33		勝任
勝	sɐn33		勝利
聖	sɐn33		
盛	sɐn32		旺盛
成	sɐn22		文讀
丞	sɐn22		
承	sɐn22		
城	sɐn22		文讀
乘	sɐn22		乘車
誠	sɐn22		
繩	sɐn22		單用多升變調
衫	sam55		恤衫
衫	sam33		文讀。衣衫不整
衫	sam21		低變調，白讀。著衫
瘦	sai33		「瘦maak3」指「很瘦」
愁	sai22		單獨用表示「擔心」，超常用
灑	sa55		
耍	sa55		
沙	sa33		文讀
砂	sa33		
莎	sa33		
紗	sa33		
鯊	sa33		
沙	sa21		低變調，白讀
不	put55		
笨	pun32		
缽	puɔt32		
撥	puɔt32		不知道如何標聲調號，姑且用10
勃	puɔt32		不知道如何標聲調號，姑且用10
脖	puɔt32		
渤	puɔt32		
缽	puɔt21		
撥	puɔt21		迅速把東西撥下去的動作
本	puɔn55		
畚	puɔn55		照抄斗山音
般	puɔn33		
搬	puɔn33		
半	puɔn33		半夜
拚	puɔn33		參考鄭鈞
伴	puɔn32		
拌	puɔn32		
絆	puɔn32		
叛	puɔn32		
畔	puɔn32		
胖	puɔn32		
胖	puɔn32		
半	puɔn21		一半
杯	puɔi33		
盃	puɔi33		
貝	puɔi33		
背	puɔi33		文讀
狽	puɔi33		
悖	puɔi33		
輩	puɔi33		
背	puɔi32		白讀，低變調，手背，耳背
蓓	puɔi32		
吠	puɔi32		白讀？
佩	puɔi32		
珮	puɔi32		
蓓	puɔi21		「草蓓」即山上墳墓頭頂的泥土帶草的物體
波	puɔ33		
玻	puɔ33		玻璃有puɔ³³ li²²⁵及puɔ⁵⁵ li⁵⁵兩讀。
菠	puɔ33		
播	puɔ33		
坡	puɔ33		
補	pou55		
斧	pou55		錘曰斧頭pou⁵⁵ hai⁵⁵
浦	pou55		沙浦村，彼岸的祖居
簸	pou33		簸箕pɔ³³ kei¹¹
布	pou33		
佈	pou33		
怖	pou33		
埔	pou33		
	pou33		「背脊」又讀
捕	pou32		
哺	pou32		
步	pou32		
埗	pou32		同『埠』。水埗頭
部	pou32		
簿	pou32		單獨用或混用多升變音pɔu335
孵	pou32		白讀
筆	pit55		
畢	pit55		
嗶	pit55		
稟	pin55		
品	pin55		
乒	pin55		乒乓球
奔	pin33		
鞭	pin33		應該是動詞白讀
彬	pin33		
賓	pin33		
濱	pin33		
檳	pin33		
繽	pin33		
臏	pin33		
鬢	pin33		
鞭	pin21		白讀，名詞。
辮	pin21		
	piɛt33		僅用於口語「淡biat3biat3」
別	piɛt32		「擠出來」的又讀
表	piɐu55		
彪	piɐu33		
標	piɐu33		
飆	piɐu33		
鑣	piɐu33		
錶	piɐu33		鐘錶「幾錶335」、「幾點錶335」指「幾點」
餅	piɐŋ55		
屏	piɐŋ33		藏
	piɐŋ33		口語，「藏」
病	piɐŋ32		
柄	piɐŋ21		低變調把柄
噴	pʰun33		
噴	pʰun22		煲水溢出
盆	pʰun21		
潑	pʰuɔt33		潑水
潘	pʰuɔn33		
判	pʰuɔn33		
盤	pʰuɔn22		
蹣	pʰuɔn22		參考鄭鈞
蟠	pʰuɔn22		
泮	pʰuɔn22		參考斗山鄭鈞
伴	pʰuɔn21		單獨讀音puɔn11，與其他字連用多數升變調puɔn114（有伴）
胚	pʰuɔi33		
沛	pʰuɔi33		
配	pʰuɔi33		
陪	pʰuɔi22		
培	pʰuɔi22		
裴	pʰuɔi22		
賠	pʰuɔi22		
倍	pʰuɔi21		
棵	pʰuɔ55		兩者都是普遍讀音，以「lup lhup」居多
破	pʰuɔ33		
頗	pʰuɔ33		
婆	pʰuɔ		「婆phuo22婆phuo2」女性對老一輩的非親人的稱呼
脯	pʰou55		參考鄭鈞
圃	pʰou55		參考鄭鈞
普	pʰou55		
譜	pʰou55		
鋪	pʰou33		店鋪
鋪	pʰou33		鋪張
浮	pʰou22		白讀
婆	pʰou22		「人容婆」指拐賣小朋友的壞女人
匍	pʰou22		
菩	pʰou22		
葡	pʰou22		
蒲	pʰou22		
婆	pʰou21		老婆乸
	pʰou21		僅用於「肚pou5」，即「圍裙」、「文胸」
匹	pʰit55		
瀕	pʰin22		
貧	pʰin22		
頻	pʰin22		
	pʰiɛt55		僅用於口語「piat5 piat5 漂」，用於形容魚很生猛地躍動
	pʰiɛt33		見上詞「nong55 nong55 piat3」
啤	pʰiɛ55		撲克牌「對子」
疲	pʰiɛ21		應為白讀
	pʰiɐu55		口語「撕」
飄	pʰiɐu33		
漂	pʰiɐu33		
瓢	pʰiɐu22		
瞟	pʰiɐu22		
票	pʰiɐu21		
平	pʰiɐŋ22		白讀
坪	pʰiɐŋ22		坪phiang55逕kaŋ¹¹水庫
坪	pʰiɐŋ21		草坪，白讀
瓶	pʰiɐŋ21		低變調，本調缺失
劈	pʰiɐk55		
踢	pʰiɐk33		
碰	pʰəŋ33		
篷	pʰəŋ22		
仆	pʰək55		跌地為仆
仆	pʰək21		撞傷長的疙瘩
鄙	pʰei55		
否	pʰei55		否極泰來
否	pʰei55		否極泰來
邳	pʰei55		
圮	pʰei55		參考鄭鈞
披	pʰei33		
屁	pʰei33		「屁謬」指「荒謬」
譬	pʰei33		
皮	pʰei22		
枇	pʰei22		
疲	pʰei22		應為文讀
琵	pʰei22		
脾	pʰei22		
被	pʰei21		棉被
婢	pʰei21		
皮	pʰei21		黃皮餡11
癟	pʰɔt33		
	pʰɔt33		癟了
膀	pʰɔŋ22		膀胱
膀	pʰɔŋ22		肩膀
傍	pʰɔŋ22		傍晚
滂	pʰɔŋ22		
彷	pʰɔŋ22		彷徨pʰɔŋ²² vɔŋ²²
彷	pʰɔŋ22		彷徨pʰɔŋ²² vɔŋ²²
旁	pʰɔŋ22		
徬	pʰɔŋ22		
螃	pʰɔŋ22		
龐	pʰɔŋ22		
蚌	pʰɔŋ21		
耪	pʰɔŋ21		鋤頭曰耪，鋤土曰耪。不清楚，保留鄭鈞說法
頒	pʰɔn33		
番	pʰɔn33		番禺pʰuɔn³³ ŋui²²
攀	pʰɔn33		
盼	pʰɔn33		
朴	pʰɔk55		朴樹、厚朴。參考斗山
樸	pʰɔk55		木素也。樸素
撲	pʰɔk33		
蹼	pʰɔk33		參考鄭鈞
派	pʰɔi55		派別
派	pʰɔi33		一派胡言
批	pʰɔi33		
俳	pʰɔi22		
排	pʰɔi22		
徘	pʰɔi22		
牌	pʰɔi22		
稗	pʰɔi21		田中野草也，單用讀升變調pʰoi¹¹⁵照抄斗山音
派	pʰɔi21		蘋果派phoi114
刨	pʰau55		動詞。paang33 paau22指「分寸」
跑	pʰau55		
拋	pʰau33		
泡	pʰau33		
炮	pʰau33		單用可指「顛簸」
砲	pʰau33		
咆	pʰau22		
庖	pʰau22		
袍	pʰau22		
皰	pʰau22		
	pʰau22		口語「paang33 paau22」指「分寸」、「度」，形容人的行為的程度，「有paang33 paau22」即「靠譜」，該口語常見於長者，接近失傳
抱	pʰau21		
刨	pʰau21		低變調，名詞。
泡	pʰau21		水泡
霹	pʰɐt55		
僻	pʰɐt55		
闢	pʰɐt55		
瞥	pʰɐt55		參考鄭鈞
撇	pʰɐt33		撇水
撇	pʰɐt21		
	pʰɐŋ55		口語，「撞」或「依靠」，屬於「傍」和「cuoi55」的中間
烹	pʰaŋ33		
	pʰaŋ33		「派發」的意思
朋	pʰaŋ22		
彭	pʰaŋ22		
棚	pʰaŋ22		
硼	pʰaŋ22		
澎	pʰaŋ22		
膨	pʰaŋ22		
鵬	pʰaŋ22		
憑	pʰaŋ22		
棒	pʰaŋ21		
片	pʰɐn55		片皮鴨
編	pʰɐn33		
扁	pʰɐn33		一葉扁舟
遍	pʰɐn33		
偏	pʰɐn33		
篇	pʰɐn33		
翩	pʰɐn33		
片	pʰɐn33		
騙	pʰɐn33		
拼	pʰɐn33		
聘	pʰɐn33		
便	pʰɐn22		便宜
砰	pʰɐn22		參考鄭鈞
胼	pʰɐn22		參考鄭鈞
平	pʰɐn22		文讀
坪	pʰɐn22		
屏	pʰɐn22		屏幕
萍	pʰɐn22		
評	pʰɐn22		
蘋	pʰɐn22		
柏	pʰak55		
帕	pʰak55		
珀	pʰak55		
粕	pʰak55		
魄	pʰak55		
啪	pʰak33		
拍	pʰak33		
拍	pʰak21		球拍kʰiu²² pʰak¹¹⁵
怕	pʰa33		
扒	pʰa22		扒飯，扒手
耙	pʰa22		單用讀pʰa¹¹⁵
趴	pʰa22		爬
杷	pʰa22		
爬	pʰa22		
琶	pʰa22		
捧	pəŋ55		
	pəŋ325		「長炮仗」的俗稱：「lie11 lie11 beng325」
卜	pək55		
	pək33		僅用於「飽buk3啊」，意思是「很飽」
伏	pək32		白讀
僕	pək32		僕人
瀑	pək32		
比	pei55		
妣	pei55		
彼	pei55		
髀	pei55		
媲	pei55		
陂	pei33		天獅陂pei334
卑	pei33		
悲	pei33		
碑	pei33		
背	pei33		白讀，背脊pei³³ tiɛk¹
庇	pei33		
痺	pei33		「把痺」指「厲害」，同廣州話「巴閉」
潷	pei33		潷，濾去渣也。
泌	pei33		
祕	pei33		
秘	pei33		
	pei33		動詞，口語，「過濾」
被	pei32		被動
備	pei32		
憊	pei32		
鼻	pei32		
篦	pei32		單用讀pi¹¹⁵，本調缺失。
避	pei32		
背	pei21		白讀，低變調，動詞
臂	pei21		
	pei21		口語,指「背起」
八	pɔt55		八珍、八角、八卦單獨用在口語中另有「歪斜」或「擺放不正」的意思
八	pɔt33		
拔	pɔt32		「拔想」指「變瘦」
跋	pɔt32		
綁	pɔŋ55		
榜	pɔŋ55		
乓	pɔŋ55		又稱「din55 dong55波」
邦	pɔŋ33		
幫	pɔŋ33		
傍	pɔŋ32		依山傍水
磅	pɔŋ32		
阪	pɔn55		
板	pɔn55		
版	pɔn55		
闆	pɔn55		
班	pɔn33		
斑	pɔn33		
扮	pɔn32		
辦	pɔn32		有廣州話「切」的意思，如「走唔辦」即「走唔切」；「幾好辦」指「怎麼辦」
博	pɔk55		
泡	pɔk55		「泡」表示「水泡」，「魚泡」
搏	pɔk33		
駁	pɔk33		單獨用可指「附著」，如「蚊駁啊蚊帳上面」
膊	pɔk33		
縛	pɔk33		
雹	pɔk32		
薄	pɔk32		
箔	pɔk32		
礴	pɔk32		
泊	pɔk32		
擺	pɔi55		
跛	pɔi55		跛腳
拜	pɔi33		
閉	pɔi33		
蔽	pɔi33		
敗	pɔi32		
陛	pɔi32		
敝	pɔi32		
弊	pɔi32		
幣	pɔi32		
斃	pɔi32		
湃	pɔi22		
保	pau55		
葆	pau55		
堡	pau55		
飽	pau55		
褓	pau55		
寶	pau55		
包	pau33		文讀。口語讀音：動詞讀本調pau³³，名詞讀低變調pau¹¹，『包子』意義讀升變調pau³⁵
苞	pau33		
孢	pau33		
胞	pau33		
煲	pau33		本字可能為『釜』彼岸按 ：表達器皿習慣變作paau335
褒	pau33		
豹	pau33		單獨用習慣變作paau335
報	pau33		
鮑	pau33		
爆	pau33		
