字目	读音	注释	声母	声母(原)	韵母	声调	声调（调类)	(声母)
硬	ŋe213		ŋ	ŋ	e	213	4	ŋ
瘕	he22	～痀抽：哮喘	h	h	e	22	1	h
蝦	he44		h	h	e	44	2	h
下	he213	～种：播种	h	h	e	213	4	h
夏	he42		h	h	e	42	6	h
廈	he42		h	h	e	42	6	h
啞	e53				e	53	3	〇
下	e213	方位			e	213	4	〇
華	e213	地名用音，～溪，村名，在流沙			e	213	4	〇
咦	e213				e	213	4	〇
下	e42	量词			e	42	6	〇
菠	pfue22	白，～薐菜	pf	p	ue	22	1	p
杯	pfue22		pf	p	ue	22	1	p
飛	pfue22		pf	p	ue	22	1	p
培	pfue44		pf	p	ue	44	2	p
賠	pfue44		pf	p	ue	44	2	p
倍	pfue213		pf	p	ue	213	4	p
佩	pfue213		pf	p	ue	213	4	p
貝	pfue213	又	pf	p	ue	213	4	p
背	pfue21	文，～诵	pf	p	ue	21	5	p
貝	pfue21	～壳	pf	p	ue	21	5	p
輩	pfue21		pf	p	ue	21	5	p
唄	pfue21		pf	p	ue	21	5	p
胚	pfʰue22		pfʰ	pʰ	ue	22	1	pʰ
坯	pfʰue22		pfʰ	pʰ	ue	22	1	pʰ
培	pfʰue44	又	pfʰ	pʰ	ue	44	2	pʰ
陪	pfʰue44		pfʰ	pʰ	ue	44	2	pʰ
裴	pfʰue44		pfʰ	pʰ	ue	44	2	pʰ
皮	pfʰue44		pfʰ	pʰ	ue	44	2	pʰ
被	pfʰue213		pfʰ	pʰ	ue	213	4	pʰ
配	pfʰue21		pfʰ	pʰ	ue	21	5	pʰ
杮	pfʰue21		pfʰ	pʰ	ue	21	5	pʰ
□	pfʰue42	□to5～（口袋）	pfʰ	pʰ	ue	42	6	pʰ
梅	bvue44		bv	b	ue	44	2	b
媒	bvue44		bv	b	ue	44	2	b
煤	bvue44		bv	b	ue	44	2	b
莓	bvue44		bv	b	ue	44	2	b
黴	bvue44		bv	b	ue	44	2	b
枚	bvue44		bv	b	ue	44	2	b
尾	bvue53		bv	b	ue	53	3	b
娓	bvue53		bv	b	ue	53	3	b
未	bvue42		bv	b	ue	42	6	b
妹	ɱue44	女儿	ɱ	m	ue	44	2	m
糜	ɱue44	稀饭，与“粥”略有不同	ɱ	m	ue	44	2	m
每	ɱue53		ɱ	m	ue	53	3	m
妹	ɱue213	～囝：小妹	ɱ	m	ue	213	4	m
昧	ɱue213		ɱ	m	ue	213	4	m
寐	ɱue213		ɱ	m	ue	213	4	m
妹	ɱue42	妹妹	ɱ	m	ue	42	6	m
兌	tue213		t	t	ue	213	4	t
綴	tue21		t	t	ue	21	5	t
頽	tʰue44		tʰ	tʰ	ue	44	2	tʰ
罪	tsue213		ts	ts	ue	213	4	ts
最	tsue21		ts	ts	ue	21	5	ts
贅	tsue21		ts	ts	ue	21	5	ts
吹	tsʰue22		tsʰ	tsʰ	ue	22	1	tsʰ
炊	tsʰue22		tsʰ	tsʰ	ue	22	1	tsʰ
棰	tsʰue44	木棍	tsʰ	tsʰ	ue	44	2	tsʰ
揣	tsʰue53		tsʰ	tsʰ	ue	53	3	tsʰ
髓	tsʰue53		tsʰ	tsʰ	ue	53	3	tsʰ
揣	tsʰue42	训	tsʰ	tsʰ	ue	42	6	tsʰ
覓	tsʰue42	训，寻找	tsʰ	tsʰ	ue	42	6	tsʰ
挼	dzue44	用手指磨碎	dz	dz	ue	44	2	dz
芮	dzue213		dz	dz	ue	213	4	dz
銳	dzue213		dz	dz	ue	213	4	dz
衰	sue22		s	s	ue	22	1	s
垂	sue44		s	s	ue	44	2	s
□	sue53	～直（做事干净利落）	s	s	ue	53	3	s
戍	sue21		s	s	ue	21	5	s
歲	sue21		s	s	ue	21	5	s
稅	sue21		s	s	ue	21	5	s
帥	sue21	元～	s	s	ue	21	5	s
歳	sue21		s	s	ue	21	5	s
瓜	kue22		k	k	ue	22	1	k
葵	kue44	～潭（地名，在惠来）	k	k	ue	44	2	k
裹	kue53		k	k	ue	53	3	k
粿	kue53		k	k	ue	53	3	k
繪	kue21	又，东部音	k	k	ue	21	5	k
會	kue21	～计	k	k	ue	21	5	k
髻	kue21		k	k	ue	21	5	k
過	kue21		k	k	ue	21	5	k
鱖	kue21		k	k	ue	21	5	k
卦	kue21		k	k	ue	21	5	k
儈	kue21	又	k	k	ue	21	5	k
劊	kue21	又	k	k	ue	21	5	k
劌	kue21		k	k	ue	21	5	k
科	kʰue22		kʰ	kʰ	ue	22	1	kʰ
窠	kʰue22		kʰ	kʰ	ue	22	1	kʰ
盔	kʰue22		kʰ	kʰ	ue	22	1	kʰ
恢	kʰue22		kʰ	kʰ	ue	22	1	kʰ
魁	kʰue22		kʰ	kʰ	ue	22	1	kʰ
詼	kʰue22		kʰ	kʰ	ue	22	1	kʰ
快	kʰue21		kʰ	kʰ	ue	21	5	kʰ
課	kʰue21		kʰ	kʰ	ue	21	5	kʰ
恢	hue22	又	h	h	ue	22	1	h
花	hue22		h	h	ue	22	1	h
灰	hue22	白，红毛～	h	h	ue	22	1	h
和	hue44		h	h	ue	44	2	h
回	hue44		h	h	ue	44	2	h
茴	hue44		h	h	ue	44	2	h
蛔	hue44		h	h	ue	44	2	h
徊	hue44		h	h	ue	44	2	h
懷	hue44	白，开～	h	h	ue	44	2	h
火	hue53		h	h	ue	53	3	h
夥	hue53		h	h	ue	53	3	h
匯	hue213		h	h	ue	213	4	h
會	hue213		h	h	ue	213	4	h
燴	hue213		h	h	ue	213	4	h
化	hue21		h	h	ue	21	5	h
悔	hue21		h	h	ue	21	5	h
晦	hue21		h	h	ue	21	5	h
貨	hue21		h	h	ue	21	5	h
歲	hue21	白读，年龄称..（数字）～；～声，年纪的意思	h	h	ue	21	5	h
誨	hue21		h	h	ue	21	5	h
鍋	ue22				ue	22	1	〇
萵	ue22				ue	22	1	〇
衛	ue213				ue	213	4	〇
尉	ue21				ue	21	5	〇
慰	ue21				ue	21	5	〇
穢	ue21				ue	21	5	〇
畫	ue42				ue	42	6	〇
話	ue42				ue	42	6	〇
波	po22		p	p	o	22	1	p
菠	po22		p	p	o	22	1	p
玻	po22		p	p	o	22	1	p
坡	po22		p	p	o	22	1	p
薄	po44	～荷	p	p	o	44	2	p
婆	po44		p	p	o	44	2	p
保	po53		p	p	o	53	3	p
寶	po53		p	p	o	53	3	p
報	po21		p	p	o	21	5	p
菩	pʰo44		pʰ	pʰ	o	44	2	pʰ
頗	pʰo53		pʰ	pʰ	o	53	3	pʰ
叵	pʰo53		pʰ	pʰ	o	53	3	pʰ
抱	pʰo213		pʰ	pʰ	o	213	4	pʰ
破	pʰo21		pʰ	pʰ	o	21	5	pʰ
無	bo44		b	b	o	44	2	b
母	bo53		b	b	o	53	3	b
拇	bo53		b	b	o	53	3	b
磨	bo42		b	b	o	42	6	b
帽	bo42		b	b	o	42	6	b
魔	mo44		m	m	o	44	2	m
摩	mo44		m	m	o	44	2	m
模	mo44		m	m	o	44	2	m
毛	mo44		m	m	o	44	2	m
暮	mo213		m	m	o	213	4	m
墓	mo213		m	m	o	213	4	m
慕	mo213		m	m	o	213	4	m
募	mo213		m	m	o	213	4	m
幕	mo213		m	m	o	213	4	m
望	mo42		m	m	o	42	6	m
多	to22		t	t	o	22	1	t
都	to22	又	t	t	o	22	1	t
哆	to22		t	t	o	22	1	t
桃	to44	杨～	t	t	o	44	2	t
逃	to44		t	t	o	44	2	t
朵	to53		t	t	o	53	3	t
躲	to53		t	t	o	53	3	t
短	to53		t	t	o	53	3	t
哚	to53		t	t	o	53	3	t
在	to213		t	t	o	213	4	t
佇	to213	训“在”	t	t	o	213	4	t
墮	to213		t	t	o	213	4	t
倒	to21		t	t	o	21	5	t
戴	to21	姓	t	t	o	21	5	t
代	to42	白，年～，一～侬	t	t	o	42	6	t
袋	to42		t	t	o	42	6	t
胎	tʰo22		tʰ	tʰ	o	22	1	tʰ
推	tʰo22		tʰ	tʰ	o	22	1	tʰ
桃	tʰo44		tʰ	tʰ	o	44	2	tʰ
萄	tʰo44		tʰ	tʰ	o	44	2	tʰ
馱	tʰo44		tʰ	tʰ	o	44	2	tʰ
迌	tʰo44	tʰik7-～:玩耍	tʰ	tʰ	o	44	2	tʰ
妥	tʰo53		tʰ	tʰ	o	53	3	tʰ
橢	tʰo53		tʰ	tʰ	o	53	3	tʰ
討	tʰo53		tʰ	tʰ	o	53	3	tʰ
退	tʰo21		tʰ	tʰ	o	21	5	tʰ
囉	lo22		l	l	o	22	1	l
哪	lo44	～吒	l	l	o	44	2	l
□	lo44	流～囝（整天在外游手好闲的人）	l	l	o	44	2	l
螺	lo44		l	l	o	44	2	l
脶	lo44	指纹	l	l	o	44	2	l
牢	lo44		l	l	o	44	2	l
羅	lo44		l	l	o	44	2	l
鑼	lo44		l	l	o	44	2	l
蘿	lo44		l	l	o	44	2	l
邏	lo44		l	l	o	44	2	l
腡	lo44		l	l	o	44	2	l
裸	lo53		l	l	o	53	3	l
惱	lo53		l	l	o	53	3	l
嚒	no22		n	n	o	22	1	n
挪	no44	文	n	n	o	44	2	n
娜	no44		n	n	o	44	2	n
儺	no44		n	n	o	44	2	n
兩	no213		n	n	o	213	4	n
糯	no21	文	n	n	o	21	5	n
懦	no21	文	n	n	o	21	5	n
努	no21		n	n	o	21	5	n
怒	no21		n	n	o	21	5	n
糟	tso22	白，鏖o1～：脏	ts	ts	o	22	1	ts
槽	tso44		ts	ts	o	44	2	ts
左	tso53		ts	ts	o	53	3	ts
佐	tso53		ts	ts	o	53	3	ts
阻	tso53		ts	ts	o	53	3	ts
棗	tso53		ts	ts	o	53	3	ts
俎	tso53		ts	ts	o	53	3	ts
狀	tso213	白，～元	ts	ts	o	213	4	ts
坐	tso213		ts	ts	o	213	4	ts
助	tso213		ts	ts	o	213	4	ts
做	tso21		ts	ts	o	21	5	ts
怎	tsa21	训	ts	ts	a	21	5	ts
座	tso42		ts	ts	o	42	6	ts
初	tsʰo22		tsʰ	tsʰ	o	22	1	tsʰ
腥	tsʰo22		tsʰ	tsʰ	o	22	1	tsʰ
臊	tsʰo22		tsʰ	tsʰ	o	22	1	tsʰ
挫	tsʰo44		tsʰ	tsʰ	o	44	2	tsʰ
矬	tsʰo44		tsʰ	tsʰ	o	44	2	tsʰ
锄	tsʰo44	文	tsʰ	tsʰ	o	44	2	tsʰ
鋤	tsʰo44		tsʰ	tsʰ	o	44	2	tsʰ
楚	tsʰo53		tsʰ	tsʰ	o	53	3	tsʰ
草	tsʰo53	白	tsʰ	tsʰ	o	53	3	tsʰ
礎	tsʰo53		tsʰ	tsʰ	o	53	3	tsʰ
錯	tsʰo21		tsʰ	tsʰ	o	21	5	tsʰ
錯	tsʰoʔ32	眉~~，形容愁眉苦脸的样子	tsʰ	tsʰ	oʔ	32	7	tsʰ
糙	tsʰo21		tsʰ	tsʰ	o	21	5	tsʰ
□	tsʰo42	盛放物品	tsʰ	tsʰ	o	42	6	tsʰ
搓	so22		s	s	o	22	1	s
娑	so22		s	s	o	22	1	s
蓑	so22	文	s	s	o	22	1	s
唆	so22		s	s	o	22	1	s
梭	so22		s	s	o	22	1	s
莎	so22		s	s	o	22	1	s
蔬	so22		s	s	o	22	1	s
疏	so22		s	s	o	22	1	s
傻	so44		s	s	o	44	2	s
所	so53		s	s	o	53	3	s
嫂	so53		s	s	o	53	3	s
鎖	so53		s	s	o	53	3	s
嗩	so53		s	s	o	53	3	s
瑣	so53		s	s	o	53	3	s
素	so21	白，~素，味道：无味无素，形容菜没味道	s	s	o	21	5	s
歌	ko22		k	k	o	22	1	k
哥	ko22		k	k	o	22	1	k
高	ko22		k	k	o	22	1	k
篙	ko22		k	k	o	22	1	k
糕	ko22		k	k	o	22	1	k
膏	ko22		k	k	o	22	1	k
竿	ko22	训	k	k	o	22	1	k
哥	ko44	儿语：ko1～	k	k	o	44	2	k
擱	ko44	扔	k	k	o	44	2	k
稿	ko53		k	k	o	53	3	k
個	ko21		k	k	o	21	5	k
塊	ko21		k	k	o	21	5	k
柯	kʰo22		kʰ	kʰ	o	22	1	kʰ
炣	kʰo22	将饭，菜，肉烩熟	kʰ	kʰ	o	22	1	kʰ
戈	kʰo22		kʰ	kʰ	o	22	1	kʰ
撾	kʰo22	老～，国名	kʰ	kʰ	o	22	1	kʰ
棵	kʰo22		kʰ	kʰ	o	22	1	kʰ
苛	kʰo22		kʰ	kʰ	o	22	1	kʰ
可	kʰo53		kʰ	kʰ	o	53	3	kʰ
洘	kʰo53	浅	kʰ	kʰ	o	53	3	kʰ
顆	kʰo53		kʰ	kʰ	o	53	3	kʰ
鵝	go44		g	g	o	44	2	g
餓	go42		g	g	o	42	6	g
蛾	ŋo44		ŋ	ŋ	o	44	2	ŋ
俄	ŋo44		ŋ	ŋ	o	44	2	ŋ
娥	ŋo44		ŋ	ŋ	o	44	2	ŋ
梧	ŋo44		ŋ	ŋ	o	44	2	ŋ
愚	ŋo44		ŋ	ŋ	o	44	2	ŋ
寓	ŋo44		ŋ	ŋ	o	44	2	ŋ
我	ŋo53	文	ŋ	ŋ	o	53	3	ŋ
悟	ŋo213		ŋ	ŋ	o	213	4	ŋ
遇	ŋo213		ŋ	ŋ	o	213	4	ŋ
蒿	ho22		h	h	o	22	1	h
呵	ho22		h	h	o	22	1	h
訶	ho22		h	h	o	22	1	h
河	ho44		h	h	o	44	2	h
何	ho44		h	h	o	44	2	h
豪	ho44		h	h	o	44	2	h
好	ho53		h	h	o	53	3	h
荷	ho21	薄～	h	h	o	21	5	h
耗	ho21		h	h	o	21	5	h
佑	ho42		h	h	o	42	6	h
賀	ho42		h	h	o	42	6	h
號	ho42		h	h	o	42	6	h
窩	o22				o	22	1	〇
渦	o22				o	22	1	〇
婀	o22				o	22	1	〇
媧	o22				o	22	1	〇
鏖	o22	白，～糟tso1：脏			o	22	1	〇
荷	o44	白			o	44	2	〇
□	o44	扔			o	44	2	〇
荷	ho213		h	h	o	213	4	h
臥	o213				o	213	4	〇
標	pio22	～旗	p	p	io	22	1	p
錶	pio22		p	p	io	22	1	p
表	pio53	～哥，～弟	p	p	io	53	3	p
漂	pio21		p	p	io	21	5	p
薸	pʰio44		pʰ	pʰ	io	44	2	pʰ
萍	pʰio44	训	pʰ	pʰ	io	44	2	pʰ
票	pʰio21		pʰ	pʰ	io	21	5	pʰ
描	bio44		b	b	io	44	2	b
瞄	bio44		b	b	io	44	2	b
廟	bio42		b	b	io	42	6	b
潮	tio44		t	t	io	44	2	t
□	tio42	颤抖：凝ngang2到青～，冷得全身发抖	t	t	io	42	6	t
挑	tʰio22	～风起涌（形容挑起事端）	tʰ	tʰ	io	22	1	tʰ
糶	tʰio21		tʰ	tʰ	io	21	5	tʰ
撈	lio44		l	l	io	44	2	l
量	nio44		n	n	io	44	2	n
梁	nio44		n	n	io	44	2	n
糧	nio44		n	n	io	44	2	n
娘	nio44	白，月～	n	n	io	44	2	n
孃	nio44		n	n	io	44	2	n
兩	nio53		n	n	io	53	3	n
讓	nio42		n	n	io	42	6	n
蕉	tsio22		ts	ts	io	22	1	ts
椒	tsio22		ts	ts	io	22	1	ts
招	tsio22		ts	ts	io	22	1	ts
少	tsio53		ts	ts	io	53	3	ts
照	tsio21		ts	ts	io	21	5	ts
笑	tsʰio21		tsʰ	tsʰ	io	21	5	tsʰ
唱	tsʰio21	白，～曲	tsʰ	tsʰ	io	21	5	tsʰ
曜	tsʰio42	白，照亮	tsʰ	tsʰ	io	42	6	tsʰ
橈	dzio44		dz	dz	io	44	2	dz
尿	dzio42		dz	dz	io	42	6	dz
相	sio22	白，～信	s	s	io	22	1	s
燒	sio22		s	s	io	22	1	s
小	sio53		s	s	io	53	3	s
茄	kio44		k	k	io	44	2	k
橋	kio44		k	k	io	44	2	k
伽	kio44	～蓝	k	k	io	44	2	k
叫	kio21		k	k	io	21	5	k
轎	kio42		k	k	io	42	6	k
蹻	kʰio42	绊脚	kʰ	kʰ	io	42	6	kʰ
礄	kʰio42		kʰ	kʰ	io	42	6	kʰ
腰	io22				io	22	1	〇
姚	io44				io	44	2	〇
搖	io44				io	44	2	〇
舀	io53				io	53	3	〇
鷂	io42	风筝			io	42	6	〇
□	pfu22	～螺，一种海螺，可当喇叭吹；引申为轻视对方的观点，认为其不切实际	pf	p	u	22	1	p
捕	pfu213		pf	p	u	213	4	p
婦	pfu213		pf	p	u	213	4	p
富	pfu21		pf	p	u	21	5	p
佈	pfu21	～置	pf	p	u	21	5	p
怖	pfu21		pf	p	u	21	5	p
蒲	pfʰu44		pfʰ	pʰ	u	44	2	pʰ
莆	pʰou53	~田	pʰ	pʰ	ou	53	3	pʰ
葡	pfʰu44		pfʰ	pʰ	u	44	2	pʰ
芙	pfʰu44		pfʰ	pʰ	u	44	2	pʰ
浮	pfʰu44		pfʰ	pʰ	u	44	2	pʰ
烰	pfʰu44	油炸，本字泡	pfʰ	pʰ	u	44	2	pʰ
□	pfʰu53	性交；la～，huaʔ～，指吹牛	pfʰ	pʰ	u	53	3	pʰ
巫	bvu44		bv	b	u	44	2	b
誣	bvu44		bv	b	u	44	2	b
蕪	bvu44		bv	b	u	44	2	b
武	bvu53		bv	b	u	53	3	b
舞	bvu53		bv	b	u	53	3	b
侮	bvu53		bv	b	u	53	3	b
撫	bvu53		bv	b	u	53	3	b
鹉	bvu53		bv	b	u	53	3	b
務	bvu213		bv	b	u	213	4	b
孵	bvu42		bv	b	u	42	6	b
霧	bvu42		bv	b	u	42	6	b
蛛	tu22		t	t	u	22	1	t
株	tu22		t	t	u	22	1	t
豬	tu22		t	t	u	22	1	t
誅	tu22		t	t	u	22	1	t
除	tu44		t	t	u	44	2	t
锄	tu44	～头	t	t	u	44	2	t
鋤	tu44		t	t	u	44	2	t
滁	tu44		t	t	u	44	2	t
堵	tu53		t	t	u	53	3	t
睹	tu53		t	t	u	53	3	t
拄	tu53		t	t	u	53	3	t
賭	tu53		t	t	u	53	3	t
著	tu21		t	t	u	21	5	t
箸	tu42		t	t	u	42	6	t
徒	tʰu44		tʰ	tʰ	u	44	2	tʰ
屠	tʰu44		tʰ	tʰ	u	44	2	tʰ
途	tʰu44		tʰ	tʰ	u	44	2	tʰ
塗	tʰu44		tʰ	tʰ	u	44	2	tʰ
圖	tʰu44		tʰ	tʰ	u	44	2	tʰ
儲	tʰu53		tʰ	tʰ	u	53	3	tʰ
□	tʰu42	拟声词，形容鼾声响	tʰ	tʰ	u	42	6	tʰ
驢	lu44		l	l	u	44	2	l
旅	lu53		l	l	u	53	3	l
汝	lu53		l	l	u	53	3	l
你	lu53	训	l	l	u	53	3	l
魯	lu53		l	l	u	53	3	l
屢	lu53		l	l	u	53	3	l
您	lu53		l	l	u	53	3	l
呂	lu213		l	l	u	213	4	l
鋁	lu213		l	l	u	213	4	l
慮	lu213		l	l	u	213	4	l
濾	lu213		l	l	u	213	4	l
榈	lu213		l	l	u	213	4	l
侶	lu213		l	l	u	213	4	l
朱	tsu22		ts	ts	u	22	1	ts
珠	tsu22		ts	ts	u	22	1	ts
姿	tsu22		ts	ts	u	22	1	ts
滋	tsu22		ts	ts	u	22	1	ts
淄	tsu22		ts	ts	u	22	1	ts
之	tsu22		ts	ts	u	22	1	ts
芝	tsu22		ts	ts	u	22	1	ts
組	tsu22		ts	ts	u	22	1	ts
諸	tsu22		ts	ts	u	22	1	ts
書	tsu22		ts	ts	u	22	1	ts
資	tsu22		ts	ts	u	22	1	ts
諮	tsu22		ts	ts	u	22	1	ts
俎	tsu22		ts	ts	u	22	1	ts
兹	tsu22		ts	ts	u	22	1	ts
潴	tsu22		ts	ts	u	22	1	ts
孜	tsu22		ts	ts	u	22	1	ts
薯	tsu44		ts	ts	u	44	2	ts
煮	tsu53		ts	ts	u	53	3	ts
主	tsu53		ts	ts	u	53	3	ts
子	tsu53		ts	ts	u	53	3	ts
梓	tsu53		ts	ts	u	53	3	ts
渚	tsu53		ts	ts	u	53	3	ts
聚	tsu213		ts	ts	u	213	4	ts
住	tsu213		ts	ts	u	213	4	ts
自	tsu213		ts	ts	u	213	4	ts
佇	tsu213		ts	ts	u	213	4	ts
注	tsu21		ts	ts	u	21	5	ts
蛀	tsu21		ts	ts	u	21	5	ts
駐	tsu21		ts	ts	u	21	5	ts
疵	tsʰu22		tsʰ	tsʰ	u	22	1	tsʰ
趨	tsʰu22		tsʰ	tsʰ	u	22	1	tsʰ
刍	tsʰu22		tsʰ	tsʰ	u	22	1	tsʰ
徐	tsʰu44		tsʰ	tsʰ	u	44	2	tsʰ
雌	tsʰu44		tsʰ	tsʰ	u	44	2	tsʰ
瓷	tsʰu44		tsʰ	tsʰ	u	44	2	tsʰ
慈	tsʰu44		tsʰ	tsʰ	u	44	2	tsʰ
磁	tsʰu44		tsʰ	tsʰ	u	44	2	tsʰ
雛	tsʰu44		tsʰ	tsʰ	u	44	2	tsʰ
兹	tsʰu44		tsʰ	tsʰ	u	44	2	tsʰ
取	tsʰu53		tsʰ	tsʰ	u	53	3	tsʰ
娶	tsʰu53		tsʰ	tsʰ	u	53	3	tsʰ
此	tsʰu53		tsʰ	tsʰ	u	53	3	tsʰ
鼠	tsʰu53		tsʰ	tsʰ	u	53	3	tsʰ
措	tsʰu21		tsʰ	tsʰ	u	21	5	tsʰ
趣	tsʰu21		tsʰ	tsʰ	u	21	5	tsʰ
次	tsʰu21		tsʰ	tsʰ	u	21	5	tsʰ
處	tsʰu21		tsʰ	tsʰ	u	21	5	tsʰ
如	dzu44		dz	dz	u	44	2	dz
儒	dzu44		dz	dz	u	44	2	dz
俞	dzu44		dz	dz	u	44	2	dz
逾	dzu44		dz	dz	u	44	2	dz
而	dzu44		dz	dz	u	44	2	dz
髵	dzu44	乱	dz	dz	u	44	2	dz
汝	dzu53		dz	dz	u	53	3	dz
乳	dzu53		dz	dz	u	53	3	dz
愈	dzu53		dz	dz	u	53	3	dz
耳	dzu53		dz	dz	u	53	3	dz
尓	dzu53		dz	dz	u	53	3	dz
尔	dzu53		dz	dz	u	53	3	dz
爾	dzu53		dz	dz	u	53	3	dz
迩	dzu53		dz	dz	u	53	3	dz
喩	dzu213		dz	dz	u	213	4	dz
裕	dzu213		dz	dz	u	213	4	dz
吁	dzu213	呼～	dz	dz	u	213	4	dz
喻	dzu213		dz	dz	u	213	4	dz
胥	su22		s	s	u	22	1	s
舒	su22		s	s	u	22	1	s
需	su22		s	s	u	22	1	s
斯	su22		s	s	u	22	1	s
私	su22	文	s	s	u	22	1	s
司	su22		s	s	u	22	1	s
思	su22	～考	s	s	u	22	1	s
紓	su22		s	s	u	22	1	s
須	su22		s	s	u	22	1	s
輸	su22		s	s	u	22	1	s
師	su22		s	s	u	22	1	s
抒	su22		s	s	u	22	1	s
捈	su22		s	s	u	22	1	s
廝	su22		s	s	u	22	1	s
殊	su44		s	s	u	44	2	s
祠	su44		s	s	u	44	2	s
辭	su44		s	s	u	44	2	s
词	su44		s	s	u	44	2	s
暑	su53		s	s	u	53	3	s
黍	su53		s	s	u	53	3	s
墅	su53		s	s	u	53	3	s
署	su53		s	s	u	53	3	s
史	su53		s	s	u	53	3	s
緒	su53		s	s	u	53	3	s
曙	su53		s	s	u	53	3	s
序	su213		s	s	u	213	4	s
叙	su213		s	s	u	213	4	s
似	su213		s	s	u	213	4	s
伺	su213		s	s	u	213	4	s
士	su213		s	s	u	213	4	s
仕	su213		s	s	u	213	4	s
事	su213	通“侍”	s	s	u	213	4	s
敘	su213		s	s	u	213	4	s
嶼	su213		s	s	u	213	4	s
豎	su213		s	s	u	213	4	s
樹	su213		s	s	u	213	4	s
俟	su213		s	s	u	213	4	s
素	su21		s	s	u	21	5	s
絮	su21		s	s	u	21	5	s
恕	su21		s	s	u	21	5	s
四	su21		s	s	u	21	5	s
肆	su21		s	s	u	21	5	s
思	su21	意～	s	s	u	21	5	s
訴	su21		s	s	u	21	5	s
數	su21		s	s	u	21	5	s
賜	su21		s	s	u	21	5	s
庻	su21		s	s	u	21	5	s
事	su42	文	s	s	u	42	6	s
佝	ku22		k	k	u	22	1	k
枯	ku22	文	k	k	u	22	1	k
居	ku22		k	k	u	22	1	k
痀	ku22	瘕～抽：哮喘	k	k	u	22	1	k
佝	ku22	腰～：驼背	k	k	u	22	1	k
車	ku22		k	k	u	22	1	k
龜	ku22		k	k	u	22	1	k
俥	ku22	象棋里的車，一般是黑方的	k	k	u	22	1	k
咕	ku22		k	k	u	22	1	k
矩	ku53		k	k	u	53	3	k
久	ku53		k	k	u	53	3	k
韭	ku53		k	k	u	53	3	k
舉	ku53		k	k	u	53	3	k
乆	ku53		k	k	u	53	3	k
巨	ku213		k	k	u	213	4	k
拒	ku213		k	k	u	213	4	k
距	ku213		k	k	u	213	4	k
具	ku213		k	k	u	213	4	k
俱	ku213		k	k	u	213	4	k
舅	ku213		k	k	u	213	4	k
據	ku213		k	k	u	213	4	k
懼	ku213		k	k	u	213	4	k
炬	ku213		k	k	u	213	4	k
故	ku21		k	k	u	21	5	k
固	ku21		k	k	u	21	5	k
句	ku21		k	k	u	21	5	k
顧	ku21		k	k	u	21	5	k
鋸	ku21		k	k	u	21	5	k
灸	ku21		k	k	u	21	5	k
故	ku42	训	k	k	u	42	6	k
舊	ku42		k	k	u	42	6	k
拘	kʰu22		kʰ	kʰ	u	22	1	kʰ
丘	kʰu22	白，一～田。百二丘田，在普宁大南山	kʰ	kʰ	u	22	1	kʰ
邱	kʰu22		kʰ	kʰ	u	22	1	kʰ
樞	kʰu22		kʰ	kʰ	u	22	1	kʰ
區	kʰu22		kʰ	kʰ	u	22	1	kʰ
驅	kʰu22		kʰ	kʰ	u	22	1	kʰ
丠	kʰu22	丘	kʰ	kʰ	u	22	1	kʰ
躯	kʰu22		kʰ	kʰ	u	22	1	kʰ
渠	kʰu44		kʰ	kʰ	u	44	2	kʰ
衢	kʰu44		kʰ	kʰ	u	44	2	kʰ
臼	kʰu213		kʰ	kʰ	u	213	4	kʰ
去	kʰu21		kʰ	kʰ	u	21	5	kʰ
牛	gu44		g	g	u	44	2	g
禦	gu213		g	g	u	213	4	g
御	gu42		g	g	u	42	6	g
語	ŋu53	文	ŋ	ŋ	u	53	3	ŋ
呼	hu22		h	h	u	22	1	h
乎	hu22		h	h	u	22	1	h
墟	hu22		h	h	u	22	1	h
夫	hu22		h	h	u	22	1	h
敷	hu22		h	h	u	22	1	h
俘	hu22		h	h	u	22	1	h
腐	hu22		h	h	u	22	1	h
膚	hu22		h	h	u	22	1	h
乯	hu22		h	h	u	22	1	h
唬	hu22		h	h	u	22	1	h
虚	hu22		h	h	u	22	1	h
圩	hu22	赶～，为“墟”的简化字	h	h	u	22	1	h
灰	hu22	白，火～	h	h	u	22	1	h
胡	hu44		h	h	u	44	2	h
狐	hu44		h	h	u	44	2	h
蝴	hu44		h	h	u	44	2	h
互	hu44		h	h	u	44	2	h
符	hu44		h	h	u	44	2	h
扶	hu44		h	h	u	44	2	h
壺	hu44		h	h	u	44	2	h
魚	hu44		h	h	u	44	2	h
漁	hu44		h	h	u	44	2	h
凫	hu44		h	h	u	44	2	h
弧	hu44		h	h	u	44	2	h
葫	hu44	文	h	h	u	44	2	h
府	hu53		h	h	u	53	3	h
腑	hu53		h	h	u	53	3	h
俯	hu53		h	h	u	53	3	h
滸	hu53		h	h	u	53	3	h
栩	hu53		h	h	u	53	3	h
互	hu213		h	h	u	213	4	h
父	hu213		h	h	u	213	4	h
傅	hu213		h	h	u	213	4	h
阜	hu213		h	h	u	213	4	h
滬	hu213		h	h	u	213	4	h
護	hu213		h	h	u	213	4	h
輔	hu213		h	h	u	213	4	h
婦	hu213		h	h	u	213	4	h
負	hu213		h	h	u	213	4	h
仾	hu213		h	h	u	213	4	h
咐	hu21		h	h	u	21	5	h
付	hu21		h	h	u	21	5	h
赴	hu21		h	h	u	21	5	h
