"参考资料"		"《枞阳方言研究》，整理于东乡日常。"	
	"싼"	"tsʰ "	"[1]参{~加}餐搀[2]蚕（文）惭残潺藏谗馋缠（文）蝉[3]惨产铲[5]灿忏濳"
	"산"	"s "	"[1]三珊山{~事}杉衫删[3]散伞陕闪[5]散赡讪善扇膳擅禅"
	"안"	"Ø "	"[2]然（文）燃（文）[3]冉（文）"
	"깐"	"k "	"[1]甘柑泔尴肝(文)间[3]感敢（文）橄杆秆赶拣[5]赣干{~部}"
	"간"	"kʰ "	"[1]堪（文）勘（文）铅(白，铅角子，铅笔)龛[2]衔（白）[3]坎（文）砍侃[5]瞰嵌陷（白）限（不~定）"
	"한"	"x "	"[1]鼾*{冰冷，冰-}[2]含函邯闲(文)咸(白)寒{文}韩[3]喊罕[5]撼(文)旱(文)汉翰苋"
	"안"	"ŋ "	"[1]安鞍庵淹[2]严{白，把门关—}[3]俺眼[5]暗岸按案晏"
			
			
"#iã "	"얀"		
	"쟌"	"tɕ "	"艰（文2，艰辛）奸(文2）"
	"샨"	"ɕ "	"闲（文2）嫌（文2）咸(文2)馅(文2)限(文2)陷（文2）"
			
			
"#ɔ̃ "	"언"		
	"뻔"	"pʰ "	"[1]滂[2]旁庞"
	"번"	"p "	"[1]帮邦浜[2]谤傍蚌{河~}棒[3]榜绑"
	"먼"	"m "	"[2]忙芒茫盲"
	"펀"	"f~pʰ "	"[1]方芳[2]防房妨[3]仿访[5]放"
	"떤"	"t "	"[1]当[3]党堂（白，弄堂)[5]当{~铺}宕荡"
	"던"	"tʰ "	"[1]汤[2]堂（文）糖唐[3]躺[5]趟"
	"런"	"l "	"[1]*（奶油油腻）[2]馕囊郎廊狼螂[3]朗*（-个，老人家）[5]浪㫰{晾}"
	"쩐"	"ts "	"[1]张章樟赃脏{~衣}[3]长涨掌[5]丈杖仗帐藏{西~}葬脏{心~}"
	"썬"	"tsʰ "	"[1]仓苍昌[2]长肠常尝偿[3]场厂[5]唱畅怅倡"
	"선"	"s "	"[1]桑丧商伤裳[2][3]嗓赏[5]丧（丧失）上尚"
	"엉,언"	"Ø "	"[1]昂[2][3]壤嚷攘[5]让"
	"껀"	"k "	"[1]冈刚纲钢缸肛[3]讲港[5]虹{白}杠"
	"건"	"kʰ "	"[1]康糠[2]扛抗[5]囥抗炕"
	"헝,헌"	"x "	"[[2]行{银~}航杭[5]巷项"
			
			
"#iɔ̃ "	"연"		
	"영,연"	"Ø "	"[1]央秧殃*{表示应答}[2]羊洋杨阳扬[3]痒养[5]样恙"
	"년"	"n "	"[2]娘良梁凉量{~衣}粮[3]两辆仰[5]酿亮谅量｛打量}"
	"젼"	"tɕ "	"[1]将{~军}浆疆僵姜江(文)[3]蒋奖桨[5]酱匠降{下~}将｛将领}象(白)像(白)"
	"쳔"	"tɕʰ "	"[1]枪腔[2]墙详祥强[3]抢[5]呛"
	"션"	"ɕ "	"[1]相箱厢襄镶香乡[2]降{投~}[3]响享想[5]像（文）象(文）相{长~}"
			
			
"#uã "	"완"		
	"완"	"Ø "	"[1]弯湾[2]玩顽丸[3]宛婉晚挽[5]万"
	"꽌"	"k "	"[1]关[5]惯"
	"관"	"kʰ "	"[2]*{卷曲，-毛}[5]掼{扔地上}"
	"환"	"x "	"[2]还{~钱}环[5]幻"
			
"#yã "	"유안"		
	"뜌안"	"t "	"[5]赚"
	"슈안"	"ɕ "	"[1]闩拴栓"
			
			
"#uɔ̃ "	"원，웡"		
	"원,웡"	"Ø "	"[1]汪[2]王忘[3]网[5]望"
	"꿘,꿩"	"k "	"[1]光[3]广[5]逛"
	"권,궝"	"kʰ "	"[1]匡筐[2]狂[5]况旷"
	"훤,훵"	"x "	"[1]荒慌[2]黄皇蝗[3]恍谎[5]晃"
			
			
"#yɔ̃ "	"유언"		
	"뜌언"	"t "	"[1]装庄[5]壮状撞"
	"듀언"	"tʰ "	"[1]窗疮[2]床[3]闯[5]创"
	"슈언"	"ɕ "	"[1]霜双[3]爽"
			
			
"#õ "	"온"		
	"뽄"	"p "	"[1]搬[5]半伴拌*{不然的意思}"
	"본"	"pʰ "	"[1]潘[2]盘[5]判叛"
	"몬"	"m "	"[2]瞒(白)馒(白)[3]满(白)[5]漫(白)"
	"똔"	"t "	"[1]端[3]短[5]断段锻缎"
	"돈"	"tʰ "	"[1]贪[2]团潭[5]探"
	"론"	"l "	"[2]*{驱赶，遗留得到}[3]暖卵[5]乱"
	"논"	"n "	"[2]男南"
	"쫀"	"ts "	"[1]钻{动词}[5]钻"
	"쏜"	"tsʰ "	"[2]蚕蝉"
	"손"	"s "	"[1]酸[5]算蒜"
			
			
"#uõ "	"우온"		
	"우온"	"Ø "	"[2]完[3]碗皖[5]腕"
	"꾸온"	"k "	"[1]官观冠[3]管馆[5]贯灌罐冠{~军}"
	"구온"	"kʰ "	"[1]宽[3]款"
	"후온"	"x "	"[1]欢[3]缓[5]唤换患"
			
			
"#iɪ̃ "	"옌"	"
"	
	"옌"	"Ø "	"[1]阉焉烟[2]炎盐阎檐延言沿[3]掩演[5]堰厌艳焰燕咽宴"
	"뼨"	"p "	"[1]边鞭编[3]蝙贬扁匾[5]变汴便辨辩辫遍"
	"볜"	"pʰ "	"[1]篇[2]骈便{~宜}[5]片骗"
	"몐"	"m "	"[2]绵棉眠[3]免勉娩缅[5]面"
	"뗸"	"t "	"[1]掂颠[3]点典[5]店垫电殿奠佃"
	"뎬"	"tʰ "	"[1]天添[2]田甜填[3]忝舔"
	"녠"	"n "	"[1]拈粘*{用手拾起}[2]岩廉镰俨严鲶连联年怜莲[3]研敛碾辇捻脸[5]殓验念谚练炼砚恋"
	"졘"	"tɕ "	"[1]监尖兼艰（文）奸(文）煎肩坚歼[3]减检俭简柬剪茧[5]鉴渐剑谏践箭贱溅件荐见"
	"쳰"	"tɕʰ "	"[1]千签纤铅(文)[2]潜钳虔前全痊泉[3]浅[5]欠歉"
	"셴"	"ɕ "	"[1]仙鲜掀先(文)宣[2]衔（文）嫌闲（文）涎贤[3]险鲜癣显选[5]陷（文）限（文）线羡献现县"
	"쪤"	"ts "	"[1]沾粘瞻[3]展[5]占战颤"
	"쏀"	"tsʰ "	"[2]缠"
	"셴"	"s "	"[3]陕闪[5]扇善膳鳝"
	"꼔"	"k "	"[1]肝干[3]竿敢（白）擀[5]干{不干，不行}"
	"곈"	"kʰ "	"[1]看{~门}*{刚才，开先合音}堪（白）勘（白）[3]*{盖起来}坎[5]看"
	"혠"	"x "	"[2]寒[5]汗*{用油煎}"
	"옌"	"ŋ"	"[1]豌安（白，安装）"
			
			
"#yɪ̃ "	"유옌"		
	"유옌"	"Ø "	"[1]冤[2]员圆缘元原源袁园援燃然(文）[3]染（文）阮远软（文）[5]院怨愿"
	"뜌옌"	"t "	"[1]专砖捐涓绢[3]转{~来}卷{~纸}[5]撰转{~动}卷{试~}传{~记}篆圈{猪~}眷"
	"듀옌"	"tʰ "	"[1]川穿圈{圆~}[2]传{~说}椽船拳权[3]喘犬[5]篡串劝"
	"슈옌"	"ɕ "	"[1]弦玄悬[5]眩"
			
			
"#n̩"	"응"		
	"응"	"Ø "	"[3]你，里{白，里头，...里}"
	"응"	"ŋ "	"[3]女[~nyə,女儿]"
