#漢字	音標	解釋#('ko_okm', '中世紀朝鮮語', '中世朝鮮', '#8B0000,#4D4D4D', None, None, '來源：<a href=https://github.com/nk2028/sino-korean-readings>韓國漢字音歷史層次研究</a>', None)
杌	or	
李	ri	
杏	həiŋ	
材	tsəi	
村	tsʰon	
杓	sjak	
杓	tsjak	
杓	tsja	
杖	tjaŋ	
杙	ik	
杜	tu	
杞	kɨi	
杯	pəi	
東	toŋ	
杲	ko	
杴	hɨm	
杵	tsje	
杷	pʰa	
杻	rju	
杻	tsʰju	
杼	tje	
板	pan	
板	pʰan	
枉	waŋ	
枊	aŋ	
枌	pun	
枏	zjem	
析	sjek	
枑	ho	
枕	tsʰim	
林	rim	
果	kwa	
枝	tsi	
枯	ko	
枰	pʰjeŋ	
枳	ki	
架	ka	
架	kja	
枷	ka	
枿	ar	
柄	pjeŋ	
柎	pu	
某	mo	
柑	kam	
染	zjem	
柔	zju	
柘	tsja	
柙	hap	
柚	ju	
柚	tʰjuk	
柞	tsak	
查	sa	
柩	ku	
柮	tor	
柯	ka	
柰	nai	
柱	tju	
柲	pʰir	
柳	rju	
柴	sɨi	
柵	tsʰəik	
柺	kwai	
柿	sə	
栖	sje	
栗	rjur	
栗	ri	
栝	kwar	
校	kjo	
栢	pəik	
栩	u	
株	tju	
栭	zi	
栮	zi	
栯	uk	
栴	tsjen	
核	həik	
根	kɨn	
格	kjek	
栽	tsəi	
桀	ker	
桁	həiŋ	
桂	kjei	
桃	to	
桃	tu	
桅	ui	
案	an	
桌	tʰak	
桌	tso	
桎	tir	
桐	toŋ	
桑	saŋ	
桓	hwan	
桔	kar	
桔	kir	
桴	pu	
桶	tʰoŋ	
梁	rjaŋ	
梂	ku	
梅	məi	
梏	kok	
梐	pʰjei	
梓	tsəi	
梔	tsʰi	
梔	tsi	
梗	kəiŋ	
梗	kjeŋ	
條	tjo	
條	tʰjo	
梟	hjo	
梢	tsʰjo	
梣	tsəm	
梣	sim	
梣	tsin	
梧	o	
梨	rjei	
梨	ri	
梬	piŋ	
梭	sa	
梲	tsjer	
梳	so	
梵	pem	
棄	ki	
棋	kɨi	
棍	kon	
棍	kun	
棒	paŋ	
棖	tjeŋ	
棗	tso	
棗	tsʰo	
棘	kɨk	
棙	rjei	
棚	pɨŋ	
棟	toŋ	
棠	taŋ	
棣	tʰjei	
棧	tsan	
棲	sje	
棹	to	
棺	kwan	
椁	kwak	
椄	tsjep	
椅	ɨi	
植	tʰi	
植	sik	
椎	tʰoi	
椒	tsʰjo	
椓	tʰak	
椵	tan	
椵	ka	
椸	i	
椹	sim	
椽	jen	
楊	jaŋ	
楎	hui	
楓	pʰuŋ	
楔	sjer	
楙	mu	
楚	tsʰo	
楞	rɨŋ	
楦	hwan	
楦	hwen	
楪	tjep	
楫	tsɨp	
業	ep	
楮	tak	
楮	tje	
楯	sjun	
楷	kəi	
楷	həi	
楷	kai	
楸	tsʰju	
楹	jeŋ	
概	kai	
榆	ju	
榛	tsin	
榜	paŋ	
榠	mjeŋ	
榧	pi	
榨	tsa	
榬	wen	
榮	jeŋ	
榱	tsʰoi	
榴	rju	
榺	sɨŋ	
榻	tʰap	
榼	hap	
榾	kor	
槀	ko	
槁	ho	
槁	ko	
槃	pan	
槊	sak	
構	ku	
槌	tsʰjui	
槌	tsʰju	
槍	tsʰaŋ	
槎	sa	
槐	koi	
槖	tʰak	
槞	roŋ	
槨	kwak	
槲	kok	
槳	tsjaŋ	
槵	hwan	
槹	ko	
槽	tso	
槿	kɨn	
樁	tʰjuŋ	
樁	tswaŋ	
樂	jo	
樂	rak	
樂	ŋak	
樂	ak	
樊	pen	
樑	rjaŋ	
樒	mir	
樓	ru	
樗	tje	
標	pʰjo	
樝	tsja	
樞	tsʰju	
模	mo	
樣	jaŋ	
樲	zi	
樵	tsʰjo	
樸	pak	
樹	sju	
樺	hwa	
樽	tsun	
橈	zjo	
橋	kjo	
橘	kjur	
橙	tɨŋ	
橛	kwer	
機	kɨi	
橡	sjaŋ	
橫	hoiŋ	
檀	tan	
檁	rɨm	
檃	ɨn	
檉	tjeŋ	
檎	kɨm	
檗	pjek	
檛	tswa	
檜	hoi	
檠	kjeŋ	
檡	tʰəik	
檢	kem	
檣	tsjaŋ	
檻	ham	
檾	kjeŋ	
檿	jem	
櫃	kwei	
櫍	tsir	
櫓	ro	
櫛	tsɨr	
櫜	ko	
櫝	tok	
櫟	rɨk	
櫪	rjek	
櫬	tsʰin	
櫬	tsʰɨn	
櫯	so	
櫺	rjeŋ	
櫻	əiŋ	
欄	ran	
權	kwen	
欛	pʰa	
欝	tʰa	
欠	hɨm	
次	tsʰə	
欣	hɨn	
欹	kɨi	
欺	kɨi	
欽	hɨm	
款	kwan	
歃	sap	
歆	hɨm	
歇	her	
歉	kjem	
歌	ka	
歎	tʰan	
歐	ku	
歛	rjem	
歟	je	
歡	hwan	
止	tsi	
正	tsjeŋ	
此	tsʰəi	
此	tsʰə	
步	po	
武	mu	
歪	wai	
歪	koi	
歲	sjei	
歷	rjek	
歸	kui	
歹	tai	
死	sə	
殃	aŋ	
殆	tʰəi	
殊	sju	
殕	pu	
殖	sik	
殘	tsan	
殞	un	
殮	rjem	
殯	pin	
段	tan	
殷	ɨn	
殺	swai	
殺	sai	
殺	sar	
殼	kak	
殿	tjen	
毀	hwei	
毅	ɨi	
毋	mo	
毋	mu	
母	mo	
每	məi	
毒	tok	
比	pi	
毘	pi	
毛	mo	
毫	ho	
毬	ku	
毯	tam	
毳	tsʰjwei	
毹	sju	
毼	kar	
毼	he	
氁	mo	
氈	tsjen	
氎	tjep	
氏	si	
民	min	
氓	məiŋ	
氛	pun	
氣	kɨi	
氳	on	
水	sui	
水	sju	
水	soi	
永	jeŋ	
汀	tjeŋ	
汁	tsɨp	
求	ku	
汊	tsʰa	
汐	sjek	
汗	han	
汝	zje	
汝	jei	
汞	hoŋ	
江	kaŋ	
池	ti	
污	o	
汪	waŋ	
汰	tʰai	
汲	kɨp	
汶	mun	
決	kjer	
沂	kɨi	
沃	ok	
沆	haŋ	
沉	tʰim	
沌	ton	
沐	mok	
沒	mor	
沖	tʰjuŋ	
沙	sa	
沚	tsi	
沛	pʰai	
沫	mar	
沮	tsje	
河	ha	
沸	pi	
油	ju	
治	tʰi	
沼	sjo	
沽	ko	
沾	tʰjem	
況	kwaŋ	
泄	sjer	
泅	sju	
泅	tsʰju	
泉	tsʰjen	
泊	pak	
泔	kam	
法	pep	
法	pʰa	
泗	sə	
泡	pʰo	
波	pa	
波	pʰa	
泣	ɨp	
泥	njei	
泥	ni	
注	tsu	
泯	min	
泰	tʰai	
泲	tsə	
泳	jeŋ	
洋	jaŋ	
洒	sai	
洒	swai	
洗	sjei	
洚	kaŋ	
洛	rak	
洞	toŋ	
洞	tʰoŋ	
洞	tʰuŋ	
津	tsin	
洩	sjer	
洪	hoŋ	
洫	hjek	
洲	tsju	
洳	zje	
活	hwar	
洽	hɨp	
派	pʰai	
派	pʰa	
洿	o	
流	rju	
浣	wan	
浥	ɨp	
浦	po	
浩	ho	
浪	raŋ	
浮	pu	
海	həi	
浸	tsʰim	
浹	hjep	
涅	nar	
涅	njer	
消	sjo	
涉	sjep	
涎	jen	
涔	tsəm	
涕	tʰjei	
涕	tjei	
涖	ri	
涜	tok	
涫	kwan	
涯	ai	
液	əik	
涵	ham	
涶	tʰa	
涼	njeŋ	
涼	rjaŋ	
淀	tjen	
淅	sjek	
淇	ki	
淇	kɨi	
淑	sjuk	
淘	to	
淘	tjo	
淚	rju	
淚	ru	
淡	tam	
淨	tsjeŋ	
淪	rjun	
淫	ɨm	
淬	tsʰoi	
淬	sui	
淮	hoi	
深	sim	
淳	sjun	
淵	jen	
淵	zjen	
混	hon	
淹	em	
淺	tsʰjen	
添	tʰjem	
清	tsʰjeŋ	
渙	hwan	
渚	tsje	
渠	ke	
渡	to	
渣	tsa	
渣	sa	
渦	wa	
測	tsʰɨk	
港	kaŋ	
渴	kar	
游	ju	
渾	hon	
湄	mi	
湍	tan	
湖	ho	
湛	tam	
湛	tʰim	
湟	hwaŋ	
湩	toŋ	
湫	tsʰju	
湯	tʰaŋ	
溌	pʰar	
源	wen	
準	tsjun	
溜	rju	
溝	ku	
溢	ir	
溥	po	
溪	kjei	
溫	on	
溲	su	
溺	nik	
溺	rik	
滅	mjer	
滋	tsə	
滌	tʰjek	
滎	hjeŋ	
滎	jeŋ	
滑	hwar	
滓	tsəi	
滔	to	
滯	tʰjei	
滴	tjek	
滷	ro	
滾	kon	
滿	man	
漁	e	
漂	pʰjo	
漆	tsʰir	
漉	rok	
漏	ru	
演	jen	
漚	ku	
漠	mak	
漢	han	
漧	kan	
漫	man	
漬	tsi	
漬	tsʰi	
漬	tsə	
漲	tʰjaŋ	
漵	sje	
漸	tsjem	
漿	tsjaŋ	
潁	jeŋ	
潄	so	
潄	su	
潔	kjer	
潘	pan	
潘	pen	
潙	ui	
潛	tsəm	
潟	sjek	
潤	zjun	
潦	rjo	
潭	tam	
潮	tjo	
澀	sap	
澀	sɨp	
澄	tiŋ	
澄	tɨŋ	
澇	ro	
澗	kan	
澡	tso	
澤	tʰəik	
澱	tjen	
澳	uk	
澹	tam	
激	kjek	
濁	tʰak	
濂	rjem	
濆	pun	
濊	jei	
濕	sɨp	
濟	tsjei	
濤	to	
濼	pak	
濾	rje	
瀆	tok	
瀉	sja	
瀋	sim	
瀦	tje	
瀦	tsju	
瀧	saŋ	
瀬	roi	
瀰	mi	
瀽	ken	
瀾	ran	
灌	kwan	
灑	sai	
灑	swai	
灑	sjei	
灒	tsan	
灒	tsʰan	
灘	tʰan	
火	hwa	
灰	hoi	
灼	tsjak	
災	tsəi	
炊	tsʰjui	
炊	tsʰju	
炎	jem	
炒	tsʰjo	
炕	kaŋ	
炕	kʰaŋ	
炙	tsja	
炙	tsjek	
炬	ke	
炭	tʰan	
炮	pʰo	
炯	hjeŋ	
炱	tʰəi	
炷	tsu	
炸	tsa	
為	ui	
烈	rjer	
烊	jaŋ	
烏	o	
烘	hoŋ	
烝	tsɨŋ	
烹	pʰəiŋ	
焇	sjo	
焉	en	
焙	pəi	
焚	pun	
焠	sju	
焠	sui	
無	mu	
焦	tsʰjo	
焰	jem	
然	zjen	
煉	rjen	
煌	hwaŋ	
煎	tsjen	
煏	pʰip	
煙	jen	
煠	tsap	
煤	məi	
煥	hwan	
照	tsjo	
煨	oi	
煩	pen	
煬	jaŋ	
煮	tsja	
煺	tʰoi	
煻	taŋ	
煿	pak	
熊	uŋ	
熏	hun	
熙	hɨi	
熟	sjuk	
熨	ur	
熬	o	
熱	zjer	
熾	tsʰi	
燃	zjen	
燄	jem	
燈	tɨŋ	
燉	ton	
燎	rjo	
燒	sjo	
燔	pen	
燕	jen	
燖	sim	
營	jeŋ	
燥	tso	
燧	sju	
燬	hwei	
燹	sjen	
燺	ko	
燼	sin	
爁	ram	
爆	pak	
爇	sjer	
爊	o	
爊	jo	
爍	sjak	
爐	ro	
爚	jak	
爛	ran	
爨	tsʰan	
爪	tso	
爬	pʰa	
爭	tsəiŋ	
爵	tsjak	
父	po	
父	pu	
爹	ta	
爺	ja	
爽	saŋ	
爾	zi	
牀	saŋ	
牆	tsjaŋ	
片	pʰjen	
牌	pʰai	
牏	tʰu	
牐	tsap	
牒	tʰjep	
牖	ju	
牘	tok	
牙	a	
牙	ja	
牛	u	
牝	pin	
牝	piŋ	
牡	mo	
牢	ro	
牢	roi	
牧	mok	
物	mɨr	
牮	tsjen	
牲	səiŋ	
牸	tsə	
特	tʰɨk	
犀	sje	
犁	rjei	
犁	ri	
犍	ken	
犒	ko	
犗	kjei	
犛	ri	
犛	mo	
犢	tok	
犬	kjen	
犯	pem	
狀	tsaŋ	
狂	kwaŋ	
狄	tjek	
狎	ap	
狐	ho	
狗	ku	
狠	hən	
狡	kjo	
狩	sju	
狷	kjen	
狸	ri	
狻	san	
狼	raŋ	
猊	jei	
猒	jem	
猗	ɨi	
猛	məiŋ	
猜	sɨi	
猝	tsor	
猢	ho	
猩	səiŋ	
猯	tan	
猴	hu	
猶	ju	
猷	ju	
猻	son	
猾	hwar	
猿	wen	
獅	sə	
獐	tsjaŋ	
獒	o	
獠	rjo	
獦	kar	
獨	tok	
獮	sjen	
獱	pin	
獲	hoik	
獵	rjep	
獸	sju	
獺	tar	
獻	hen	
獼	mi	
獾	hwan	
玄	hjen	
率	sor	
王	waŋ	
玩	wan	
玫	məi	
玭	pjen	
玳	təi	
玳	tai	
玻	pʰa	
玻	po	
珀	pak	
珀	pəik	
珂	ka	
珊	san	
珍	tin	
珞	rak	
珠	tsju	
珥	zi	
班	pan	
球	ku	
理	ri	
琉	rju	
琢	tʰak	
琥	ho	
琦	kɨi	
琯	kwan	
琱	tjo	
琴	kɨm	
琵	pi	
琶	pʰa	
琶	pa	
瑁	mɨi	
瑁	mo	
瑕	ha	
瑗	wen	
瑗	wan	
瑙	no	
瑚	ho	
瑞	sjei	
瑞	sje	
瑟	sɨr	
瑠	rju	
瑣	swai	
瑤	jo	
瑪	ma	
瑫	to	
璃	ri	
璉	rjen	
璣	kɨi	
璧	pjek	
璨	tsʰan	
璩	ke	
璫	taŋ	
環	hwan	
璺	mun	
璽	səi	
璽	sə	
瓈	rje	
瓈	ri	
瓊	kjeŋ	
瓔	jeŋ	
瓘	kwan	
瓜	koi	
瓜	kwa	
瓠	ho	
瓢	pʰjo	
瓣	pʰan	
瓤	zjaŋ	
瓦	wa	
瓴	rjeŋ	
瓶	pjeŋ	
瓷	tsə	
甃	tsʰju	
甌	ku	
甍	məiŋ	
甎	tsjen	
甑	tsɨŋ	
甓	pjek	
甕	oŋ	
甘	kam	
甘	kan	
甚	səm	
甚	sim	
甜	tʰjem	
生	səiŋ	
產	san	
甥	səiŋ	
甦	so	
甫	po	
田	tjen	
田	tsjen	
由	ju	
甲	kap	
甲	kja	
申	sin	
男	nam	
甸	tjen	
畈	pʰan	
畋	tjen	
界	kjei	
畎	kjen	
畏	oi	
畔	pan	
留	rju	
畚	pon	
畛	tsin	
畛	tin	
畜	tʰjuk	
畜	hjuk	
畝	mo	
畝	mjo	
畢	pʰir	
略	rjak	
畦	kju	
畫	hwa	
畫	hoik	
異	i	
當	taŋ	
畹	wan	
畿	kɨi	
疆	kaŋ	
疇	tju	
疋	pʰir	
疎	so	
疏	so	
疑	ɨi	
疔	tjeŋ	
疚	ku	
疝	san	
疣	u	
疤	pʰa	
疥	kai	
疫	jek	
疲	pʰi	
疳	kap	
疵	tsə	
疶	sjer	
疸	tan	
疸	tar	
疹	tin	
疼	tɨŋ	
疼	toŋ	
疽	tsje	
疾	tsir	
疿	pɨr	
痁	tsjem	
痂	ka	
病	pjeŋ	
痎	həi	
痔	tʰi	
痕	hɨn	
痘	tu	
痛	tʰoŋ	
痟	sjo	
痢	ri	
痣	tsi	
痰	tam	
瘂	a	
瘃	tʰak	
瘉	ju	
瘖	am	
瘚	kwer	
瘟	on	
瘠	tsʰjek	
瘡	tsʰaŋ	
瘢	pan	
瘤	rju	
瘦	su	
瘧	hak	
瘰	ra	
瘸	ka	
瘻	ru	
療	rjo	
癃	rjuŋ	
癇	kan	
癒	ju	
癘	rje	
癜	tjen	
癡	tʰi	
癤	tsjer	
癧	rjek	
癨	hwak	
癩	rwai	
癩	roi	
癩	na	
癫	tjen	
癬	sjen	
癭	jeŋ	
癮	ɨn	
癯	ku	
癸	kjei	
登	tɨŋ	
發	par	
白	pəik	
白	pəi	
百	pəik	
皂	tso	
的	tjek	
的	ti	
皆	kəi	
皇	hwaŋ	
皋	ko	
皙	sjek	
皦	kjo	
皮	pʰi	
皰	pʰo	
皴	tsjun	
皶	tsa	
皸	kun	
皺	tsʰu	
皿	mjeŋ	
盂	u	
盆	pun	
盆	pʰun	
盈	jeŋ	
益	ik	
盍	hap	
盎	aŋ	
盔	kʰui	
盔	ku	
盛	sjeŋ	
盜	to	
盞	tsan	
盟	məiŋ	
盠	rjei	
盡	tsin	
監	kam	
盤	pan	
盤	pʰan	
盤	pʰen	
盥	kwan	
盧	ro	
盪	tʰaŋ	
目	mok	
盲	məiŋ	
直	tik	
直	tsi	
相	sjaŋ	
盾	sjun	
省	səiŋ	
省	sjeŋ	
眉	mi	
看	kan	
真	tsin	
眠	mjen	
眩	hjen	
眴	sjun	
眵	tsʰi	
眷	kwen	
眸	mo	
眼	an	
眾	tsjuŋ	
着	tʰjak	
睚	ai	
睛	tsjeŋ	
睛	tsʰjeŋ	
睡	sju	
睦	mok	
睨	jei	
睫	tsʰjep	
睹	to	
睺	hu	
睿	jei	
瞂	per	
瞋	tsin	
瞌	hap	
瞍	su	
瞎	har	
瞑	mjeŋ	
瞠	taŋ	
瞬	sjun	
瞰	kam	
瞳	toŋ	
瞻	tsjem	
瞽	ko	
瞿	ku	
矇	moŋ	
矗	tʰjok	
矛	mo	
矢	si	
矣	ɨi	
知	ti	
矧	sin	
矩	ku	
矬	tswa	
矬	tsʰwa	
矮	ai	
矯	kjo	
矰	tsɨŋ	
石	sjek	
矼	kaŋ	
砂	sa	
砌	tsʰjei	
砌	tsjei	
砑	a	
研	jen	
研	zjen	
砥	tsi	
砧	tʰim	
砲	pʰo	
破	pʰa	
硎	hjeŋ	
硜	kjeŋ	
硨	tsʰja	
确	kak	
硯	jen	
碇	tjeŋ	
碎	sai	
碎	swai	
碑	pi	
碓	təi	
碓	tʰim	
碗	wan	
碡	tok	
碣	kar	
碧	pjek	
碩	sjek	
碫	tan	
確	hwak	
碼	ma	
碾	njen	
碾	tjen	
磉	saŋ	
磋	tsʰa	
磑	kai	
磑	ɨi	
磕	hap	
磟	rok	
磧	tsjek	
磨	ma	
磬	kjeŋ	
磲	ke	
磶	sjek	
磷	rin	
磽	kjo	
礁	tsʰjo	
礎	tsʰo	
礓	kaŋ	
礙	ai	
礩	tsir	
礪	rjei	
礪	rje	
礫	rɨk	
礬	pan	
礬	pen	
示	si	
社	sja	
祀	sə	
祁	kɨi	
祇	tsi	
祈	kɨi	
祐	u	
祕	pi	
祖	tso	
祗	tsi	
祗	ki	
祚	tso	
祝	tsʰju	
祝	tsʰjuk	
神	sin	
祠	sə	
祥	sjaŋ	
祭	tsjei	
祿	rok	
禁	kɨm	
禍	hwa	
禎	tjeŋ	
福	pok	
禘	tjei	
禦	e	
禪	sjen	
禫	tam	
禮	rjei	
禰	mjei	
禰	mi	
禱	to	
禳	jaŋ	
禹	u	
禽	kɨm	
禾	hoi	
禾	hwa	
禾	ho	
禿	tok	
秀	sju	
私	sə	
秈	sjen	
秉	pjeŋ	
秋	tsʰju	
科	kwa	
秕	pi	
租	tso	
秤	tsʰiŋ	
秤	tsʰɨŋ	
秦	tsin	
秧	aŋ	
秩	tir	
秪	tsi	
秫	tʰjur	
移	i	
稀	hɨi	
稂	raŋ	
稃	pu	
稅	sjei	
稈	kan	
稊	tjei	
程	tjeŋ	
稍	tsʰjo	
稔	njem	
稔	nim	
稕	tsjun	
稗	pʰai	
稚	tʰi	
稟	pʰum	
稠	tju	
稭	kəi	
稱	tsʰiŋ	
稱	tsʰin	
稷	tsik	
稻	to	
稼	ka	
稽	kjei	
穀	kok	
穄	tsjei	
穅	kaŋ	
穆	mok	
積	tsjek	
穗	sju	
穡	səik	
穢	jei	
穩	on	
穫	hwak	
穰	zjaŋ	
穴	hjer	
究	ku	
穸	sjek	
穹	kuŋ	
空	koŋ	
穽	tsjeŋ	
穿	tsʰjen	
窀	tun	
突	tor	
窄	tsʰəik	
窒	tir	
窖	kjo	
窗	tsʰaŋ	
窗	tswaŋ	
窘	kun	
窟	kur	
窠	kwa	
窣	sor	
窨	ɨm	
窩	wa	
窪	wa	
窬	ju	
窮	kuŋ	
窺	kju	
窿	rjuŋ	
竄	tsʰan	
竇	tu	
竈	tso	
竉	roŋ	
竊	tsjer	
立	rip	
站	tsʰam	
竟	kjeŋ	
章	tsjaŋ	
童	toŋ	
竭	kar	
端	tan	
競	kjeŋ	
竹	tjuk	
竺	tʰjuk	
竿	kan	
笄	kjei	
笆	pʰa	
笈	kɨp	
笊	tsjo	
笊	tso	
笏	hor	
笑	sjo	
笙	səiŋ	
笛	tjek	
笛	tjeh	
笛	tik	
笠	rip	
笥	sə	
符	pu	
第	tjei	
笱	ku	
笳	ka	
笴	kan	
筆	pʰir	
筈	kwar	
等	tɨŋ	
筋	tje	
筋	kɨn	
筍	sjun	
筏	per	
筐	kwaŋ	
筒	toŋ	
答	tap	
策	tsʰəik	
筟	pu	
筠	kjun	
筥	kei	
筧	hjen	
筬	sjeŋ	
筭	san	
筮	sje	
筲	sjo	
筲	so	
筲	tsʰjo	
筴	hjep	
筵	jen	
箄	pi	
箇	kai	
箋	tsjen	
箍	ko	
箏	tsəiŋ	
箑	sap	
箒	tsju	
箒	tsʰju	
箔	pak	
箕	kɨi	
算	san	
箜	koŋ	
箠	tsʰjwei	
管	kwan	
箪	tan	
箬	zjak	
箭	tsjen	
箱	sjaŋ	
箴	tsəm	
箴	tsʰim	
箶	ho	
箸	tje	
節	tsjer	
篁	hwaŋ	
範	pem	
篅	tsʰjen	
篇	pʰjen	
築	tʰjuk	
篊	hoŋ	
篋	hjep	
篘	tsʰu	
篙	ko	
篚	pi	
篝	ku	
篤	tok	
篥	rjur	
篦	pi	
篨	tjei	
篷	poŋ	
篺	pʰai	
篼	to	
篾	mjer	
簁	sɨi	
簄	ho	
簆	ku	
簋	kwei	
簍	ru	
簏	rok	
簟	tjem	
簠	po	
簡	kan	
簣	kwei	
簪	tsəm	
簫	sjo	
簷	tsʰjem	
簸	pʰa	
簻	tswa	
簾	rjem	
簿	pu	
簿	pak	
籃	ram	
籌	tju	
籍	tsjek	
籐	tɨŋ	
籗	kwak	
籜	tʰak	
籠	roŋ	
籤	tsjem	
籥	jak	
籧	ke	
籩	pjen	
籬	ri	
籮	ra	
籰	jak	
米	mi	
粉	pun	
粉	pʰun	
粒	rip	
粕	pak	
粗	tso	
粧	tsaŋ	
粳	kjeŋ	
糇	hu	
糊	ho	
糏	sjer	
糖	taŋ	
糖	tʰaŋ	
糗	ku	
糙	tso	
糜	mi	
糝	səm	
糝	tsʰam	
糞	pun	
糟	tso	
糠	kaŋ	
糧	rjaŋ	
糨	kaŋ	
糯	na	
糲	rar	
糴	tjek	
糶	tjo	
系	kjei	
糾	kju	
紀	kɨi	
紂	tju	
約	jak	
紅	hoŋ	
紈	hwan	
紋	mun	
納	nap	
紐	nju	
純	sjun	
紗	sa	
紗	sja	
紘	koiŋ	
紙	tsi	
級	kɨp	
紛	pun	
紝	zim	
素	so	
紡	paŋ	
索	sak	
索	səik	
紫	tsə	
紬	tju	
累	rju	
細	sjei	
細	si	
紳	sin	
紺	kam	
絁	si	
終	tsjoŋ	
絅	hjeŋ	
絍	zim	
絏	sjer	
結	kjer	
結	kjei	
絕	tsjer	
絛	tʰo	
絛	tʰjo	
絜	hjer	
絜	kjer	
絞	kjo	
絡	rak	
絢	hjen	
給	kɨp	
絮	sje	
絮	sjei	
絰	tir	
統	tʰoŋ	
絲	sɨi	
絲	sə	
絳	kaŋ	
絹	kjen	
絺	tʰi	
綃	sjo	
綆	kjeŋ	
綈	tjei	
綌	pjek	
綏	ju	
經	kjeŋ	
綜	tsoŋ	
維	ju	
綱	kaŋ	
網	maŋ	
網	waŋ	
綵	tsʰəi	
綸	rjun	
綺	kɨi	
綻	tʰan	
綽	tsjak	
綾	rɨŋ	
綿	mjen	
緅	tsʰju	
緇	tsʰɨi	
緊	kin	
緋	pəi	
緌	zju	
緒	sje	
緗	sjaŋ	
緘	ham	
線	sjen	
緝	tsɨp	
緡	mjen	
緣	jen	
緦	sɨi	
緩	wan	
緯	ui	
緼	on	
縐	tsʰu	
縑	kjem	
縛	pak	
縢	tɨŋ	
縣	hjen	
縮	tsʰjuk	
縰	swai	
縲	rju	
縷	ru	
總	tsʰoŋ	
績	tsjek	
繁	pen	
繃	pɨŋ	
繅	so	
繆	mok	
繇	ju	
繒	tsɨŋ	
織	tsik	
繘	hjur	
繚	rjo	
繞	zjo	
繡	sju	
繩	sɨŋ	
繪	hoi	
繫	kjei	
繭	kjen	
繳	tsjak	
繸	sju	
繹	jek	
繼	kjei	
纁	hun	
纂	tsʰan	
纈	hir	
纉	tsʰan	
纊	kwaŋ	
纏	tjen	
纑	ro	
纓	jeŋ	
纔	tsə	
纚	swai	
纛	tok	
纛	tuk	
纜	ram	
缶	pu	
缸	haŋ	
缹	pu	
缺	kjer	
罅	ha	
罌	jeŋ	
罍	roi	
罐	kwan	
罐	kwen	
罔	maŋ	
罕	han	
罝	tsje	
罟	ko	
罨	ap	
罪	tsoi	
置	tʰi	
罰	per	
罵	mai	
罵	ma	
罶	rju	
罷	pʰa	
罺	tso	
罾	tsɨŋ	
羅	ra	
羅	ro	
羆	pi	
羇	kɨi	
羊	jaŋ	
羌	kaŋ	
美	mi	
羔	ko	
羖	ko	
羝	tjei	
羞	sju	
群	kun	
羨	sjen	
義	ɨi	
羯	kar	
羶	tsjen	
羸	ri	
羹	kəiŋ	
羼	tsʰan	
羽	u	
羿	jei	
翀	tʰjuŋ	
翁	oŋ	
翅	si	
翊	ik	
翌	ik	
翎	rjeŋ	
翏	rjo	
習	sɨp	
翔	sjaŋ	
翕	hɨp	
翟	tjek	
翠	tsʰjui	
翡	pi	
翥	tsja	
翮	kjek	
翰	han	
翳	jei	
翺	ko	
翻	pen	
翼	ik	
翽	hwai	
老	ro	
考	ko	
者	tsja	
耆	ki	
而	zi	
耍	swa	
耒	rəi	
耒	roi	
耔	tsə	
耕	kjeŋ	
耕	keŋ	
耗	mo	
耘	un	
耜	sə	
耞	ka	
耦	u	
耨	nu	
耨	nok	
耬	ru	
耰	u	
耳	zi	
耶	ja	
耼	tam	
耽	tʰam	
耽	tam	
聆	rjeŋ	
聖	sjeŋ	
聘	piŋ	
聚	tsʰjui	
聞	mun	
聤	tjeŋ	
聰	tsʰoŋ	
聲	sjeŋ	
聵	koi	
職	tsik	
聽	tʰjeŋ	
聽	tjeŋ	
聾	roŋ	
肅	sjuk	
肆	sə	
肉	zjuk	
肋	rɨk	
肌	kɨi	
肐	ker	
肖	tsʰjo	
肘	tju	
肚	tu	
肛	haŋ	
肜	joŋ	
肝	kan	
股	ko	
肢	tsi	
肥	pi	
肨	pʰaŋ	
肩	kjen	
肫	tsjun	
肫	tun	
肯	kɨŋ	
肱	kɨŋ	
肱	koiŋ	
育	juk	
肴	hjo	
肸	hir	
肺	pʰjei	
胃	ui	
背	pəi	
背	pɨi	
胎	tʰəi	
胖	pan	
胛	kap	
胡	ho	
胦	aŋ	
胭	jen	
胯	kwa	
胱	kwaŋ	
胳	kak	
胻	həiŋ	
能	nɨŋ	
能	rɨŋ	
胾	tsə	
脂	tsi	
脇	hep	
脇	hjep	
脈	məik	
脊	tsʰjek	
脖	pər	
脚	kak	
脛	hjeŋ	
脛	kjeŋ	
脣	sjun	
脪	hɨn	
脫	tʰar	
脬	pʰo	
脯	pʰo	
脯	po	
脰	tu	
脹	tʰjaŋ	
脽	sju	
脾	pi	
腊	sjek	
腋	əik	
腎	sin	
腐	pu	
腑	pu	
腓	pi	
腔	kaŋ	
腕	wan	
腝	jen	
腠	tsu	
腡	kwa	
腢	u	
腥	sjeŋ	
腦	no	
腨	tsʰjen	
腰	jo	
腸	tjaŋ	
腸	tsʰjaŋ	
腹	pok	
腿	tʰoi	
膀	paŋ	
膂	rje	
膈	kjek	
膊	pak	
膍	pi	
膏	ko	
膕	kuk	
膚	pu	
膛	taŋ	
膜	mak	
膝	sɨr	
膝	si	
膠	kjo	
膳	sjen	
膺	ɨŋ	
膻	tsjen	
膽	tam	
膾	hoi	
膿	noŋ	
臀	tun	
臁	rjem	
臂	pi	
臄	kjak	
臆	ek	
