"繁体字"	"简体字"	"国际音标"	"吴语拼音"	"备注"	"调类"	"调值"					
"私"	"私"	"sɿ53"	"sy1"		1	53		"s"	"y"	"s"	"ɿ"
"死"	"死"	"sɿ44"	"sy3"	"【文读】~亡。"	3	44		"s"	"y"	"s"	"ɿ"
"死"	"死"	"si44"	"si3"	"【白读】~人；~活；~尸。"	3	44		"s"	"i"	"s"	"i"
"四"	"四"	"sɿ423"	"sy5"		5	423		"s"	"y"	"s"	"ɿ"
"致"	"致"	"tʂʯ423"	"cyu5"		5	423		"c"	"yu"	"tʂ"	"ʯ"
"遲"	"迟"	"dʐʯ24"	"jyu2"		2	24		"j"	"yu"	"dʐ"	"ʯ"
"稚"	"稚"	"dʐʯ213"	"jyu6"		6	213		"j"	"yu"	"dʐ"	"ʯ"
"師"	"师"	"sɿ53"	"sy1"		1	53		"s"	"y"	"s"	"ɿ"
"獅"	"狮"	"sɿ53"	"sy1"		1	53		"s"	"y"	"s"	"ɿ"
"脂"	"脂"	"tsɿ53"	"tsy1"		1	53		"ts"	"y"	"ts"	"ɿ"
"旨"	"旨"	"tsɿ44"	"tsy3"		3	44		"ts"	"y"	"ts"	"ɿ"
"指"	"指"	"tsɿ44"	"tsy3"		3	44		"ts"	"y"	"ts"	"ɿ"
"至"	"至"	"tsɿ423"	"tsy5"		5	423		"ts"	"y"	"ts"	"ɿ"
"示"	"示"	"zɿ213"	"zy6"		6	213		"z"	"y"	"z"	"ɿ"
"屍"	"尸"	"sɿ53"	"sy1"		1	53		"s"	"y"	"s"	"ɿ"
"視"	"视"	"zɿ213"	"zy6"		6	213		"z"	"y"	"z"	"ɿ"
"二"	"二"	"ȵi213"	"gni6"	"【白读】"	6	213		"gn"	"i"	"ȵ"	"i"
"二"	"二"	"əl213"	"er6"	"【文读】"	6	213			"er"		"əl"
"飢"	"饥"	"tɕi53"	"ci1"		1	53		"c"	"i"	"tɕ"	"i"
"器"	"器"	"tɕʰi423"	"chi5"		5	423		"ch"	"i"	"tɕʰ"	"i"
"棄"	"弃"	"tɕʰi423"	"chi5"		5	423		"ch"	"i"	"tɕʰ"	"i"
"夷"	"夷"	"ɦi24"	"yi2"		2	24		"y"	"i"	"ɦ"	"i"
"姨"	"姨"	"ɦi24"	"yi2"		2	24		"y"	"i"	"ɦ"	"i"
"你"	"你"	"ni53"	"ni1"		1	53		"n"	"i"	"n"	"i"
"狸"	"狸"	"li24"	"li2"		2	24		"l"	"i"	"l"	"i"
"李"	"李"	"li31"	"li4"		4	31		"l"	"i"	"l"	"i"
"裡"	"里"	"li31"	"li4"		4	31		"l"	"i"	"l"	"i"
"理"	"理"	"li31"	"li4"		4	31		"l"	"i"	"l"	"i"
"鯉"	"鲤"	"li31"	"li4"		4	31		"l"	"i"	"l"	"i"
"吏"	"吏"	"li213"	"li6"		6	213		"l"	"i"	"l"	"i"
"滋"	"滋"	"tsɿ53"	"tsy1"		1	53		"ts"	"y"	"ts"	"ɿ"
"子"	"子"	"tsɿ44"	"tsy3"		3	44		"ts"	"y"	"ts"	"ɿ"
"慈"	"慈"	"dzɿ24"	"dzy2"		2	24		"dz"	"y"	"dz"	"ɿ"
"磁"	"磁"	"dzɿ24"	"dzy2"		2	24		"dz"	"y"	"dz"	"ɿ"
"字"	"字"	"zɿ213"	"zy6"		6	213		"z"	"y"	"z"	"ɿ"
"司"	"司"	"sɿ53"	"sy1"		1	53		"s"	"y"	"s"	"ɿ"
"絲"	"丝"	"sɿ53"	"sy1"		1	53		"s"	"y"	"s"	"ɿ"
"思"	"思"	"sɿ53"	"sy1"	"~考；~念。"	1	53		"s"	"y"	"s"	"ɿ"
"思"	"思"	"sɿ423"	"sy5"	"意~；~绪；心~。"	5	423		"s"	"y"	"s"	"ɿ"
"辭"	"辞"	"dzɿ24"	"dzy2"		2	24		"dz"	"y"	"dz"	"ɿ"
"詞"	"词"	"dzɿ24"	"dzy2"		2	24		"dz"	"y"	"dz"	"ɿ"
"祠"	"祠"	"dzɿ24"	"dzy2"		2	24		"dz"	"y"	"dz"	"ɿ"
"似"	"似"	"zɿ31"	"zy4"		4	31		"z"	"y"	"z"	"ɿ"
"寺"	"寺"	"zɿ213"	"zy6"		6	213		"z"	"y"	"z"	"ɿ"
"飼"	"饲"	"dzɿ213"	"dzy6"		6	213		"dz"	"y"	"dz"	"ɿ"
"嗣"	"嗣"	"dzɿ213"	"dzy6"		6	213		"dz"	"y"	"dz"	"ɿ"
"置"	"置"	"tʂʯ423"	"cyu5"		5	423		"c"	"yu"	"tʂ"	"ʯ"
"恥"	"耻"	"tʂʰʯ44"	"chyu3"		3	44		"ch"	"yu"	"tʂʰ"	"ʯ"
"持"	"持"	"dʐʯ24"	"jyu2"		2	24		"j"	"yu"	"dʐ"	"ʯ"
"治"	"治"	"dʐʯ213"	"jyu6"		6	213		"j"	"yu"	"dʐ"	"ʯ"
"廁"	"厕"	"tsʰɿ423"	"tshy5"		5	423		"tsh"	"y"	"tsʰ"	"ɿ"
"士"	"士"	"zɿ31"	"zy4"		4	31		"z"	"y"	"z"	"ɿ"
"柿"	"柿"	"zɿ31"	"zy4"		4	31		"z"	"y"	"z"	"ɿ"
"事"	"事"	"zɿ213"	"zy6"		6	213		"z"	"y"	"z"	"ɿ"
"史"	"史"	"sɿ44"	"sy3"		3	44		"s"	"y"	"s"	"ɿ"
"使"	"使"	"sɿ44"	"sy3"		3	44		"s"	"y"	"s"	"ɿ"
"使"	"使"	"sɿ423"	"sy5"	"出~；~者。"	5	423		"s"	"y"	"s"	"ɿ"
"駛"	"驶"	"sɿ44"	"sy3"		3	44		"s"	"y"	"s"	"ɿ"
"之"	"之"	"tsɿ53"	"tsy1"		1	53		"ts"	"y"	"ts"	"ɿ"
"芝"	"芝"	"tsɿ53"	"tsy1"		1	53		"ts"	"y"	"ts"	"ɿ"
"止"	"止"	"tsɿ44"	"tsy3"		3	44		"ts"	"y"	"ts"	"ɿ"
"址"	"址"	"tsɿ44"	"tsy3"		3	44		"ts"	"y"	"ts"	"ɿ"
"志"	"志"	"tsɿ423"	"tsy5"		5	423		"ts"	"y"	"ts"	"ɿ"
"痣"	"痣"	"tsɿ423"	"tsy5"		5	423		"ts"	"y"	"ts"	"ɿ"
"齒"	"齿"	"tsʰɿ44"	"tshy3"		3	44		"tsh"	"y"	"tsʰ"	"ɿ"
"詩"	"诗"	"sɿ53"	"sy1"		1	53		"s"	"y"	"s"	"ɿ"
"始"	"始"	"sɿ44"	"sy3"		3	44		"s"	"y"	"s"	"ɿ"
"試"	"试"	"ʂʯ423"	"shyu5"		5	423		"sh"	"yu"	"ʂ"	"ʯ"
"時"	"时"	"zɿ24"	"zy2"		2	24		"z"	"y"	"z"	"ɿ"
"蒔"	"莳"	"zɿ24"	"zy2"	"~秧（插秧）。"	2	24		"z"	"y"	"z"	"ɿ"
"市"	"市"	"zɿ31"	"zy4"		4	31		"z"	"y"	"z"	"ɿ"
"恃"	"恃"	"zɿ31"	"zy4"		4	31		"z"	"y"	"z"	"ɿ"
"而"	"而"	"əl24"	"er2"	"【文读】"	2	24			"er"		"əl"
"耳"	"耳"	"ȵi31"	"gni4"	"【白读】~朵；木~。"	4	31		"gn"	"i"	"ȵ"	"i"
"耳"	"耳"	"əl31"	"er4"	"【文读】洗~恭听。"	4	31			"er"		"əl"
"基"	"基"	"tɕi53"	"ci1"		1	53		"c"	"i"	"tɕ"	"i"
"己"	"己"	"tɕi44"	"ci3"		3	44		"c"	"i"	"tɕ"	"i"
"紀"	"纪"	"tɕi423"	"ci5"		5	423		"c"	"i"	"tɕ"	"i"
"紀"	"纪"	"tɕi44"	"ci3"		3	44		"c"	"i"	"tɕ"	"i"
"記"	"记"	"tɕi423"	"ci5"		5	423		"c"	"i"	"tɕ"	"i"
"欺"	"欺"	"tɕʰi53"	"chi1"		1	53		"ch"	"i"	"tɕʰ"	"i"
"起"	"起"	"tɕʰi44"	"chi3"		3	44		"ch"	"i"	"tɕʰ"	"i"
"期"	"期"	"dʑi24"	"ji2"		2	24		"j"	"i"	"dʑ"	"i"
"其"	"其"	"dʑi24"	"ji2"		2	24		"j"	"i"	"dʑ"	"i"
"旗"	"旗"	"dʑi24"	"ji2"		2	24		"j"	"i"	"dʑ"	"i"
"棋"	"棋"	"dʑi24"	"ji2"		2	24		"j"	"i"	"dʑ"	"i"
"忌"	"忌"	"dʑi213"	"ji6"		6	213		"j"	"i"	"dʑ"	"i"
"跽"	"跽"	"dʑi31"	"ji4"		4	31		"j"	"i"	"dʑ"	"i"
"疑"	"疑"	"ȵi24"	"gni2"		2	24		"gn"	"i"	"ȵ"	"i"
"喜"	"喜"	"ɕi44"	"shi3"		3	44		"sh"	"i"	"ɕ"	"i"
"醫"	"医"	"i53"	"i1"		1	53			"i"		"i"
"意"	"意"	"i423"	"i5"		5	423			"i"		"i"
"已"	"已"	"i44"	"i3"		3	44			"i"		"i"
"以"	"以"	"i44"	"i3"		3	44			"i"		"i"
"異"	"异"	"ɦi213"	"yi6"		6	213		"y"	"i"	"ɦ"	"i"
"幾"	"几"	"tɕi53"	"ci1"	"~乎。"	1	53		"c"	"i"	"tɕ"	"i"
"幾"	"几"	"tɕi44"	"ci3"	"~个。"	3	44		"c"	"i"	"tɕ"	"i"
"機"	"机"	"tɕi53"	"ci1"		1	53		"c"	"i"	"tɕ"	"i"
"譏"	"讥"	"tɕi53"	"ci1"		1	53		"c"	"i"	"tɕ"	"i"
"飢"	"饥"	"tɕi53"	"ci1"		1	53		"c"	"i"	"tɕ"	"i"
"豈"	"岂"	"tɕʰi44"	"chi3"		3	44		"ch"	"i"	"tɕʰ"	"i"
"氣"	"气"	"tɕʰi423"	"chi5"		5	423		"ch"	"i"	"tɕʰ"	"i"
"汽"	"汽"	"tɕʰi423"	"chi5"		5	423		"ch"	"i"	"tɕʰ"	"i"
"希"	"希"	"ɕi53"	"shi1"		1	53		"sh"	"i"	"ɕ"	"i"
"稀"	"稀"	"ɕi53"	"shi1"		1	53		"sh"	"i"	"ɕ"	"i"
"衣"	"衣"	"i53"	"i1"		1	53			"i"		"i"
"依"	"依"	"i53"	"i1"		1	53			"i"		"i"
"嘴"	"嘴"	"tʂʯ44"	"cyu3"	"【白读】"	3	44		"c"	"yu"	"tʂ"	"ʯ"
"隨"	"随"	"dzᴇ24"	"dzei2"		2	24		"dz"	"ei"	"dz"	"ᴇ"
"吹"	"吹"	"tʂʰʯ53"	"chyu1"	"【白读】"	1	53		"ch"	"yu"	"tʂʰ"	"ʯ"
"吹"	"吹"	"tsʰᴇ53"	"tshei1"	"【文读】"	1	53		"tsh"	"ei"	"tsʰ"	"ᴇ"
"炊"	"炊"	"tʂʰʯ53"	"chyu1"	"【白读】"	1	53		"ch"	"yu"	"tʂʰ"	"ʯ"
"炊"	"炊"	"tsʰᴇ53"	"tshei1"	"【文读】"	1	53		"tsh"	"ei"	"tsʰ"	"ᴇ"
"垂"	"垂"	"dzᴇ24"	"dzei2"		2	24		"dz"	"ei"	"dz"	"ᴇ"
"睡"	"睡"	"dzᴇ213"	"dzei6"		6	213		"dz"	"ei"	"dz"	"ᴇ"
"瑞"	"瑞"	"dzᴇ213"	"dzei6"		6	213		"dz"	"ei"	"dz"	"ᴇ"
"規"	"规"	"kuᴇ53"	"kuei1"		1	53		"k"	"uei"	"k"	"uᴇ"
"詭"	"诡"	"kuᴇ44"	"kuei3"		3	44		"k"	"uei"	"k"	"uᴇ"
"虧"	"亏"	"tɕʰi53"	"chi1"	"【白读】幸~；吃~。"	1	53		"ch"	"i"	"tɕʰ"	"i"
"虧"	"亏"	"kʰuᴇ53"	"khuei1"	"【文读】~本；~损。"	1	53		"kh"	"uei"	"kʰ"	"uᴇ"
"跪"	"跪"	"dʑi31"	"ji4"	"【白读】"	4	31		"j"	"i"	"dʑ"	"i"
"跪"	"跪"	"guᴇ31"	"guei4"	"【文读】"	4	31		"g"	"uei"	"g"	"uᴇ"
"危"	"危"	"ɦuᴇ24"	"wei2"		2	24		"w"	"ei"	"ɦ"	"uᴇ"
"偽"	"伪"	"ɦuᴇ213"	"wei6"		6	213		"w"	"ei"	"ɦ"	"uᴇ"
"毀"	"毁"	"huᴇ44"	"huei3"		3	44		"h"	"uei"	"h"	"uᴇ"
"委"	"委"	"uᴇ44"	"uei3"		3	44			"uei"		"uᴇ"
"餵"	"喂"	"i423"	"i5"	"【白读】~饭。"	5	423			"i"		"i"
"餵"	"喂"	"uᴇ423"	"uei5"	"【文读】~养；叹词。"	5	423			"uei"		"uᴇ"
"為"	"为"	"ɦuᴇ24"	"wei2"	"作~。"	2	24		"w"	"ei"	"ɦ"	"uᴇ"
"為"	"为"	"ɦuᴇ213"	"wei6"	"因~。"	6	213		"w"	"ei"	"ɦ"	"uᴇ"
"壘"	"垒"	"lᴇ31"	"lei4"		4	31		"l"	"ei"	"l"	"ᴇ"
"類"	"类"	"lᴇ213"	"lei6"		6	213		"l"	"ei"	"l"	"ᴇ"
"淚"	"泪"	"li213"	"li6"		6	213		"l"	"i"	"l"	"i"
"醉"	"醉"	"tsᴇ423"	"tsei5"		5	423		"ts"	"ei"	"ts"	"ᴇ"
"翠"	"翠"	"tsʰᴇ423"	"tshei5"		5	423		"tsh"	"ei"	"tsʰ"	"ᴇ"
"雖"	"虽"	"sᴇ53"	"sei1"		1	53		"s"	"ei"	"s"	"ᴇ"
"隧"	"隧"	"dzᴇ213"	"dzei6"		6	213		"dz"	"ei"	"dz"	"ᴇ"
"追"	"追"	"tsᴇ53"	"tsei1"		1	53		"ts"	"ei"	"ts"	"ᴇ"
"槌"	"槌"	"dʐʯ24"	"jyu2"	"【白读】棒~。"	2	24		"j"	"yu"	"dʐ"	"ʯ"
"鎚"	"鎚"	"dʐʯ24"	"jyu2"	"【白读】流星~。"	2	24		"j"	"yu"	"dʐ"	"ʯ"
"衰"	"衰"	"sæ53"	"sae1"		1	53		"s"	"ae"	"s"	"æ"
"衰"	"衰"	"tsʰæ53"	"tshae1"	"乡音无改鬓毛~。"	1	53		"tsh"	"ae"	"tsʰ"	"æ"
"揣"	"揣"	"tsʰæ53"	"tshae1"		1	53		"tsh"	"ae"	"tsʰ"	"æ"
"摔"	"摔"	"sæ53"	"sae1"		1	53		"s"	"ae"	"s"	"æ"
"帥"	"帅"	"sæ423"	"sae5"		5	423		"s"	"ae"	"s"	"æ"
"錐"	"锥"	"tʂʯ53"	"cyu1"	"【白读】尖头工具：~钻。"	1	53		"c"	"yu"	"tʂ"	"ʯ"
"錐"	"锥"	"tsᴇ53"	"tsei1"	"【文读】~体。"	1	53		"ts"	"ei"	"ts"	"ᴇ"
"水"	"水"	"ʂʯ44"	"shyu3"	"【白读】"	3	44		"sh"	"yu"	"ʂ"	"ʯ"
"水"	"水"	"sᴇ44"	"sei3"	"【文读】"	3	44		"s"	"ei"	"s"	"ᴇ"
"誰"	"谁"	"dzᴇ24"	"dzei2"		2	24		"dz"	"ei"	"dz"	"ᴇ"
"龜"	"龟"	"tɕi53"	"ci1"	"【白读】乌~。"	1	53		"c"	"i"	"tɕ"	"i"
"龜"	"龟"	"kuᴇ53"	"kuei1"	"【文读】李~年。"	1	53		"k"	"uei"	"k"	"uᴇ"
"龜"	"龟"	"tɕiŋ53"	"cin1"		1	53		"c"	"in"	"tɕ"	"iŋ"
"軌"	"轨"	"kuᴇ44"	"kuei3"		3	44		"k"	"uei"	"k"	"uᴇ"
"氿"	"氿"	"tɕiɯ44"	"ciou3"	"宜兴湖泊名：西~，团~，东~。"	3	44		"c"	"iou"	"tɕ"	"iɯ"
"癸"	"癸"	"kuᴇ44"	"kuei3"		3	44		"k"	"uei"	"k"	"uᴇ"
"季"	"季"	"tɕi423"	"ci5"		5	423		"c"	"i"	"tɕ"	"i"
"葵"	"葵"	"guᴇ24"	"guei2"		2	24		"g"	"uei"	"g"	"uᴇ"
"櫃"	"柜"	"dʑi31"	"ji4"	"【白读】~台。"	4	31		"j"	"i"	"dʑ"	"i"
"櫃"	"柜"	"guᴇ31"	"guei4"	"【文读】"	4	31		"g"	"uei"	"g"	"uᴇ"
"位"	"位"	"ɦuᴇ213"	"wei6"		6	213		"w"	"ei"	"ɦ"	"uᴇ"
"維"	"维"	"vi24"	"vi2"		2	24		"v"	"i"	"v"	"i"
"唯"	"唯"	"ɦi24"	"yi2"	"【白读】~亭（江苏苏州地名）。"	2	24		"y"	"i"	"ɦ"	"i"
"唯"	"唯"	"vi24"	"vi2"	"【文读】"	2	24		"v"	"i"	"v"	"i"
"惟"	"惟"	"vi24"	"vi2"		2	24		"v"	"i"	"v"	"i"
"遺"	"遗"	"ɦi24"	"yi2"		2	24		"y"	"i"	"ɦ"	"i"
"飛"	"飞"	"fi53"	"fi1"		1	53		"f"	"i"	"f"	"i"
"非"	"非"	"fi53"	"fi1"		1	53		"f"	"i"	"f"	"i"
"匪"	"匪"	"fi44"	"fi3"		3	44		"f"	"i"	"f"	"i"
"妃"	"妃"	"fi53"	"fi1"		1	53		"f"	"i"	"f"	"i"
"費"	"费"	"fi423"	"fi5"	"~用。"	5	423		"f"	"i"	"f"	"i"
"費"	"费"	"pi423"	"pi5"	"~县（山东地名）。"	5	423		"p"	"i"	"p"	"i"
"費"	"费"	"vi213"	"vi6"	"姓。"	6	213		"v"	"i"	"v"	"i"
"肥"	"肥"	"vi24"	"vi2"		2	24		"v"	"i"	"v"	"i"
"肥"	"肥"	"bi24"	"bi2"	"~皂。"	2	24		"b"	"i"	"b"	"i"
"微"	"微"	"mi24"	"mi2"	"【白读】一~~。"	2	24		"m"	"i"	"m"	"i"
"微"	"微"	"vi24"	"vi2"	"【文读】~小；~波；~信。（注意：“微信”不可以读成“威信”。）"	2	24		"v"	"i"	"v"	"i"
"尾"	"尾"	"mi31"	"mi4"	"【白读】"	4	31		"m"	"i"	"m"	"i"
"尾"	"尾"	"vi31"	"vi4"	"【文读】结~。"	4	31		"v"	"i"	"v"	"i"
"尾"	"尾"	"ȵi31"	"gni4"	"~巴。"	4	31		"gn"	"i"	"ȵ"	"i"
"未"	"未"	"vi213"	"vi6"		6	213		"v"	"i"	"v"	"i"
"味"	"味"	"mi213"	"mi6"	"【白读】~道。"	6	213		"m"	"i"	"m"	"i"
"味"	"味"	"vi213"	"vi6"	"【文读】~精。"	6	213		"v"	"i"	"v"	"i"
"歸"	"归"	"tɕi53"	"ci1"	"【白读】姓。"	1	53		"c"	"i"	"tɕ"	"i"
"歸"	"归"	"kuᴇ53"	"kuei1"	"【文读】~去；~纳；回~。"	1	53		"k"	"uei"	"k"	"uᴇ"
"鬼"	"鬼"	"tɕi44"	"ci3"	"【白读】"	3	44		"c"	"i"	"tɕ"	"i"
"鬼"	"鬼"	"kuᴇ44"	"kuei3"	"【文读】装神弄~；~迷心窍。"	3	44		"k"	"uei"	"k"	"uᴇ"
"魏"	"魏"	"ɦuᴇ213"	"wei6"		6	213		"w"	"ei"	"ɦ"	"uᴇ"
"巍"	"巍"	"ɦuᴇ24"	"wei2"		2	24		"w"	"ei"	"ɦ"	"uᴇ"
"巍"	"巍"	"ɦi24"	"yi2"	"~塔（江苏昆山地名）。"	2	24		"y"	"i"	"ɦ"	"i"
"揮"	"挥"	"huᴇ53"	"huei1"		1	53		"h"	"uei"	"h"	"uᴇ"
"輝"	"辉"	"huᴇ53"	"huei1"		1	53		"h"	"uei"	"h"	"uᴇ"
"徽"	"徽"	"huᴇ53"	"huei1"		1	53		"h"	"uei"	"h"	"uᴇ"
"威"	"威"	"uᴇ53"	"uei1"		1	53			"uei"		"uᴇ"
"畏"	"畏"	"uᴇ423"	"uei5"		5	423			"uei"		"uᴇ"
"慰"	"慰"	"uᴇ423"	"uei5"		5	423			"uei"		"uᴇ"
"違"	"违"	"ɦuᴇ24"	"wei2"		2	24		"w"	"ei"	"ɦ"	"uᴇ"
"圍"	"围"	"ɦi24"	"yi2"	"【白读】~巾。"	2	24		"y"	"i"	"ɦ"	"i"
"圍"	"围"	"ɦuᴇ24"	"wei2"	"【文读】包~；~棋；~墙。"	2	24		"w"	"ei"	"ɦ"	"uᴇ"
"偉"	"伟"	"ɦuᴇ31"	"wei4"		4	31		"w"	"ei"	"ɦ"	"uᴇ"
"葦"	"苇"	"ɦuᴇ24"	"wei2"		2	24		"w"	"ei"	"ɦ"	"uᴇ"
"緯"	"纬"	"ɦi31"	"yi4"	"【白读】~线；~纱。"	4	31		"y"	"i"	"ɦ"	"i"
"緯"	"纬"	"ɦuᴇ31"	"wei4"	"【文读】经~；~度。"	4	31		"w"	"ei"	"ɦ"	"uᴇ"
"胃"	"胃"	"ɦuᴇ213"	"wei6"		6	213		"w"	"ei"	"ɦ"	"uᴇ"
"謂"	"谓"	"ɦuᴇ213"	"wei6"		6	213		"w"	"ei"	"ɦ"	"uᴇ"
"匯"	"汇"	"ɦuᴇ213"	"wei6"	"~集；~合。"	6	213		"w"	"ei"	"ɦ"	"uᴇ"
"褒"	"褒"	"pɔ53"	"pau1"		1	53		"p"	"au"	"p"	"ɔ"
"寶"	"宝"	"pɔ44"	"pau3"		3	44		"p"	"au"	"p"	"ɔ"
"保"	"保"	"pɔ44"	"pau3"		3	44		"p"	"au"	"p"	"ɔ"
"堡"	"堡"	"pɔ44"	"pau3"		3	44		"p"	"au"	"p"	"ɔ"
"堡"	"堡"	"pu44"	"pu3"	"【白读】~镇（上海崇明地名）。"	3	44		"p"	"u"	"p"	"u"
"報"	"报"	"pɔ423"	"pau5"		5	423		"p"	"au"	"p"	"ɔ"
"袍"	"袍"	"bɔ24"	"bau2"		2	24		"b"	"au"	"b"	"ɔ"
"抱"	"抱"	"bɔ31"	"bau4"		4	31		"b"	"au"	"b"	"ɔ"
"暴"	"暴"	"bɔ213"	"bau6"		6	213		"b"	"au"	"b"	"ɔ"
"毛"	"毛"	"mɔ24"	"mau2"		2	24		"m"	"au"	"m"	"ɔ"
"冒"	"冒"	"mɔ213"	"mau6"		6	213		"m"	"au"	"m"	"ɔ"
"帽"	"帽"	"mɔ213"	"mau6"		6	213		"m"	"au"	"m"	"ɔ"
"刀"	"刀"	"tɔ53"	"tau1"		1	53		"t"	"au"	"t"	"ɔ"
"島"	"岛"	"tɔ44"	"tau3"		3	44		"t"	"au"	"t"	"ɔ"
"倒"	"倒"	"tɔ44"	"tau3"		3	44		"t"	"au"	"t"	"ɔ"
"倒"	"倒"	"tɔ423"	"tau5"		5	423		"t"	"au"	"t"	"ɔ"
"到"	"到"	"tɔ423"	"tau5"		5	423		"t"	"au"	"t"	"ɔ"
"滔"	"滔"	"tʰɔ53"	"thau1"		1	53		"th"	"au"	"tʰ"	"ɔ"
"掏"	"掏"	"tʰɔ53"	"thau1"		1	53		"th"	"au"	"tʰ"	"ɔ"
"掏"	"掏"	"dɔ24"	"dau2"		2	24		"d"	"au"	"d"	"ɔ"
"討"	"讨"	"tʰɔ44"	"thau3"		3	44		"th"	"au"	"tʰ"	"ɔ"
"套"	"套"	"tʰɔ423"	"thau5"		5	423		"th"	"au"	"tʰ"	"ɔ"
"濤"	"涛"	"dɔ24"	"dau2"		2	24		"d"	"au"	"d"	"ɔ"
"桃"	"桃"	"dɔ24"	"dau2"		2	24		"d"	"au"	"d"	"ɔ"
"逃"	"逃"	"dɔ24"	"dau2"		2	24		"d"	"au"	"d"	"ɔ"
"陶"	"陶"	"dɔ24"	"dau2"		2	24		"d"	"au"	"d"	"ɔ"
"道"	"道"	"dɔ31"	"dau4"		4	31		"d"	"au"	"d"	"ɔ"
"稻"	"稻"	"dɔ31"	"dau4"		4	31		"d"	"au"	"d"	"ɔ"
"導"	"导"	"dɔ213"	"dau6"		6	213		"d"	"au"	"d"	"ɔ"
"盜"	"盗"	"dɔ213"	"dau6"		6	213		"d"	"au"	"d"	"ɔ"
"腦"	"脑"	"nɔ31"	"nau4"		4	31		"n"	"au"	"n"	"ɔ"
"惱"	"恼"	"nɔ31"	"nau4"		4	31		"n"	"au"	"n"	"ɔ"
"撈"	"捞"	"lɔ53"	"lau1"		1	53		"l"	"au"	"l"	"ɔ"
"勞"	"劳"	"lɔ24"	"lau2"		2	24		"l"	"au"	"l"	"ɔ"
"牢"	"牢"	"lɔ24"	"lau2"		2	24		"l"	"au"	"l"	"ɔ"
"老"	"老"	"lɔ31"	"lau4"		4	31		"l"	"au"	"l"	"ɔ"
"老"	"老"	"lɔ53"	"lau1"	"【文读】~师；~兄。"	1	53		"l"	"au"	"l"	"ɔ"
"澇"	"涝"	"lɔ213"	"lau6"		6	213		"l"	"au"	"l"	"ɔ"
"遭"	"遭"	"tsɔ53"	"tsau1"		1	53		"ts"	"au"	"ts"	"ɔ"
"糟"	"糟"	"tsɔ53"	"tsau1"		1	53		"ts"	"au"	"ts"	"ɔ"
"早"	"早"	"tsɔ44"	"tsau3"		3	44		"ts"	"au"	"ts"	"ɔ"
"棗"	"枣"	"tsɔ44"	"tsau3"		3	44		"ts"	"au"	"ts"	"ɔ"
"灶"	"灶"	"tsɔ423"	"tsau5"		5	423		"ts"	"au"	"ts"	"ɔ"
"操"	"操"	"tsʰɔ53"	"tshau1"	"姓；动词：~持，早~。"	1	53		"tsh"	"au"	"tsʰ"	"ɔ"
"操"	"操"	"tsʰɔ423"	"tshau5"	"名词：节~，~守，情~。"	5	423		"tsh"	"au"	"tsʰ"	"ɔ"
"草"	"草"	"tsʰɔ44"	"tshau3"		3	44		"tsh"	"au"	"tsʰ"	"ɔ"
"糙"	"糙"	"tsʰɔ423"	"tshau5"		5	423		"tsh"	"au"	"tsʰ"	"ɔ"
"曹"	"曹"	"zɔ24"	"zau2"		2	24		"z"	"au"	"z"	"ɔ"
"槽"	"槽"	"zɔ24"	"zau2"		2	24		"z"	"au"	"z"	"ɔ"
"皂"	"皂"	"zɔ31"	"zau4"		4	31		"z"	"au"	"z"	"ɔ"
"造"	"造"	"zɔ31"	"zau4"		4	31		"z"	"au"	"z"	"ɔ"
"騒"	"騒"	"sɔ53"	"sau1"		1	53		"s"	"au"	"s"	"ɔ"
"掃"	"扫"	"sɔ44"	"sau3"		3	44		"s"	"au"	"s"	"ɔ"
"嫂"	"嫂"	"sɔ44"	"sau3"		3	44		"s"	"au"	"s"	"ɔ"
"高"	"高"	"kɔ53"	"kau1"		1	53		"k"	"au"	"k"	"ɔ"
"膏"	"膏"	"kɔ53"	"kau1"		1	53		"k"	"au"	"k"	"ɔ"
"糕"	"糕"	"kɔ53"	"kau1"		1	53		"k"	"au"	"k"	"ɔ"
"羔"	"羔"	"kɔ53"	"kau1"		1	53		"k"	"au"	"k"	"ɔ"
"稿"	"稿"	"kɔ44"	"kau3"		3	44		"k"	"au"	"k"	"ɔ"
"告"	"告"	"kɔ423"	"kau5"		5	423		"k"	"au"	"k"	"ɔ"
"考"	"考"	"kʰɔ44"	"khau3"		3	44		"kh"	"au"	"kʰ"	"ɔ"
"烤"	"烤"	"kʰɔ44"	"khau3"		3	44		"kh"	"au"	"kʰ"	"ɔ"
"靠"	"靠"	"kʰɔ423"	"khau5"		5	423		"kh"	"au"	"kʰ"	"ɔ"
"熬"	"熬"	"ŋɔ24"	"ngau2"		2	24		"ng"	"au"	"ŋ"	"ɔ"
"傲"	"傲"	"ŋɔ213"	"ngau6"		6	213		"ng"	"au"	"ŋ"	"ɔ"
"好"	"好"	"hɔ44"	"hau3"		3	44		"h"	"au"	"h"	"ɔ"
"好"	"好"	"hɔ423"	"hau5"		5	423		"h"	"au"	"h"	"ɔ"
"豪"	"豪"	"ɦɔ24"	"ghau2"		2	24		"gh"	"au"	"ɦ"	"ɔ"
"毫"	"毫"	"ɦɔ24"	"ghau2"		2	24		"gh"	"au"	"ɦ"	"ɔ"
"號"	"号"	"ɦɔ24"	"ghau2"		2	24		"gh"	"au"	"ɦ"	"ɔ"
