"例字"	"中古音"	"电白龙山海话"	"罗定漳州话"	"湛江雷州黎话"	"吴川兰石东话"	"说明：兰石东话 阴平 33 家多初开 阳平 22 牙河图鱼 阴上 31 左把假女 阳上 42 午谢异硬 阴去 44 化废放布 阴入 5 发括得绩 阳入 2 活越贼局 升降调 453 之爸血百"
"洗"	"蟹开四上荠心"	"ɬɔi31"	"sɐi451"	"soi41"	"ɬɛi31"	
"细"	"蟹开四去霁心"	"ɬɔi44"	"sɐi31"	"iu21/si453"	"ɬɛi44"	
"系联～"	"蟹开四去霁匣"	"hi44"	"hai31"	"hi453"	"hai42"	
"鸡"	"蟹开四平齐见"	"kɔi33"	"kɐi45"	"koi24"	"kɛi33"	
"杯"	"蟹合一平灰帮"	"pui53"	"pye45"	"ʦiaŋ24"	"ɓui453"	
"辈"	"蟹合一去队帮"	"pɔi44"	"pye31"	"puɛ21"	"ɓoi44"	
"背～脊"	"蟹合一去队帮"	"pɔi44"	"pye31"	"pui453"	"ɓoi44"	
"配"	"蟹合一去队滂"	"pʰɔi44"	"pʰye31"	"pʰuɛ21/pʰui21"	"pʰoi44"	
"赔"	"蟹合一平灰并"	"pɔi22"	"pye24"	"pʰui22"	"pʰoi22"	
"倍"	"蟹合一上队并"	"pɔi42"	"pye24"	"puɛ33/pui453"	"pʰoi31"	
"梅"	"蟹合一平灰明"	"wɔi22"	"——"	"ɓuɛ22"	"moi22"	
"妹"	"蟹合一去队明"	"mui53"	"ɓoi443"	"muɛ24/mui453"	"moi33/moi453"	
"堆"	"蟹合一平灰端"	"tui53"	"tui45"	"tui24"	"ɗui453"	
"队"	"蟹合一去队端"	"tui42"	"tui443"	"toi33"	"ɗui42"	
"推"	"蟹合一平灰透"	"tʰui33"	"tʰui45"	"tʰui24"	"tʰui33"	
"腿"	"蟹合一上贿透"	"tʰui31"	"tui451"	"tʰui41"	"tʰui31"	
"退"	"蟹合一去队透"	"tʰui44"	"tʰui31"	"tʰui21"	"tʰui44"	
"雷"	"蟹合一平灰来"	"lui22"	"lui24"	"lui22"	"lui22"	
"催"	"蟹合一平灰清"	"tsʰui33"	"——"	"tsʰui24"	"sui33"	
"罪"	"蟹合一上贿从"	"ʦɔi42"	"ʦui443"	"ʦui33"	"tui42"	
"碎"	"蟹合一去队心"	"tsʰui44"	"sui31"	"tsʰui21"	"ɬui44"	
"块"	"蟹合一去队溪"	"kau22"	"kʰuoi31"	"kʰuai21"	"kʰuai44"	
"灰"	"蟹合一平灰晓"	"hui33"	"hye45"	"huɛ24/hu24"	"hy33/hoi33"	
"悔"	"蟹合一上贿晓"	"hui31"	"hye443"	"hui21"	"fui31/hui31"	
"回"	"蟹合一平灰匣"	"tui31"	"tui451"	"hui22/tui41"	"ɗui31"	
"汇"	"蟹合一上贿匣"	"hui42"	"——"	"hui453"	"wi42"	
"最"	"蟹合一去泰精"	"ʦui44"	"ʦui31"	"ʦui21"	"tui44"	
"外"	"蟹合一去泰疑"	"hua33"	"ŋai443"	"ɓua24/ŋuai453"	"hu33/ŋɔi42"	
"会开～"	"蟹合一去泰匣"	"hui42"	"hye443"	"hui453"	"wi42"	
"会～不～"	"蟹合一去泰匣"	"ɔi42"	"ɐi443"	"oi453"	"wi42"	
"乖"	"蟹合二平皆见"	"ɔ53"	"kuai24"	"o453/kuai453"	"kuai33"	
"怪"	"蟹合二去怪见"	"kuai44"	"kuoi31"	"kuai21"	"kuai44"	
"怀"	"蟹合二平皆匣"	"huai22"	"——"	"huai22"	"wai22"	
"坏"	"蟹合二去怪匣"	"uai33"	"wai443"	"huai24"	"hai33/huai33"	
"拐"	"蟹合二上蟹见"	"kuai31"	"kuoi451"	"kuai41"	"kuai31"	
"挂"	"蟹合二去卦见"	"kua44"	"kʰau31"	"kʰua21"	"kuɛ44"	
"蛙"	"蟹合二平佳影"	"kap5"	"kap5"	"wa24"	"kap5"	
"画"	"蟹合二去卦匣"	"ɔi42"	"——"	"hua453"	"wɛ42"	
"快"	"蟹合二去夬溪"	"kʰuai44"	"kʰuoi31"	"kʰuɛ21"	"kʰuɛ44"	
"话"	"蟹合二去夬匣"	"ɔi33"	"hye443"	"wɛ24"	"wɛ33"	
"岁"	"蟹合三去祭心"	"hɔi44"	"hye31"	"sui21/huɛ21"	"hoi44"	
"税"	"蟹合二去祭书"	"ɬui44"	"se31"	"suɛ21/sui453"	"ɬui44"	
"卫"	"蟹合二去祭云"	"ui42"	"ui443"	"ui453"	"wɐi42"	
"锐"	"蟹合三去祭以"	"jiui42"	"li443"	"zui453"	"——"	
"肺"	"蟹合三去废敷"	"hui44"	"hui31"	"hui21"	"pʰoi44"	
"吠"	"蟹合三去废奉"	"pui33"	"pui31"	"pui24/ɓiŋ453"	"ɓoi44"	
"桂"	"蟹合四去霁见"	"kui44"	"kui31"	"kui21"	"kui44"	
"慧"	"蟹合四去霁匣"	"jui42"	"——"	"hui453"	"wi22"	
"碑"	"止开三平支帮"	"pui33"	"pi24"	"pui24"	"ɓɛi453"	
"披"	"止开三平支滂"	"pʰɔi33"	"pʰi45"	"mua24"	"pʰoi453"	
"皮"	"止开三平支并"	"pɔi22"	"pʰye24"	"pʰuɛ22"	"pʰoi22/pʰɛi22"	
"被～子"	"止开三上纸并"	"pʰɔi42"	"pʰye443"	"pʰuɛk5"	"pʰoi42"	
"被～迫"	"止开三去置并"	"pi42"	"——"	"pi33"	"pi42"	
"紫"	"止开三上纸精"	"ʦi31"	"ʦi451"	"tsʰu21"	"ʦi31"	
"此"	"止开三上纸清"	"tsʰi31"	"——"	"su41/jiɛ21"	"tsʰi31"	
"知"	"止开三平支知"	"ʦai33"	"ʦai45"	"ʦai24"	"tai33"	
"池"	"止开三平支澄"	"tsʰi22"	"tsʰi24"	"to22"	"tsʰi22"	
"支"	"止开三平支章"	"ʦi33"	"ʦi45"	"ʦi24"	"ʦi33"	
"纸"	"止开三上纸章"	"ʦua31"	"ʦua451"	"ʦua41"	"tu31/ʦi31"	
"是"	"止开三上纸禅"	"ɬi42"	"si443"	"si453/su453"	"ɬi42"	
"儿"	"止开三平支日"	"lu22"	"kia451"	"nuŋ33/lu22"	"kia31"	
"奇"	"止开三平支群"	"kʰi22"	"kʰi24"	"kʰi22"	"kʰi22"	
"寄"	"止开三去置见"	"kia44"	"ki31"	"kia21"	"kia44"	
"骑"	"止开三平支群"	"kʰia22"	"kʰia24"	"kʰia22"	"kʰia22"	
"宜"	"止开三平支疑"	"ji22"	"——"	"ŋi22/ji22"	"ki22"	
"蚁"	"止开三上纸疑"	"hia42"	"hia443"	"hŋia33/ŋi453"	"hia42"	
"议"	"止开三去置疑"	"ji42"	"ŋi451"	"ŋi33"	"ȵi42"	
"戏"	"止开三去置晓"	"hi44"	"hi31"	"hi21"	"kʰi44"	
"牺"	"止开三平支晓"	"hi33"	"hi45"	"hi24"	"——"	
"椅"	"止开三上纸影"	"i31"	"ia451"	"i41"	"i31"	
"移"	"止开三平支以"	"ji22"	"i22"	"ji22"	"ji22"	
"易容～"	"止开三去置以"	"ji42"	"i443"	"ji453"	"i42"	
"悲"	"止开三平脂帮"	"pui33"	"pei45"	"pui24"	"ɓɛi33"	
"比"	"止开三上旨帮"	"pi31"	"pi451"	"pi41"	"ɓi31"	
"备"	"止开三去至并"	"pi42"	"pei443"	"pi33"	"ɓi42"	
"鼻"	"止开三去至并"	"pʰi33"	"pʰi443"	"pʰi24/pi453"	"pʰi33"	
"眉"	"止开三平脂明"	"mui22"	"ɓi22"	"ɓai22"	"ɓi22/mi22"	
"霉"	"止开三平脂明"	"pʰɔk5"	"ɓye24"	"ɓuɛ22"	"moi22"	
"美"	"止开三上旨明"	"liaŋ44（训“靓”）"	"lieŋ31"	"mui41/hiɛŋ41"	"mi31"	
"地"	"止开三去至定"	"ti42"	"tɐi443"	"ti33"	"ɗi42"	
"梨"	"止开三平脂来"	"li22"	"li24"	"li22"	"li22"	
"利"	"止开三去至来"	"li42"	"lai443"	"lai24/li33"	"lai22/li42"	
"资"	"止开三平脂精"	"ɬu33"	"ʦi45"	"ʦu24"	"ʦi33"	
"次"	"止开三去自清"	"tsʰi44"	"tʰoŋ443"	"tsʰu21"	"si44"	
"瓷"	"止开三平脂从"	"tsʰi22"	"tsʰi24"	"tsʰu22"	"si22"	
"自"	"止开三去至从"	"ɬu42"	"ti31"	"ʦu33"	"ʦi33"	
"私"	"止开三平脂心"	"ɬi33"	"si45"	"su24"	"ɬi33"	
"死"	"止开三上旨心"	"ɬi31"	"si451"	"si41/su41"	"ɬi31"	
"四"	"止开三去至赠"	"ɬi31"	"si31"	"si21"	"ɬi44"	
"迟"	"止开三平脂澄"	"ti22"	"ɓui451"	"ti22/tsʰi22"	"ɗi22"	
"师"	"止开三平脂生"	"ɬi33"	"su45"	"su24"	"ɬi22"	
"指"	"止开三上旨章"	"ʦi31"	"ʦi451"	"ki41/ʦi41"	"ʦi31"	
"示"	"止开三去至船"	"ɬu44"	"si443"	"si33"	"si22"	
"尸"	"止开三平脂书"	"ɬi33"	"si45"	"su24/si24"	"ɬi33"	
"屎"	"止开三上旨书"	"ɬai31"	"sai451"	"sai41/si41"	"ɬai31"	
"二"	"止开三去至日"	"ji33"	"no443"	"no33/lu453"	"ji22/ȵi22"	
"器"	"止开三去至溪"	"kʰi44"	"hi31"	"i453/kʰi21"	"kʰi44"	
"伊"	"止开三平脂影"	"i33"	"i45"	"i24"	"i33"	
"姨"	"止开三平脂以"	"ji53"	"i24"	"i22"	"ji22"	
"李"	"止开三上止来"	"li31"	"li451"	"li41"	"li31"	
"里～面"	"止开三上止来"	"lai42"	"li451"	"li41"	"lai33"	
"子"	"止开三上止精"	"kia31"	"kia451"	"kia41/ʦu41"	"ʦi31"	
"慈"	"止开三平之从"	"tsʰi22"	"tsʰi22"	"tsʰu22"	"——"	
"字"	"止开三去志从"	"ʦu33"	"ji443"	"ʦu24"	"ʦy33"	
"丝"	"止开三平之心"	"ɬi33"	"si45"	"si24"	"ɬi33"	
"磁"	"止开三平之从"	"tsʰi22"	"tsʰi24"	"tsʰu22"	"——"	
"辞"	"止开三平之邪"	"tsʰi22"	"tsʰi24"	"tsʰu22"	"si22"	
"祠"	"止开三平之邪"	"tsʰi22"	"ʦi24"	"tsʰu22"	"ʦi22"	
"饲"	"止开三去志邪"	"tsʰi22"	"ʦi24"	"ʦu453/tsʰi24"	"si22"	
"痴"	"止开三平之彻"	"tsʰi53"	"ji22"	"tsʰi453"	"——"	
"治"	"止开三去志从"	"ʦi42"	"ʦi443"	"ʦi33"	"tʰai33/ʦi42"	
"耻"	"止开三上止彻"	"tsʰi31"	"tsʰi451"	"tsʰi41"		
"士"	"止开三上止崇"	"ɬu42"	"si443"	"su33"	"si42"	
"柿"	"止开三上止崇"	"ɬiap5"	"tsʰi24"	"si453"	"ɬi42"	
"事"	"止开三去志崇"	"ɬu42"	"su443"	"su453"	"ɬi42"	
"使"	"止开三上止生"	"ɬai31"	"sai451"	"sai41/su41"	"ɬai31"	
"之"	"止开三平之章"	"ɬu33"	"ʦi45"	"ʦu24"	"ʦi453"	
"止"	"止开三上止章"	"ʦi31"	"ʦi451"	"ʦi41"	"——"	
"志"	"止开三去志章"	"ʦi44"	"ʦi31"	"ʦi21"	"ʦi44"	
"痣"	"止开三去志章"	"ki44"	"ʦi31"	"ʦi453"	"ki44"	
"齿"	"止开三上止昌"	"tsʰi31"	"tsʰi451"	"kʰi41/tsʰu41"	"kɛ22"	
"诗"	"止开三平之书"	"ɬi33"	"si45"	"si24/su24"	"ɬi33"	
"始"	"止开三上止书"	"ɬi31"	"tsʰi451"	"su41"	"si31"	
"试"	"止开三去志书"	"ʦi44"	"si24"	"tsʰi21/si21"	"ɬi44/si44"	
"时"	"止开三平之禅"	"ɬi22"	"si22"	"si22/su22"	"ɬi22"	
"市"	"止开三上止禅"	"ɬi42"	"tsʰi443"	"tsʰi453"	"ɬi42"	
"而"	"止开三平之日"	"lu22"	"——"	"lu22"	"——"	
"耳"	"止开三上止日"	"hi42"	"hi443"	"lu22/hi33"	"hi42"	
"基"	"止开三平之见"	"ki33"	"ki55"	"kio453/kʰi24"	"ki33"	
"欺"	"止开三平之溪"	"kʰa33"	"hi45"	"kʰi24"	"kʰa33"	
"起"	"止开三上止溪"	"kʰi31"	"kʰi451"	"kʰi41"	"kʰi31"	
"旗"	"止开三平之群"	"ki22"	"kʰi24"	"ki22"	"ki22"	
"记"	"止开三去志见"	"ki44"	"ki31"	"ki21"	"ki44"	
"疑"	"止开三平之疑"	"ji22"	"ji22"	"ŋi22"	"ȵi22"	
"喜"	"止开三上止晓"	"hi31"	"kʰi451"	"hi41"	"hi31/kʰi31"	
"医"	"止开三平之影"	"i33"	"i45"	"i24"	"i33"	
"意"	"止开三去志影"	"i44"	"i31"	"i21"	"i44"	
"以"	"止开三上止以"	"ji31"	"i24"	"zi41"	"jy31"	
"机"	"止开三平微见"	"ki33"	"ki45"	"ki24"	"ki33"	
"几～个"	"止开三上尾见"	"kui31"	"kui451"	"ki41"	"kui31"	
"气"	"止开三去未溪"	"kʰi44"	"kʰui31"	"kʰi21"	"kʰui44/kʰi44"	
"衣"	"止开三平微影"	"i33"	"i45"	"i24"	"i33"	
"随"	"止合三平支邪"	"tsʰui22"	"tsʰui21"	"tsʰui22"	"sui22"	
"吹"	"止合三平支昌"	"pun22"	"pun45"	"tsʰui24/puŋ22"	"sui33"	
"规"	"止合三平支见"	"kui33"	"kʰui45"	"kui24"	"kʰui453"	
"亏"	"止合三平支溪"	"kʰui33"	"kʰui45"	"kʰui24"	"kʰuɐi33"	
"跪"	"止合三上纸群"	"kui42"	"kui443"	"kui33"	"kui42"	
"毁"	"止合三上纸晓"	"hui31"	"ui451"	"hui41"	"hui31"	
"委"	"止合三上纸影"	"ui31"	"ui451"	"ui41"	"wɐi31"	
"类"	"止合三去至来"	"lui42"	"lui451"	"lui453"	"lui42"	
"泪"	"止合三去至来"	"lui42"	"lui24"	"lui453"	"——"	
"醉"	"止合三去至精"	"ʦui44"	"ʦui31"	"ʦui21"	"tui44"	
"追"	"止合三平脂知"	"lui53/ʦui453"	"ik5"	"ʦui24"	"tui33"	
"锤"	"止合三平脂澄"	"tʰui22"	"tʰui24"	"tʰui22/sui22"	"tʰui22"	
"瑞"	"止合三去置禅"	"jiui42"	"——"	"sui33"	"ɬui42"	
"帅"	"止合三去至生"	"ɬuk5"	"sui31"	"suai21"	"ɬui44"	
"水"	"止合三上旨书"	"ʦui31"	"ʦui451"	"ʦui41"	"tui31"	
"龟"	"止合三平脂见"	"kui33"	"kui45"	"ku24"	"kui33"	
"季"	"止合三去至见"	"kui44"	"kui31"	"kui33/ki453"	"kui44"	
"葵"	"止合三平脂群"	"kʰui22"	"kʰui24"	"kʰui22"	"kʰui22"	
"柜"	"止合三去至群"	"kui42"	"kui443"	"kui21"	"kui42"	
"位"	"止合三去至云"	"ui33"	"ui443"	"ui33"	"ui33"	
"飞"	"止合三平微非"	"pɔi33"	"pye45"	"puɛ24/ɓi24"	"ɓoi33"	
"匪"	"止合三上尾非"	"hui31"	"fi451"	"ɓi22"	"fɛi31"	
"费"	"止合三去未敷"	"hui44"	"hui31"	"ɓi21"	"fi44"	
"肥"	"止合三平微奉"	"pui22"	"pui24"	"pui22/pʰui22"	"ɓoi22"	
"尾"	"止合三止尾微"	"ɓɔi31"	"ɓye451"	"ɓuɛ41/mi41"	"ɓoi31/pʰoi31"	
"味"	"止合三去未微"	"mi33"	"ɓi443"	"ɓi24"	"ɓi33/pʰi33"	
"归"	"止合三平微见"	"kui33"	"tui451"	"kui24"	"kui33"	
"鬼"	"止合三上尾见"	"kui31"	"kui451"	"kui41"	"kui31"	
"贵"	"止合三去未见"	"kui44"	"kui31"	"kui21"	"kui44"	
"魏"	"止合三去未疑"	"ŋai22"	"ŋai443"	"ŋui33"	"——"	
"威"	"止合三平疑影"	"ui33"	"ui45"	"ui24"	"wɐi453"	
"围"	"止合三平微云"	"ui22"	"ui24"	"ui22"	"wui22"	
"伟"	"止合三上尾云"	"ui31"	"ui451"	"ui33"	"wɐi31"	
"胃"	"止合三去未云"	"ui42"	"ui443"	"ui33"	"wɐi33"	
"宝"	"效开一上皓帮"	"pɔ31"	"po451"	"po41"	"ɓɔ31"	
"报"	"效开一去号帮"	"pɔ44"	"po31"	"po21"	"ɓɔ44"	
"袍"	"效开一平豪并"	"pau22"	"pʰou24"	"pau22"	"ɓau31"	
"抱"	"效开一上皓并"	"pʰɔ42"	"pʰo443"	"pʰo33"	"pʰɔ42"	
"暴"	"效开一去号并"	"pau42"	"pau31"	"pau33"	"ɓau44"	
"毛"	"效开一平豪明"	"moŋ22"	"ɓo24"	"mo22/mau22"	"moŋ22/mou22"	
"帽"	"效开一去号明"	"lɔi42"	"ɓo443"	"mau33"	"lɛi42"	
"刀"	"效开一平豪端"	"tɔ33"	"to45"	"to24"	"ɗɔ33"	
"到"	"效开一去号端"	"tau44"	"kau31"	"kau21/tau21"	"ɗau44"	
"讨"	"效开一上皓透"	"tʰɔ31"	"tʰou451"	"tʰo41/tʰau41"	"tʰou31"	
"套"	"效开一去号透"	"tʰɔ44"	"tʰau31"	"tʰau21"	"tʰou44"	
"桃"	"效开一平豪定"	"tʰɔ22"	"tʰau24"	"tʰo22"	"tʰɔ22"	
"道"	"效开一上皓定"	"tau42"	"tau443"	"tau33"	"ɗou42"	
"稻"	"效开一上皓定"	"tiu42"	"tau443"	"tiu33"	"ɗiu42"	
"脑"	"效开一上皓泥"	"nau31"	"ɗiu451"	"nau33"	"nou31"	
"牢"	"效开一平豪来"	"lau22"	"lou24"	"lo22"	"——"	
"捞"	"效开一平豪来"	"lau33"	"lau45"	"lau453"	"lau453"	
"老"	"效开一上皓来"	"lau31/lau42"	"lau443"	"lau41"	"lau42/lou31"	
"糟"	"效开一平豪精"	"ʦau33"	"ʦau45"	"ʦau24"	"tau33"	
"早"	"效开一上皓精"	"ʦa31"	"ʦa451"	"ʦa41"	"ta31"	
"灶"	"效开一去号精"	"ʦau44"	"ʦau31"	"ʦau21"	"tau44"	
"操体～"	"效开一平豪清"	"tsʰau33"	"tsʰou45"	"tsʰau24"	"sou33"	
"草"	"效开一上皓清"	"tsʰau31"	"tsʰau451"	"tsʰau41"	"sau31"	
"曹"	"效开一平豪从"	"tsʰau22"	"tsʰou21"	"tsʰau22"	"sou22"	
"造"	"效开一上豪从"	"ʦau42"	"ʦou443"	"ʦau33"	"tɔ31"	
"骚"	"效开一平豪心"	"ɬau33"	"sau45"	"ʦau22/sou453"	"ɬou33"	
"扫～地"	"效开一上皓心"	"ɬau44"	"sau31"	"sau21"	"ɬau44"	
"嫂"	"效开一上皓心"	"ɬɔ31"	"so451"	"so41"	"ɬɔ31"	
"扫～帚"	"效开一去号心"	"ɬau44"	"sau31"	"sau21"	"ɬau44"	
"高"	"效开一平豪见"	"kuai22"	"kuon22"	"kuai22/kau24"	"kou453"	
"稿"	"效开一上皓见"	"kɔ31"	"kau451"	"ko41/kau41"	"kɔ31"	
"告"	"效开一去号见"	"kau44"	"kou31"	"ko21"	"kɔ44"	
"考"	"效开一上皓溪"	"kʰau31"	"kʰo451"	"kʰau41"	"hau31"	
"靠"	"效开一去号溪"	"kʰau44"	"kʰau31"	"kʰau21"	"kʰau44"	
"熬"	"效开一平豪疑"	"——"	"ŋai443"	"ŋau22"	"——"	
"傲"	"效开一去号疑"	"ŋau42"	"ŋou24"	"ŋau33"	"ŋou42"	
"好～坏"	"效开一上皓晓"	"hɔ31"	"ho451"	"ho41"	"hɔ31"	
"号～数"	"效开一去号匣"	"hɔ33"	"ho443"	"hau33"	"hɔ33"	
"奥"	"效开一上皓影"	"ɔ44"	"au31"	"au21"	"ou44"	
"包"	"效开一平肴帮"	"pau33"	"pau45"	"pau24"	"ɓau33"	
"饱"	"效开二上巧帮"	"pa31"	"pa451"	"pa41"	"ɓa31"	
"豹"	"效开二去效帮"	"pau44"	"pau31"	"pa21"	"ɓa44"	
"炮"	"效开二去效滂"	"pʰau44"	"pʰau31"	"pʰau21"	"pʰau44"	
"跑"	"效开二平肴并"	"pʰau31"	"ʦau451"	"pʰau22"	"pʰau31"	
"闹"	"效开二去效泥"	"nau42"	"nau443"	"nau33"	"nau42"	
"罩"	"效开二去效知"	"ʦa44"	"ta31"	"ʦau21"	"ta44"	
"抄"	"效开二平肴初"	"tsʰau33"	"tsʰau45"	"tsʰau24"	"sau33"	
"炒"	"效开二上巧初"	"tsʰa31"	"tsʰa451"	"tsʰa41"	"sa31"	
"巢"	"效开二平肴崇"	"tau44"	"siu443"	"tsʰau22/siu24"	"——"	
"交"	"效开二平肴见"	"kiau33"	"kau45"	"kiau24"	"kau33"	
"搅"	"效开二上巧见"	"ka31"	"kieu451"	"kiau41"	"ka31"	
"搞"	"效开二上巧见"	"ka31"	"ka451"	"kau41"	"ka31"	
"教～育"	"效开二去效见"	"ka44"	"ka31"	"kiau21/ka21"	"ka44"	
"咬"	"效开二上巧疑"	"ka42"	"ka31"	"ka33"	"ka42"	
"孝"	"效开二去效晓"	"hiɛu44"	"hau31"	"ha21"	"ha44"	
"效"	"效开二去效匣"	"hiɛu42"	"hau31"	"hiau33"	"hau42"	
"标"	"效开三平宵帮"	"piɛu33"	"pyo45"	"pʰiau24"	"ɓiɔ33"	
"表"	"效开三上小帮"	"piɛu31"	"pieu451"	"pio41"	"ɓiɔ31"	
"飘"	"效开三平宵滂"	"pʰiɛu33"	"pʰyo45"	"pʰiau24"	"pʰiɔ33"	
"嫖"	"效开三平宵并"	"pʰiɛu22"	"pʰiau24"	"pʰiau22"	"pʰiɔ22"	
"苗"	"效开三平宵明"	"wiɛu22"	"ɓyo22"	"miau22"	"pʰiɔ22"	
"秒"	"效开三上小明"	"miɛu31"	"ɓiau451"	"miau41"	"miau31"	
"庙"	"效开三去笑明"	"wiɛu33"	"ɓyo443"	"miau33"	"pʰiɔ22"	
"妙"	"效开三去笑明"	"miɛu42"	"ɓiau451"	"miau33"	"——"	
"椒"	"效开三平宵精"	"ʦiɛu33"	"ʦyo45"	"ʦiau24"	"ʦɔ33"	
"消"	"效开三平宵心"	"ɬiɛu33"	"siau45"	"siau24"	"ɬiau33"	
"小"	"效开三上小心"	"ɬiɛu31"	"ʦyo451"	"siau41"	"ɬiau31"	
"笑"	"效开三去笑心"	"tsʰiɛu44"	"tsʰyo31"	"tsʰio41"	"siɔ44"	
"朝今～"	"效开三平宵知"	"ʦiɛu33"	"ʦa451"	"ʦiau24"	"——"	
"超"	"效开三平宵彻"	"tsʰiɛu33"	"tsʰieu45"	"tsʰiau24"	"siu453"	
"潮"	"效开三平宵澄"	"tsʰiɛu22"	"tsʰieu24"	"tsʰiau22"	"siu22"	
"赵"	"效开三上小澄"	"ʦiɛu42"	"ʦieu443"	"ʦiau33"	"ʦiu22"	
"招"	"效开三平宵章"	"ʦiɛu33"	"ʦyo45"	"ʦiau24"	"ʦɔ33"	
"照"	"效开三去笑章"	"ʦiɛu44"	"ʦyo31"	"ʦiau21"	"ʦɔ44"	
"烧"	"效开三平宵书"	"ɬiɛu33"	"hia24"	"siau24/sio24"	"ɬiɔ33"	
"少多～"	"效开三上小书"	"ʦiɛu31"	"ʦyo451"	"ʦio41"	"ʦɔ31"	
"绍"	"效开三上小禅"	"ɬiɛu42"	"siau443"	"siau33"	"siu42"	
"饶"	"效开三平宵日"	"——"	"——"	"iau22"	"——"	
"骄"	"效开三平宵见"	"kiɛu33"	"kieu45"	"kiau24"	"kiu453"	
"桥"	"效开三平宵群"	"kiɛu22"	"kyo24"	"kio22"	"kiɔ22"	
"轿"	"效开三去笑群"	"kiɛu33"	"kyo443"	"kio24"	"kiɔ22"	
"腰"	"效开三平宵影"	"iɛu33"	"yo45"	"io24"	"iɔ33"	
"要需～"	"效开三去笑影"	"iɛu44"	"yo451"	"iau21/ai21"	"iɔ33"	
"摇"	"效开三平宵以"	"iɛu22"	"yo24"	"iau22/io22"	"iɔ22/ŋau22"	
"窑"	"效开三平宵以"	"iɛu22"	"ka31"	"io22"	"liau22"	
"舀"	"效开三上小以"	"——"	"yo451"	"tʰam24"	"——"	
"耀"	"效开三去笑以"	"iɛu42"	"iau443"	"iau453"	"——"	
"鸟阴茎"	"效开四上篠端"	"ʦiɛu31"	"lan443"	"liɛ22"	"ɗiu453"	
"钓"	"效开四去啸端"	"tiɛu44"	"tiau31"	"tio21"	"ɗiɔ44"	
"挑"	"效开四平萧透"	"tʰiɛu33"	"tʰyo45"	"tʰio24"	"tʰiu33"	
"跳"	"效开四去啸透"	"tiɛu22"	"tʰiau31"	"tio22"	"ɗiɔ22"	
"条"	"效开四平萧定"	"tiɛu22"	"tiau24"	"tiau22"	"ɗiau22"	
"调音～"	"效开四去啸定"	"tiɛu42"	"tiau443"	"tʰiau22"	"——"	
"尿"	"效开四去啸来"	"iɛu33"	"yo443"	"niau453/jio24"	"iɔ33/nɛu42"	
"了"	"效开四上篠来"	"liɛu31"	"lieu451"	"liau41/liau22"	"liau31"	
"料"	"效开四去啸来"	"liɛu31"	"liau443"	"liau24"	"liau33"	
"箫"	"效开四平萧心"	"ɬiɛu22"	"siau45"	"siau24"	"ɬiau33"	
"缴"	"效开四上篠见"	"kiɛu31"	"kieu451"	"kiau41"	"kiau31"	
"叫"	"效开四去啸见"	"kiɛu44"	"hiam31"	"hiam22/kiau453"	"ɛu453"	
"晓"	"效开四上篠晓"	"hiɛu31"	"hieu451"	"hiau41"	"hiu31"	
"亩"	"流开一上厚明"	"mau31"	"ɓau451"	"mɛu33"	"mau31"	
"母"	"流开一上厚明"	"mu31"	"wo451"	"ɓo41"	"mai31"	
"兜"	"流开一平侯端"	"tau53"	"tau45"	"tau41/tɛu41"	"ɗou453"	
"斗一～"	"流开一上厚端"	"tau31"	"tau31"	"tau41"	"ɗau31"	
"斗～争"	"流开一去候端"	"tau44"	"tau31"	"tɛu41"	"ɗau44"	
"偷"	"流开一平侯透"	"tʰau33"	"tʰau45"	"tʰau24"	"tʰau33"	
"透"	"流开一去候透"	"tʰau44"	"tʰau31"	"tʰau21"	"tʰou44"	
"头"	"流开一平侯定"	"tʰau22"	"tʰau24"	"tʰau22"	"tʰau22"	
"豆"	"流开一去候定"	"tau33"	"tau443"	"tau24/tɛu453"	"ɗau33"	
"楼"	"流开一平侯来"	"lau22"	"lau24"	"lau22"	"lau22"	
"篓"	"流开一上厚来"	"——"	"——"	"lui453"	"——"	
"漏"	"流开一去候来"	"lau44"	"lau443"	"lau24"	"lau33"	
"走"	"流开一上厚精"	"ʦau31"	"ʦau451"	"ʦau41"	"tau31"	
"沟"	"流开一平侯见"	"kau33"	"kau45"	"kau24"	"kau33"	
"狗"	"流开一上厚见"	"kau31"	"kau451"	"kau41"	"kau31"	
"够"	"流开一上候见"	"kau44"	"kau31"	"kau41"	"kou44"	
"口"	"流开一上厚溪"	"kʰau31"	"kʰau451"	"kʰau41"	"kau31"	
"扣"	"流开一去候溪"	"kʰau53"	"kʰau31"	"kʰɛu453"	"kʰou44"	
"藕"	"流开一上厚疑"	"ŋau31"	"ŋau443"	"ŋau41"	"ŋau31"	
"喉"	"流开一平侯匣"	"au22"	"au24"	"au22"	"au22"	
"猴"	"流开一平侯匣"	"hau22"	"au24"	"hau22/kau41"	"——"	
"后前～"	"流开一上厚匣"	"au42"	"au22"	"au33"	"au42"	
"厚"	"流开一上厚匣"	"hau42/kau42"	"kau443"	"kau33"	"kau42/hou42"	
"呕"	"流开一上厚影"	"au44"	"au451"	"au41"	"au44"	
"沤"	"流开一去候影"	"au44"	"au31"	"au453"	"au44"	
"富"	"流开三去宥非"	"hu44"	"hu31"	"hu21"	"fu44"	
